"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","102,00","102,00","103,60","101,68","205,49K","0,00%"
"28.12.2023","102,00","101,06","104,00","100,22","451,51K","1,49%"
"27.12.2023","100,50","99,84","104,60","97,60","1,01M","0,66%"
"26.12.2023","99,84","103,30","103,60","99,40","445,98K","-2,95%"
"25.12.2023","102,88","104,60","104,60","101,44","329,13K","0,08%"
"22.12.2023","102,80","100,62","106,48","100,00","1,01M","2,17%"
"21.12.2023","100,62","102,20","102,86","98,22","450,24K","-1,55%"
"20.12.2023","102,20","99,42","103,60","98,30","465,39K","2,43%"
"19.12.2023","99,78","96,56","103,70","93,74","910,28K","3,33%"
"18.12.2023","96,56","88,34","103,88","88,02","1,47M","9,73%"
"15.12.2023","88,00","87,46","88,58","84,62","201,11K","1,50%"
"14.12.2023","86,70","87,86","88,08","86,10","86,00K","-1,32%"
"13.12.2023","87,86","85,96","89,40","85,00","216,44K","2,21%"
"12.12.2023","85,96","85,78","86,30","83,02","243,66K","0,51%"
"11.12.2023","85,52","87,36","87,58","85,16","115,73K","-2,26%"
"08.12.2023","87,50","88,38","88,80","85,00","200,99K","-0,34%"
"07.12.2023","87,80","88,04","88,66","85,50","182,41K","-1,10%"
"06.12.2023","88,78","88,14","89,78","86,32","218,17K","0,77%"
"05.12.2023","88,10","90,00","91,48","86,32","335,48K","-3,19%"
"04.12.2023","91,00","96,70","96,90","90,00","447,13K","-6,19%"
"01.12.2023","97,00","96,10","97,00","95,12","162,87K","0,87%"
"30.11.2023","96,16","96,12","96,96","95,24","84,10K","-0,27%"
"29.11.2023","96,42","97,36","97,36","96,00","66,42K","-0,50%"
"28.11.2023","96,90","97,78","98,80","95,90","159,14K","-0,90%"
"27.11.2023","97,78","97,00","99,10","95,00","254,95K","0,80%"
"24.11.2023","97,00","95,06","97,66","93,44","408,08K","2,04%"
"23.11.2023","95,06","99,26","99,46","95,06","248,17K","-3,75%"
"22.11.2023","98,76","98,26","100,00","98,16","172,17K","0,53%"
"21.11.2023","98,24","100,80","100,80","96,12","225,54K","-2,54%"
"20.11.2023","100,80","99,90","101,00","99,60","117,56K","1,10%"
"17.11.2023","99,70","100,46","101,00","98,50","123,70K","-1,01%"
"16.11.2023","100,72","98,00","102,30","97,88","616,78K","2,90%"
"15.11.2023","97,88","96,16","101,88","95,40","597,82K","-1,03%"
"14.11.2023","98,90","95,18","102,08","90,10","1,27M","-1,10%"
"13.11.2023","100,00","104,18","104,18","96,42","913,12K","-3,83%"
"10.11.2023","103,98","106,14","106,14","101,00","529,59K","-1,81%"
"09.11.2023","105,90","106,66","107,38","105,00","317,20K","-0,84%"
"08.11.2023","106,80","107,36","107,90","105,40","254,09K","0,07%"
"07.11.2023","106,72","108,08","108,30","106,00","193,71K","-0,91%"
"06.11.2023","107,70","107,60","108,28","105,82","253,62K","0,09%"
"03.11.2023","107,60","107,28","108,00","104,20","428,14K","0,56%"
"02.11.2023","107,00","110,60","111,02","104,04","2,37M","-2,82%"
"01.11.2023","110,10","108,00","110,60","106,12","367,50K","2,15%"
"31.10.2023","107,78","111,06","112,48","105,80","715,34K","-2,95%"
"30.10.2023","111,06","114,88","114,88","108,84","594,99K","-2,37%"
"27.10.2023","113,76","113,52","114,60","111,90","321,05K","0,23%"
"26.10.2023","113,50","116,00","116,42","113,32","515,40K","-1,68%"
"25.10.2023","115,44","116,40","116,46","115,08","194,82K","-0,82%"
"24.10.2023","116,40","114,94","116,54","113,68","442,45K","2,21%"
"23.10.2023","113,88","116,98","116,98","112,40","720,10K","-2,25%"
"20.10.2023","116,50","118,20","119,00","114,84","456,90K","-0,83%"
"19.10.2023","117,48","118,50","118,74","117,20","247,24K","-1,06%"
"18.10.2023","118,74","118,50","119,98","117,34","416,37K","0,46%"
"17.10.2023","118,20","119,00","119,28","118,00","266,72K","-0,79%"
"16.10.2023","119,14","117,84","120,18","117,02","459,23K","0,27%"
"13.10.2023","118,82","118,28","120,50","117,20","507,17K","0,51%"
"12.10.2023","118,22","118,00","119,38","116,00","729,64K","-1,27%"
"11.10.2023","119,74","123,48","125,50","119,52","1,46M","-2,62%"
"10.10.2023","122,96","119,64","123,20","114,00","2,76M","2,95%"
"09.10.2023","119,44","119,38","120,40","118,10","619,57K","1,13%"
"06.10.2023","118,10","119,68","120,72","116,66","796,48K","-0,34%"
"05.10.2023","118,50","121,62","122,08","115,84","1,57M","-2,31%"
"04.10.2023","121,30","126,00","127,92","119,04","2,78M","-2,96%"
"03.10.2023","125,00","116,34","126,72","115,00","7,59M","7,78%"
"02.10.2023","115,98","115,22","117,56","114,80","428,08K","1,36%"
"29.09.2023","114,42","115,24","116,80","114,34","521,69K","-0,68%"
"28.09.2023","115,20","115,72","117,86","114,60","339,37K","-0,43%"
"27.09.2023","115,70","115,68","118,90","113,70","1,66M","0,96%"
"26.09.2023","114,60","114,44","116,50","112,80","638,95K","0,14%"
"25.09.2023","114,44","112,42","116,90","112,40","701,88K","1,91%"
"22.09.2023","112,30","114,30","114,98","112,08","525,24K","-0,34%"
"21.09.2023","112,68","115,92","118,48","108,60","1,11M","-2,44%"
"20.09.2023","115,50","120,50","121,90","110,80","2,21M","-3,12%"
"19.09.2023","119,22","112,62","119,68","108,02","2,59M","5,23%"
"18.09.2023","113,30","113,60","118,70","113,00","946,12K","-0,18%"
"15.09.2023","113,50","108,00","117,20","108,00","878,80K","5,09%"
"14.09.2023","108,00","114,20","119,98","96,90","2,73M","-5,26%"
"13.09.2023","114,00","117,98","118,20","112,60","641,47K","-1,72%"
"12.09.2023","116,00","114,40","117,00","114,22","245,85K","1,58%"
"11.09.2023","114,20","111,50","117,84","109,80","1,26M","2,61%"
"08.09.2023","111,30","115,00","116,58","110,10","425,17K","-2,73%"
"07.09.2023","114,42","120,64","121,62","112,20","1,41M","-4,86%"
"06.09.2023","120,26","119,50","124,00","117,50","2,60M","0,64%"
"05.09.2023","119,50","120,90","121,18","117,12","2,04M","0,93%"
"04.09.2023","118,40","114,06","118,50","114,06","1,69M","4,13%"
"01.09.2023","113,70","113,64","115,50","113,00","649,77K","0,71%"
"31.08.2023","112,90","113,08","114,26","112,12","379,44K","-0,16%"
"30.08.2023","113,08","111,10","114,38","111,02","498,83K","1,91%"
"29.08.2023","110,96","110,58","112,46","110,50","449,21K","0,43%"
"28.08.2023","110,48","111,16","112,00","109,16","438,32K","-0,52%"
"25.08.2023","111,06","111,54","112,00","109,34","422,79K","-0,43%"
"24.08.2023","111,54","112,80","112,80","110,50","230,88K","-1,12%"
"23.08.2023","112,80","113,68","115,66","111,04","749,93K","-0,76%"
"22.08.2023","113,66","113,50","114,90","112,86","331,39K","0,14%"
"21.08.2023","113,50","110,90","114,78","109,44","795,38K","2,71%"
"17.08.2023","110,50","110,58","111,68","108,56","378,26K","0,02%"
"16.08.2023","110,48","113,20","113,58","107,56","1,10M","-2,39%"
"15.08.2023","113,18","112,96","115,00","107,76","1,13M","-0,21%"
"14.08.2023","113,42","118,70","120,00","113,20","1,34M","-3,49%"
"11.08.2023","117,52","115,44","119,60","115,00","1,18M","2,44%"
"10.08.2023","114,72","118,00","118,46","113,20","702,58K","-2,08%"
"09.08.2023","117,16","125,00","126,00","115,22","4,51M","-1,55%"
"08.08.2023","119,00","110,50","119,00","107,00","1,66M","7,34%"
"07.08.2023","110,86","109,64","113,42","109,50","437,55K","1,24%"
"04.08.2023","109,50","114,10","115,56","106,82","1,35M","-3,63%"
"03.08.2023","113,62","113,80","114,50","112,38","529,70K","-0,16%"
"02.08.2023","113,80","114,00","116,40","113,20","1,97M","0,25%"
"01.08.2023","113,52","114,60","114,60","112,16","796,14K","-0,49%"
"31.07.2023","114,08","113,38","114,60","113,36","427,13K","0,64%"
