"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","35,05","35,10","35,40","34,70","7,78M","0,52%"
"28.12.2023","34,87","35,11","35,22","34,71","7,92M","-0,68%"
"27.12.2023","35,11","35,47","35,53","35,00","7,60M","-1,01%"
"26.12.2023","35,47","35,43","35,90","35,11","13,67M","-0,25%"
"25.12.2023","35,56","36,00","36,14","35,41","10,53M","-1,14%"
"22.12.2023","35,97","36,10","36,57","35,92","10,16M","0,11%"
"21.12.2023","35,93","36,82","36,89","35,76","14,79M","-2,73%"
"20.12.2023","36,94","36,69","37,18","36,46","10,28M","0,76%"
"19.12.2023","36,66","37,32","37,33","36,41","9,39M","-1,72%"
"18.12.2023","37,30","36,44","37,36","36,21","12,56M","2,81%"
"15.12.2023","36,28","35,41","36,49","35,24","10,36M","2,66%"
"14.12.2023","35,34","35,81","36,79","35,22","24,55M","-0,95%"
"13.12.2023","35,68","35,29","35,76","34,86","9,18M","1,11%"
"12.12.2023","35,29","35,10","35,70","34,86","6,12M","0,57%"
"11.12.2023","35,09","35,83","35,83","34,75","5,55M","-1,60%"
"08.12.2023","35,66","34,81","35,78","34,81","5,82M","2,06%"
"07.12.2023","34,94","35,13","35,53","34,55","11,08M","-0,85%"
"06.12.2023","35,24","35,92","36,11","35,18","6,50M","-2,27%"
"05.12.2023","36,06","35,70","36,11","35,06","13,99M","0,73%"
"04.12.2023","35,80","36,60","36,60","35,80","7,40M","-1,94%"
"01.12.2023","36,51","36,15","36,63","36,15","5,15M","0,61%"
"30.11.2023","36,29","36,60","36,81","36,11","10,76M","-1,17%"
"29.11.2023","36,72","37,35","37,65","36,60","16,50M","-1,16%"
"28.11.2023","37,15","37,80","37,94","36,34","18,98M","-1,77%"
"27.11.2023","37,82","38,51","38,66","37,60","8,41M","-1,79%"
"24.11.2023","38,51","38,53","38,74","38,16","6,80M","-0,41%"
"23.11.2023","38,67","39,00","39,00","38,33","5,38M","-0,87%"
"22.11.2023","39,01","39,25","39,30","38,47","6,23M","-0,26%"
"21.11.2023","39,11","38,43","39,30","38,26","5,96M","1,40%"
"20.11.2023","38,57","38,54","38,85","38,36","5,19M","0,08%"
"17.11.2023","38,54","38,30","38,65","37,91","5,91M","0,68%"
"16.11.2023","38,28","38,98","39,36","38,15","6,51M","-1,03%"
"15.11.2023","38,68","38,38","38,77","37,68","13,12M","0,78%"
"14.11.2023","38,38","38,67","38,74","37,80","13,97M","-1,08%"
"13.11.2023","38,80","39,29","39,29","38,65","5,69M","-1,00%"
"10.11.2023","39,19","39,39","39,40","38,95","4,63M","-0,51%"
"09.11.2023","39,39","39,97","39,98","39,22","7,79M","-1,35%"
"08.11.2023","39,93","40,12","40,30","39,90","4,30M","-0,42%"
"07.11.2023","40,10","39,69","40,22","39,38","5,85M","1,16%"
"06.11.2023","39,64","38,97","39,73","38,97","4,91M","1,72%"
"03.11.2023","38,97","39,25","39,30","38,65","6,12M","-0,71%"
"02.11.2023","39,25","39,27","39,55","38,96","4,30M","0,00%"
"01.11.2023","39,25","39,37","39,63","38,90","8,50M","-0,25%"
"31.10.2023","39,35","39,79","39,89","38,60","18,84M","-1,35%"
"30.10.2023","39,89","40,04","40,40","39,69","4,80M","-0,92%"
"27.10.2023","40,26","40,08","40,44","39,57","13,00M","0,70%"
"26.10.2023","39,98","40,88","41,01","39,81","16,60M","-2,18%"
"25.10.2023","40,87","40,67","41,09","40,66","4,67M","0,20%"
"24.10.2023","40,79","40,99","40,99","40,66","3,45M","-0,37%"
"23.10.2023","40,94","40,93","41,25","40,86","7,25M","0,02%"
"20.10.2023","40,93","40,89","41,03","40,28","5,84M","0,12%"
"19.10.2023","40,88","40,88","40,96","40,64","4,62M","0,12%"
"18.10.2023","40,83","41,13","41,16","40,63","4,65M","-0,73%"
"17.10.2023","41,13","41,41","41,48","40,75","7,45M","-0,51%"
"16.10.2023","41,34","40,45","41,68","40,41","12,44M","2,20%"
"13.10.2023","40,45","40,34","40,65","40,16","2,88M","0,12%"
"12.10.2023","40,40","40,51","40,54","40,03","4,34M","0,10%"
"11.10.2023","40,36","40,61","40,96","40,22","7,27M","-0,93%"
"10.10.2023","40,74","40,61","40,84","40,38","5,89M","0,44%"
"09.10.2023","40,56","40,60","40,79","40,29","5,66M","-0,17%"
"06.10.2023","40,63","40,40","40,73","40,11","4,11M","0,44%"
"05.10.2023","40,45","40,65","40,99","40,17","8,78M","-0,74%"
"04.10.2023","40,75","41,00","41,30","40,53","7,15M","-0,56%"
"03.10.2023","40,98","40,86","41,15","40,40","14,74M","0,42%"
"02.10.2023","40,81","41,60","42,48","40,46","21,57M","-1,66%"
"29.09.2023","41,50","41,32","41,68","41,06","5,54M","0,17%"
"28.09.2023","41,43","41,64","41,74","40,91","12,00M","-0,70%"
"27.09.2023","41,72","40,49","41,72","40,16","12,95M","3,55%"
"26.09.2023","40,29","40,08","40,40","39,68","6,27M","0,20%"
"25.09.2023","40,21","40,99","41,00","40,11","6,93M","-1,93%"
"22.09.2023","41,00","40,42","41,22","39,62","10,05M","1,91%"
"21.09.2023","40,23","39,90","41,18","39,43","17,93M","0,22%"
"20.09.2023","40,14","40,21","40,75","39,48","14,78M","-0,27%"
"19.09.2023","40,25","41,53","41,54","40,10","17,81M","-3,06%"
"18.09.2023","41,52","41,63","42,17","40,90","12,01M","-0,26%"
"15.09.2023","41,63","41,25","42,04","40,73","14,12M","0,80%"
"14.09.2023","41,30","42,02","42,27","40,86","15,38M","-1,36%"
"13.09.2023","41,87","42,53","42,65","41,73","5,44M","-1,55%"
"12.09.2023","42,53","41,73","42,78","41,73","7,68M","1,92%"
"11.09.2023","41,73","42,39","42,40","41,45","11,75M","-1,58%"
"08.09.2023","42,40","42,59","42,70","41,02","22,11M","-0,33%"
"07.09.2023","42,54","43,70","43,75","42,25","17,72M","-2,77%"
"06.09.2023","43,75","44,13","44,15","43,60","6,80M","-0,66%"
"05.09.2023","44,04","44,20","44,26","43,90","8,40M","-0,23%"
"04.09.2023","44,14","44,02","44,55","43,89","12,94M","0,30%"
"01.09.2023","44,01","44,03","44,20","43,88","5,28M","-0,02%"
"31.08.2023","44,02","44,18","44,35","43,68","10,23M","-0,23%"
"30.08.2023","44,12","44,24","44,48","43,74","8,51M","-0,59%"
"29.08.2023","44,38","44,80","45,07","44,00","14,68M","-0,89%"
"28.08.2023","44,78","44,34","45,17","44,29","16,29M","0,99%"
"25.08.2023","44,34","44,47","44,47","43,94","5,21M","-0,29%"
"24.08.2023","44,47","44,21","44,64","43,85","6,70M","0,75%"
"23.08.2023","44,14","44,90","45,04","43,80","9,33M","-1,78%"
"22.08.2023","44,94","44,82","45,34","44,49","6,48M","0,25%"
"21.08.2023","44,83","44,91","45,33","44,46","9,30M","-0,18%"
"18.08.2023","44,91","44,65","45,15","44,13","6,61M","0,47%"
"17.08.2023","44,70","43,89","45,00","43,56","15,74M","1,52%"
"16.08.2023","44,03","45,12","45,32","43,10","19,95M","-2,44%"
"15.08.2023","45,13","44,82","45,82","44,68","12,55M","0,09%"
"14.08.2023","45,09","46,01","46,40","44,66","25,12M","-1,64%"
"11.08.2023","45,84","45,66","45,85","45,25","8,06M","0,81%"
"10.08.2023","45,47","45,26","45,87","45,19","13,74M","0,49%"
"09.08.2023","45,25","45,47","45,68","45,01","7,90M","-0,29%"
"08.08.2023","45,38","45,20","45,66","44,23","16,95M","0,35%"
"07.08.2023","45,22","45,52","46,24","44,45","19,72M","-0,15%"
"04.08.2023","45,29","45,53","47,38","43,57","67,27M","-0,40%"
"03.08.2023","45,47","45,11","45,82","44,96","14,65M","0,46%"
"02.08.2023","45,26","45,35","45,70","44,84","15,59M","-0,20%"
"01.08.2023","45,35","45,82","45,82","45,00","15,41M","-0,61%"
"31.07.2023","45,63","44,85","45,85","44,85","13,96M","1,76%"
"28.07.2023","44,84","44,90","45,00","44,55","5,42M","-0,11%"
"27.07.2023","44,89","44,72","45,20","44,64","7,77M","0,38%"
"26.07.2023","44,72","44,94","45,34","44,43","14,26M","-0,47%"
"25.07.2023","44,93","44,40","45,00","44,34","8,92M","1,15%"
"24.07.2023","44,42","44,20","44,66","44,08","9,59M","0,50%"
"21.07.2023","44,20","43,90","44,28","43,34","10,51M","0,78%"
"20.07.2023","43,86","44,20","45,15","43,31","28,17M","0,16%"
"19.07.2023","43,79","44,48","44,72","43,60","19,32M","-1,28%"
"18.07.2023","44,36","42,70","44,43","42,57","45,73M","4,18%"
