"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","18.850,0","18.800,0","18.850,0","18.652,0","2,24K","0,27%"
"28.12.2023","18.800,0","18.716,0","18.830,0","18.652,0","2,93K","-0,27%"
"27.12.2023","18.850,0","18.726,0","18.850,0","18.662,0","2,42K","0,01%"
"26.12.2023","18.848,0","18.772,0","18.848,0","18.700,0","1,02K","0,05%"
"25.12.2023","18.838,0","18.596,0","18.846,0","18.558,0","2,45K","1,42%"
"22.12.2023","18.574,0","18.720,0","18.826,0","18.572,0","2,16K","-1,41%"
"21.12.2023","18.840,0","18.832,0","18.848,0","18.726,0","0,69K","0,04%"
"20.12.2023","18.832,0","18.744,0","18.832,0","18.710,0","1,09K","0,17%"
"19.12.2023","18.800,0","18.848,0","18.848,0","18.708,0","0,83K","-0,27%"
"18.12.2023","18.850,0","18.888,0","18.980,0","18.704,0","2,61K","-0,20%"
"15.12.2023","18.888,0","18.696,0","18.940,0","18.696,0","1,01K","0,41%"
"14.12.2023","18.810,0","18.732,0","18.818,0","18.672,0","2,47K","0,09%"
"13.12.2023","18.794,0","18.726,0","18.848,0","18.670,0","1,98K","-0,19%"
"12.12.2023","18.830,0","18.736,0","18.830,0","18.634,0","2,68K","0,00%"
"11.12.2023","18.830,0","18.876,0","18.876,0","18.660,0","2,24K","-0,25%"
"08.12.2023","18.878,0","18.806,0","18.902,0","18.712,0","2,05K","-0,11%"
"07.12.2023","18.898,0","18.848,0","18.928,0","18.700,0","2,24K","0,41%"
"06.12.2023","18.820,0","18.802,0","18.936,0","18.644,0","2,00K","-0,11%"
"05.12.2023","18.840,0","18.848,0","18.940,0","18.508,0","2,47K","-0,56%"
"04.12.2023","18.946,0","18.980,0","18.988,0","18.732,0","1,20K","-0,18%"
"01.12.2023","18.980,0","18.798,0","18.980,0","18.750,0","0,81K","0,23%"
"30.11.2023","18.936,0","18.870,0","18.940,0","18.720,0","0,67K","0,68%"
"29.11.2023","18.808,0","18.856,0","18.946,0","18.796,0","0,53K","-0,73%"
"28.11.2023","18.946,0","18.720,0","18.950,0","18.702,0","1,26K","-0,02%"
"27.11.2023","18.950,0","18.922,0","18.950,0","18.522,0","2,36K","0,11%"
"24.11.2023","18.930,0","18.920,0","18.960,0","18.700,0","1,94K","0,16%"
"23.11.2023","18.900,0","18.882,0","18.924,0","18.802,0","0,56K","-0,15%"
"22.11.2023","18.928,0","18.920,0","18.974,0","18.864,0","0,41K","-0,22%"
"21.11.2023","18.970,0","18.946,0","18.970,0","18.858,0","0,50K","0,01%"
"20.11.2023","18.968,0","18.934,0","18.996,0","18.888,0","0,62K","-0,16%"
"17.11.2023","18.998,0","18.980,0","18.998,0","18.834,0","0,47K","0,09%"
"16.11.2023","18.980,0","18.806,0","18.980,0","18.802,0","0,65K","0,12%"
"15.11.2023","18.958,0","18.948,0","18.958,0","18.652,0","1,29K","0,05%"
"14.11.2023","18.948,0","19.040,0","19.090,0","18.750,0","1,17K","-0,43%"
"13.11.2023","19.030,0","18.986,0","19.178,0","18.902,0","1,93K","0,06%"
"10.11.2023","19.018,0","19.000,0","19.400,0","18.718,0","2,69K","0,09%"
"09.11.2023","19.000,0","18.956,0","19.030,0","18.798,0","1,77K","0,23%"
"08.11.2023","18.956,0","18.950,0","18.958,0","18.800,0","0,87K","-0,05%"
"07.11.2023","18.966,0","18.990,0","19.018,0","18.852,0","0,57K","-0,17%"
"06.11.2023","18.998,0","19.020,0","19.020,0","18.818,0","0,75K","0,15%"
"03.11.2023","18.970,0","18.910,0","18.998,0","18.732,0","0,82K","0,36%"
"02.11.2023","18.902,0","18.900,0","18.950,0","18.762,0","0,61K","0,01%"
"01.11.2023","18.900,0","18.758,0","18.900,0","18.710,0","0,86K","-0,16%"
"31.10.2023","18.930,0","18.952,0","19.126,0","18.670,0","1,37K","-0,47%"
"30.10.2023","19.020,0","18.996,0","19.020,0","18.846,0","0,41K","0,13%"
"27.10.2023","18.996,0","18.906,0","19.028,0","18.300,0","2,97K","-0,02%"
"26.10.2023","19.000,0","19.150,0","19.150,0","18.880,0","0,98K","-0,28%"
"25.10.2023","19.054,0","18.914,0","19.194,0","18.812,0","2,49K","0,50%"
"24.10.2023","18.960,0","18.988,0","19.008,0","18.840,0","1,04K","-0,16%"
"23.10.2023","18.990,0","19.020,0","19.020,0","18.832,0","0,87K","-0,06%"
"20.10.2023","19.002,0","19.094,0","19.136,0","18.958,0","0,54K","-0,55%"
"19.10.2023","19.108,0","18.992,0","19.190,0","18.600,0","2,15K","0,42%"
"18.10.2023","19.028,0","19.104,0","19.222,0","19.002,0","1,04K","-1,02%"
"17.10.2023","19.224,0","19.116,0","19.278,0","19.100,0","0,92K","0,32%"
"16.10.2023","19.162,0","18.998,0","19.338,0","18.938,0","2,61K","0,86%"
"13.10.2023","18.998,0","19.044,0","19.338,0","18.930,0","2,83K","-0,12%"
"12.10.2023","19.020,0","18.930,0","19.036,0","18.874,0","0,61K","-0,15%"
"11.10.2023","19.048,0","18.998,0","19.158,0","18.892,0","1,67K","0,52%"
"10.10.2023","18.950,0","18.942,0","19.146,0","18.822,0","2,77K","-0,26%"
"09.10.2023","19.000,0","19.018,0","19.368,0","18.920,0","2,61K","-0,11%"
"06.10.2023","19.020,0","18.994,0","19.080,0","18.874,0","0,65K","0,37%"
"05.10.2023","18.950,0","19.000,0","19.000,0","18.800,0","0,43K","-0,26%"
"04.10.2023","19.000,0","18.918,0","19.074,0","18.874,0","0,71K","-0,06%"
"03.10.2023","19.012,0","18.990,0","19.012,0","18.872,0","0,32K","0,09%"
"02.10.2023","18.994,0","19.152,0","19.152,0","18.868,0","0,86K","-0,28%"
"29.09.2023","19.048,0","19.070,0","19.200,0","18.818,0","1,02K","-0,15%"
"28.09.2023","19.076,0","19.150,0","19.190,0","19.020,0","1,07K","0,08%"
"27.09.2023","19.060,0","18.992,0","19.188,0","18.906,0","1,25K","0,36%"
"26.09.2023","18.992,0","18.980,0","18.992,0","18.650,0","0,94K","0,70%"
"25.09.2023","18.860,0","18.900,0","18.990,0","18.602,0","1,31K","-0,21%"
"22.09.2023","18.900,0","18.840,0","19.008,0","18.676,0","2,52K","0,28%"
"21.09.2023","18.848,0","18.682,0","18.876,0","18.350,0","2,59K","0,15%"
"20.09.2023","18.820,0","18.806,0","19.006,0","18.232,0","5,44K","-0,70%"
"19.09.2023","18.952,0","18.982,0","19.078,0","18.500,0","3,18K","-0,16%"
"18.09.2023","18.982,0","19.046,0","19.238,0","18.848,0","1,37K","-0,98%"
"15.09.2023","19.170,0","19.058,0","19.286,0","19.016,0","1,22K","0,62%"
"14.09.2023","19.052,0","19.156,0","19.500,0","17.500,0","9,61K","-1,18%"
"13.09.2023","19.280,0","19.006,0","19.392,0","19.006,0","4,15K","1,47%"
"12.09.2023","19.000,0","19.198,0","19.280,0","18.970,0","2,90K","-0,31%"
"11.09.2023","19.060,0","19.850,0","19.850,0","18.902,0","3,49K","-2,25%"
"08.09.2023","19.498,0","19.220,0","19.796,0","18.798,0","10,23K","1,46%"
"07.09.2023","19.218,0","20.512,0","20.728,0","18.496,0","21,21K","-6,46%"
"06.09.2023","20.546,0","19.282,0","21.400,0","19.206,0","72,81K","7,06%"
"05.09.2023","19.192,0","19.430,0","19.534,0","19.172,0","2,04K","-1,16%"
"04.09.2023","19.418,0","19.364,0","19.586,0","19.340,0","1,85K","0,30%"
"01.09.2023","19.360,0","19.148,0","19.636,0","19.148,0","3,84K","0,83%"
"31.08.2023","19.200,0","19.220,0","19.272,0","19.104,0","1,46K","0,46%"
"30.08.2023","19.112,0","19.302,0","19.302,0","19.102,0","1,17K","-0,42%"
"29.08.2023","19.192,0","19.298,0","19.336,0","19.102,0","1,91K","-0,30%"
"28.08.2023","19.250,0","19.372,0","19.438,0","19.180,0","3,56K","-0,53%"
"25.08.2023","19.352,0","19.356,0","19.428,0","19.318,0","0,54K","-0,02%"
"24.08.2023","19.356,0","19.350,0","19.400,0","19.304,0","1,01K","-0,23%"
"23.08.2023","19.400,0","19.720,0","19.720,0","19.312,0","1,55K","-0,23%"
"22.08.2023","19.444,0","19.500,0","19.590,0","19.320,0","1,56K","-0,29%"
"21.08.2023","19.500,0","19.700,0","19.800,0","19.450,0","1,86K","-0,32%"
"18.08.2023","19.562,0","19.500,0","19.758,0","19.404,0","2,13K","0,31%"
"17.08.2023","19.502,0","20.000,0","20.000,0","19.390,0","3,11K","0,54%"
"16.08.2023","19.398,0","19.240,0","19.920,0","19.150,0","7,60K","0,99%"
"15.08.2023","19.208,0","19.248,0","19.476,0","19.032,0","2,98K","-0,29%"
"14.08.2023","19.264,0","19.318,0","19.876,0","19.124,0","7,17K","-0,28%"
"11.08.2023","19.318,0","19.520,0","19.598,0","19.184,0","1,18K","-1,03%"
"10.08.2023","19.520,0","19.212,0","19.598,0","19.212,0","1,79K","1,51%"
"09.08.2023","19.230,0","19.180,0","19.396,0","19.180,0","0,73K","-0,07%"
"08.08.2023","19.244,0","19.418,0","19.490,0","18.952,0","1,71K","-0,06%"
