"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","851,50","840,00","855,00","840,00","134,67K","1,25%"
"28.12.2023","841,00","834,50","847,50","810,00","204,82K","0,96%"
"27.12.2023","833,00","850,00","851,00","830,00","111,76K","-1,30%"
"26.12.2023","844,00","857,00","862,00","841,00","100,58K","-1,46%"
"25.12.2023","856,50","848,50","869,50","848,50","117,90K","1,18%"
"22.12.2023","846,50","855,00","875,00","835,00","231,56K","-0,47%"
"21.12.2023","850,50","869,00","871,50","840,50","124,29K","-1,56%"
"20.12.2023","864,00","856,50","878,00","852,50","104,31K","1,35%"
"19.12.2023","852,50","852,00","880,00","838,50","234,84K","-0,06%"
"18.12.2023","853,00","794,00","853,50","789,50","495,13K","8,66%"
"15.12.2023","785,00","763,00","788,00","755,00","147,08K","2,82%"
"14.12.2023","763,50","778,50","791,00","763,00","147,28K","-1,86%"
"13.12.2023","778,00","777,50","788,00","767,00","109,41K","-0,13%"
"12.12.2023","779,00","789,00","791,50","760,00","235,67K","-1,20%"
"11.12.2023","788,50","811,50","812,50","767,50","373,92K","-2,95%"
"08.12.2023","812,50","805,50","822,00","805,00","234,16K","-1,87%"
"07.12.2023","828,00","844,00","844,00","810,00","180,95K","-2,30%"
"06.12.2023","847,50","843,50","875,00","843,50","270,02K","0,47%"
"05.12.2023","843,50","826,00","849,00","811,00","181,92K","1,20%"
"04.12.2023","833,50","873,00","873,50","825,50","347,38K","-4,63%"
"01.12.2023","874,00","885,00","897,50","870,00","269,50K","-1,58%"
"30.11.2023","888,00","902,00","909,00","857,00","855,33K","-1,50%"
"29.11.2023","901,50","903,00","920,00","901,50","477,98K","-4,10%"
"28.11.2023","940,00","955,00","955,50","936,50","188,89K","-1,16%"
"27.11.2023","951,00","945,00","954,00","935,00","122,51K","0,79%"
"24.11.2023","943,50","950,00","956,50","939,50","81,17K","-0,26%"
"23.11.2023","946,00","954,00","963,00","924,00","481,96K","-2,32%"
"22.11.2023","968,50","960,00","977,00","958,50","146,99K","0,99%"
"21.11.2023","959,00","948,00","959,00","937,00","94,25K","1,27%"
"20.11.2023","947,00","953,00","969,00","945,00","95,23K","-0,63%"
"17.11.2023","953,00","947,00","953,00","918,50","187,21K","0,47%"
"16.11.2023","948,50","966,00","974,00","944,00","109,88K","-1,61%"
"15.11.2023","964,00","955,50","969,00","941,00","98,39K","0,84%"
"14.11.2023","956,00","990,00","990,00","902,50","242,44K","-3,24%"
"13.11.2023","988,00","1.002,00","1.009,00","955,00","223,79K","-1,20%"
"10.11.2023","1.000,00","997,00","1.008,00","996,50","126,32K","0,60%"
"09.11.2023","994,00","1.011,00","1.015,00","991,00","67,54K","-1,29%"
"08.11.2023","1.007,00","994,00","1.015,00","992,50","217,36K","1,31%"
"07.11.2023","994,00","992,00","1.004,50","990,00","122,75K","0,35%"
"06.11.2023","990,50","972,00","1.000,00","972,00","129,53K","1,43%"
"03.11.2023","976,50","986,50","989,50","966,50","68,26K","-0,96%"
"02.11.2023","986,00","990,00","998,00","981,00","56,24K","0,00%"
"01.11.2023","986,00","978,00","995,00","971,00","59,95K","0,77%"
"31.10.2023","978,50","995,00","1.003,00","966,00","98,25K","-1,56%"
"30.10.2023","994,00","987,00","1.004,00","976,50","159,97K","2,37%"
"27.10.2023","971,00","984,00","992,50","957,00","127,90K","-1,32%"
"26.10.2023","984,00","1.006,00","1.012,00","980,00","118,82K","-1,99%"
"25.10.2023","1.004,00","1.004,50","1.019,00","992,50","116,55K","0,00%"
"24.10.2023","1.004,00","972,00","1.010,00","972,00","171,37K","3,35%"
"23.10.2023","971,50","966,00","987,00","950,00","128,01K","0,57%"
"20.10.2023","966,00","1.003,50","1.008,00","962,50","314,77K","-3,74%"
"19.10.2023","1.003,50","1.006,00","1.020,50","996,50","222,39K","-0,20%"
"18.10.2023","1.005,50","1.002,00","1.012,50","997,50","166,66K","0,30%"
"17.10.2023","1.002,50","1.019,50","1.019,50","997,00","130,53K","-0,79%"
"16.10.2023","1.010,50","1.038,00","1.047,00","1.003,00","321,13K","-1,17%"
"13.10.2023","1.022,50","1.010,00","1.053,50","1.004,50","1,05M","2,66%"
"12.10.2023","996,00","966,00","1.029,00","954,50","415,60K","1,74%"
"11.10.2023","979,00","957,50","986,50","957,50","209,70K","2,30%"
"10.10.2023","957,00","954,00","965,00","950,00","66,13K","0,31%"
"09.10.2023","954,00","952,00","964,00","950,00","48,53K","0,42%"
"06.10.2023","950,00","959,00","962,50","944,50","58,06K","-0,84%"
"05.10.2023","958,00","955,00","970,00","950,50","76,90K","0,31%"
"04.10.2023","955,00","962,00","970,00","950,50","49,77K","-0,78%"
"03.10.2023","962,50","965,00","970,00","935,50","129,94K","-0,31%"
"02.10.2023","965,50","948,50","988,00","948,50","194,60K","1,79%"
"29.09.2023","948,50","956,50","969,50","941,50","136,15K","-0,32%"
"28.09.2023","951,50","970,00","976,00","950,00","204,11K","-1,70%"
"27.09.2023","968,00","903,50","971,50","903,50","479,79K","7,20%"
"26.09.2023","903,00","885,00","912,50","882,00","182,62K","2,03%"
"25.09.2023","885,00","893,00","908,00","874,50","86,55K","-0,90%"
"22.09.2023","893,00","891,50","908,00","856,00","597,85K","-3,35%"
"21.09.2023","924,00","945,00","945,00","911,00","188,77K","-2,84%"
"20.09.2023","951,00","957,00","963,00","901,00","354,87K","-0,63%"
"19.09.2023","957,00","981,00","987,00","941,00","174,65K","-2,99%"
