"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","11,00","11,21","11,35","10,60","777,40K","-0,90%"
"28.12.2023","11,10","11,25","11,36","11,01","542,70K","-0,36%"
"27.12.2023","11,14","11,30","11,58","11,05","619,30K","-0,71%"
"26.12.2023","11,22","11,44","11,46","11,15","517,60K","-2,09%"
"25.12.2023","11,46","11,91","11,98","11,41","1,07M","-3,13%"
"22.12.2023","11,83","11,60","12,36","11,58","2,16M","2,42%"
"21.12.2023","11,55","11,95","11,95","11,40","1,32M","-3,35%"
"20.12.2023","11,95","12,10","12,20","11,88","545,50K","-0,42%"
"19.12.2023","12,00","11,98","12,40","11,84","717,30K","0,50%"
"18.12.2023","11,94","12,00","12,28","11,54","1,07M","1,53%"
"15.12.2023","11,76","11,00","12,10","11,00","1,31M","1,73%"
"14.12.2023","11,56","11,60","12,69","11,51","1,91M","-1,37%"
"13.12.2023","11,72","13,16","13,17","11,64","3,23M","-11,08%"
"12.12.2023","13,18","13,80","14,60","12,10","4,27M","-3,51%"
"11.12.2023","13,66","11,52","13,97","11,06","8,09M","17,56%"
"08.12.2023","11,62","10,27","12,35","10,26","5,68M","13,92%"
"07.12.2023","10,20","10,79","10,79","9,74","1,19M","-2,86%"
"06.12.2023","10,50","11,19","11,19","10,22","841,80K","-4,55%"
"05.12.2023","11,00","11,28","11,71","10,18","2,49M","-0,90%"
"04.12.2023","11,10","12,90","13,10","11,10","1,38M","-13,55%"
"01.12.2023","12,84","11,60","13,91","11,60","2,47M","0,00%"
"30.11.2023","12,84","13,52","13,77","12,70","1,24M","-6,21%"
"29.11.2023","13,69","13,78","14,50","13,26","1,14M","-0,07%"
"28.11.2023","13,70","14,62","14,62","13,20","1,74M","-4,06%"
"27.11.2023","14,28","14,93","15,50","13,74","1,05M","-5,68%"
"24.11.2023","15,14","14,75","15,78","14,50","1,25M","3,56%"
"23.11.2023","14,62","15,00","15,68","14,55","1,28M","-7,47%"
"22.11.2023","15,80","15,85","16,56","15,00","1,61M","-0,32%"
"21.11.2023","15,85","16,37","16,67","15,01","5,49M","3,80%"
"20.11.2023","15,27","13,91","15,27","13,26","3,54M","9,78%"
"17.11.2023","13,91","14,80","14,84","13,65","1,34M","-6,01%"
"16.11.2023","14,80","14,54","14,98","13,56","2,37M","2,78%"
"15.11.2023","14,40","13,93","15,64","12,64","7,31M","1,19%"
"14.11.2023","14,23","19,47","20,30","14,23","9,53M","-26,99%"
"13.11.2023","19,49","16,61","19,54","15,65","17,80M","21,81%"
"10.11.2023","16,00","14,64","16,88","13,85","6,14M","12,36%"
"09.11.2023","14,24","14,50","15,12","13,51","2,86M","-3,98%"
"08.11.2023","14,83","13,80","14,97","13,55","3,68M","7,31%"
"07.11.2023","13,82","12,58","13,82","12,40","4,09M","9,86%"
"06.11.2023","12,58","11,60","12,58","11,01","2,48M","9,87%"
"03.11.2023","11,45","12,26","12,43","11,28","960,50K","-6,53%"
"02.11.2023","12,25","14,19","14,59","12,20","5,72M","-7,76%"
"01.11.2023","13,28","10,81","13,28","10,81","3,52M","21,83%"
"31.10.2023","10,90","11,40","11,40","10,76","104,00K","-3,20%"
"30.10.2023","11,26","11,48","11,64","11,23","157,20K","-0,53%"
"27.10.2023","11,32","11,22","11,45","10,71","221,90K","0,89%"
"26.10.2023","11,22","11,50","11,50","11,09","124,70K","-1,75%"
