"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","998,00","1.012,00","1.012,00","982,00","6,97K","-0,60%"
"28.12.2023","1.004,00","1.020,00","1.044,00","994,00","15,62K","0,60%"
"27.12.2023","998,00","988,00","1.000,00","972,00","11,81K","1,42%"
"26.12.2023","984,00","986,00","998,00","978,00","4,48K","0,00%"
"25.12.2023","984,00","984,00","1.000,00","978,00","3,63K","0,20%"
"22.12.2023","982,00","982,00","992,00","976,00","3,42K","-0,81%"
"21.12.2023","990,00","992,00","1.016,00","958,00","7,32K","-0,20%"
"20.12.2023","992,00","962,00","1.018,00","954,00","9,03K","3,33%"
"19.12.2023","960,00","968,00","968,00","944,00","4,66K","-0,21%"
"18.12.2023","962,00","942,00","970,00","930,00","14,25K","2,12%"
"15.12.2023","942,00","926,00","944,00","914,00","12,50K","1,95%"
"14.12.2023","924,00","928,00","934,00","920,00","5,27K","-0,22%"
"13.12.2023","926,00","924,00","934,00","908,00","9,27K","0,22%"
"12.12.2023","924,00","936,00","942,00","906,00","12,62K","-1,28%"
"11.12.2023","936,00","950,00","952,00","930,00","5,32K","-1,06%"
"08.12.2023","946,00","954,00","954,00","932,00","3,71K","0,00%"
"07.12.2023","946,00","934,00","960,00","906,00","11,30K","0,21%"
"06.12.2023","944,00","976,00","980,00","930,00","10,12K","-3,28%"
"05.12.2023","976,00","982,00","990,00","930,00","16,82K","-1,21%"
"04.12.2023","988,00","1.018,00","1.022,00","982,00","16,50K","-3,14%"
"01.12.2023","1.020,00","1.026,00","1.030,00","1.020,00","4,25K","-0,58%"
"30.11.2023","1.026,00","1.046,00","1.056,00","1.020,00","6,91K","-1,91%"
"29.11.2023","1.046,00","1.048,00","1.068,00","1.034,00","9,03K","-0,19%"
"28.11.2023","1.048,00","1.022,00","1.052,00","1.010,00","13,46K","2,75%"
"27.11.2023","1.020,00","1.044,00","1.044,00","990,00","21,62K","-2,30%"
"24.11.2023","1.044,00","1.056,00","1.056,00","1.036,00","9,69K","-0,76%"
"23.11.2023","1.052,00","1.070,00","1.090,00","1.042,00","68,07K","-8,84%"
"22.11.2023","1.154,00","1.168,00","1.168,00","1.102,00","58,05K","-1,20%"
"21.11.2023","1.168,00","1.172,00","1.178,00","1.160,00","40,29K","-0,34%"
"20.11.2023","1.172,00","1.170,00","1.180,00","1.164,00","32,47K","0,69%"
"17.11.2023","1.164,00","1.160,00","1.180,00","1.158,00","13,50K","0,17%"
"16.11.2023","1.162,00","1.160,00","1.170,00","1.154,00","12,26K","0,17%"
"15.11.2023","1.160,00","1.154,00","1.164,00","1.152,00","9,11K","0,17%"
"14.11.2023","1.158,00","1.164,00","1.166,00","1.118,00","24,48K","-0,34%"
"13.11.2023","1.162,00","1.092,00","1.174,00","1.092,00","23,12K","-1,19%"
"10.11.2023","1.176,00","1.174,00","1.186,00","1.172,00","14,63K","0,00%"
"09.11.2023","1.176,00","1.176,00","1.186,00","1.172,00","9,07K","0,00%"
"08.11.2023","1.176,00","1.170,00","1.178,00","1.166,00","10,46K","0,51%"
"07.11.2023","1.170,00","1.156,00","1.178,00","1.152,00","8,77K","1,21%"
"06.11.2023","1.156,00","1.154,00","1.158,00","1.148,00","5,93K","0,17%"
"03.11.2023","1.154,00","1.160,00","1.162,00","1.148,00","7,19K","-0,52%"
"02.11.2023","1.160,00","1.156,00","1.164,00","1.150,00","8,24K","0,17%"
"01.11.2023","1.158,00","1.154,00","1.160,00","1.150,00","9,13K","0,70%"
"31.10.2023","1.150,00","1.142,00","1.154,00","1.140,00","10,09K","0,70%"
"30.10.2023","1.142,00","1.152,00","1.160,00","1.140,00","11,29K","-0,70%"
"27.10.2023","1.150,00","1.152,00","1.156,00","1.142,00","10,70K","-0,17%"
"26.10.2023","1.152,00","1.162,00","1.162,00","1.136,00","13,73K","-0,35%"
"25.10.2023","1.156,00","1.172,00","1.192,00","1.150,00","25,28K","-1,37%"
"24.10.2023","1.172,00","1.156,00","1.176,00","1.150,00","9,68K","0,86%"
"23.10.2023","1.162,00","1.152,00","1.166,00","1.148,00","9,81K","0,87%"
"20.10.2023","1.152,00","1.168,00","1.174,00","1.148,00","13,94K","-1,03%"
"19.10.2023","1.164,00","1.170,00","1.174,00","1.156,00","11,09K","-0,85%"
"18.10.2023","1.174,00","1.182,00","1.186,00","1.166,00","15,45K","-0,51%"
"17.10.2023","1.180,00","1.178,00","1.196,00","1.172,00","29,81K","0,68%"
"16.10.2023","1.172,00","1.154,00","1.176,00","1.150,00","14,25K","1,91%"
"13.10.2023","1.150,00","1.150,00","1.152,00","1.140,00","7,28K","0,00%"
"12.10.2023","1.150,00","1.158,00","1.158,00","1.140,00","10,26K","-0,69%"
"11.10.2023","1.158,00","1.178,00","1.178,00","1.142,00","18,75K","-0,86%"
"10.10.2023","1.168,00","1.162,00","1.186,00","1.152,00","53,07K","0,86%"
"09.10.2023","1.158,00","1.120,00","1.160,00","1.104,00","56,59K","5,66%"
"06.10.2023","1.096,00","1.056,00","1.106,00","1.044,00","38,52K","4,38%"
"05.10.2023","1.050,00","1.032,00","1.078,00","1.016,00","22,62K","1,94%"
"04.10.2023","1.030,00","1.046,00","1.046,00","1.030,00","4,45K","-0,77%"
"03.10.2023","1.038,00","1.066,00","1.066,00","1.020,00","14,50K","-1,33%"
"02.10.2023","1.052,00","1.054,00","1.066,00","1.050,00","8,30K","-0,19%"
"29.09.2023","1.054,00","1.062,00","1.070,00","1.034,00","10,50K","-0,57%"
"28.09.2023","1.060,00","1.058,00","1.072,00","1.054,00","7,85K","0,38%"
"27.09.2023","1.056,00","1.050,00","1.064,00","1.040,00","9,99K","0,57%"
"26.09.2023","1.050,00","1.070,00","1.072,00","1.042,00","17,01K","-2,05%"
"25.09.2023","1.072,00","1.100,00","1.120,00","1.052,00","70,61K","-7,27%"
"22.09.2023","1.156,00","1.156,00","1.178,00","1.152,00","40,56K","-0,52%"
"21.09.2023","1.162,00","1.192,00","1.198,00","1.158,00","18,34K","-2,52%"
"20.09.2023","1.192,00","1.200,00","1.206,00","1.152,00","25,13K","-0,50%"
"19.09.2023","1.198,00","1.224,00","1.226,00","1.152,00","37,19K","-1,64%"
"18.09.2023","1.218,00","1.220,00","1.236,00","1.204,00","65,06K","0,83%"
"15.09.2023","1.208,00","1.176,00","1.210,00","1.146,00","19,35K","2,72%"
"14.09.2023","1.176,00","1.206,00","1.238,00","1.062,00","61,56K","-2,00%"
"13.09.2023","1.200,00","1.212,00","1.226,00","1.196,00","27,84K","-0,17%"
"12.09.2023","1.202,00","1.196,00","1.212,00","1.186,00","10,81K","1,01%"
"11.09.2023","1.190,00","1.202,00","1.202,00","1.180,00","13,82K","0,00%"
"08.09.2023","1.190,00","1.210,00","1.210,00","1.178,00","20,95K","-0,67%"
"07.09.2023","1.198,00","1.218,00","1.252,00","1.166,00","117,17K","-1,16%"
"06.09.2023","1.212,00","1.226,00","1.228,00","1.200,00","24,44K","-0,49%"
"05.09.2023","1.218,00","1.220,00","1.226,00","1.200,00","36,82K","0,16%"
"04.09.2023","1.216,00","1.222,00","1.228,00","1.204,00","37,20K","0,33%"
"01.09.2023","1.212,00","1.226,00","1.280,00","1.200,00","88,04K","-0,49%"
"31.08.2023","1.218,00","1.196,00","1.220,00","1.188,00","26,64K","2,01%"
"30.08.2023","1.194,00","1.200,00","1.200,00","1.178,00","20,45K","-0,33%"
"29.08.2023","1.198,00","1.200,00","1.208,00","1.184,00","17,55K","0,17%"
"28.08.2023","1.196,00","1.194,00","1.210,00","1.186,00","17,93K","1,01%"
"25.08.2023","1.184,00","1.182,00","1.210,00","1.170,00","19,32K","0,34%"
"24.08.2023","1.180,00","1.182,00","1.186,00","1.160,00","9,61K","-0,17%"
"23.08.2023","1.182,00","1.206,00","1.206,00","1.158,00","19,82K","-1,83%"
"22.08.2023","1.204,00","1.218,00","1.260,00","1.194,00","71,70K","-0,33%"
"21.08.2023","1.208,00","1.188,00","1.216,00","1.180,00","30,86K","2,03%"
"18.08.2023","1.184,00","1.198,00","1.200,00","1.176,00","7,16K","-0,50%"
"17.08.2023","1.190,00","1.170,00","1.194,00","1.158,00","12,97K","1,88%"
"16.08.2023","1.168,00","1.194,00","1.198,00","1.152,00","17,10K","-1,68%"
"15.08.2023","1.188,00","1.152,00","1.196,00","1.150,00","24,80K","1,71%"
"14.08.2023","1.168,00","1.206,00","1.228,00","1.152,00","62,03K","-2,67%"
"11.08.2023","1.200,00","1.220,00","1.228,00","1.180,00","63,71K","0,17%"
"10.08.2023","1.198,00","1.160,00","1.200,00","1.148,00","41,74K","5,09%"
"09.08.2023","1.140,00","1.120,00","1.168,00","1.110,00","21,45K","1,79%"
"08.08.2023","1.120,00","1.132,00","1.144,00","1.096,00","10,38K","-0,88%"
"07.08.2023","1.130,00","1.140,00","1.150,00","1.106,00","6,18K","-0,18%"
"04.08.2023","1.132,00","1.152,00","1.158,00","1.060,00","23,29K","-1,74%"
"03.08.2023","1.152,00","1.158,00","1.166,00","1.148,00","24,43K","-0,35%"
"02.08.2023","1.156,00","1.158,00","1.160,00","1.148,00","6,21K","0,00%"
"01.08.2023","1.156,00","1.156,00","1.174,00","1.150,00","13,42K","0,09%"
"31.07.2023","1.155,00","1.155,00","1.160,00","1.145,00","5,50K","0,87%"
"28.07.2023","1.145,00","1.165,00","1.180,00","1.145,00","16,76K","-1,72%"
"27.07.2023","1.165,00","1.170,00","1.180,00","1.145,00","20,04K","0,00%"
"26.07.2023","1.165,00","1.165,00","1.185,00","1.150,00","4,04K","0,87%"
"25.07.2023","1.155,00","1.145,00","1.195,00","1.145,00","11,03K","0,43%"
"24.07.2023","1.150,00","1.165,00","1.170,00","1.130,00","10,45K","-0,86%"
"21.07.2023","1.160,00","1.155,00","1.165,00","1.145,00","2,71K","0,43%"
"20.07.2023","1.155,00","1.190,00","1.215,00","1.130,00","9,61K","-2,53%"
"19.07.2023","1.185,00","1.150,00","1.200,00","1.150,00","10,59K","2,60%"
"18.07.2023","1.155,00","1.170,00","1.170,00","1.150,00","3,56K","-0,43%"
"17.07.2023","1.160,00","1.155,00","1.180,00","1.150,00","4,00K","0,00%"
"14.07.2023","1.160,00","1.150,00","1.175,00","1.140,00","5,74K","1,31%"
"13.07.2023","1.145,00","1.150,00","1.150,00","1.130,00","1,49K","-0,43%"
"12.07.2023","1.150,00","1.150,00","1.155,00","1.140,00","3,99K","0,44%"
"11.07.2023","1.145,00","1.160,00","1.160,00","1.145,00","2,63K","-1,29%"
"10.07.2023","1.160,00","1.180,00","1.205,00","1.145,00","3,57K","-0,85%"
"07.07.2023","1.170,00","1.135,00","1.215,00","1.130,00","10,19K","3,08%"
"06.07.2023","1.135,00","1.130,00","1.140,00","1.125,00","2,80K","0,44%"
"05.07.2023","1.130,00","1.145,00","1.145,00","1.120,00","3,89K","-0,88%"
"04.07.2023","1.140,00","1.135,00","1.160,00","1.130,00","5,51K","0,88%"
"03.07.2023","1.130,00","1.125,00","1.135,00","1.110,00","2,17K","0,44%"
"30.06.2023","1.125,00","1.125,00","1.125,00","1.115,00","1,09K","0,00%"
"29.06.2023","1.125,00","1.125,00","1.130,00","1.115,00","2,35K","0,00%"
"28.06.2023","1.125,00","1.135,00","1.135,00","1.110,00","3,49K","-0,88%"
"27.06.2023","1.135,00","1.130,00","1.135,00","1.120,00","2,37K","0,00%"
"26.06.2023","1.135,00","1.115,00","1.135,00","1.105,00","2,54K","-0,87%"
"23.06.2023","1.145,00","1.155,00","1.155,00","1.130,00","2,58K","-0,43%"
"22.06.2023","1.150,00","1.155,00","1.155,00","1.110,00","5,26K","-0,43%"
"21.06.2023","1.155,00","1.145,00","1.165,00","1.145,00","2,61K","0,43%"
"20.06.2023","1.150,00","1.155,00","1.160,00","1.140,00","3,65K","0,44%"
"19.06.2023","1.145,00","1.140,00","1.240,00","1.125,00","9,61K","0,00%"
"16.06.2023","1.145,00","1.220,00","1.220,00","1.125,00","8,58K","-2,14%"
"15.06.2023","1.170,00","1.165,00","1.180,00","1.120,00","7,70K","1,30%"
"14.06.2023","1.155,00","1.220,00","1.255,00","1.135,00","15,65K","-4,55%"
"13.06.2023","1.210,00","1.230,00","1.270,00","1.185,00","26,07K","0,83%"
