"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","2.173,0","2.208,0","2.213,0","2.173,0","24,62K","-1,76%"
"28.12.2023","2.212,0","2.265,0","2.275,0","2.189,0","42,56K","-2,34%"
"27.12.2023","2.265,0","2.327,0","2.327,0","2.254,5","42,19K","-1,52%"
"26.12.2023","2.300,0","2.300,0","2.313,0","2.272,5","24,11K","0,46%"
"25.12.2023","2.289,5","2.227,0","2.304,0","2.227,0","62,65K","2,83%"
"22.12.2023","2.226,5","2.239,0","2.250,0","2.225,0","19,50K","-0,25%"
"21.12.2023","2.232,0","2.255,0","2.256,0","2.212,0","64,75K","-1,02%"
"20.12.2023","2.255,0","2.165,5","2.261,0","2.157,0","111,19K","4,57%"
"19.12.2023","2.156,5","2.207,0","2.207,0","2.144,0","38,69K","-1,30%"
"18.12.2023","2.185,0","2.150,0","2.198,0","2.148,5","45,33K","2,15%"
"15.12.2023","2.139,0","2.063,5","2.153,5","2.046,0","66,93K","3,28%"
"14.12.2023","2.071,0","2.080,0","2.114,0","2.052,5","39,95K","-0,43%"
"13.12.2023","2.080,0","2.057,5","2.094,0","2.028,0","54,19K","0,73%"
"12.12.2023","2.065,0","2.111,0","2.126,5","2.023,0","137,70K","-1,71%"
"11.12.2023","2.101,0","2.190,0","2.209,0","2.085,0","70,11K","-3,42%"
"08.12.2023","2.175,5","2.175,0","2.229,5","2.171,5","56,97K","-0,21%"
"07.12.2023","2.180,0","2.175,0","2.199,0","2.120,5","85,54K","0,05%"
"06.12.2023","2.179,0","2.247,0","2.275,5","2.160,0","92,36K","-2,98%"
"05.12.2023","2.246,0","2.174,0","2.249,0","2.101,0","173,82K","3,03%"
"04.12.2023","2.180,0","2.310,5","2.310,5","2.176,0","187,11K","-5,65%"
"01.12.2023","2.310,5","2.432,0","2.432,0","2.310,5","134,04K","-5,09%"
"30.11.2023","2.434,5","2.483,5","2.492,5","2.377,5","286,24K","-0,98%"
"29.11.2023","2.458,5","2.437,0","2.470,0","2.385,0","226,22K","1,51%"
"28.11.2023","2.422,0","2.403,5","2.429,5","2.326,0","211,55K","0,90%"
"27.11.2023","2.400,5","2.350,0","2.436,0","2.324,5","347,16K","2,59%"
"24.11.2023","2.340,0","2.338,0","2.391,0","2.285,5","113,47K","0,82%"
"23.11.2023","2.321,0","2.369,5","2.429,0","2.304,5","273,88K","-0,62%"
"22.11.2023","2.335,5","2.340,0","2.450,0","2.322,0","336,57K","0,02%"
"21.11.2023","2.335,0","2.234,5","2.361,0","2.209,0","195,59K","4,99%"
"20.11.2023","2.224,0","2.190,0","2.239,5","2.176,0","71,07K","2,65%"
"17.11.2023","2.166,5","2.185,0","2.216,0","2.131,0","53,68K","-1,34%"
"16.11.2023","2.196,0","2.203,0","2.241,5","2.181,0","63,86K","-0,16%"
"15.11.2023","2.199,5","2.180,0","2.235,0","2.180,0","50,37K","0,80%"
"14.11.2023","2.182,0","2.242,0","2.284,0","2.140,0","152,22K","-2,72%"
"13.11.2023","2.243,0","2.289,5","2.300,0","2.230,0","173,01K","-1,75%"
"10.11.2023","2.283,0","2.121,0","2.283,0","2.106,0","375,43K","7,64%"
"09.11.2023","2.121,0","2.088,0","2.158,0","2.060,5","80,27K","1,27%"
"08.11.2023","2.094,5","2.091,5","2.108,5","2.062,0","23,16K","-0,45%"
"07.11.2023","2.104,0","2.101,5","2.127,0","2.085,0","56,36K","0,38%"
"06.11.2023","2.096,0","2.042,0","2.096,0","2.031,0","25,05K","3,40%"
"03.11.2023","2.027,0","2.052,0","2.061,0","2.013,5","21,97K","-0,73%"
"02.11.2023","2.042,0","2.049,0","2.096,5","2.039,5","39,68K","-0,34%"
"01.11.2023","2.049,0","2.026,5","2.049,5","2.005,5","21,30K","1,11%"
"31.10.2023","2.026,5","2.064,0","2.072,5","2.002,5","43,37K","-1,96%"
"30.10.2023","2.067,0","2.061,0","2.121,5","2.041,0","46,73K","0,29%"
"27.10.2023","2.061,0","2.080,0","2.123,5","2.007,0","97,34K","-1,43%"
"26.10.2023","2.091,0","2.050,0","2.135,0","2.050,0","212,15K","2,00%"
"25.10.2023","2.050,0","2.034,0","2.050,0","2.011,5","22,16K","0,96%"
"24.10.2023","2.030,5","2.013,0","2.034,5","1.995,0","30,30K","0,87%"
"23.10.2023","2.013,0","2.040,0","2.040,0","2.010,0","15,52K","-0,74%"
"20.10.2023","2.028,0","2.050,0","2.052,0","2.015,5","28,77K","-0,56%"
"19.10.2023","2.039,5","2.039,0","2.049,5","2.018,5","20,07K","0,05%"
"18.10.2023","2.038,5","2.045,0","2.054,0","2.018,0","44,17K","-0,07%"
"17.10.2023","2.040,0","2.054,5","2.063,5","2.028,0","32,84K","-0,34%"
"16.10.2023","2.047,0","2.030,0","2.067,0","2.025,5","75,38K","1,46%"
"13.10.2023","2.017,5","2.015,0","2.050,0","2.003,0","31,41K","0,12%"
"12.10.2023","2.015,0","1.962,0","2.021,5","1.930,0","92,70K","-0,15%"
"11.10.2023","2.018,0","2.049,5","2.067,0","2.015,5","50,57K","-1,34%"
"10.10.2023","2.045,5","2.045,5","2.062,5","2.034,5","33,56K","0,00%"
"09.10.2023","2.045,5","2.031,0","2.098,5","2.030,0","120,35K","2,28%"
"06.10.2023","2.000,0","1.975,0","2.021,0","1.969,5","92,99K","1,86%"
"05.10.2023","1.963,5","1.960,0","1.995,5","1.948,0","13,25K","0,03%"
"04.10.2023","1.963,0","1.926,5","1.987,5","1.926,5","33,22K","0,43%"
"03.10.2023","1.954,5","1.955,5","1.978,0","1.907,5","22,41K","-0,26%"
"02.10.2023","1.959,5","1.985,5","1.997,5","1.955,0","26,82K","-0,33%"
"29.09.2023","1.966,0","1.967,5","1.980,0","1.950,0","23,49K","0,59%"
"28.09.2023","1.954,5","1.947,0","1.968,5","1.940,5","14,89K","0,51%"
"27.09.2023","1.944,5","1.930,0","1.964,5","1.929,0","19,00K","1,07%"
"26.09.2023","1.924,0","1.916,0","1.943,0","1.901,5","8,81K","0,34%"
"25.09.2023","1.917,5","1.933,0","1.948,5","1.907,5","12,75K","0,00%"
"22.09.2023","1.917,5","1.895,0","1.917,5","1.865,0","19,24K","1,83%"
"21.09.2023","1.883,0","1.875,5","1.925,5","1.871,0","29,66K","-1,02%"
"20.09.2023","1.902,5","1.929,5","1.935,0","1.870,5","34,71K","-1,22%"
"19.09.2023","1.926,0","1.933,5","1.955,5","1.901,5","46,07K","0,08%"
"18.09.2023","1.924,5","1.961,0","1.975,5","1.894,5","36,60K","-1,51%"
"15.09.2023","1.954,0","1.908,0","1.975,0","1.891,0","35,26K","2,36%"
"14.09.2023","1.909,0","1.976,0","1.991,5","1.858,0","58,16K","-3,46%"
"13.09.2023","1.977,5","1.959,5","1.984,0","1.959,5","27,48K","1,41%"
"12.09.2023","1.950,0","1.933,0","1.967,5","1.933,0","25,17K","0,52%"
"11.09.2023","1.940,0","1.933,0","1.950,0","1.895,5","33,34K","0,36%"
"08.09.2023","1.933,0","1.971,0","1.979,0","1.906,0","36,92K","-1,07%"
"07.09.2023","1.954,0","2.051,5","2.068,0","1.920,0","116,83K","-4,57%"
