"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","5.347,00","5.331,00","5.379,00","5.311,00","29,38K","0,26%"
"28.12.2023","5.333,00","5.330,00","5.378,00","5.300,00","37,84K","0,00%"
"27.12.2023","5.333,00","5.297,00","5.368,00","5.247,00","96,96K","-0,58%"
"26.12.2023","5.364,00","5.386,00","5.444,00","5.341,00","104,23K","-0,39%"
"25.12.2023","5.385,00","5.412,00","5.459,00","5.324,00","61,98K","0,02%"
"22.12.2023","5.384,00","5.299,00","5.401,00","5.278,00","47,65K","2,01%"
"21.12.2023","5.278,00","5.330,00","5.348,00","5.260,00","33,51K","-1,22%"
"20.12.2023","5.343,00","5.370,00","5.399,00","5.302,00","44,40K","-0,24%"
"19.12.2023","5.356,00","5.435,00","5.473,00","5.225,00","127,41K","-1,16%"
"18.12.2023","5.419,00","5.204,00","5.422,00","5.182,00","168,36K","4,76%"
"15.12.2023","5.173,00","4.863,00","5.176,00","4.775,00","139,10K","6,33%"
"14.12.2023","4.865,00","4.901,00","4.980,00","4.771,00","55,99K","-0,63%"
"13.12.2023","4.896,00","4.899,00","5.004,00","4.858,00","63,04K","-0,33%"
"12.12.2023","4.912,00","4.796,00","5.003,00","4.773,00","110,73K","2,40%"
"11.12.2023","4.797,00","4.998,00","4.998,00","4.762,00","79,30K","-3,66%"
"08.12.2023","4.979,00","4.935,00","5.100,00","4.915,00","88,56K","1,36%"
"07.12.2023","4.912,00","4.820,00","4.933,00","4.725,00","140,38K","2,29%"
"06.12.2023","4.802,00","4.966,00","5.040,00","4.780,00","114,72K","-3,69%"
"05.12.2023","4.986,00","5.070,00","5.113,00","4.852,00","237,44K","-1,58%"
"04.12.2023","5.066,00","5.170,00","5.170,00","5.025,00","125,68K","-2,05%"
"01.12.2023","5.172,00","5.350,00","5.353,00","5.125,00","105,83K","-3,40%"
"30.11.2023","5.354,00","5.430,00","5.471,00","5.330,00","47,37K","-0,96%"
"29.11.2023","5.406,00","5.327,00","5.523,00","5.327,00","68,68K","1,48%"
"28.11.2023","5.327,00","5.415,00","5.433,00","5.264,00","85,57K","-1,57%"
"27.11.2023","5.412,00","5.525,00","5.542,00","5.371,00","73,67K","-2,05%"
"24.11.2023","5.525,00","5.540,00","5.580,00","5.510,00","34,25K","-0,45%"
"23.11.2023","5.550,00","5.588,00","5.588,00","5.520,00","47,48K","-0,59%"
"22.11.2023","5.583,00","5.603,00","5.617,00","5.555,00","35,16K","-0,04%"
"21.11.2023","5.585,00","5.631,00","5.631,00","5.582,00","22,37K","-0,27%"
"20.11.2023","5.600,00","5.565,00","5.635,00","5.559,00","35,92K","0,74%"
"17.11.2023","5.559,00","5.554,00","5.595,00","5.530,00","29,32K","0,20%"
"16.11.2023","5.548,00","5.596,00","5.616,00","5.520,00","43,34K","-0,82%"
"15.11.2023","5.594,00","5.597,00","5.635,00","5.557,00","49,04K","-0,07%"
"14.11.2023","5.598,00","5.674,00","5.695,00","5.577,00","73,00K","-1,13%"
"13.11.2023","5.662,00","5.715,00","5.795,00","5.655,00","119,36K","-0,47%"
"10.11.2023","5.689,00","5.650,00","5.807,00","5.636,00","136,94K","0,55%"
"09.11.2023","5.658,00","5.730,00","5.730,00","5.636,00","26,58K","-1,17%"
"08.11.2023","5.725,00","5.698,00","5.739,00","5.673,00","47,91K","0,72%"
"07.11.2023","5.684,00","5.588,00","5.697,00","5.587,00","48,41K","1,79%"
"06.11.2023","5.584,00","5.565,00","5.589,00","5.557,00","12,64K","0,49%"
"03.11.2023","5.557,00","5.570,00","5.597,00","5.545,00","20,14K","-0,25%"
"02.11.2023","5.571,00","5.616,00","5.628,00","5.570,00","27,48K","-0,77%"
"01.11.2023","5.614,00","5.600,00","5.634,00","5.591,00","22,51K","0,09%"
"31.10.2023","5.609,00","5.654,00","5.700,00","5.574,00","44,40K","-0,80%"
"30.10.2023","5.654,00","5.600,00","5.700,00","5.545,00","47,37K","1,05%"
"27.10.2023","5.595,00","5.634,00","5.645,00","5.484,00","66,51K","-0,69%"
"26.10.2023","5.634,00","5.696,00","5.710,00","5.611,00","55,22K","-1,00%"
"25.10.2023","5.691,00","5.700,00","5.725,00","5.680,00","30,26K","-0,39%"
"24.10.2023","5.713,00","5.775,00","5.775,00","5.709,00","53,46K","-0,73%"
"23.10.2023","5.755,00","5.670,00","5.797,00","5.643,00","109,24K","1,28%"
"20.10.2023","5.682,00","5.699,00","5.711,00","5.605,00","51,41K","-0,32%"
"19.10.2023","5.700,00","5.770,00","5.770,00","5.690,00","55,00K","-0,92%"
"18.10.2023","5.753,00","5.780,00","5.800,00","5.732,00","54,71K","-0,47%"
"17.10.2023","5.780,00","5.758,00","5.800,00","5.742,00","74,17K","0,36%"
"16.10.2023","5.759,00","5.700,00","5.769,00","5.660,00","131,82K","1,32%"
"13.10.2023","5.684,00","5.563,00","5.711,00","5.553,00","149,82K","2,18%"
"12.10.2023","5.563,00","5.500,00","5.589,00","5.367,00","62,35K","0,85%"
"11.10.2023","5.516,00","5.620,00","5.644,00","5.509,00","59,54K","-1,66%"
"10.10.2023","5.609,00","5.535,00","5.638,00","5.520,00","81,17K","1,45%"
"09.10.2023","5.529,00","5.540,00","5.559,00","5.513,00","41,01K","-0,20%"
"06.10.2023","5.540,00","5.553,00","5.562,00","5.510,00","41,92K","-0,14%"
"05.10.2023","5.548,00","5.520,00","5.560,00","5.480,00","48,03K","0,53%"
"04.10.2023","5.519,00","5.567,00","5.583,00","5.500,00","46,28K","-0,88%"
"03.10.2023","5.568,00","5.587,00","5.593,00","5.524,00","57,83K","-0,38%"
"02.10.2023","5.589,00","5.526,00","5.628,00","5.472,00","157,58K","1,12%"
"29.09.2023","5.527,00","5.630,00","5.649,00","5.515,00","450,41K","-7,08%"
"28.09.2023","5.948,00","5.946,00","5.977,00","5.910,00","268,87K","0,02%"
"27.09.2023","5.947,00","5.900,00","5.960,00","5.878,00","174,93K","1,12%"
"26.09.2023","5.881,00","5.917,00","5.925,00","5.822,00","158,89K","-0,49%"
"25.09.2023","5.910,00","5.845,00","5.930,00","5.825,00","126,16K","1,65%"
"22.09.2023","5.814,00","5.720,00","5.830,00","5.650,00","115,14K","1,66%"
"21.09.2023","5.719,00","5.872,00","5.875,00","5.711,00","126,62K","-2,61%"
"20.09.2023","5.872,00","5.859,00","5.926,00","5.710,00","148,02K","0,43%"
"19.09.2023","5.847,00","6.010,00","6.055,00","5.818,00","259,02K","-2,57%"
"18.09.2023","6.001,00","5.908,00","6.066,00","5.900,00","204,65K","2,16%"
"15.09.2023","5.874,00","5.760,00","5.890,00","5.740,00","84,96K","1,84%"
"14.09.2023","5.768,00","5.853,00","5.859,00","5.606,00","114,14K","-1,42%"
"13.09.2023","5.851,00","5.879,00","5.920,00","5.820,00","73,01K","-0,59%"
"12.09.2023","5.886,00","5.741,00","5.900,00","5.724,00","99,87K","3,03%"
"11.09.2023","5.713,00","5.739,00","5.810,00","5.680,00","90,37K","-1,48%"
"08.09.2023","5.799,00","5.801,00","5.869,00","5.650,00","132,98K","-0,60%"
"07.09.2023","5.834,00","5.961,00","5.975,00","5.670,00","250,74K","-2,11%"
"06.09.2023","5.960,00","6.019,00","6.020,00","5.942,00","75,10K","-0,65%"
"05.09.2023","5.999,00","5.999,00","6.043,00","5.872,00","144,84K","0,12%"
"04.09.2023","5.992,00","5.950,00","6.012,00","5.945,00","149,42K","0,93%"
"01.09.2023","5.937,00","5.959,00","5.975,00","5.850,00","116,62K","-0,12%"
"31.08.2023","5.944,00","5.857,00","5.946,00","5.850,00","218,56K","1,85%"
"30.08.2023","5.836,00","5.785,00","5.849,00","5.750,00","173,63K","1,11%"
"29.08.2023","5.772,00","5.774,00","5.830,00","5.713,00","163,98K","0,10%"
"28.08.2023","5.766,00","5.648,00","5.777,00","5.645,00","156,15K","2,14%"
"25.08.2023","5.645,00","5.643,00","5.659,00","5.598,00","60,86K","0,04%"
"24.08.2023","5.643,00","5.629,00","5.670,00","5.425,00","93,44K","0,89%"
"23.08.2023","5.593,00","5.737,00","5.748,00","5.550,00","153,90K","-2,25%"
"22.08.2023","5.722,00","5.674,00","5.754,00","5.600,00","142,37K","1,17%"
"21.08.2023","5.656,00","5.655,00","5.685,00","5.610,00","116,32K","0,46%"
"18.08.2023","5.630,00","5.670,00","5.678,00","5.561,00","152,52K","-0,71%"
"17.08.2023","5.670,00","5.695,00","5.750,00","5.585,00","102,43K","0,19%"
"16.08.2023","5.659,00","5.727,00","5.740,00","5.453,00","182,27K","-0,61%"
"15.08.2023","5.694,00","5.686,00","5.799,00","5.550,00","224,51K","0,14%"
"14.08.2023","5.686,00","5.736,00","5.847,00","5.620,00","629,84K","0,05%"
"11.08.2023","5.683,00","5.690,00","5.693,00","5.577,00","167,63K","0,14%"
"10.08.2023","5.675,00","5.790,00","5.790,00","5.501,00","367,02K","-0,73%"
"09.08.2023","5.717,00","5.797,00","5.847,00","5.651,00","258,75K","-0,59%"
"08.08.2023","5.751,00","5.806,00","5.813,00","5.620,00","200,49K","-0,84%"
"07.08.2023","5.800,00","5.710,00","5.900,00","5.614,00","303,71K","3,26%"
"04.08.2023","5.617,00","5.470,00","5.884,00","5.331,00","706,60K","2,74%"
"03.08.2023","5.467,00","5.350,00","5.490,00","5.226,00","642,07K","7,26%"
