"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","28,25","28,60","29,09","27,56","4,04M","-1,38%"
"28.12.2023","28,65","30,18","30,18","28,65","7,27M","-5,34%"
"27.12.2023","30,26","31,50","33,58","30,05","52,86M","-3,60%"
"26.12.2023","31,40","26,24","31,40","26,05","54,63M","20,59%"
"25.12.2023","26,03","25,84","26,96","25,63","5,02M","2,08%"
"22.12.2023","25,50","24,92","26,14","24,92","3,03M","1,78%"
"21.12.2023","25,06","25,52","25,76","24,90","1,27M","-2,47%"
"20.12.2023","25,69","25,30","26,10","25,19","2,05M","2,05%"
"19.12.2023","25,18","24,92","25,93","24,61","3,08M","1,68%"
"18.12.2023","24,76","23,76","24,98","23,11","4,48M","5,38%"
"15.12.2023","23,50","22,22","23,60","22,01","2,32M","5,78%"
"14.12.2023","22,22","22,50","23,14","22,20","443,30K","-1,33%"
"13.12.2023","22,51","22,51","23,30","21,98","1,87M","0,13%"
"12.12.2023","22,49","22,30","23,22","22,06","1,94M","0,83%"
"11.12.2023","22,30","22,83","22,95","21,75","1,12M","-2,09%"
"08.12.2023","22,77","22,86","23,80","22,37","1,54M","-0,55%"
"07.12.2023","22,90","22,75","23,20","22,16","1,03M","0,66%"
"06.12.2023","22,75","23,50","24,58","22,41","2,46M","-1,09%"
"05.12.2023","23,00","23,52","23,58","21,52","4,50M","-2,15%"
"04.12.2023","23,50","25,98","25,99","23,48","2,00M","-9,42%"
"01.12.2023","25,95","26,81","26,92","25,50","522,80K","-3,19%"
"30.11.2023","26,81","27,50","27,59","26,35","513,20K","-2,46%"
"29.11.2023","27,48","27,50","27,90","27,32","451,30K","0,55%"
"28.11.2023","27,33","26,80","27,69","26,25","928,20K","2,30%"
"27.11.2023","26,72","28,88","28,88","26,35","965,20K","-4,25%"
"24.11.2023","27,90","28,15","28,50","27,50","1,23M","-0,89%"
"23.11.2023","28,15","28,70","29,45","28,00","1,47M","-2,22%"
"22.11.2023","28,79","28,50","29,22","28,44","552,80K","1,46%"
"21.11.2023","28,38","29,07","29,50","28,00","540,30K","-2,37%"
"20.11.2023","29,07","29,45","29,80","29,01","465,00K","-1,11%"
"17.11.2023","29,39","28,33","29,86","28,00","1,64M","0,34%"
"16.11.2023","29,29","30,24","31,00","29,10","3,19M","-1,03%"
"15.11.2023","29,59","26,53","30,00","25,30","6,90M","10,59%"
"14.11.2023","26,76","30,90","30,92","26,40","5,05M","-13,83%"
"13.11.2023","31,06","32,25","32,75","30,51","1,58M","-3,71%"
"10.11.2023","32,25","32,74","32,88","31,70","1,22M","-1,50%"
"09.11.2023","32,74","33,47","33,47","32,50","859,80K","-1,68%"
"08.11.2023","33,30","33,37","33,93","33,25","1,25M","0,03%"
"07.11.2023","33,29","33,69","33,69","33,07","1,13M","-1,17%"
"06.11.2023","33,69","32,21","33,88","32,07","5,79M","5,31%"
"03.11.2023","31,99","32,30","32,44","31,68","657,80K","-0,74%"
"02.11.2023","32,22","32,40","32,85","32,10","641,60K","-0,31%"
"01.11.2023","32,33","32,21","32,55","32,17","258,10K","0,36%"
"31.10.2023","32,21","32,57","33,55","32,10","1,93M","-0,34%"
"30.10.2023","32,32","32,31","33,40","32,30","2,02M","0,17%"
"27.10.2023","32,26","32,99","33,80","31,81","1,69M","-2,02%"
"26.10.2023","32,93","32,50","34,10","32,31","10,47M","2,27%"
"25.10.2023","32,20","32,10","32,90","31,90","1,42M","0,33%"
"24.10.2023","32,10","32,36","32,36","31,70","678,10K","0,11%"
"23.10.2023","32,06","32,44","32,44","32,03","556,40K","-0,48%"
"20.10.2023","32,22","32,46","32,63","32,00","635,50K","-0,69%"
"19.10.2023","32,44","32,63","33,00","32,25","2,16M","-0,03%"
"18.10.2023","32,45","32,30","32,95","32,28","1,23M","0,46%"
"17.10.2023","32,30","32,06","32,79","31,85","1,69M","1,11%"
"16.10.2023","31,94","31,75","32,58","31,51","1,29M","-0,03%"
"13.10.2023","31,95","32,20","32,60","31,81","786,10K","-0,11%"
"12.10.2023","31,99","31,84","32,20","29,61","1,67M","-1,39%"
"11.10.2023","32,44","33,24","33,24","32,20","989,80K","-1,83%"
"10.10.2023","33,04","33,32","33,32","32,20","997,20K","0,59%"
"09.10.2023","32,85","31,80","33,58","31,80","3,50M","3,30%"
"06.10.2023","31,80","32,46","32,65","31,60","1,27M","-0,81%"
"05.10.2023","32,06","32,99","32,99","32,00","1,18M","-1,06%"
"04.10.2023","32,40","32,03","33,10","32,03","1,27M","1,15%"
"03.10.2023","32,03","32,78","33,36","31,65","2,43M","-2,29%"
"02.10.2023","32,78","33,55","34,60","32,51","6,52M","-0,95%"
"29.09.2023","33,10","33,70","34,00","32,92","2,12M","-1,33%"
"28.09.2023","33,54","32,90","34,20","32,90","3,01M","1,88%"
"27.09.2023","32,92","32,96","34,00","32,51","2,68M","0,66%"
"26.09.2023","32,71","32,40","33,11","32,20","1,70M","-1,18%"
"25.09.2023","33,10","32,29","33,71","31,48","7,38M","2,95%"
"22.09.2023","32,15","31,27","32,35","29,20","10,28M","2,60%"
"21.09.2023","31,33","33,03","34,15","28,64","14,68M","-8,38%"
"20.09.2023","34,20","35,22","35,58","32,06","7,89M","-3,87%"
"19.09.2023","35,58","36,70","37,67","34,62","8,70M","-3,33%"
"18.09.2023","36,80","37,00","39,26","35,33","14,13M","0,41%"
"15.09.2023","36,65","32,30","37,26","30,19","33,18M","13,47%"
"14.09.2023","32,30","37,35","37,69","25,24","26,67M","-14,67%"
"13.09.2023","37,85","39,00","39,79","37,20","4,81M","-2,13%"
"12.09.2023","38,68","40,29","40,29","37,58","5,37M","-1,55%"
"11.09.2023","39,29","38,68","42,09","37,60","24,11M","5,32%"
"08.09.2023","37,31","38,99","41,33","36,51","18,59M","-1,83%"
"07.09.2023","38,00","35,51","43,46","35,51","93,38M","6,65%"
"06.09.2023","35,63","36,50","36,78","35,51","2,16M","-1,85%"
"05.09.2023","36,30","35,98","36,80","34,60","8,04M","2,25%"
