"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","1.514,00","1.506,00","1.557,00","1.494,00","0,86K","1,61%"
"28.12.2023","1.490,00","1.530,00","1.535,00","1.460,00","1,27K","-2,49%"
"27.12.2023","1.528,00","1.532,00","1.549,00","1.511,00","0,52K","-0,52%"
"26.12.2023","1.536,00","1.556,00","1.560,00","1.527,00","0,69K","-0,78%"
"25.12.2023","1.548,00","1.566,00","1.566,00","1.525,00","0,97K","-0,77%"
"22.12.2023","1.560,00","1.556,00","1.586,00","1.556,00","1,11K","0,26%"
"21.12.2023","1.556,00","1.558,00","1.593,00","1.550,00","1,35K","-0,06%"
"20.12.2023","1.557,00","1.494,00","1.562,00","1.485,00","4,36K","3,87%"
"19.12.2023","1.499,00","1.452,00","1.538,00","1.417,00","3,92K","3,38%"
"18.12.2023","1.450,00","1.426,00","1.454,00","1.401,00","2,90K","2,76%"
"15.12.2023","1.411,00","1.409,00","1.428,00","1.386,00","1,17K","1,73%"
"14.12.2023","1.387,00","1.446,00","1.446,00","1.387,00","2,04K","-1,21%"
"13.12.2023","1.404,00","1.393,00","1.425,00","1.372,00","1,77K","0,43%"
"12.12.2023","1.398,00","1.393,00","1.426,00","1.388,00","0,60K","0,43%"
"11.12.2023","1.392,00","1.442,00","1.447,00","1.360,00","2,33K","-3,47%"
"08.12.2023","1.442,00","1.423,00","1.500,00","1.409,00","2,19K","0,77%"
"07.12.2023","1.431,00","1.428,00","1.447,00","1.400,00","2,03K","0,85%"
"06.12.2023","1.419,00","1.543,00","1.543,00","1.400,00","13,92K","-4,77%"
"05.12.2023","1.490,00","1.595,00","1.749,00","1.450,00","29,88K","-7,74%"
"04.12.2023","1.615,00","1.401,00","1.696,00","1.401,00","38,16K","15,94%"
"01.12.2023","1.393,00","1.408,00","1.413,00","1.383,00","1,06K","-1,21%"
"30.11.2023","1.410,00","1.404,00","1.436,00","1.396,00","0,42K","0,43%"
"29.11.2023","1.404,00","1.443,00","1.448,00","1.394,00","0,70K","-1,47%"
"28.11.2023","1.425,00","1.452,00","1.502,00","1.396,00","2,01K","-0,56%"
"27.11.2023","1.433,00","1.419,00","1.441,00","1.376,00","1,61K","1,85%"
"24.11.2023","1.407,00","1.474,00","1.489,00","1.373,00","2,17K","-4,16%"
"23.11.2023","1.468,00","1.522,00","1.522,00","1.451,00","1,71K","-2,78%"
"22.11.2023","1.510,00","1.536,00","1.550,00","1.510,00","0,42K","-1,24%"
"21.11.2023","1.529,00","1.497,00","1.592,00","1.497,00","1,60K","2,48%"
"20.11.2023","1.492,00","1.502,00","1.516,00","1.485,00","0,51K","0,13%"
"17.11.2023","1.490,00","1.485,00","1.519,00","1.485,00","0,74K","-1,00%"
