"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","8,055","7,980","8,055","7,966","12,72M","0,47%"
"28.12.2023","8,017","8,040","8,057","7,918","22,09M","-0,53%"
"27.12.2023","8,060","8,070","8,094","8,039","13,02M","-0,12%"
"26.12.2023","8,070","8,296","8,308","8,018","53,75M","-2,84%"
"25.12.2023","8,306","8,076","8,333","8,060","32,26M","2,85%"
"22.12.2023","8,076","7,807","8,100","7,807","37,16M","3,02%"
"21.12.2023","7,839","8,010","8,010","7,806","31,58M","-2,01%"
"20.12.2023","8,000","8,035","8,080","7,876","33,87M","0,55%"
"19.12.2023","7,956","8,103","8,145","7,769","64,12M","-1,73%"
"18.12.2023","8,096","7,921","8,221","7,846","81,17M","2,51%"
"15.12.2023","7,898","7,615","7,933","7,553","60,86M","3,73%"
"14.12.2023","7,614","7,701","7,784","7,600","38,81M","-1,13%"
"13.12.2023","7,701","7,710","7,745","7,665","24,37M","-0,38%"
"12.12.2023","7,730","7,357","7,745","7,357","75,35M","4,93%"
"11.12.2023","7,367","7,724","7,724","7,300","74,55M","-4,50%"
"08.12.2023","7,714","7,877","7,878","7,660","61,81M","-2,07%"
"07.12.2023","7,877","7,751","7,935","7,631","37,02M","1,25%"
"06.12.2023","7,780","7,888","7,907","7,611","102,45M","-1,36%"
"05.12.2023","7,887","7,740","7,900","7,653","40,16M","1,95%"
"04.12.2023","7,736","7,755","7,870","7,610","56,48M","-0,25%"
"01.12.2023","7,755","7,758","7,778","7,735","25,46M","-0,15%"
"30.11.2023","7,767","7,679","7,800","7,660","90,01M","0,87%"
"29.11.2023","7,700","7,680","7,723","7,561","31,26M","0,38%"
"28.11.2023","7,671","7,572","7,700","7,481","51,78M","1,28%"
"27.11.2023","7,574","7,656","7,696","7,535","37,03M","-1,19%"
"24.11.2023","7,665","7,650","7,722","7,641","23,95M","0,30%"
"23.11.2023","7,642","7,670","7,716","7,621","22,67M","-0,30%"
"22.11.2023","7,665","7,497","7,678","7,476","49,91M","1,98%"
"21.11.2023","7,516","7,458","7,516","7,299","17,87M","0,91%"
"20.11.2023","7,448","7,464","7,500","7,411","32,44M","-0,09%"
"17.11.2023","7,455","7,315","7,461","7,281","29,43M","1,77%"
"16.11.2023","7,325","7,346","7,356","7,304","15,19M","-0,29%"
"15.11.2023","7,346","7,341","7,349","7,262","47,10M","0,07%"
"14.11.2023","7,341","7,450","7,453","7,329","27,87M","-1,37%"
"13.11.2023","7,443","7,386","7,450","7,361","28,21M","0,91%"
"10.11.2023","7,376","7,308","7,390","7,270","28,32M","1,15%"
"09.11.2023","7,292","7,322","7,350","7,259","19,15M","-0,27%"
"08.11.2023","7,312","7,301","7,333","7,278","17,01M","0,01%"
"07.11.2023","7,311","7,302","7,360","7,289","19,21M","-0,01%"
"06.11.2023","7,312","7,197","7,316","7,185","24,82M","1,46%"
