"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","14,92","15,24","15,76","14,70","1,80M","-2,10%"
"28.12.2023","15,24","15,88","16,36","14,92","2,30M","-3,18%"
"27.12.2023","15,74","15,22","16,28","15,22","4,94M","3,42%"
"26.12.2023","15,22","15,08","15,56","15,04","1,11M","0,93%"
"25.12.2023","15,08","15,32","15,42","15,04","618,40K","0,00%"
"22.12.2023","15,08","15,10","15,60","14,82","1,69M","-0,53%"
"21.12.2023","15,16","14,72","15,64","14,72","2,11M","0,40%"
"20.12.2023","15,10","15,42","15,46","14,70","1,28M","1,07%"
"19.12.2023","14,94","14,92","15,46","14,62","2,31M","0,95%"
"18.12.2023","14,80","14,40","14,80","14,32","1,46M","3,50%"
"15.12.2023","14,30","13,78","14,40","13,72","729,70K","2,88%"
"14.12.2023","13,90","13,84","14,52","13,70","831,10K","0,43%"
"13.12.2023","13,84","13,68","14,10","13,52","1,18M","1,17%"
"12.12.2023","13,68","13,68","13,86","13,36","783,80K","0,00%"
"11.12.2023","13,68","13,80","13,96","13,32","982,90K","-1,44%"
"08.12.2023","13,88","13,78","14,28","13,72","830,90K","0,73%"
"07.12.2023","13,78","13,98","14,30","13,28","772,60K","-1,29%"
"06.12.2023","13,96","14,72","14,86","13,76","1,56M","-4,12%"
"05.12.2023","14,56","14,46","14,76","13,40","1,83M","0,83%"
"04.12.2023","14,44","15,34","15,46","14,04","1,90M","-5,87%"
"01.12.2023","15,34","16,28","16,36","15,22","925,60K","-5,77%"
"30.11.2023","16,28","16,44","16,54","16,16","301,30K","-0,97%"
"29.11.2023","16,44","16,44","16,64","16,24","409,90K","0,37%"
"28.11.2023","16,38","16,66","16,72","15,78","1,90M","-1,44%"
"27.11.2023","16,62","17,98","17,98","16,28","2,05M","-5,46%"
"24.11.2023","17,58","17,38","18,12","17,20","3,02M","1,27%"
"23.11.2023","17,36","17,54","17,96","17,08","1,73M","-0,12%"
"22.11.2023","17,38","17,12","17,72","16,90","2,32M","1,88%"
"21.11.2023","17,06","17,08","17,72","16,96","2,02M","0,71%"
"20.11.2023","16,94","16,88","17,36","16,80","751,80K","0,47%"
"17.11.2023","16,86","17,28","17,38","16,44","985,50K","-2,43%"
"16.11.2023","17,28","17,08","17,60","16,64","2,59M","3,23%"
"15.11.2023","16,74","15,84","17,12","15,40","1,81M","5,95%"
"14.11.2023","15,80","17,36","17,56","15,60","2,81M","-9,71%"
"13.11.2023","17,50","18,86","18,88","17,12","1,56M","-6,82%"
"10.11.2023","18,78","19,62","19,76","18,34","1,22M","-4,18%"
"09.11.2023","19,60","20,10","20,10","19,60","315,00K","-1,90%"
"08.11.2023","19,98","20,02","20,12","19,80","561,80K","0,20%"
