"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","3,205","3,367","3,376","3,150","8,26M","-2,58%"
"28.12.2023","3,290","3,457","3,635","3,210","28,26M","-3,74%"
"27.12.2023","3,418","3,167","3,748","3,167","125,06M","7,96%"
"26.12.2023","3,166","3,207","3,298","3,103","8,29M","-1,43%"
"25.12.2023","3,212","3,380","3,380","3,115","8,49M","-2,04%"
"22.12.2023","3,279","3,225","3,450","3,145","15,45M","2,37%"
"21.12.2023","3,203","3,333","3,544","3,160","22,11M","-2,79%"
"20.12.2023","3,295","3,135","3,295","3,042","9,48M","5,14%"
"19.12.2023","3,134","3,000","3,185","2,927","9,66M","5,49%"
"18.12.2023","2,971","2,803","3,028","2,734","13,49M","6,87%"
"15.12.2023","2,780","2,705","2,788","2,631","4,17M","2,77%"
"14.12.2023","2,705","2,761","2,850","2,686","3,32M","-0,99%"
"13.12.2023","2,732","2,745","2,880","2,662","4,75M","0,33%"
"12.12.2023","2,723","2,804","2,825","2,683","2,72M","-1,84%"
"11.12.2023","2,774","2,801","2,894","2,770","1,88M","-3,18%"
"08.12.2023","2,865","2,862","2,964","2,853","3,69M","0,10%"
"07.12.2023","2,862","2,905","2,986","2,825","1,70M","-2,05%"
"06.12.2023","2,922","3,097","3,100","2,871","2,54M","-3,25%"
"05.12.2023","3,020","2,941","3,112","2,830","4,28M","2,69%"
"04.12.2023","2,941","3,200","3,200","2,930","6,63M","-8,44%"
"01.12.2023","3,212","3,304","3,315","3,203","1,36M","-2,07%"
"30.11.2023","3,280","3,457","3,457","3,192","4,83M","-4,07%"
"29.11.2023","3,419","3,540","3,621","3,403","4,72M","-2,06%"
"28.11.2023","3,491","3,216","3,650","3,144","26,22M","8,55%"
"27.11.2023","3,216","3,400","3,557","3,185","5,65M","-4,57%"
"24.11.2023","3,370","3,370","3,595","3,308","8,33M","-1,75%"
"23.11.2023","3,430","3,695","3,695","3,430","4,91M","-6,62%"
"22.11.2023","3,673","3,567","3,750","3,503","6,61M","2,45%"
"21.11.2023","3,585","3,700","3,757","3,473","8,44M","-3,45%"
"20.11.2023","3,713","3,800","3,878","3,701","6,29M","-2,29%"
"17.11.2023","3,800","3,902","4,200","3,675","31,03M","-2,31%"
"16.11.2023","3,890","3,374","3,934","3,374","51,57M","16,05%"
"15.11.2023","3,352","2,936","3,569","2,830","40,86M","14,17%"
"14.11.2023","2,936","3,244","3,252","2,850","16,74M","-9,47%"
"13.11.2023","3,243","3,764","3,764","3,218","25,87M","-12,78%"
"10.11.2023","3,718","4,054","4,054","3,700","13,45M","-8,29%"
"09.11.2023","4,054","4,131","4,202","4,047","3,81M","-2,90%"
"08.11.2023","4,175","4,130","4,297","4,108","8,07M","1,09%"
"07.11.2023","4,130","4,134","4,180","4,114","1,95M","0,41%"
"06.11.2023","4,113","4,099","4,203","4,099","1,52M","0,34%"
"03.11.2023","4,099","4,183","4,242","4,060","2,50M","-1,96%"
"02.11.2023","4,181","4,330","4,330","4,180","2,94M","-1,72%"
"01.11.2023","4,254","4,170","4,329","4,060","5,76M","3,03%"
"31.10.2023","4,129","4,325","4,358","4,050","8,08M","-3,98%"
"30.10.2023","4,300","4,483","4,500","4,283","4,36M","-3,13%"
"27.10.2023","4,439","4,620","4,634","4,355","8,51M","-2,10%"
"26.10.2023","4,534","4,719","4,744","4,413","21,25M","-3,92%"
"25.10.2023","4,719","4,726","4,779","4,717","4,61M","-0,88%"
"24.10.2023","4,761","4,742","4,876","4,711","14,73M","0,42%"
"23.10.2023","4,741","4,737","4,885","4,737","7,04M","0,11%"
"20.10.2023","4,736","4,800","4,800","4,730","4,76M","-1,44%"
"19.10.2023","4,805","4,739","4,845","4,739","8,26M","0,15%"
"18.10.2023","4,798","4,722","4,875","4,703","4,98M","1,07%"
"17.10.2023","4,747","4,745","4,877","4,705","9,73M","0,42%"
"16.10.2023","4,727","4,799","4,816","4,697","4,43M","-0,32%"
"13.10.2023","4,742","4,790","4,865","4,696","4,05M","-0,50%"
"12.10.2023","4,766","4,860","4,875","4,611","9,19M","-2,24%"
"11.10.2023","4,875","5,000","5,200","4,864","28,01M","-2,11%"
"10.10.2023","4,980","4,770","4,990","4,662","43,42M","6,82%"
"09.10.2023","4,662","4,788","4,788","4,646","5,61M","0,04%"
"06.10.2023","4,660","4,810","4,889","4,565","9,21M","-2,98%"
"05.10.2023","4,803","4,742","4,920","4,711","22,01M","1,31%"
"04.10.2023","4,741","4,680","4,907","4,558","20,67M","1,96%"
"03.10.2023","4,650","4,747","4,968","4,511","23,09M","-2,25%"
"02.10.2023","4,757","4,785","5,009","4,700","16,49M","-1,35%"
"29.09.2023","4,822","4,960","5,032","4,740","12,36M","-3,64%"
"28.09.2023","5,004","4,956","5,174","4,911","20,75M","0,06%"
"27.09.2023","5,001","5,124","5,190","4,914","16,82M","0,00%"
"26.09.2023","5,001","4,825","5,280","4,824","66,13M","2,37%"
"25.09.2023","4,885","4,565","5,065","4,509","55,18M","8,48%"
"22.09.2023","4,503","4,735","4,900","4,400","27,34M","-1,01%"
"21.09.2023","4,549","4,341","4,995","4,213","66,09M","3,88%"
"20.09.2023","4,379","4,630","4,970","4,010","57,39M","-5,56%"
"19.09.2023","4,637","5,018","5,057","4,600","26,72M","-7,57%"
"18.09.2023","5,017","5,250","5,550","4,821","36,39M","-3,50%"
"15.09.2023","5,199","4,750","5,199","4,368","47,99M","9,27%"
"14.09.2023","4,758","5,262","5,700","3,675","93,42M","-9,30%"
