"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","439,80","443,80","444,00","438,20","136,63K","-0,36%"
"28.12.2023","441,40","447,00","449,20","441,20","221,59K","-1,21%"
"27.12.2023","446,80","440,60","459,40","440,60","569,35K","1,50%"
"26.12.2023","440,20","442,20","443,40","437,00","204,63K","0,18%"
"25.12.2023","439,40","445,00","448,00","436,60","357,26K","-0,77%"
"22.12.2023","442,80","448,40","452,00","438,80","210,41K","-0,76%"
"21.12.2023","446,20","452,40","452,40","435,20","786,51K","-0,93%"
"20.12.2023","450,40","457,40","463,00","450,40","287,15K","-0,84%"
"19.12.2023","454,20","447,80","464,00","440,20","441,83K","1,47%"
"18.12.2023","447,60","438,80","452,80","438,80","306,84K","2,05%"
"15.12.2023","438,60","426,20","442,80","426,20","111,93K","2,91%"
"14.12.2023","426,20","433,00","436,60","425,20","136,78K","-1,25%"
"13.12.2023","431,60","422,00","437,60","421,60","144,11K","2,27%"
"12.12.2023","422,00","427,60","431,40","420,60","161,42K","-1,31%"
"11.12.2023","427,60","446,80","449,20","425,40","201,37K","-4,00%"
"08.12.2023","445,40","450,00","452,80","442,40","105,48K","-0,98%"
"07.12.2023","449,80","443,80","452,80","440,40","131,53K","1,35%"
"06.12.2023","443,80","455,00","455,20","442,20","136,52K","-2,25%"
"05.12.2023","454,00","445,40","457,00","445,20","171,54K","1,93%"
"04.12.2023","445,40","440,00","453,00","436,20","325,36K","0,54%"
"01.12.2023","443,00","449,40","454,60","433,60","232,27K","-1,03%"
"30.11.2023","447,60","462,20","464,00","445,20","278,86K","-3,03%"
"29.11.2023","461,60","472,80","472,80","461,00","147,86K","-1,91%"
"28.11.2023","470,60","471,80","477,80","462,20","249,79K","-0,25%"
"27.11.2023","471,80","477,60","481,60","468,20","183,65K","-1,09%"
"24.11.2023","477,00","486,20","488,80","471,40","388,44K","-1,85%"
"23.11.2023","486,00","492,20","494,60","485,80","151,96K","-1,26%"
"22.11.2023","492,20","495,00","498,80","490,80","119,83K","-0,65%"
"21.11.2023","495,40","490,00","497,60","486,60","177,35K","1,43%"
"20.11.2023","488,40","491,40","494,40","486,20","133,11K","-0,29%"
"17.11.2023","489,80","488,60","493,20","485,20","143,56K","0,20%"
"16.11.2023","488,80","493,40","501,60","488,40","227,77K","-1,41%"
"15.11.2023","495,80","489,20","495,80","485,20","221,28K","1,02%"
"14.11.2023","490,80","501,80","503,00","486,20","345,07K","-2,31%"
"13.11.2023","502,40","508,40","509,40","500,80","192,23K","-1,14%"
"10.11.2023","508,20","516,00","523,80","502,60","498,61K","-1,24%"
"09.11.2023","514,60","520,40","520,40","510,20","255,38K","-1,04%"
"08.11.2023","520,00","512,40","522,00","507,80","508,89K","1,68%"
"07.11.2023","511,40","511,20","515,00","507,60","168,43K","0,04%"
"06.11.2023","511,20","500,00","515,60","498,80","273,25K","2,24%"
"03.11.2023","500,00","499,40","503,40","490,60","310,88K","0,12%"
"02.11.2023","499,40","502,80","504,00","497,00","134,85K","-0,36%"
"01.11.2023","501,20","498,40","503,60","496,40","122,95K","0,56%"
"31.10.2023","498,40","502,80","503,40","495,80","131,64K","-0,88%"
"30.10.2023","502,80","503,00","507,40","500,60","127,95K","-0,16%"
"27.10.2023","503,60","505,40","512,60","498,20","310,91K","-1,06%"
"26.10.2023","509,00","523,00","523,00","506,00","299,09K","-1,93%"
"25.10.2023","519,00","512,80","526,00","505,20","753,50K","1,25%"
"24.10.2023","512,60","514,00","514,20","510,20","87,84K","-0,27%"
"23.10.2023","514,00","515,60","517,60","510,20","143,23K","-0,27%"
"20.10.2023","515,40","513,00","517,80","510,80","268,47K","0,51%"
"19.10.2023","512,80","518,40","518,40","508,20","249,92K","-0,93%"
"18.10.2023","517,60","517,80","524,60","515,00","382,99K","0,23%"
"17.10.2023","516,40","517,20","519,00","513,20","179,87K","-0,08%"
"16.10.2023","516,80","499,00","517,00","499,00","281,28K","0,23%"
"13.10.2023","515,60","519,00","519,00","515,00","133,97K","0,12%"
"12.10.2023","515,00","510,00","517,80","506,60","156,83K","0,86%"
"11.10.2023","510,60","523,80","526,40","504,60","226,12K","-2,41%"
"10.10.2023","523,20","523,00","527,60","520,00","100,39K","0,04%"
"09.10.2023","523,00","527,40","528,20","520,00","156,48K","-0,42%"
"06.10.2023","525,20","526,80","526,80","517,20","157,94K","0,15%"
"05.10.2023","524,40","526,20","528,40","517,00","165,15K","-0,72%"
