"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","0,1087","0,1082","0,1102","0,1082","2,09B","-0,18%"
"28.12.2023","0,1089","0,1100","0,1100","0,1084","2,29B","-0,84%"
"27.12.2023","0,1098","0,1068","0,1104","0,1067","5,06B","2,67%"
"26.12.2023","0,1069","0,1085","0,1085","0,1064","2,78B","-1,22%"
"25.12.2023","0,1083","0,1106","0,1112","0,1082","2,67B","-1,76%"
"22.12.2023","0,1102","0,1103","0,1129","0,1096","2,57B","-0,40%"
"21.12.2023","0,1106","0,1096","0,1124","0,1086","4,46B","0,91%"
"20.12.2023","0,1096","0,1109","0,1113","0,1092","2,01B","-1,12%"
"19.12.2023","0,1109","0,1099","0,1116","0,1088","2,11B","1,02%"
"18.12.2023","0,1098","0,1075","0,1100","0,1073","2,99B","2,31%"
"15.12.2023","0,1073","0,1044","0,1077","0,1037","3,13B","2,72%"
"14.12.2023","0,1044","0,1067","0,1078","0,1042","3,11B","-2,10%"
"13.12.2023","0,1067","0,1064","0,1075","0,1049","3,32B","0,28%"
"12.12.2023","0,1064","0,1090","0,1096","0,1060","3,46B","-2,40%"
"11.12.2023","0,1090","0,1114","0,1124","0,1087","2,37B","-2,12%"
"08.12.2023","0,1114","0,1115","0,1133","0,1106","1,77B","0,13%"
"07.12.2023","0,1112","0,1113","0,1131","0,1084","3,28B","0,20%"
"06.12.2023","0,1110","0,1146","0,1148","0,1110","2,47B","-2,49%"
"05.12.2023","0,1138","0,1151","0,1166","0,1117","4,43B","-1,03%"
"04.12.2023","0,1150","0,1188","0,1214","0,1149","3,26B","-3,44%"
"01.12.2023","0,1191","0,1191","0,1218","0,1182","3,04B","0,05%"
"30.11.2023","0,1191","0,1180","0,1214","0,1145","3,60B","1,29%"
"29.11.2023","0,1175","0,1180","0,1196","0,1156","2,31B","-0,41%"
"28.11.2023","0,1180","0,1142","0,1184","0,1141","3,84B","2,95%"
"27.11.2023","0,1146","0,1183","0,1188","0,1134","4,71B","-2,83%"
"24.11.2023","0,1180","0,1185","0,1195","0,1172","2,22B","-0,56%"
"23.11.2023","0,1186","0,1211","0,1216","0,1181","1,84B","-1,71%"
"22.11.2023","0,1207","0,1205","0,1216","0,1200","1,45B","0,22%"
"21.11.2023","0,1204","0,1210","0,1215","0,1193","1,21B","-0,73%"
"20.11.2023","0,1213","0,1203","0,1224","0,1200","1,79B","0,93%"
"17.11.2023","0,1202","0,1212","0,1216","0,1180","2,30B","-0,78%"
"16.11.2023","0,1211","0,1226","0,1238","0,1202","2,30B","-1,43%"
"15.11.2023","0,1229","0,1212","0,1244","0,1193","4,42B","1,10%"
"14.11.2023","0,1216","0,1263","0,1263","0,1210","3,81B","-3,84%"
"13.11.2023","0,1264","0,1235","0,1273","0,1221","4,73B","2,33%"
"10.11.2023","0,1235","0,1251","0,1261","0,1226","2,46B","-1,31%"
"09.11.2023","0,1252","0,1263","0,1266","0,1244","1,72B","-1,11%"
"08.11.2023","0,1266","0,1253","0,1275","0,1249","2,70B","1,09%"
"07.11.2023","0,1252","0,1259","0,1264","0,1238","3,43B","-0,51%"
"06.11.2023","0,1259","0,1278","0,1278","0,1249","4,20B","-1,05%"
"03.11.2023","0,1272","0,1305","0,1344","0,1270","10,09B","-2,08%"
"02.11.2023","0,1299","0,1289","0,1314","0,1282","4,05B","0,76%"
"01.11.2023","0,1289","0,1320","0,1327","0,1279","4,56B","-1,83%"
"31.10.2023","0,1313","0,1309","0,1326","0,1281","6,75B","0,67%"
"30.10.2023","0,1304","0,1320","0,1345","0,1290","9,70B","-0,67%"
"27.10.2023","0,1313","0,1236","0,1316","0,1232","19,95B","5,97%"
"26.10.2023","0,1239","0,1268","0,1274","0,1230","5,81B","-2,46%"
"25.10.2023","0,1270","0,1250","0,1276","0,1246","4,51B","1,71%"
"24.10.2023","0,1249","0,1240","0,1252","0,1227","2,56B","0,92%"
"23.10.2023","0,1238","0,1220","0,1247","0,1217","3,55B","1,58%"
"20.10.2023","0,1218","0,1233","0,1237","0,1202","3,97B","-0,72%"
"19.10.2023","0,1227","0,1178","0,1239","0,1175","6,28B","4,16%"
"18.10.2023","0,1178","0,1193","0,1204","0,1172","2,75B","-1,11%"
"17.10.2023","0,1191","0,1199","0,1206","0,1181","3,31B","-0,60%"
"16.10.2023","0,1199","0,1160","0,1200","0,1159","5,19B","3,45%"
"13.10.2023","0,1159","0,1162","0,1164","0,1144","1,87B","0,00%"
"12.10.2023","0,1158","0,1155","0,1170","0,1151","1,92B","-0,10%"
"11.10.2023","0,1159","0,1182","0,1186","0,1148","3,58B","-1,80%"
"10.10.2023","0,1181","0,1193","0,1194","0,1172","2,07B","-0,52%"
"09.10.2023","0,1187","0,1180","0,1194","0,1164","4,03B","1,42%"
"06.10.2023","0,1170","0,1148","0,1180","0,1132","6,54B","0,95%"
"05.10.2023","0,1159","0,1184","0,1194","0,1152","4,41B","-2,01%"
"04.10.2023","0,1183","0,1182","0,1211","0,1178","4,46B","0,00%"
"03.10.2023","0,1183","0,1215","0,1221","0,1167","6,15B","-2,62%"
"02.10.2023","0,1215","0,1253","0,1260","0,1211","6,09B","-3,05%"
"29.09.2023","0,1253","0,1274","0,1281","0,1243","5,22B","-1,57%"
"28.09.2023","0,1273","0,1283","0,1321","0,1247","18,16B","-0,36%"
"27.09.2023","0,1277","0,1183","0,1285","0,1165","17,76B","9,25%"
"26.09.2023","0,1169","0,1176","0,1179","0,1142","3,04B","-0,88%"
"25.09.2023","0,1180","0,1188","0,1199","0,1165","3,13B","-0,12%"
"22.09.2023","0,1181","0,1123","0,1187","0,1105","4,12B","5,41%"
"21.09.2023","0,1120","0,1158","0,1159","0,1111","4,29B","-3,58%"
"20.09.2023","0,1162","0,1164","0,1192","0,1114","7,51B","0,09%"
"19.09.2023","0,1161","0,1229","0,1236","0,1148","8,35B","-5,32%"
"18.09.2023","0,1226","0,1253","0,1275","0,1215","5,05B","-1,98%"
"15.09.2023","0,1251","0,1250","0,1286","0,1231","4,76B","0,61%"
"14.09.2023","0,1243","0,1310","0,1310","0,1198","10,23B","-4,82%"
"13.09.2023","0,1306","0,1357","0,1363","0,1301","4,53B","-3,00%"
"12.09.2023","0,1347","0,1301","0,1359","0,1300","4,69B","3,82%"
"11.09.2023","0,1297","0,1314","0,1334","0,1284","3,68B","-1,70%"
"08.09.2023","0,1320","0,1338","0,1347","0,1275","4,52B","-1,68%"
"07.09.2023","0,1342","0,1371","0,1400","0,1300","7,79B","-2,11%"
"06.09.2023","0,1371","0,1406","0,1407","0,1365","3,36B","-2,22%"
"05.09.2023","0,1402","0,1405","0,1439","0,1381","9,52B","-0,16%"
"04.09.2023","0,1405","0,1318","0,1409","0,1313","10,20B","6,23%"
"01.09.2023","0,1322","0,1325","0,1334","0,1286","3,60B","0,00%"
"31.08.2023","0,1323","0,1310","0,1350","0,1305","6,03B","1,35%"
"30.08.2023","0,1305","0,1274","0,1310","0,1272","4,80B","2,71%"
"29.08.2023","0,1271","0,1278","0,1285","0,1252","2,58B","-0,11%"
"28.08.2023","0,1272","0,1269","0,1282","0,1262","2,57B","1,24%"
"25.08.2023","0,1256","0,1253","0,1275","0,1244","3,56B","1,19%"
"24.08.2023","0,1242","0,1227","0,1247","0,1210","2,07B","1,22%"
"23.08.2023","0,1227","0,1270","0,1278","0,1220","3,89B","-3,40%"
"22.08.2023","0,1270","0,1290","0,1294","0,1255","2,64B","-1,46%"
"21.08.2023","0,1289","0,1303","0,1312","0,1275","3,07B","0,11%"
"18.08.2023","0,1287","0,1248","0,1290","0,1234","4,15B","3,39%"
"17.08.2023","0,1245","0,1232","0,1258","0,1218","2,30B","1,38%"
"16.08.2023","0,1228","0,1285","0,1295","0,1195","5,88B","-4,44%"
"15.08.2023","0,1285","0,1290","0,1330","0,1252","3,73B","-0,86%"
"14.08.2023","0,1296","0,1346","0,1369","0,1280","7,45B","-2,86%"
"11.08.2023","0,1334","0,1320","0,1340","0,1296","2,97B","0,79%"
"10.08.2023","0,1324","0,1339","0,1353","0,1311","5,05B","-0,81%"
"09.08.2023","0,1335","0,1278","0,1347","0,1266","12,40B","4,64%"
"08.08.2023","0,1276","0,1242","0,1279","0,1205","4,19B","2,82%"
"07.08.2023","0,1241","0,1224","0,1287","0,1221","6,54B","1,82%"
"04.08.2023","0,1218","0,1257","0,1294","0,1195","12,09B","-3,02%"
"03.08.2023","0,1256","0,1192","0,1260","0,1177","9,34B","5,14%"
"02.08.2023","0,1195","0,1210","0,1211","0,1190","3,91B","-1,24%"
"01.08.2023","0,1210","0,1234","0,1234","0,1185","8,58B","-1,01%"
"31.07.2023","0,1222","0,1130","0,1228","0,1115","25,17B","11,13%"
"28.07.2023","0,1100","0,1086","0,1119","0,1080","6,03B","1,68%"
"27.07.2023","0,1082","0,1078","0,1094","0,1064","3,36B","0,86%"
"26.07.2023","0,1073","0,1081","0,1083","0,1057","1,82B","-0,76%"
"25.07.2023","0,1081","0,1075","0,1089","0,1069","1,73B","0,56%"
"24.07.2023","0,1075","0,1060","0,1075","0,1055","1,31B","1,21%"
"21.07.2023","0,1062","0,1054","0,1082","0,1054","2,05B","0,74%"
"20.07.2023","0,1054","0,1092","0,1092","0,1051","3,15B","-3,00%"
"19.07.2023","0,1087","0,1100","0,1100","0,1078","3,34B","-1,06%"
"18.07.2023","0,1098","0,1078","0,1099","0,1065","5,76B","3,25%"
"17.07.2023","0,1064","0,1022","0,1068","0,1018","5,32B","3,72%"
"14.07.2023","0,1026","0,1035","0,1036","0,1021","1,49B","-0,29%"
"13.07.2023","0,1029","0,1011","0,1037","0,1011","3,10B","1,74%"
"12.07.2023","0,1011","0,1000","0,1022","0,0995","2,59B","0,74%"
"11.07.2023","0,1004","0,1005","0,1010","0,0994","859,02M","-0,10%"
"10.07.2023","0,1005","0,1002","0,1019","0,1000","1,76B","0,36%"
"07.07.2023","0,1001","0,1011","0,1011","0,1000","619,15M","-0,38%"
"06.07.2023","0,1005","0,1002","0,1015","0,1000","863,90M","-0,34%"
"05.07.2023","0,1008","0,1012","0,1019","0,0995","1,51B","0,26%"
"04.07.2023","0,1006","0,1014","0,1029","0,0996","2,10B","0,00%"
"03.07.2023","0,1005","0,0992","0,1008","0,0981","2,24B","1,37%"
"30.06.2023","0,0992","0,0993","0,0996","0,0979","778,63M","-0,42%"
"29.06.2023","0,0996","0,0999","0,0999","0,0988","906,36M","0,00%"
"28.06.2023","0,0996","0,1005","0,1005","0,0989","932,53M","-0,66%"
"27.06.2023","0,1003","0,0999","0,1017","0,0986","2,31B","0,97%"
"26.06.2023","0,0993","0,0996","0,1005","0,0960","2,57B","0,06%"
"23.06.2023","0,0992","0,1022","0,1027","0,0971","3,16B","-3,20%"
"22.06.2023","0,1025","0,1003","0,1042","0,0996","5,16B","2,05%"
"21.06.2023","0,1005","0,1009","0,1009","0,0992","1,05B","0,06%"
"20.06.2023","0,1004","0,0995","0,1017","0,0986","2,26B","0,86%"
"19.06.2023","0,0995","0,0998","0,1006","0,0983","1,71B","-0,20%"
"16.06.2023","0,0997","0,1003","0,1025","0,0992","3,00B","-0,46%"
"15.06.2023","0,1002","0,0971","0,1011","0,0963","5,21B","3,15%"
"14.06.2023","0,0971","0,0945","0,0974","0,0945","4,26B","2,73%"
"13.06.2023","0,0946","0,0934","0,0949","0,0934","2,15B","0,64%"
"09.06.2023","0,0940","0,0947","0,0950","0,0935","1,65B","-0,78%"
"08.06.2023","0,0947","0,0946","0,0950","0,0936","2,07B","0,40%"
"07.06.2023","0,0943","0,0946","0,0956","0,0918","6,10B","0,00%"
"06.06.2023","0,0943","0,1005","0,1013","0,0938","11,95B","-6,26%"
"05.06.2023","0,1006","0,1028","0,1028","0,1003","1,86B","-1,70%"
"02.06.2023","0,1023","0,1010","0,1029","0,1002","2,27B","1,13%"
"01.06.2023","0,1012","0,1028","0,1050","0,1010","3,72B","-2,05%"
"31.05.2023","0,1033","0,1070","0,1075","0,1002","4,49B","-3,60%"
"30.05.2023","0,1072","0,1060","0,1088","0,1058","2,33B","0,26%"
"29.05.2023","0,1069","0,1089","0,1099","0,1041","4,49B","-2,23%"
"26.05.2023","0,1093","0,1071","0,1113","0,1051","3,63B","1,88%"
"25.05.2023","0,1073","0,1100","0,1103","0,1056","2,50B","-2,06%"
"24.05.2023","0,1096","0,1102","0,1108","0,1091","1,89B","-0,58%"
"23.05.2023","0,1102","0,1110","0,1117","0,1082","1,84B","-0,29%"
"22.05.2023","0,1105","0,1123","0,1139","0,1095","2,06B","-0,88%"
"19.05.2023","0,1115","0,1097","0,1136","0,1088","3,82B","1,31%"
"18.05.2023","0,1101","0,1124","0,1124","0,1086","3,23B","-1,84%"
"17.05.2023","0,1121","0,1063","0,1125","0,1063","10,03B","5,51%"
"16.05.2023","0,1063","0,1070","0,1074","0,1050","2,00B","0,36%"
"15.05.2023","0,1059","0,1055","0,1063","0,1044","1,41B","0,84%"
"12.05.2023","0,1050","0,1053","0,1066","0,1034","1,26B","-0,28%"
"11.05.2023","0,1053","0,1074","0,1083","0,1030","3,02B","-1,59%"
"10.05.2023","0,1070","0,1018","0,1088","0,1012","5,15B","5,21%"
