"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","77,80","78,69","79,36","77,44","3,57M","-1,28%"
"28.12.2023","78,81","81,10","81,34","78,52","6,23M","-2,67%"
"27.12.2023","80,97","82,97","84,61","80,70","17,80M","-2,41%"
"26.12.2023","82,97","80,00","83,68","78,34","12,82M","3,80%"
"25.12.2023","79,93","78,51","81,30","78,50","8,17M","2,21%"
"22.12.2023","78,20","77,75","79,72","77,53","5,68M","0,96%"
"21.12.2023","77,46","79,10","79,80","76,75","7,40M","-2,04%"
"20.12.2023","79,07","80,60","80,94","78,54","5,94M","-0,94%"
"19.12.2023","79,82","79,23","81,77","78,11","19,47M","0,58%"
"18.12.2023","79,36","74,62","79,48","73,91","22,50M","6,74%"
"15.12.2023","74,35","68,00","75,80","67,81","18,11M","9,03%"
"14.12.2023","68,19","71,28","73,15","68,02","12,31M","-3,85%"
"13.12.2023","70,92","67,20","71,29","67,00","10,83M","5,54%"
"12.12.2023","67,20","67,16","68,80","66,51","6,03M","0,51%"
"11.12.2023","66,86","68,74","69,90","66,06","10,04M","-2,22%"
"08.12.2023","68,38","69,50","71,46","68,10","11,01M","-1,11%"
"07.12.2023","69,15","66,15","70,31","63,15","20,03M","4,68%"
"06.12.2023","66,06","69,48","70,50","64,40","19,58M","-4,59%"
"05.12.2023","69,24","66,91","69,69","62,66","40,08M","3,95%"
"04.12.2023","66,61","74,70","74,95","65,77","36,33M","-11,13%"
"01.12.2023","74,95","78,10","78,50","74,76","7,83M","-4,17%"
"30.11.2023","78,21","81,00","81,43","77,71","5,58M","-3,44%"
"29.11.2023","81,00","80,04","83,50","79,50","8,67M","1,22%"
"28.11.2023","80,02","80,70","82,86","79,11","10,05M","-0,81%"
"27.11.2023","80,67","83,69","83,69","77,38","17,00M","-3,77%"
"24.11.2023","83,83","87,74","88,33","83,46","6,95M","-4,57%"
"23.11.2023","87,84","91,10","91,10","87,53","4,84M","-3,43%"
"22.11.2023","90,96","91,01","91,88","90,50","1,41M","0,29%"
"21.11.2023","90,70","91,50","92,76","90,63","2,04M","-0,73%"
"20.11.2023","91,37","90,22","92,00","90,22","1,76M","1,29%"
"17.11.2023","90,21","91,50","92,81","88,05","4,97M","-1,37%"
"16.11.2023","91,46","93,45","94,50","91,27","5,01M","-2,13%"
"15.11.2023","93,45","93,17","95,26","92,08","3,98M","0,46%"
