"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","11.140,00","11.230,00","11.240,00","11.140,00","0,15K","1,09%"
"28.12.2023","11.020,00","11.150,00","11.260,00","10.930,00","0,09K","-1,17%"
"27.12.2023","11.150,00","11.040,00","11.350,00","10.780,00","0,21K","-1,76%"
"26.12.2023","11.350,00","11.570,00","11.570,00","11.180,00","0,09K","0,18%"
"25.12.2023","11.330,00","11.530,00","11.970,00","11.020,00","0,44K","-2,91%"
"22.12.2023","11.670,00","11.750,00","11.770,00","11.310,00","0,16K","2,55%"
"21.12.2023","11.380,00","11.530,00","11.750,00","11.350,00","0,19K","0,71%"
"20.12.2023","11.300,00","11.310,00","12.760,00","10.610,00","1,32K","-2,92%"
"19.12.2023","11.640,00","11.290,00","12.100,00","11.250,00","0,37K","3,10%"
"18.12.2023","11.290,00","10.320,00","11.320,00","10.320,00","0,36K","12,45%"
"15.12.2023","10.040,00","9.660,00","10.330,00","9.570,00","0,11K","3,93%"
"14.12.2023","9.660,00","9.920,00","10.330,00","9.500,00","0,23K","0,10%"
"13.12.2023","9.650,00","9.850,00","10.000,00","9.470,00","0,14K","-0,52%"
"12.12.2023","9.700,00","9.400,00","9.830,00","9.210,00","0,11K","3,52%"
"11.12.2023","9.370,00","9.270,00","9.450,00","9.210,00","0,11K","-0,21%"
"08.12.2023","9.390,00","9.500,00","10.400,00","9.250,00","0,27K","-1,16%"
"07.12.2023","9.500,00","10.000,00","10.220,00","9.190,00","0,34K","-5,19%"
"06.12.2023","10.020,00","10.030,00","10.950,00","10.010,00","0,24K","-0,10%"
"05.12.2023","10.030,00","10.740,00","10.740,00","9.800,00","0,42K","-6,61%"
"04.12.2023","10.740,00","11.970,00","11.980,00","10.660,00","0,24K","-6,28%"
"01.12.2023","11.460,00","11.570,00","11.990,00","11.250,00","0,12K","-2,05%"
"30.11.2023","11.700,00","12.100,00","12.100,00","11.510,00","0,12K","-3,31%"
"29.11.2023","12.100,00","12.430,00","12.430,00","11.790,00","0,11K","-0,33%"
"28.11.2023","12.140,00","11.580,00","12.370,00","10.880,00","0,29K","4,84%"
"27.11.2023","11.580,00","12.020,00","12.610,00","11.530,00","0,18K","-3,66%"
"24.11.2023","12.020,00","12.520,00","12.520,00","12.000,00","0,13K","-2,83%"
"23.11.2023","12.370,00","12.910,00","13.470,00","12.300,00","0,15K","-4,11%"
"22.11.2023","12.900,00","13.170,00","13.400,00","12.860,00","0,13K","0,00%"
"21.11.2023","12.900,00","13.430,00","13.450,00","12.640,00","0,40K","-3,44%"
"20.11.2023","13.360,00","13.210,00","13.550,00","12.990,00","0,12K","1,52%"
"17.11.2023","13.160,00","13.080,00","13.430,00","13.070,00","0,10K","-2,52%"
"16.11.2023","13.500,00","13.810,00","13.810,00","12.980,00","0,47K","3,61%"
"15.11.2023","13.030,00","11.730,00","14.180,00","11.010,00","1,16K","11,08%"
"14.11.2023","11.730,00","13.450,00","13.450,00","10.420,00","1,15K","-9,98%"
"13.11.2023","13.030,00","13.750,00","14.300,00","13.000,00","0,49K","-5,17%"
"10.11.2023","13.740,00","14.770,00","14.770,00","13.000,00","1,23K","-4,98%"
"09.11.2023","14.460,00","15.050,00","15.160,00","14.400,00","0,36K","-4,55%"
"08.11.2023","15.150,00","15.200,00","15.440,00","15.010,00","0,18K","-0,53%"
"07.11.2023","15.230,00","15.440,00","15.500,00","15.080,00","0,17K","-0,72%"
"06.11.2023","15.340,00","15.100,00","15.570,00","15.000,00","0,27K","-0,07%"
"03.11.2023","15.350,00","15.500,00","16.200,00","15.030,00","1,23K","1,32%"
"02.11.2023","15.150,00","14.830,00","15.180,00","14.800,00","0,30K","2,36%"
"01.11.2023","14.800,00","14.750,00","15.690,00","14.540,00","0,75K","1,93%"
"31.10.2023","14.520,00","15.290,00","15.402,00","14.222,00","0,76K","-5,14%"
"30.10.2023","15.306,00","15.020,00","15.992,00","15.020,00","0,83K","0,10%"
"27.10.2023","15.290,00","15.450,00","16.000,00","14.800,00","0,82K","-1,53%"
"26.10.2023","15.528,00","17.310,00","17.310,00","15.474,00","1,49K","-8,62%"
"25.10.2023","16.992,00","14.940,00","17.804,00","14.500,00","8,91K","13,95%"
"24.10.2023","14.912,00","14.476,00","15.336,00","14.188,00","0,36K","4,16%"
"23.10.2023","14.316,00","14.576,00","15.000,00","14.180,00","0,39K","-1,15%"
"20.10.2023","14.482,00","14.602,00","15.084,00","14.362,00","0,37K","-0,92%"
"19.10.2023","14.616,00","14.972,00","15.362,00","14.122,00","0,85K","-1,91%"
"18.10.2023","14.900,00","15.300,00","15.800,00","14.844,00","1,02K","-2,59%"
"17.10.2023","15.296,00","15.048,00","15.450,00","14.800,00","0,65K","3,35%"
"16.10.2023","14.800,00","14.122,00","15.652,00","13.900,00","1,89K","6,54%"
"13.10.2023","13.892,00","15.000,00","16.000,00","13.512,00","1,68K","-2,92%"
"12.10.2023","14.310,00","13.174,00","14.392,00","13.174,00","1,66K","5,91%"
"11.10.2023","13.512,00","13.482,00","13.980,00","13.000,00","0,32K","0,48%"
"10.10.2023","13.448,00","13.364,00","13.448,00","13.042,00","0,30K","1,49%"
"09.10.2023","13.250,00","13.238,00","13.504,00","12.760,00","0,28K","1,38%"
"06.10.2023","13.070,00","13.300,00","13.504,00","12.650,00","0,42K","-2,48%"
"05.10.2023","13.402,00","13.480,00","13.560,00","13.038,00","0,31K","0,03%"
"04.10.2023","13.398,00","12.840,00","13.642,00","12.530,00","0,92K","4,33%"
"03.10.2023","12.842,00","12.546,00","13.200,00","12.032,00","0,47K","3,26%"
"02.10.2023","12.436,00","12.996,00","12.996,00","12.328,00","0,54K","-2,23%"
"29.09.2023","12.720,00","13.256,00","13.258,00","12.580,00","0,62K","-4,68%"
"28.09.2023","13.344,00","13.506,00","13.786,00","13.066,00","0,34K","-1,14%"
"27.09.2023","13.498,00","13.580,00","13.900,00","13.318,00","0,61K","-0,75%"
"26.09.2023","13.600,00","13.898,00","14.742,00","13.030,00","1,45K","-2,14%"
"25.09.2023","13.898,00","12.132,00","14.454,00","11.906,00","3,21K","16,79%"
"22.09.2023","11.900,00","11.252,00","12.132,00","10.816,00","0,37K","5,76%"
"21.09.2023","11.252,00","11.702,00","11.702,00","10.684,00","0,60K","-5,25%"
"20.09.2023","11.876,00","12.232,00","12.960,00","10.858,00","1,61K","-1,85%"
"19.09.2023","12.100,00","13.800,00","13.950,00","11.330,00","1,33K","-10,70%"
"18.09.2023","13.550,00","14.900,00","14.900,00","13.116,00","0,64K","-3,17%"
"15.09.2023","13.994,00","13.330,00","14.246,00","12.814,00","0,57K","4,98%"
"14.09.2023","13.330,00","14.546,00","14.546,00","12.364,00","0,74K","-8,36%"
"13.09.2023","14.546,00","16.110,00","16.370,00","14.270,00","0,80K","-6,23%"
"12.09.2023","15.512,00","15.714,00","16.110,00","15.180,00","0,72K","-1,29%"
"11.09.2023","15.714,00","16.330,00","16.490,00","15.600,00","0,66K","-4,71%"
"08.09.2023","16.490,00","15.064,00","17.280,00","15.064,00","1,49K","4,83%"
"07.09.2023","15.730,00","16.520,00","17.260,00","15.548,00","0,83K","-7,99%"
"06.09.2023","17.096,00","17.906,00","18.180,00","16.820,00","0,79K","-4,52%"
"05.09.2023","17.906,00","17.680,00","18.592,00","17.102,00","1,11K","3,48%"
"04.09.2023","17.304,00","18.032,00","19.120,00","15.642,00","2,21K","-1,61%"
"01.09.2023","17.588,00","15.620,00","19.470,00","15.066,00","15,14K","23,86%"
"31.08.2023","14.200,00","10.278,00","14.200,00","10.272,00","12,65K","39,90%"
"30.08.2023","10.150,00","10.200,00","10.410,00","9.802,00","0,51K","0,61%"
"29.08.2023","10.088,00","9.990,00","10.430,00","9.600,00","1,53K","3,21%"
"28.08.2023","9.774,00","9.700,00","10.488,00","9.502,00","3,31K","1,81%"
"25.08.2023","9.600,00","9.482,00","9.700,00","9.212,00","0,38K","2,70%"
"24.08.2023","9.348,00","9.650,00","9.798,00","9.050,00","0,89K","-2,20%"
"23.08.2023","9.558,00","10.150,00","10.300,00","9.444,00","3,00K","-5,83%"
