"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","3,9660","3,9690","3,9690","3,9330","60,34M","0,10%"
"28.12.2023","3,9620","3,9800","4,0000","3,9500","80,76M","-0,20%"
"27.12.2023","3,9700","3,9970","4,0045","3,9700","69,63M","-0,68%"
"26.12.2023","3,9970","3,9785","4,0000","3,9455","71,64M","0,48%"
"25.12.2023","3,9780","4,0000","4,0100","3,9655","84,91M","-0,33%"
"22.12.2023","3,9910","4,0000","4,0100","3,9820","58,47M","0,03%"
"21.12.2023","3,9900","4,0365","4,0365","3,9565","93,99M","-1,16%"
"20.12.2023","4,0370","4,0065","4,0400","4,0005","69,54M","0,76%"
"19.12.2023","4,0065","3,9970","4,0195","3,9755","69,56M","0,23%"
"18.12.2023","3,9975","4,0095","4,0200","3,9700","89,43M","0,48%"
"15.12.2023","3,9785","3,9080","3,9860","3,9080","93,50M","1,80%"
"14.12.2023","3,9080","3,9160","3,9300","3,8865","62,38M","-0,20%"
"13.12.2023","3,9160","3,9150","3,9485","3,8900","71,97M","-0,11%"
"12.12.2023","3,9205","3,9440","3,9630","3,8805","144,73M","-0,60%"
"11.12.2023","3,9440","4,0325","4,0435","3,9290","84,64M","-2,19%"
"08.12.2023","4,0325","3,9770","4,0500","3,9715","49,84M","1,52%"
"07.12.2023","3,9720","3,9050","4,0250","3,8700","120,74M","0,62%"
"06.12.2023","3,9475","4,0530","4,0700","3,9250","127,70M","-2,54%"
"05.12.2023","4,0505","4,0295","4,0745","4,0060","95,70M","0,73%"
"04.12.2023","4,0210","4,0780","4,0780","3,9900","122,78M","-1,51%"
"01.12.2023","4,0825","4,1350","4,1835","4,0785","80,64M","-1,56%"
"30.11.2023","4,1470","4,1510","4,1880","4,1010","77,93M","-0,10%"
"29.11.2023","4,1510","4,2215","4,2215","4,1200","78,00M","-1,35%"
"28.11.2023","4,2080","4,1995","4,2320","4,1875","65,58M","0,20%"
"27.11.2023","4,1995","4,2300","4,2540","4,1870","51,55M","-0,70%"
"24.11.2023","4,2290","4,2490","4,2645","4,1765","86,42M","-0,19%"
"23.11.2023","4,2370","4,2875","4,3095","4,2130","77,90M","-1,18%"
"22.11.2023","4,2875","4,3075","4,3280","4,2735","62,60M","-0,24%"
"21.11.2023","4,2980","4,2500","4,3085","4,2375","74,38M","0,96%"
"20.11.2023","4,2570","4,2230","4,2600","4,2000","52,99M","0,81%"
"17.11.2023","4,2230","4,2135","4,2285","4,1635","95,34M","0,21%"
"16.11.2023","4,2140","4,2530","4,2695","4,1970","81,00M","-0,50%"
"15.11.2023","4,2350","4,2305","4,2570","4,1640","107,79M","-0,18%"
"14.11.2023","4,2425","4,2865","4,2965","4,2210","101,75M","-0,74%"
"13.11.2023","4,2740","4,2340","4,3130","4,2100","90,36M","0,60%"
"10.11.2023","4,2485","4,2870","4,3215","4,2045","86,38M","-0,86%"
"09.11.2023","4,2855","4,3255","4,3260","4,2515","75,22M","-0,58%"
"08.11.2023","4,3105","4,2540","4,3385","4,2505","96,30M","1,33%"
"07.11.2023","4,2540","4,2650","4,2890","4,2420","47,26M","-0,39%"
"06.11.2023","4,2705","4,2050","4,2720","4,2050","57,50M","1,56%"
"03.11.2023","4,2050","4,2490","4,2800","4,1820","126,02M","-1,04%"
"02.11.2023","4,2490","4,3090","4,3090","4,2095","128,13M","-1,06%"
"01.11.2023","4,2945","4,2840","4,3185","4,2560","115,11M","0,33%"
"31.10.2023","4,2805","4,3785","4,3795","4,2405","199,35M","-2,00%"
"30.10.2023","4,3680","4,3785","4,4270","4,3600","56,64M","-0,24%"
"27.10.2023","4,3785","4,3800","4,4070","4,3105","111,04M","0,11%"
"26.10.2023","4,3735","4,5135","4,5210","4,3400","268,65M","-2,81%"
"25.10.2023","4,5000","4,5285","4,5325","4,4535","103,79M","-0,57%"
"24.10.2023","4,5260","4,5300","4,5975","4,4825","178,92M","0,15%"
"23.10.2023","4,5190","4,4355","4,5420","4,4180","235,22M","1,88%"
"20.10.2023","4,4355","4,4600","4,4750","4,4050","75,21M","-0,27%"
"19.10.2023","4,4475","4,4110","4,4850","4,3990","87,59M","0,63%"
