"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","26,53","25,77","26,96","25,52","2,80M","3,63%"
"28.12.2023","25,60","26,79","26,79","25,51","1,08M","-3,32%"
"27.12.2023","26,48","27,30","27,57","26,42","1,81M","-2,90%"
"26.12.2023","27,27","25,99","27,44","25,60","7,98M","6,15%"
"25.12.2023","25,69","25,25","26,50","25,02","1,64M","2,84%"
"22.12.2023","24,98","25,07","25,29","24,91","388,65K","0,32%"
"21.12.2023","24,90","25,51","25,54","24,66","813,27K","-2,39%"
"20.12.2023","25,51","25,55","25,81","25,10","497,62K","0,55%"
"19.12.2023","25,37","25,16","25,82","24,90","1,33M","0,83%"
"18.12.2023","25,16","25,00","25,49","24,50","893,40K","1,78%"
"15.12.2023","24,72","24,09","25,00","23,85","802,88K","1,52%"
"14.12.2023","24,35","23,45","24,79","23,34","2,24M","3,84%"
"13.12.2023","23,45","23,04","23,53","22,84","160,06K","1,78%"
"12.12.2023","23,04","23,10","23,84","22,81","623,17K","-0,26%"
"11.12.2023","23,10","23,94","23,94","23,04","245,45K","-2,94%"
"08.12.2023","23,80","24,10","24,50","23,31","274,02K","0,68%"
"07.12.2023","23,64","23,31","24,00","22,50","608,38K","1,42%"
"06.12.2023","23,31","24,29","24,46","23,00","418,79K","-1,15%"
"05.12.2023","23,58","24,67","25,48","22,99","1,21M","-3,87%"
"04.12.2023","24,53","25,30","25,33","24,21","444,83K","-3,20%"
"01.12.2023","25,34","25,92","26,06","25,27","196,80K","-2,05%"
"30.11.2023","25,87","26,59","26,59","25,72","405,38K","-2,19%"
"29.11.2023","26,45","26,24","27,31","26,10","858,70K","1,11%"
"28.11.2023","26,16","26,13","26,25","25,85","199,49K","0,11%"
"27.11.2023","26,13","27,49","27,58","25,85","1,02M","-5,53%"
"24.11.2023","27,66","28,57","28,57","27,50","155,52K","-1,11%"
"23.11.2023","27,97","28,81","29,20","27,59","450,63K","-2,92%"
"22.11.2023","28,81","28,60","28,98","28,57","215,33K","0,88%"
"21.11.2023","28,56","28,85","28,85","28,33","225,04K","-1,11%"
"20.11.2023","28,88","28,80","29,10","28,40","150,42K","0,59%"
"17.11.2023","28,71","29,11","29,30","28,36","186,96K","-1,10%"
"16.11.2023","29,03","29,45","29,92","28,70","527,83K","-1,43%"
"15.11.2023","29,45","27,12","29,56","26,82","1,27M","5,44%"
"14.11.2023","27,93","29,56","29,56","27,12","1,02M","-5,80%"
"13.11.2023","29,65","30,97","31,19","29,20","1,11M","-4,29%"
"10.11.2023","30,98","30,81","31,25","30,56","576,07K","0,85%"
"09.11.2023","30,72","30,91","31,09","30,62","147,65K","-0,61%"
"08.11.2023","30,91","30,91","31,09","30,77","151,39K","0,26%"
"07.11.2023","30,83","30,70","30,95","30,54","183,28K","0,42%"
"06.11.2023","30,70","30,97","31,14","30,45","167,39K","0,46%"
"03.11.2023","30,56","31,01","31,22","30,50","309,13K","-1,45%"
"02.11.2023","31,01","30,97","31,46","30,97","277,15K","0,23%"
"01.11.2023","30,94","30,80","31,09","30,67","129,03K","0,45%"
"31.10.2023","30,80","31,73","31,73","30,67","279,81K","-2,44%"
"30.10.2023","31,57","31,84","32,00","31,45","220,00K","0,35%"
"27.10.2023","31,46","32,16","32,16","31,18","370,75K","-0,85%"
"26.10.2023","31,73","32,95","33,42","31,61","1,08M","-3,70%"
"25.10.2023","32,95","32,17","33,00","32,16","933,18K","2,49%"
"24.10.2023","32,15","31,65","32,98","31,50","1,68M","1,55%"
"23.10.2023","31,66","31,48","31,94","31,21","823,52K","0,83%"
"20.10.2023","31,40","31,58","31,69","31,15","429,70K","0,00%"
"19.10.2023","31,40","31,49","31,77","30,68","1,09M","-0,29%"
"18.10.2023","31,49","31,50","31,79","31,04","1,39M","0,41%"
"17.10.2023","31,36","31,30","31,50","31,11","473,74K","0,51%"
"16.10.2023","31,20","30,56","31,20","30,26","759,15K","2,09%"
"13.10.2023","30,56","31,10","31,33","30,35","917,25K","-0,91%"
"12.10.2023","30,84","31,02","31,18","30,10","505,16K","-1,53%"
"11.10.2023","31,32","31,75","31,75","31,10","608,61K","-1,17%"
"10.10.2023","31,69","31,75","31,93","31,02","455,77K","-0,19%"
"09.10.2023","31,75","32,03","32,40","31,34","883,11K","-0,75%"
"06.10.2023","31,99","32,33","32,50","31,90","389,34K","-1,27%"
"05.10.2023","32,40","32,45","33,25","32,30","970,33K","-0,15%"
