"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","18,84","18,96","19,04","18,30","1,08M","-0,32%"
"28.12.2023","18,90","19,20","20,47","18,80","2,34M","-1,56%"
"27.12.2023","19,20","18,70","19,51","18,70","2,40M","2,95%"
"26.12.2023","18,65","19,58","19,69","18,49","1,25M","-4,16%"
"25.12.2023","19,46","19,50","19,95","19,08","1,07M","-0,87%"
"22.12.2023","19,63","19,68","20,00","19,26","1,22M","0,41%"
"21.12.2023","19,55","20,07","20,48","19,18","1,83M","-2,59%"
"20.12.2023","20,07","19,76","20,13","19,51","1,19M","2,40%"
"19.12.2023","19,60","19,50","19,88","19,00","1,67M","0,93%"
"18.12.2023","19,42","19,49","19,62","18,63","2,59M","3,52%"
"15.12.2023","18,76","18,65","18,86","17,66","2,56M","1,41%"
"14.12.2023","18,50","19,01","19,30","18,30","1,55M","-2,12%"
"13.12.2023","18,90","18,71","19,78","18,43","5,05M","-0,53%"
"12.12.2023","19,00","17,68","19,30","17,21","8,58M","8,32%"
"11.12.2023","17,54","17,88","18,77","17,35","2,10M","-1,79%"
"08.12.2023","17,86","18,50","18,92","17,28","1,95M","-1,76%"
"07.12.2023","18,18","17,93","18,67","16,50","4,79M","1,56%"
"06.12.2023","17,90","18,44","18,48","17,50","1,71M","-2,35%"
"05.12.2023","18,33","19,20","19,38","17,40","4,44M","-3,58%"
"04.12.2023","19,01","20,69","20,70","19,01","2,28M","-8,16%"
"01.12.2023","20,70","20,70","21,27","20,55","1,39M","-2,50%"
"30.11.2023","21,23","21,78","22,12","20,70","864,40K","-2,08%"
"29.11.2023","21,68","22,03","23,01","21,52","1,61M","-1,59%"
"28.11.2023","22,03","21,10","22,62","20,21","3,24M","4,31%"
"27.11.2023","21,12","22,35","22,48","20,82","1,59M","-5,50%"
"24.11.2023","22,35","22,54","23,19","21,87","825,90K","-0,75%"
"23.11.2023","22,52","22,78","22,78","22,41","349,90K","-0,66%"
"22.11.2023","22,67","22,78","23,48","22,41","883,20K","-0,79%"
"21.11.2023","22,85","22,72","22,98","22,50","440,90K","0,57%"
"20.11.2023","22,72","23,07","23,41","22,22","760,20K","-1,22%"
"17.11.2023","23,00","23,60","23,60","22,29","1,67M","-2,29%"
"16.11.2023","23,54","22,57","24,20","22,12","2,71M","3,25%"
"15.11.2023","22,80","21,90","23,43","20,75","2,62M","3,97%"
"14.11.2023","21,93","23,66","23,66","20,79","3,69M","-7,04%"
"13.11.2023","23,59","24,64","25,10","23,12","2,46M","-3,95%"
"10.11.2023","24,56","25,21","25,30","24,40","1,56M","-3,12%"
"09.11.2023","25,35","26,40","26,40","25,31","894,20K","-0,35%"
"08.11.2023","25,44","25,86","25,86","25,22","798,50K","-1,43%"
"07.11.2023","25,81","26,01","26,09","25,75","498,10K","-0,42%"
"06.11.2023","25,92","25,98","26,10","25,35","948,70K","0,23%"
"03.11.2023","25,86","26,75","26,75","25,79","1,10M","-2,23%"
"02.11.2023","26,45","26,61","27,29","26,35","2,07M","-0,08%"
"01.11.2023","26,47","26,72","27,12","26,04","1,61M","-0,68%"
"31.10.2023","26,65","27,61","27,90","26,48","3,56M","-2,56%"
"30.10.2023","27,35","26,70","27,77","26,67","5,99M","3,21%"
"27.10.2023","26,50","25,24","26,55","24,20","4,51M","5,79%"
"26.10.2023","25,05","26,93","27,07","25,00","2,66M","-6,95%"
"25.10.2023","26,92","27,25","27,63","26,51","3,76M","-1,14%"
"24.10.2023","27,23","25,56","27,30","25,20","9,26M","7,20%"
"23.10.2023","25,40","24,44","25,88","24,38","5,93M","4,35%"
"20.10.2023","24,34","24,84","24,88","24,02","796,10K","-1,82%"
"19.10.2023","24,79","24,93","25,07","24,75","469,10K","-0,56%"
"18.10.2023","24,93","25,33","25,46","24,59","1,05M","-1,27%"
"17.10.2023","25,25","25,12","25,40","25,00","873,40K","0,56%"
"16.10.2023","25,11","25,10","25,54","25,01","995,60K","0,12%"
"13.10.2023","25,08","25,10","25,75","24,91","925,20K","0,32%"
"12.10.2023","25,00","24,96","25,34","24,58","1,16M","-1,42%"
"11.10.2023","25,36","25,20","25,71","25,07","2,16M","-0,08%"
"10.10.2023","25,38","24,24","25,78","23,75","8,57M","7,22%"
"09.10.2023","23,67","23,90","24,19","23,53","881,80K","0,08%"
"06.10.2023","23,65","24,35","24,35","22,97","1,42M","-2,19%"
"05.10.2023","24,18","24,48","24,50","23,76","1,32M","-1,23%"
"04.10.2023","24,48","24,45","25,18","24,33","1,29M","1,12%"
"03.10.2023","24,21","24,81","24,90","24,01","953,80K","-2,38%"
"02.10.2023","24,80","25,25","25,96","24,51","2,76M","-1,78%"
"29.09.2023","25,25","26,40","26,40","24,82","1,53M","-2,47%"
"28.09.2023","25,89","25,38","26,52","25,35","3,39M","2,13%"
"27.09.2023","25,35","24,48","25,49","24,48","1,56M","3,22%"
"26.09.2023","24,56","24,56","24,77","24,02","1,03M","-0,16%"
"25.09.2023","24,60","24,52","25,66","24,01","3,07M","2,50%"
"22.09.2023","24,00","23,18","24,49","22,24","2,20M","4,76%"
"21.09.2023","22,91","23,19","24,10","22,50","1,96M","-3,05%"
"20.09.2023","23,63","25,34","26,27","22,06","6,97M","-6,79%"
"19.09.2023","25,35","27,89","27,89","24,35","5,67M","-6,63%"
"18.09.2023","27,15","29,00","29,00","26,50","5,20M","0,85%"
"15.09.2023","26,92","25,54","27,77","24,57","3,60M","5,53%"
"14.09.2023","25,51","28,32","28,32","21,20","7,71M","-9,67%"
"13.09.2023","28,24","29,27","29,62","27,95","1,52M","-2,86%"
"12.09.2023","29,07","28,74","29,93","27,89","2,55M","1,75%"
"11.09.2023","28,57","28,57","29,52","27,33","2,94M","0,00%"
"08.09.2023","28,57","28,31","30,70","27,25","5,30M","1,10%"
"07.09.2023","28,26","30,00","32,70","27,05","20,02M","-5,26%"
"06.09.2023","29,83","30,00","30,40","28,80","4,74M","-0,03%"
"05.09.2023","29,84","28,90","31,28","28,52","11,56M","3,90%"
"04.09.2023","28,72","28,78","29,80","28,41","4,77M","0,42%"
"01.09.2023","28,60","29,23","29,23","28,10","2,22M","-1,24%"
"31.08.2023","28,96","27,78","29,22","27,78","5,57M","3,61%"
"30.08.2023","27,95","28,56","28,79","27,67","3,33M","-1,79%"
"29.08.2023","28,46","28,91","29,00","28,02","2,45M","-1,52%"
"28.08.2023","28,90","29,40","29,50","28,50","3,97M","-0,07%"
"25.08.2023","28,92","29,10","29,78","28,40","7,47M","0,84%"
"24.08.2023","28,68","28,60","28,82","27,16","3,37M","0,28%"
"23.08.2023","28,60","28,46","29,90","28,00","11,86M","0,81%"
"22.08.2023","28,37","26,55","29,28","26,51","20,49M","8,28%"
"21.08.2023","26,20","25,70","26,58","25,70","3,51M","2,26%"
"18.08.2023","25,62","25,10","26,30","24,76","3,56M","2,52%"
"17.08.2023","24,99","24,92","25,49","23,91","1,96M","0,77%"
"16.08.2023","24,80","24,99","26,62","23,91","5,16M","-0,76%"
"15.08.2023","24,99","25,17","25,78","23,84","2,97M","-0,40%"
"14.08.2023","25,09","25,05","26,79","23,60","7,05M","-2,53%"
"11.08.2023","25,74","25,07","26,88","23,55","14,49M","1,34%"
"10.08.2023","25,40","23,00","28,36","22,50","64,25M","15,40%"
"09.08.2023","22,01","21,17","22,34","20,20","10,62M","4,61%"
"08.08.2023","21,04","21,41","21,64","20,02","8,18M","1,11%"
"07.08.2023","20,81","21,20","22,80","20,71","11,21M","1,66%"
"04.08.2023","20,47","21,13","21,62","20,00","4,18M","-4,97%"
"03.08.2023","21,54","20,63","22,00","20,63","6,13M","4,21%"
"02.08.2023","20,67","20,50","21,76","19,90","11,81M","4,13%"
"01.08.2023","19,85","19,57","19,86","19,21","2,96M","1,48%"
"31.07.2023","19,56","18,79","19,89","18,61","7,03M","4,54%"
"28.07.2023","18,71","18,43","19,18","18,07","4,55M","2,13%"
"27.07.2023","18,32","18,61","18,61","18,08","892,30K","0,00%"
"26.07.2023","18,32","18,40","18,75","18,15","1,68M","1,10%"
"25.07.2023","18,12","18,56","18,74","18,12","1,90M","-2,05%"
"24.07.2023","18,50","17,60","18,79","17,60","2,74M","2,78%"
"21.07.2023","18,00","17,52","18,42","17,30","4,63M","2,74%"
"20.07.2023","17,52","18,40","18,45","17,11","8,15M","-6,76%"
"19.07.2023","18,79","15,67","20,29","15,67","65,23M","20,06%"
"18.07.2023","15,65","15,34","15,66","15,34","1,66M","2,02%"
"17.07.2023","15,34","15,23","15,51","15,18","1,17M","0,39%"
"14.07.2023","15,28","15,39","15,39","15,05","706,70K","-0,13%"
"13.07.2023","15,30","15,70","15,70","15,13","2,11M","-1,73%"
"12.07.2023","15,57","15,60","15,66","15,00","1,51M","0,06%"
"11.07.2023","15,56","15,67","15,98","15,30","1,59M","-0,70%"
"10.07.2023","15,67","15,70","15,86","15,56","849,00K","0,00%"
"07.07.2023","15,67","15,65","15,73","15,50","327,90K","0,38%"
"06.07.2023","15,61","15,88","16,09","15,49","1,19M","-1,64%"
"05.07.2023","15,87","15,30","15,98","15,21","2,89M","4,13%"
"04.07.2023","15,24","15,10","15,38","15,01","1,31M","1,40%"
"03.07.2023","15,03","15,20","15,26","14,88","548,50K","0,74%"
"30.06.2023","14,92","14,93","15,06","14,89","387,90K","-0,20%"
"29.06.2023","14,95","14,98","15,35","14,88","1,06M","-0,20%"
"28.06.2023","14,98","14,90","15,40","14,71","1,37M","0,94%"
"27.06.2023","14,84","14,90","14,90","14,52","391,00K","1,50%"
"26.06.2023","14,62","14,65","14,74","14,41","663,40K","-0,88%"
"23.06.2023","14,75","14,83","14,88","14,51","756,70K","-0,54%"
"22.06.2023","14,83","15,07","15,08","14,65","895,60K","-1,33%"
"21.06.2023","15,03","15,14","15,15","15,00","614,40K","-0,40%"
"20.06.2023","15,09","15,43","15,43","14,89","1,08M","-0,98%"
"19.06.2023","15,24","15,02","15,88","15,01","4,36M","1,46%"
"16.06.2023","15,02","14,95","15,35","14,86","2,03M","0,74%"
"15.06.2023","14,91","15,05","15,10","14,71","732,20K","-0,80%"
"14.06.2023","15,03","14,62","15,18","14,62","1,99M","2,87%"
"13.06.2023","14,61","14,42","14,76","14,42","753,30K","1,46%"
"09.06.2023","14,40","14,41","14,63","14,38","475,60K","-0,07%"
"08.06.2023","14,41","14,56","14,63","14,23","558,10K","-0,76%"
"07.06.2023","14,52","14,45","14,80","14,42","485,80K","0,83%"
"06.06.2023","14,40","14,65","14,65","13,91","714,10K","-1,57%"
"05.06.2023","14,63","14,55","14,99","14,36","929,20K","0,83%"
"02.06.2023","14,51","14,40","14,72","14,40","535,30K","0,35%"
"01.06.2023","14,46","14,60","14,90","14,45","446,20K","-1,77%"
