"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","650,00","621,60","654,00","620,00","183,38K","4,54%"
"28.12.2023","621,80","629,20","631,60","613,40","100,88K","-1,18%"
"27.12.2023","629,20","632,60","648,00","624,20","89,88K","-0,54%"
"26.12.2023","632,60","644,80","648,60","625,00","80,68K","-1,89%"
"25.12.2023","644,80","643,80","655,00","643,80","39,65K","0,16%"
"22.12.2023","643,80","639,60","651,00","638,20","37,30K","0,72%"
"21.12.2023","639,20","653,00","653,00","631,60","67,43K","-2,02%"
"20.12.2023","652,40","656,60","661,60","650,00","43,64K","-0,64%"
"19.12.2023","656,60","645,00","658,00","645,00","56,98K","1,33%"
"18.12.2023","648,00","650,40","660,00","641,40","82,57K","-0,64%"
"15.12.2023","652,20","625,20","654,80","622,60","101,40K","3,72%"
"14.12.2023","628,80","654,80","663,00","626,00","144,86K","-4,23%"
"13.12.2023","656,60","643,00","665,00","640,20","101,62K","2,08%"
"12.12.2023","643,20","636,40","649,80","629,00","89,76K","1,42%"
"11.12.2023","634,20","638,00","645,00","623,00","118,51K","-0,60%"
"08.12.2023","638,00","624,00","639,80","617,20","157,91K","2,57%"
"07.12.2023","622,00","609,20","630,00","595,20","308,95K","1,14%"
"06.12.2023","615,00","636,00","644,00","605,00","181,93K","-3,42%"
"05.12.2023","636,80","641,60","657,60","626,00","186,17K","-0,13%"
"04.12.2023","637,60","647,00","675,20","632,20","120,45K","-1,48%"
"01.12.2023","647,20","655,00","664,40","641,40","95,83K","-1,55%"
"30.11.2023","657,40","662,80","673,80","655,40","39,74K","-1,68%"
"29.11.2023","668,60","650,00","675,60","643,60","107,77K","2,86%"
"28.11.2023","650,00","651,00","655,00","640,40","68,77K","-0,25%"
"27.11.2023","651,60","670,40","672,00","641,20","104,94K","-3,06%"
"24.11.2023","672,20","661,00","674,40","658,00","74,28K","1,69%"
"23.11.2023","661,00","680,00","680,60","655,20","54,90K","-2,79%"
"22.11.2023","680,00","685,00","685,00","679,40","25,82K","-0,70%"
"21.11.2023","684,80","684,80","690,60","682,00","23,09K","-0,84%"
"20.11.2023","690,60","683,00","695,20","683,00","65,98K","0,96%"
"17.11.2023","684,00","687,00","697,00","678,20","77,09K","-0,67%"
"16.11.2023","688,60","685,00","715,00","683,00","149,04K","0,35%"
