"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","7.006,0","6.970,0","7.018,0","6.930,5","229,02K","0,52%"
"28.12.2023","6.970,0","7.002,0","7.014,5","6.875,0","243,89K","-0,18%"
"27.12.2023","6.982,5","6.944,0","7.018,5","6.907,5","333,35K","0,90%"
"26.12.2023","6.920,5","6.944,0","6.975,0","6.859,5","374,41K","-0,27%"
"25.12.2023","6.939,5","6.685,0","6.939,5","6.685,0","592,98K","3,88%"
"22.12.2023","6.680,0","6.705,5","6.741,0","6.645,0","231,41K","-0,37%"
"21.12.2023","6.704,5","6.694,5","6.748,5","6.590,0","379,93K","0,18%"
"20.12.2023","6.692,5","6.490,0","6.768,0","6.478,0","610,72K","3,32%"
"19.12.2023","6.477,5","6.472,5","6.495,5","6.377,5","213,30K","0,20%"
"18.12.2023","6.464,5","6.375,0","6.472,5","6.318,0","322,31K","1,61%"
"15.12.2023","6.362,0","6.072,0","6.398,0","6.057,0","430,29K","4,77%"
"14.12.2023","6.072,5","6.109,5","6.165,5","6.030,0","200,58K","-0,39%"
"13.12.2023","6.096,5","6.048,0","6.128,0","6.026,5","131,59K","0,41%"
"12.12.2023","6.071,5","6.068,5","6.137,5","6.022,0","251,57K","0,21%"
"11.12.2023","6.058,5","6.170,0","6.193,0","6.005,0","319,31K","-1,81%"
"08.12.2023","6.170,0","6.275,5","6.295,0","6.162,0","238,48K","-1,50%"
"07.12.2023","6.264,0","6.362,0","6.390,0","6.231,0","305,97K","-1,39%"
"06.12.2023","6.352,0","6.339,0","6.479,5","6.287,5","415,21K","0,29%"
"05.12.2023","6.333,5","6.266,5","6.334,0","6.225,0","218,13K","1,09%"
"04.12.2023","6.265,0","6.425,0","6.438,5","6.265,0","404,34K","-2,19%"
"01.12.2023","6.405,5","6.370,0","6.480,0","6.330,5","467,59K","0,81%"
"30.11.2023","6.354,0","6.377,5","6.434,5","6.275,0","387,57K","-0,37%"
"29.11.2023","6.377,5","6.350,5","6.447,0","6.300,5","326,19K","0,47%"
"28.11.2023","6.347,5","6.319,0","6.353,0","6.261,0","353,48K","0,91%"
"27.11.2023","6.290,0","6.348,0","6.390,0","6.260,0","647,88K","-0,52%"
"24.11.2023","6.323,0","6.240,0","6.388,0","6.165,5","1,73M","1,02%"
"23.11.2023","6.259,0","6.046,0","6.350,0","5.988,0","1,66M","3,53%"
"22.11.2023","6.045,5","5.967,0","6.049,0","5.952,5","279,50K","1,57%"
"21.11.2023","5.952,0","5.931,0","5.980,0","5.900,5","208,92K","0,35%"
"20.11.2023","5.931,0","5.903,5","6.005,5","5.903,5","236,13K","0,47%"
"17.11.2023","5.903,5","5.811,0","5.930,0","5.760,5","271,72K","1,38%"
"16.11.2023","5.823,0","5.940,5","5.956,0","5.817,5","219,43K","-1,89%"
"15.11.2023","5.935,0","5.916,5","5.973,5","5.851,0","472,15K","-0,08%"
"14.11.2023","5.940,0","6.062,0","6.088,5","5.911,0","498,70K","-2,00%"
"13.11.2023","6.061,0","6.020,0","6.119,5","5.974,0","233,16K","0,76%"
"10.11.2023","6.015,5","6.078,0","6.110,0","5.995,0","193,87K","-1,05%"
"09.11.2023","6.079,5","6.096,0","6.115,5","5.992,0","328,66K","-0,17%"
"08.11.2023","6.090,0","6.055,0","6.175,0","6.028,5","552,32K","0,75%"
