"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","1.610,0","1.610,0","1.610,0","1.540,0","0,75K","0,63%"
"28.12.2023","1.600,0","1.655,0","1.655,0","1.595,0","0,43K","-3,32%"
"27.12.2023","1.655,0","1.665,0","1.680,0","1.620,0","0,51K","-0,30%"
"26.12.2023","1.660,0","1.665,0","1.680,0","1.645,0","0,52K","-0,30%"
"25.12.2023","1.665,0","1.655,0","1.695,0","1.625,0","0,50K","0,60%"
"22.12.2023","1.655,0","1.670,0","1.705,0","1.615,0","0,45K","-1,49%"
"21.12.2023","1.680,0","1.675,0","1.705,0","1.665,0","0,57K","-0,88%"
"20.12.2023","1.695,0","1.700,0","1.725,0","1.665,0","0,73K","0,00%"
"19.12.2023","1.695,0","1.685,0","1.710,0","1.665,0","0,99K","0,59%"
"18.12.2023","1.685,0","1.645,0","1.685,0","1.625,0","0,80K","2,43%"
"15.12.2023","1.645,0","1.590,0","1.650,0","1.555,0","0,41K","3,46%"
"14.12.2023","1.590,0","1.570,0","1.635,0","1.535,0","0,65K","1,27%"
"13.12.2023","1.570,0","1.620,0","1.640,0","1.550,0","0,55K","-2,79%"
"12.12.2023","1.615,0","1.640,0","1.710,0","1.530,0","1,17K","-1,82%"
"11.12.2023","1.645,0","1.690,0","1.690,0","1.610,0","0,50K","-1,20%"
"08.12.2023","1.665,0","1.600,0","1.665,0","1.590,0","0,29K","3,74%"
"07.12.2023","1.605,0","1.605,0","1.625,0","1.515,0","0,58K","0,94%"
"06.12.2023","1.590,0","1.695,0","1.705,0","1.590,0","0,77K","-5,64%"
"05.12.2023","1.685,0","1.740,0","1.775,0","1.630,0","0,99K","-2,32%"
"04.12.2023","1.725,0","1.800,0","1.800,0","1.700,0","0,97K","-4,17%"
"01.12.2023","1.800,0","1.810,0","1.810,0","1.785,0","0,14K","-0,28%"
"30.11.2023","1.805,0","1.815,0","1.835,0","1.800,0","0,39K","-0,55%"
"29.11.2023","1.815,0","1.880,0","1.880,0","1.760,0","1,47K","-3,46%"
"28.11.2023","1.880,0","1.870,0","1.910,0","1.865,0","0,46K","0,53%"
"27.11.2023","1.870,0","1.900,0","1.925,0","1.820,0","0,52K","-1,06%"
"24.11.2023","1.890,0","1.905,0","1.930,0","1.880,0","0,20K","-2,83%"
"23.11.2023","1.945,0","1.930,0","1.945,0","1.870,0","0,45K","0,26%"
"22.11.2023","1.940,0","1.915,0","1.950,0","1.915,0","0,18K","1,31%"
"21.11.2023","1.915,0","1.900,0","1.940,0","1.895,0","0,54K","-0,26%"
"20.11.2023","1.920,0","1.930,0","1.930,0","1.900,0","0,35K","0,00%"
"17.11.2023","1.920,0","1.925,0","1.960,0","1.830,0","1,24K","-0,26%"
"16.11.2023","1.925,0","1.950,0","1.970,0","1.890,0","0,55K","-0,77%"
"15.11.2023","1.940,0","1.930,0","1.980,0","1.820,0","0,83K","1,57%"
"14.11.2023","1.910,0","1.950,0","1.965,0","1.895,0","0,72K","-2,55%"
"13.11.2023","1.960,0","1.955,0","1.980,0","1.905,0","0,70K","-0,51%"
"10.11.2023","1.970,0","2.005,0","2.015,0","1.955,0","0,56K","-1,50%"
"09.11.2023","2.000,0","2.040,0","2.050,0","1.990,0","0,34K","-1,72%"
"08.11.2023","2.035,0","2.015,0","2.050,0","2.010,0","0,50K","0,99%"
"07.11.2023","2.015,0","2.025,0","2.025,0","2.000,0","0,48K","-0,49%"
"06.11.2023","2.025,0","2.035,0","2.040,0","2.020,0","0,11K","0,50%"
"03.11.2023","2.015,0","2.130,0","2.130,0","2.000,0","0,72K","-1,47%"
"02.11.2023","2.045,0","2.075,0","2.080,0","2.030,0","0,30K","-1,21%"
"01.11.2023","2.070,0","2.090,0","2.095,0","2.010,0","0,47K","-0,24%"
"31.10.2023","2.075,0","2.140,0","2.170,0","1.990,0","1,14K","-1,19%"
"30.10.2023","2.100,0","2.070,0","2.150,0","2.060,0","0,61K","2,19%"
"27.10.2023","2.055,0","2.105,0","2.105,0","1.990,0","0,85K","-1,91%"
"26.10.2023","2.095,0","2.180,0","2.205,0","2.090,0","1,08K","-2,78%"
"25.10.2023","2.155,0","2.090,0","2.200,0","2.045,0","7,04K","4,61%"
"24.10.2023","2.060,0","1.965,0","2.095,0","1.940,0","1,48K","4,83%"
"23.10.2023","1.965,0","1.950,0","2.000,0","1.935,0","0,58K","0,77%"
"20.10.2023","1.950,0","1.970,0","1.970,0","1.910,0","0,51K","0,00%"
"19.10.2023","1.950,0","1.965,0","1.970,0","1.945,0","0,47K","-0,76%"
"18.10.2023","1.965,0","1.980,0","1.990,0","1.945,0","0,37K","-0,76%"
"17.10.2023","1.980,0","2.010,0","2.010,0","1.970,0","0,32K","-0,50%"
"16.10.2023","1.990,0","1.980,0","2.010,0","1.960,0","0,37K","1,02%"
"13.10.2023","1.970,0","1.960,0","1.980,0","1.955,0","0,27K","0,00%"
"12.10.2023","1.970,0","2.000,0","2.010,0","1.955,0","0,26K","-1,50%"
"11.10.2023","2.000,0","2.005,0","2.035,0","1.980,0","0,32K","-1,23%"
"10.10.2023","2.025,0","2.040,0","2.045,0","2.020,0","0,13K","-0,74%"
"09.10.2023","2.040,0","2.055,0","2.070,0","2.020,0","0,23K","0,99%"
"06.10.2023","2.020,0","2.045,0","2.045,0","2.000,0","0,19K","-1,22%"
"05.10.2023","2.045,0","2.055,0","2.100,0","2.005,0","0,70K","-2,15%"
"04.10.2023","2.090,0","2.045,0","2.135,0","2.040,0","0,14K","0,72%"
