"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","24,32","24,68","24,68","23,28","51,79K","0,50%"
"28.12.2023","24,20","24,56","24,60","24,18","25,68K","-0,58%"
"27.12.2023","24,34","24,32","24,56","24,18","47,25K","0,58%"
"26.12.2023","24,20","24,36","24,58","23,46","70,68K","-0,41%"
"25.12.2023","24,30","25,00","25,22","23,80","111,75K","-2,17%"
"22.12.2023","24,84","24,60","25,00","24,60","30,28K","0,81%"
"21.12.2023","24,64","24,76","25,46","24,12","93,55K","-0,88%"
"20.12.2023","24,86","24,08","24,90","24,08","38,20K","3,50%"
"19.12.2023","24,02","24,24","24,46","23,72","50,44K","0,76%"
"18.12.2023","23,84","23,32","24,48","22,82","141,74K","1,19%"
"15.12.2023","23,56","22,50","24,10","22,38","120,71K","4,90%"
"14.12.2023","22,46","22,30","23,50","22,30","54,64K","0,81%"
"13.12.2023","22,28","21,74","22,70","21,40","74,48K","2,48%"
"12.12.2023","21,74","21,84","22,96","20,72","215,81K","-0,37%"
"11.12.2023","21,82","22,54","22,56","21,52","67,35K","-3,45%"
"08.12.2023","22,60","22,54","22,68","22,26","25,62K","0,36%"
"07.12.2023","22,52","23,86","23,86","22,22","101,59K","-3,76%"
"06.12.2023","23,40","23,96","24,00","23,40","47,92K","-2,26%"
"05.12.2023","23,94","24,54","24,64","23,44","80,27K","-2,37%"
"04.12.2023","24,52","26,28","26,86","24,52","84,79K","-5,11%"
"01.12.2023","25,84","26,68","27,04","25,50","64,85K","-1,90%"
"30.11.2023","26,34","27,18","27,28","26,14","79,30K","-2,59%"
"29.11.2023","27,04","27,28","28,00","26,94","115,39K","-0,95%"
"28.11.2023","27,30","26,10","28,30","25,14","393,57K","4,76%"
"27.11.2023","26,06","28,28","28,56","25,10","555,25K","-7,85%"
"24.11.2023","28,28","28,22","28,52","28,10","53,88K","-0,14%"
"23.11.2023","28,32","28,24","28,58","28,16","56,66K","0,50%"
"22.11.2023","28,18","28,28","28,46","28,14","50,98K","-0,77%"
"21.11.2023","28,40","28,16","28,70","28,16","52,96K","0,85%"
"20.11.2023","28,16","28,42","28,78","28,04","95,38K","-1,47%"
"17.11.2023","28,58","27,00","28,78","26,34","173,68K","5,00%"
"16.11.2023","27,22","27,28","28,38","27,00","98,74K","1,57%"
"15.11.2023","26,80","25,08","28,38","23,00","563,62K","6,52%"
"14.11.2023","25,16","27,94","28,48","25,04","275,82K","-9,82%"
"13.11.2023","27,90","27,88","28,42","27,72","149,30K","0,36%"
"10.11.2023","27,80","29,30","29,32","27,52","325,12K","-4,86%"
"09.11.2023","29,22","29,78","29,82","29,10","172,34K","-2,01%"
"08.11.2023","29,82","30,24","30,24","29,50","213,11K","-1,45%"
"07.11.2023","30,26","30,82","31,00","30,00","127,73K","-1,50%"
"06.11.2023","30,72","29,90","31,32","29,82","379,96K","3,02%"
"03.11.2023","29,82","29,94","30,18","29,76","64,43K","-0,53%"
"02.11.2023","29,98","29,92","30,14","29,90","47,17K","0,20%"
"01.11.2023","29,92","29,84","30,14","29,68","75,50K","0,27%"
"31.10.2023","29,84","30,14","30,14","29,70","110,68K","-1,00%"
"30.10.2023","30,14","30,20","30,32","29,60","124,37K","-0,07%"
"27.10.2023","30,16","30,06","30,34","28,24","269,93K","0,33%"
"26.10.2023","30,06","30,84","31,08","30,00","176,76K","-2,53%"
"25.10.2023","30,84","31,12","32,00","30,64","203,08K","-0,96%"
"24.10.2023","31,14","30,30","31,18","30,02","224,83K","2,98%"
"23.10.2023","30,24","30,72","31,12","29,98","214,16K","-0,92%"
"20.10.2023","30,52","31,50","31,88","30,02","145,28K","-1,99%"
"19.10.2023","31,14","31,42","31,52","30,94","98,20K","-0,57%"
"18.10.2023","31,32","33,00","33,00","31,02","244,03K","-3,69%"
"17.10.2023","32,52","32,24","33,26","31,68","288,07K","1,88%"
"16.10.2023","31,92","31,88","32,90","31,10","420,26K","1,79%"
"13.10.2023","31,36","30,80","32,40","30,62","281,90K","1,69%"
"12.10.2023","30,84","30,44","31,10","30,04","175,15K","1,31%"
"11.10.2023","30,44","30,78","31,08","30,42","131,73K","-0,26%"
"10.10.2023","30,52","31,06","31,10","30,46","70,91K","-0,78%"
"09.10.2023","30,76","30,64","31,28","30,48","106,39K","-0,39%"
"06.10.2023","30,88","31,80","31,82","30,14","227,16K","-2,09%"
"05.10.2023","31,54","32,90","32,90","31,32","258,91K","-4,02%"
"04.10.2023","32,86","34,24","34,24","32,12","327,72K","2,24%"
"03.10.2023","32,14","30,86","34,80","30,86","1,82M","4,83%"
"02.10.2023","30,66","30,70","30,96","30,14","156,51K","2,13%"
"29.09.2023","30,02","31,60","31,60","29,94","172,86K","-2,72%"
"28.09.2023","30,86","32,10","32,20","30,86","188,15K","-2,22%"
"27.09.2023","31,56","31,42","32,50","30,48","322,62K","0,38%"
"26.09.2023","31,44","31,38","31,56","29,20","228,46K","0,19%"
"25.09.2023","31,38","28,86","31,80","28,86","618,86K","10,11%"
"22.09.2023","28,50","27,16","29,26","26,16","261,85K","3,86%"
"21.09.2023","27,44","29,40","29,82","27,00","345,77K","-6,73%"
"20.09.2023","29,42","31,28","31,28","27,04","527,77K","-5,95%"
"19.09.2023","31,28","32,48","32,70","30,26","383,92K","-3,52%"
"18.09.2023","32,42","33,40","34,76","31,58","388,65K","-1,64%"
"15.09.2023","32,96","31,42","33,98","28,16","764,82K","4,90%"
"14.09.2023","31,42","36,34","36,90","28,50","1,61M","-13,49%"
"13.09.2023","36,32","38,70","39,02","35,50","693,76K","-5,22%"
"12.09.2023","38,32","38,40","41,88","37,50","1,44M","3,51%"
"11.09.2023","37,02","34,78","39,62","33,38","1,31M","6,99%"
"08.09.2023","34,60","33,58","38,66","31,22","1,04M","4,15%"
"07.09.2023","33,22","36,44","36,60","33,20","454,90K","-8,03%"
"06.09.2023","36,12","37,90","37,98","35,22","457,50K","-3,37%"
"05.09.2023","37,38","37,70","39,40","35,80","597,01K","-0,05%"
"04.09.2023","37,40","32,48","43,60","32,06","4,35M","10,13%"
"01.09.2023","33,96","33,90","34,90","31,52","902,40K","-0,06%"
"31.08.2023","33,98","27,98","37,52","27,82","5,05M","23,03%"
"30.08.2023","27,62","27,00","29,68","25,88","1,35M","5,90%"
"29.08.2023","26,08","26,68","27,22","25,88","194,86K","-1,88%"
"28.08.2023","26,58","25,50","27,46","25,50","446,49K","1,84%"
"25.08.2023","26,10","25,80","26,80","25,66","252,85K","1,79%"
"24.08.2023","25,64","26,12","26,12","24,20","463,51K","-1,99%"
"23.08.2023","26,16","25,64","28,30","24,88","1,16M","2,19%"
"22.08.2023","25,60","24,00","27,50","23,78","1,35M","6,76%"
"21.08.2023","23,98","22,80","24,34","22,50","271,74K","6,67%"
"18.08.2023","22,48","21,62","22,88","21,62","281,25K","-1,32%"
"17.08.2023","22,78","22,68","23,14","21,94","202,67K","2,61%"
"16.08.2023","22,20","24,56","24,98","21,60","705,76K","-8,72%"
"15.08.2023","24,32","24,66","25,30","23,12","403,00K","-0,65%"
"14.08.2023","24,48","25,34","26,68","24,48","760,46K","-1,69%"
"11.08.2023","24,90","25,66","25,66","24,50","258,95K","-1,66%"
"10.08.2023","25,32","28,00","28,00","24,02","907,65K","-5,52%"
"09.08.2023","26,80","23,90","27,02","23,50","1,79M","12,13%"
"08.08.2023","23,90","24,02","24,60","22,62","595,51K","-1,40%"
"07.08.2023","24,24","23,86","24,36","23,24","381,48K","2,71%"
"04.08.2023","23,60","24,60","24,64","23,52","462,20K","-3,12%"
"03.08.2023","24,36","24,66","24,76","23,86","434,85K","0,00%"
"02.08.2023","24,36","24,40","24,80","23,52","544,24K","0,08%"
"01.08.2023","24,34","25,18","25,24","24,02","542,27K","-0,16%"
"31.07.2023","24,38","23,86","27,88","23,60","2,52M","5,18%"
"28.07.2023","23,18","22,16","25,34","21,72","1,82M","4,51%"
"27.07.2023","22,18","22,30","23,00","22,00","175,67K","-0,45%"
"26.07.2023","22,28","22,76","23,70","22,00","294,35K","-0,71%"
"25.07.2023","22,44","22,20","23,38","21,80","523,45K","1,54%"
"24.07.2023","22,10","22,00","22,40","21,00","859,12K","-0,90%"
"21.07.2023","22,30","20,80","22,42","20,44","700,91K","6,70%"
"20.07.2023","20,90","21,50","23,60","20,54","1,57M","-0,95%"
"19.07.2023","21,10","20,42","21,62","20,40","881,67K","3,53%"
"18.07.2023","20,38","20,50","20,64","20,10","342,92K","-0,88%"
"17.07.2023","20,56","20,74","20,74","19,84","567,91K","-0,87%"
"14.07.2023","20,74","21,40","21,98","20,30","1,83M","-4,78%"
