"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","0,6945","0,7035","0,7185","0,6790","29,61M","-2,18%"
"28.12.2023","0,7100","0,6730","0,7170","0,6705","45,38M","5,89%"
"27.12.2023","0,6705","0,6595","0,7260","0,6505","112,02M","1,44%"
"26.12.2023","0,6610","0,6630","0,6840","0,6475","50,22M","-0,30%"
"25.12.2023","0,6630","0,6880","0,6890","0,6550","34,71M","-3,21%"
"22.12.2023","0,6850","0,7135","0,7140","0,6800","30,47M","-2,56%"
"21.12.2023","0,7030","0,7330","0,7370","0,6800","72,01M","-4,09%"
"20.12.2023","0,7330","0,6780","0,7365","0,6780","113,99M","8,11%"
"19.12.2023","0,6780","0,6300","0,6780","0,6090","134,70M","9,89%"
"18.12.2023","0,6170","0,6200","0,6275","0,5980","43,04M","1,31%"
"15.12.2023","0,6090","0,5920","0,6300","0,5570","75,61M","2,61%"
"14.12.2023","0,5935","0,6050","0,6380","0,5840","60,06M","-1,58%"
"13.12.2023","0,6030","0,5590","0,6285","0,5520","102,22M","5,42%"
"12.12.2023","0,5720","0,5940","0,6040","0,5500","30,13M","-0,52%"
"11.12.2023","0,5750","0,6045","0,6050","0,5700","25,66M","-4,88%"
"08.12.2023","0,6045","0,6100","0,6260","0,6000","20,19M","-1,06%"
"07.12.2023","0,6110","0,6460","0,6460","0,5830","43,96M","-4,16%"
"06.12.2023","0,6375","0,6960","0,6960","0,6100","76,76M","-2,75%"
"05.12.2023","0,6555","0,7275","0,7555","0,6420","147,17M","-6,69%"
"04.12.2023","0,7025","0,7605","0,8100","0,6720","275,01M","-6,71%"
"01.12.2023","0,7530","0,6900","0,7530","0,6740","236,91M","12,14%"
"30.11.2023","0,6715","0,8065","0,8100","0,6715","171,24M","-16,06%"
"29.11.2023","0,8000","0,6670","0,8260","0,6570","609,89M","22,23%"
"28.11.2023","0,6545","0,5260","0,7200","0,5260","485,26M","24,43%"
"27.11.2023","0,5260","0,5445","0,5445","0,5080","25,06M","-3,40%"
"24.11.2023","0,5445","0,5850","0,5925","0,5370","26,62M","-6,60%"
"23.11.2023","0,5830","0,6120","0,6120","0,5600","23,77M","-4,50%"
"22.11.2023","0,6105","0,6120","0,6240","0,6000","8,56M","-1,93%"
"21.11.2023","0,6225","0,6350","0,6375","0,6100","10,39M","-1,89%"
"20.11.2023","0,6345","0,6385","0,6385","0,6135","11,84M","-0,24%"
"17.11.2023","0,6360","0,6500","0,6505","0,6280","16,24M","-2,15%"
"16.11.2023","0,6500","0,6530","0,6900","0,6440","27,02M","0,00%"
"15.11.2023","0,6500","0,5965","0,6825","0,5560","65,52M","7,44%"
"14.11.2023","0,6050","0,6485","0,6485","0,5020","51,35M","-6,92%"
"13.11.2023","0,6500","0,7015","0,7020","0,6490","24,31M","-6,07%"
"10.11.2023","0,6920","0,7150","0,7250","0,6800","24,74M","-3,22%"
"09.11.2023","0,7150","0,7405","0,7405","0,7100","23,82M","-3,64%"
"08.11.2023","0,7420","0,7475","0,7535","0,7400","4,91M","-0,74%"
"07.11.2023","0,7475","0,7545","0,7545","0,7315","6,32M","-0,86%"
"06.11.2023","0,7540","0,7525","0,7880","0,7395","19,37M","1,41%"
"03.11.2023","0,7435","0,7570","0,7675","0,7355","9,12M","-0,20%"
"02.11.2023","0,7450","0,7545","0,7560","0,7440","6,50M","0,00%"
"01.11.2023","0,7450","0,7445","0,7545","0,7315","13,53M","0,27%"
"31.10.2023","0,7430","0,7740","0,7740","0,7425","17,36M","-3,94%"
"30.10.2023","0,7735","0,7750","0,8075","0,7640","21,43M","1,44%"
"27.10.2023","0,7625","0,7560","0,7805","0,7440","17,66M","0,20%"
"26.10.2023","0,7610","0,7900","0,7965","0,7525","15,22M","-3,85%"
"25.10.2023","0,7915","0,8135","0,8205","0,7800","50,72M","-1,92%"
"24.10.2023","0,8070","0,7690","0,8165","0,7420","96,16M","6,68%"
"23.10.2023","0,7565","0,7665","0,7665","0,7500","7,92M","0,13%"
"20.10.2023","0,7555","0,7695","0,7695","0,7525","6,19M","-1,31%"
"19.10.2023","0,7655","0,7590","0,7675","0,7525","7,49M","0,92%"
"18.10.2023","0,7585","0,7700","0,7865","0,7500","18,13M","-1,04%"
