"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","311,00","312,00","313,00","308,88","4,10M","0,00%"
"28.12.2023","310,99","309,00","312,33","306,61","5,43M","0,61%"
"27.12.2023","309,11","312,50","313,74","309,10","5,57M","-1,05%"
"26.12.2023","312,40","311,37","314,20","306,72","7,99M","0,33%"
"25.12.2023","311,37","313,90","317,83","307,90","15,57M","-0,09%"
"22.12.2023","311,65","302,74","313,00","299,28","25,39M","3,28%"
"21.12.2023","301,74","290,60","303,75","285,69","20,62M","3,95%"
"20.12.2023","290,27","291,70","293,29","287,60","7,42M","-0,49%"
"19.12.2023","291,69","296,61","296,78","287,28","14,81M","-1,64%"
"18.12.2023","296,54","293,00","298,70","290,12","18,02M","2,26%"
"15.12.2023","290,00","275,22","290,00","275,15","19,54M","5,40%"
"14.12.2023","275,15","271,52","280,93","271,01","19,72M","1,35%"
"13.12.2023","271,48","270,54","273,90","266,27","10,74M","0,35%"
"12.12.2023","270,54","280,10","282,00","269,00","15,09M","-2,82%"
"11.12.2023","278,38","277,90","282,31","272,30","18,12M","0,32%"
"08.12.2023","277,50","277,00","285,36","271,84","28,55M","0,59%"
"07.12.2023","275,88","269,07","279,60","261,93","32,56M","2,53%"
"06.12.2023","269,07","279,79","280,78","268,10","19,24M","-3,72%"
"05.12.2023","279,46","284,64","288,46","275,95","20,65M","-1,79%"
"04.12.2023","284,56","286,90","291,60","281,50","16,75M","-1,09%"
"01.12.2023","287,70","293,84","295,14","285,00","15,66M","-1,61%"
"30.11.2023","292,42","289,59","296,00","283,43","25,53M","2,09%"
"29.11.2023","286,43","304,94","305,10","286,43","32,75M","-5,61%"
"28.11.2023","303,44","290,50","304,29","280,00","50,43M","4,06%"
"27.11.2023","291,60","309,50","309,94","291,55","36,28M","-5,80%"
"24.11.2023","309,54","313,64","314,99","305,29","21,52M","-1,29%"
"23.11.2023","313,60","313,60","319,80","307,60","37,63M","-0,16%"
"22.11.2023","314,10","327,55","335,64","310,28","62,70M","-4,06%"
"21.11.2023","327,38","315,01","329,00","305,60","52,61M","3,93%"
"20.11.2023","315,01","327,85","331,29","314,02","34,89M","-3,91%"
"17.11.2023","327,83","330,00","336,70","325,00","46,72M","-1,05%"
"16.11.2023","331,31","329,49","345,87","325,73","85,61M","0,67%"
"15.11.2023","329,09","315,00","329,79","312,25","39,66M","4,37%"
"14.11.2023","315,30","314,00","320,80","305,77","29,08M","0,10%"
"13.11.2023","314,99","322,20","325,46","309,42","44,38M","-1,69%"
"10.11.2023","320,41","308,50","322,99","305,12","63,74M","3,89%"
"09.11.2023","308,40","302,87","312,00","291,37","55,66M","2,15%"
"08.11.2023","301,90","293,91","303,48","293,15","38,06M","3,04%"
"07.11.2023","293,00","284,14","294,24","282,05","23,52M","3,29%"
"06.11.2023","283,67","278,01","284,33","277,01","8,53M","2,14%"
"03.11.2023","277,73","280,00","282,44","275,34","17,28M","-0,17%"
"02.11.2023","278,20","272,30","279,79","270,49","28,55M","2,85%"
"01.11.2023","270,49","265,69","272,21","264,02","17,65M","1,38%"
"31.10.2023","266,82","274,62","276,24","264,27","36,49M","-3,61%"
"30.10.2023","276,81","285,00","288,00","274,60","30,32M","-2,53%"
"27.10.2023","283,99","278,00","287,00","270,31","44,13M","2,25%"
"26.10.2023","277,73","290,52","297,16","271,23","94,19M","-4,06%"
"25.10.2023","289,49","270,01","289,98","269,10","41,16M","7,33%"
"24.10.2023","269,71","260,00","269,88","256,04","23,73M","4,14%"
"23.10.2023","259,00","257,00","259,60","248,15","19,78M","1,48%"
"20.10.2023","255,22","261,40","269,00","253,62","35,33M","-2,07%"
"19.10.2023","260,61","245,09","261,34","243,61","35,81M","6,33%"
"18.10.2023","245,09","237,20","246,88","234,60","14,09M","3,40%"
"17.10.2023","237,04","236,90","239,15","233,07","7,64M","-0,16%"
"16.10.2023","237,42","238,10","241,72","236,02","8,70M","-0,19%"
"13.10.2023","237,88","232,50","237,94","232,27","10,52M","2,42%"
"12.10.2023","232,27","225,55","233,98","223,99","7,35M","2,38%"
"11.10.2023","226,86","233,26","237,81","225,60","12,41M","-2,76%"
"10.10.2023","233,29","222,02","234,89","218,76","13,39M","5,25%"
"09.10.2023","221,66","223,00","225,13","220,48","5,70M","-0,48%"
"06.10.2023","222,74","217,10","222,96","216,41","8,47M","2,76%"
"05.10.2023","216,75","216,11","218,53","213,25","7,81M","0,35%"
"04.10.2023","215,99","209,20","217,30","209,20","12,06M","3,25%"
"03.10.2023","209,19","206,01","209,34","203,20","6,67M","1,56%"
"02.10.2023","205,98","203,70","207,18","202,62","4,17M","1,56%"
"29.09.2023","202,81","205,90","206,64","199,60","3,05M","-1,34%"
"28.09.2023","205,57","203,80","208,00","202,37","3,48M","1,04%"
"27.09.2023","203,45","204,99","205,70","201,87","2,62M","-0,33%"
"26.09.2023","204,12","203,00","205,66","199,19","4,49M","0,28%"
"25.09.2023","203,54","205,00","209,60","202,20","10,12M","-0,49%"
"22.09.2023","204,55","198,10","204,90","196,00","11,41M","3,34%"
"21.09.2023","197,94","197,96","201,29","195,00","7,87M","-0,44%"
"20.09.2023","198,82","194,90","202,00","192,05","11,55M","2,21%"
"19.09.2023","194,53","193,80","199,69","191,55","10,79M","0,34%"
"18.09.2023","193,88","196,25","198,31","192,00","4,35M","-1,14%"
"15.09.2023","196,12","190,50","196,40","190,49","4,96M","2,80%"
"14.09.2023","190,77","193,30","193,80","185,50","7,93M","-1,04%"
"13.09.2023","192,78","198,94","198,94","192,00","4,63M","-2,83%"
"12.09.2023","198,39","192,90","198,69","192,20","5,16M","3,27%"
"11.09.2023","192,10","196,02","197,23","190,84","6,84M","-2,09%"
"08.09.2023","196,21","199,20","200,60","193,84","5,78M","-1,51%"
"07.09.2023","199,21","204,00","204,45","197,28","7,18M","-2,14%"
"06.09.2023","203,56","204,89","205,30","201,10","4,91M","-0,56%"
"05.09.2023","204,71","207,39","207,79","203,09","5,83M","-1,19%"
"04.09.2023","207,17","206,31","208,66","206,30","4,72M","0,74%"
"01.09.2023","205,64","206,63","206,92","203,20","3,81M","-0,18%"
"31.08.2023","206,01","203,00","207,98","201,18","7,98M","1,64%"
"30.08.2023","202,68","210,11","210,49","200,66","17,51M","-3,53%"
"29.08.2023","210,10","219,00","219,48","208,07","15,77M","-3,99%"
"28.08.2023","218,82","211,00","218,90","211,00","7,89M","3,78%"
"25.08.2023","210,86","212,10","212,64","208,82","4,76M","-0,20%"
"24.08.2023","211,29","211,20","213,78","208,35","5,73M","0,47%"
"23.08.2023","210,30","218,93","219,99","209,12","9,10M","-3,90%"
"22.08.2023","218,83","221,50","221,52","216,50","5,10M","-0,87%"
"21.08.2023","220,76","222,00","224,13","217,50","5,53M","-0,20%"
"18.08.2023","221,20","220,55","222,00","215,17","5,68M","0,82%"
"17.08.2023","219,40","221,98","224,00","215,38","6,49M","0,03%"
"16.08.2023","219,33","226,30","229,84","212,21","16,80M","-3,37%"
"15.08.2023","226,97","226,00","233,40","222,00","8,40M","-0,16%"
