"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","248,45","248,55","249,50","246,60","2,75M","-0,04%"
"28.12.2023","248,55","247,60","250,20","246,00","3,13M","0,36%"
"27.12.2023","247,65","249,15","249,40","247,10","2,36M","-0,48%"
"26.12.2023","248,85","248,50","250,30","246,80","2,90M","0,14%"
"25.12.2023","248,50","250,00","251,30","248,10","2,06M","-0,34%"
"22.12.2023","249,35","249,25","250,60","248,15","2,75M","0,20%"
"21.12.2023","248,85","250,00","250,95","248,15","2,99M","-0,46%"
"20.12.2023","250,00","253,75","254,70","249,40","4,53M","-1,48%"
"19.12.2023","253,75","251,90","254,00","249,90","2,70M","0,81%"
"18.12.2023","251,70","250,55","255,80","250,30","3,30M","0,56%"
"15.12.2023","250,30","247,50","251,35","246,60","1,67M","1,32%"
"14.12.2023","247,05","251,00","252,40","247,00","1,67M","-1,69%"
"13.12.2023","251,30","249,25","251,50","247,00","2,81M","0,82%"
"12.12.2023","249,25","248,65","253,05","247,70","3,40M","0,28%"
"11.12.2023","248,55","250,90","252,80","246,45","2,66M","-1,27%"
"08.12.2023","251,75","251,65","255,00","248,95","2,50M","0,04%"
"07.12.2023","251,65","248,20","253,60","248,00","3,27M","1,39%"
"06.12.2023","248,20","253,45","255,20","247,50","2,31M","-2,07%"
"05.12.2023","253,45","248,65","253,75","248,55","2,14M","1,89%"
"04.12.2023","248,75","250,15","253,80","245,85","3,47M","-0,56%"
"01.12.2023","250,15","254,45","254,80","249,90","3,12M","-1,69%"
"30.11.2023","254,45","256,55","257,30","252,60","3,44M","-0,80%"
"29.11.2023","256,50","261,65","261,65","256,10","2,49M","-1,82%"
"28.11.2023","261,25","260,75","261,40","257,35","2,31M","0,40%"
"27.11.2023","260,20","262,90","263,75","259,05","3,47M","-1,01%"
"24.11.2023","262,85","266,25","267,70","262,05","4,21M","-1,28%"
"23.11.2023","266,25","269,00","270,95","266,00","5,05M","-1,35%"
"22.11.2023","269,90","272,95","274,30","268,55","3,47M","-1,08%"
"21.11.2023","272,85","270,25","274,60","268,50","2,05M","1,07%"
"20.11.2023","269,95","269,50","271,90","268,80","1,75M","0,33%"
"17.11.2023","269,05","271,50","271,65","266,70","3,71M","-0,74%"
"16.11.2023","271,05","277,60","279,80","270,50","5,42M","-2,17%"
"15.11.2023","277,05","273,00","279,40","272,00","1,87M","1,48%"
"14.11.2023","273,00","279,65","281,00","272,00","4,80M","-2,03%"
"13.11.2023","278,65","274,80","280,95","274,40","2,83M","1,40%"
"10.11.2023","274,80","275,90","276,40","274,20","1,44M","-0,60%"
"09.11.2023","276,45","274,35","277,65","272,70","2,31M","0,77%"
"08.11.2023","274,35","273,20","275,50","272,30","1,60M","0,62%"
"07.11.2023","272,65","272,20","273,95","271,30","1,20M","0,31%"
"06.11.2023","271,80","271,50","274,25","271,00","1,38M","0,17%"
"03.11.2023","271,35","270,60","271,80","268,65","2,59M","0,44%"
"02.11.2023","270,15","273,85","274,70","268,65","4,01M","-1,15%"
"01.11.2023","273,30","271,60","276,00","270,25","2,54M","0,57%"
"31.10.2023","271,75","277,70","277,75","269,95","4,21M","-2,14%"
"30.10.2023","277,70","282,05","282,05","277,55","2,29M","-1,58%"
"27.10.2023","282,15","279,00","282,25","276,10","2,98M","0,93%"
"26.10.2023","279,55","284,00","285,00","278,20","3,80M","-1,51%"
"25.10.2023","283,85","280,75","286,35","279,90","4,43M","1,34%"
"24.10.2023","280,10","275,00","281,00","274,55","4,33M","1,85%"
"23.10.2023","275,00","274,85","276,40","273,35","1,56M","0,05%"
"20.10.2023","274,85","273,70","275,50","273,00","1,06M","0,53%"
"19.10.2023","273,40","274,15","275,00","273,00","1,17M","-0,58%"
"18.10.2023","275,00","275,90","277,25","272,80","2,07M","-0,33%"
"17.10.2023","275,90","275,90","276,50","274,10","1,35M","0,11%"
"16.10.2023","275,60","272,00","276,65","271,80","3,33M","1,68%"
"13.10.2023","271,05","271,50","272,95","270,35","1,27M","-0,06%"
"12.10.2023","271,20","270,05","271,50","269,00","1,10M","0,28%"
"11.10.2023","270,45","273,00","274,95","269,15","2,20M","-0,81%"
"10.10.2023","272,65","271,45","273,00","270,05","1,51M","0,65%"
"09.10.2023","270,90","270,45","271,90","269,85","1,58M","0,24%"
"06.10.2023","270,25","271,35","271,85","268,00","1,84M","-0,28%"
"05.10.2023","271,00","271,90","272,95","270,20","1,25M","-0,31%"
"04.10.2023","271,85","271,40","272,60","268,60","1,96M","0,17%"
"03.10.2023","271,40","272,00","272,10","268,50","3,54M","-0,26%"
"02.10.2023","272,10","275,05","277,80","271,30","2,61M","-1,07%"
"29.09.2023","275,05","277,90","277,90","274,00","1,92M","-0,67%"
"28.09.2023","276,90","277,00","278,00","274,30","2,25M","-0,02%"
"27.09.2023","276,95","274,00","277,70","274,00","1,81M","1,34%"
"26.09.2023","273,30","269,60","274,85","269,00","2,23M","1,20%"
"25.09.2023","270,05","270,15","272,00","268,85","1,55M","-0,04%"
"22.09.2023","270,15","270,05","273,00","266,45","2,93M","0,24%"
"21.09.2023","269,50","269,95","271,65","268,10","2,48M","-0,17%"
"20.09.2023","269,95","271,05","273,95","266,10","4,70M","-0,37%"
"19.09.2023","270,95","274,75","276,30","270,15","4,38M","-1,45%"
"18.09.2023","274,95","279,00","280,30","273,50","4,11M","-1,26%"
"15.09.2023","278,45","277,85","280,60","275,55","3,07M","0,45%"
"14.09.2023","277,20","278,10","279,45","273,20","4,03M","-0,13%"
"13.09.2023","277,55","281,55","281,55","276,80","3,48M","-1,42%"
"12.09.2023","281,55","279,55","281,80","279,15","2,69M","0,91%"
"11.09.2023","279,00","280,00","281,45","278,00","2,62M","-0,57%"
"08.09.2023","280,60","283,00","284,10","278,00","3,87M","-0,99%"
"07.09.2023","283,40","287,00","287,80","281,60","4,43M","-1,29%"
"06.09.2023","287,10","287,60","288,30","285,00","2,55M","-0,17%"
"05.09.2023","287,60","288,35","288,90","286,50","3,49M","-0,03%"
"04.09.2023","287,70","284,00","288,45","283,90","4,38M","1,41%"
"01.09.2023","283,70","284,60","285,40","283,00","3,26M","-0,14%"
"31.08.2023","284,10","286,45","287,50","283,00","5,36M","-0,72%"
"30.08.2023","286,15","288,05","288,50","283,45","4,76M","-0,66%"
"29.08.2023","288,05","290,15","290,70","286,00","5,16M","-0,72%"
"28.08.2023","290,15","290,60","292,10","289,30","3,44M","0,40%"
"25.08.2023","289,00","288,95","290,70","287,05","2,03M","0,12%"
"24.08.2023","288,65","286,30","289,50","286,00","2,24M","1,10%"
"23.08.2023","285,50","293,50","294,00","284,80","6,52M","-2,56%"
"22.08.2023","293,00","293,25","293,95","288,00","8,39M","0,21%"
"21.08.2023","292,40","295,00","295,50","290,60","7,62M","-0,17%"
"18.08.2023","292,90","281,90","293,95","279,70","9,28M","4,09%"
"17.08.2023","281,40","282,80","284,00","278,55","4,09M","-0,20%"
"16.08.2023","281,95","283,20","285,35","277,70","6,91M","-0,44%"
"15.08.2023","283,20","282,90","289,00","279,15","10,19M","-0,35%"
"14.08.2023","284,20","293,35","295,00","282,25","10,97M","-2,65%"
"11.08.2023","291,95","290,45","292,75","289,30","4,33M","0,59%"
"10.08.2023","290,25","290,60","291,60","289,00","2,81M","0,22%"
"09.08.2023","289,60","292,00","292,50","288,30","2,83M","-0,34%"
"08.08.2023","290,60","290,00","291,00","286,10","3,96M","0,19%"
"07.08.2023","290,05","291,00","293,95","285,30","5,19M","0,57%"
"04.08.2023","288,40","291,50","298,35","278,20","16,77M","-0,81%"
"03.08.2023","290,75","289,80","291,35","288,05","4,39M","0,41%"
"02.08.2023","289,55","290,00","291,60","288,50","3,85M","-0,29%"
"01.08.2023","290,40","290,50","292,30","288,50","4,85M","0,10%"
"31.07.2023","290,10","287,60","291,50","287,60","6,49M","0,89%"
