"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","163,30","165,00","165,60","163,20","284,29K","-1,09%"
"28.12.2023","165,10","167,80","168,20","163,50","545,44K","-1,61%"
"27.12.2023","167,80","170,60","171,70","167,10","469,43K","-1,58%"
"26.12.2023","170,50","174,20","174,50","169,80","580,76K","-2,12%"
"25.12.2023","174,20","176,50","178,20","173,40","303,03K","-0,97%"
"22.12.2023","175,90","176,50","178,40","175,00","260,16K","-0,34%"
"21.12.2023","176,50","179,10","179,10","175,90","278,96K","-1,07%"
"20.12.2023","178,40","180,90","181,00","176,70","381,30K","-1,33%"
"19.12.2023","180,80","173,50","181,90","173,00","1,09M","4,57%"
"18.12.2023","172,90","174,80","175,30","172,20","287,16K","-0,06%"
"15.12.2023","173,00","167,50","174,70","167,50","369,80K","2,19%"
"14.12.2023","169,30","172,00","172,00","169,00","161,88K","-0,94%"
"13.12.2023","170,90","169,70","171,60","169,50","229,51K","-0,06%"
"12.12.2023","171,00","172,20","172,40","168,70","305,60K","-0,70%"
"11.12.2023","172,20","174,90","175,70","170,60","210,35K","-2,21%"
"08.12.2023","176,10","174,30","176,90","173,60","141,53K","1,50%"
"07.12.2023","173,50","173,50","175,10","171,10","291,78K","0,06%"
"06.12.2023","173,40","175,40","179,70","170,70","599,37K","-1,14%"
"05.12.2023","175,40","165,60","177,00","165,60","838,40K","5,47%"
"04.12.2023","166,30","172,70","172,80","165,70","606,96K","-3,71%"
"01.12.2023","172,70","174,80","174,90","172,10","189,06K","-1,03%"
"30.11.2023","174,50","176,80","176,80","173,50","373,11K","-1,30%"
"29.11.2023","176,80","180,10","181,90","175,00","235,32K","-1,78%"
"28.11.2023","180,00","176,00","180,40","175,90","478,76K","2,39%"
"27.11.2023","175,80","180,80","180,90","175,00","593,73K","-2,77%"
"24.11.2023","180,80","183,70","185,40","179,70","530,24K","-1,63%"
"23.11.2023","183,80","189,20","189,40","182,80","582,53K","-2,80%"
"22.11.2023","189,10","189,50","190,10","188,30","148,26K","0,11%"
"21.11.2023","188,90","187,80","189,30","186,40","219,69K","0,27%"
"20.11.2023","188,40","189,80","192,70","187,60","538,91K","-0,74%"
"17.11.2023","189,80","190,30","190,30","186,40","198,75K","0,32%"
"16.11.2023","189,20","192,90","192,90","188,90","202,62K","-1,61%"
"15.11.2023","192,30","186,40","193,00","186,10","470,28K","2,89%"
"14.11.2023","186,90","194,90","195,20","185,00","529,41K","-4,01%"
"13.11.2023","194,70","195,80","197,30","193,90","256,59K","-0,51%"
"10.11.2023","195,70","195,90","198,00","194,90","451,34K","0,20%"
"09.11.2023","195,30","194,20","195,80","193,10","356,23K","0,57%"
"08.11.2023","194,20","195,80","195,80","193,00","237,64K","-0,31%"
"07.11.2023","194,80","192,10","198,00","192,10","1,03M","1,30%"
"06.11.2023","192,30","191,30","194,80","191,20","120,90K","0,47%"
"03.11.2023","191,40","191,90","191,90","190,90","205,89K","0,10%"
"02.11.2023","191,20","191,10","192,50","189,60","296,66K","0,05%"
"01.11.2023","191,10","190,80","192,50","189,70","138,12K","0,47%"
"31.10.2023","190,20","193,70","194,80","189,30","290,84K","-1,65%"
"30.10.2023","193,40","192,80","195,90","191,50","403,65K","0,31%"
"27.10.2023","192,80","196,50","196,50","191,00","676,44K","-1,58%"
"26.10.2023","195,90","200,80","200,80","195,10","517,96K","-2,00%"
"25.10.2023","199,90","200,40","207,40","197,40","1,84M","-1,14%"
"24.10.2023","202,20","190,40","204,00","189,80","2,86M","6,20%"
"23.10.2023","190,40","191,90","192,60","189,20","213,50K","-0,47%"
"20.10.2023","191,30","192,60","193,20","190,50","225,17K","-0,67%"
"19.10.2023","192,60","193,90","195,00","192,00","410,57K","-0,67%"
"18.10.2023","193,90","193,80","196,20","191,00","453,31K","-0,10%"
"17.10.2023","194,10","194,50","195,30","192,10","333,70K","-0,26%"
"16.10.2023","194,60","191,10","196,50","190,90","455,80K","1,94%"
"13.10.2023","190,90","193,30","193,30","189,20","331,58K","-0,42%"
"12.10.2023","191,70","188,00","193,00","187,20","416,55K","1,54%"
"11.10.2023","188,80","192,00","193,60","187,60","547,70K","-1,51%"
"10.10.2023","191,70","190,00","192,00","189,10","190,47K","1,37%"
"09.10.2023","189,10","187,80","191,90","187,70","571,31K","0,96%"
"06.10.2023","187,30","187,90","187,90","185,10","293,34K","0,11%"
"05.10.2023","187,10","185,20","187,50","184,50","272,92K","1,08%"
"04.10.2023","185,10","184,80","185,90","184,40","198,07K","0,05%"
"03.10.2023","185,00","186,20","186,20","183,60","598,08K","-0,64%"
"02.10.2023","186,20","187,60","188,00","183,80","310,63K","0,00%"
"29.09.2023","186,20","188,30","189,90","182,40","939,96K","-0,64%"
"28.09.2023","187,40","187,50","188,90","186,10","285,50K","0,54%"
"27.09.2023","186,40","185,90","188,30","185,60","412,55K","0,65%"
"26.09.2023","185,20","189,50","190,10","184,50","956,30K","-2,47%"
"25.09.2023","189,90","191,00","192,20","188,50","206,68K","-0,21%"
"22.09.2023","190,30","187,50","192,40","184,00","797,50K","1,82%"
"21.09.2023","186,90","189,30","190,90","186,10","418,15K","-1,58%"
"20.09.2023","189,90","190,00","193,40","186,10","907,25K","-0,26%"
"19.09.2023","190,40","194,70","203,10","189,90","761,79K","-1,81%"
"18.09.2023","193,90","199,00","201,90","190,30","981,81K","-2,27%"
"15.09.2023","198,40","197,40","202,00","194,70","874,46K","0,15%"
"14.09.2023","198,10","198,00","200,00","188,50","1,69M","-0,20%"
"13.09.2023","198,50","203,90","204,50","198,40","816,64K","-2,65%"
"12.09.2023","203,90","197,80","205,50","197,20","2,36M","4,35%"
"11.09.2023","195,40","190,60","204,30","186,30","4,37M","1,93%"
"08.09.2023","191,70","195,00","196,60","188,10","1,87M","-1,94%"
"07.09.2023","195,50","199,90","200,30","193,30","1,81M","-2,40%"
"06.09.2023","200,30","202,40","203,20","197,10","1,10M","-1,43%"
"05.09.2023","203,20","201,70","206,80","200,40","2,84M","0,84%"
"04.09.2023","201,50","197,20","203,70","196,10","2,73M","2,18%"
"01.09.2023","197,20","195,50","198,60","195,00","1,55M","0,61%"
"31.08.2023","196,00","196,30","198,00","190,20","5,69M","-1,06%"
"30.08.2023","198,10","206,00","206,80","195,70","5,64M","-4,07%"
"29.08.2023","206,50","206,80","207,50","205,20","1,07M","-0,39%"
"28.08.2023","207,30","207,90","208,60","202,50","3,68M","-0,72%"
"25.08.2023","208,80","214,00","216,80","206,10","4,68M","-4,04%"
"24.08.2023","217,60","215,20","218,00","212,00","375,20K","1,82%"
"23.08.2023","213,70","219,50","220,90","212,20","602,86K","-2,38%"
"22.08.2023","218,90","221,90","222,00","215,60","469,92K","-0,73%"
"21.08.2023","220,50","218,60","221,00","215,00","653,89K","2,08%"
"18.08.2023","216,00","212,80","216,90","210,20","316,65K","1,41%"
"17.08.2023","213,00","210,00","213,50","208,00","854,57K","1,82%"
"16.08.2023","209,20","219,30","220,90","208,10","1,30M","-4,61%"
"15.08.2023","219,30","219,40","224,00","213,60","936,43K","-0,05%"
"14.08.2023","219,40","226,90","231,60","218,50","1,63M","-2,27%"
"11.08.2023","224,50","228,30","228,70","222,00","694,22K","-1,06%"
"10.08.2023","226,90","221,60","228,80","220,40","1,27M","2,72%"
"09.08.2023","220,90","220,80","223,00","218,50","870,46K","0,05%"
"08.08.2023","220,80","217,70","221,70","213,20","789,24K","0,41%"
"07.08.2023","219,90","219,80","229,50","217,00","1,64M","0,27%"
"04.08.2023","219,30","228,00","228,90","207,60","2,64M","-3,39%"
"03.08.2023","227,00","220,00","228,30","216,00","1,62M","3,65%"
"02.08.2023","219,00","222,10","222,10","217,70","492,11K","-0,86%"
"01.08.2023","220,90","218,30","224,50","217,00","1,40M","1,19%"
"31.07.2023","218,30","221,70","225,00","216,00","1,56M","-1,00%"
"28.07.2023","220,50","221,90","222,50","217,70","523,03K","-0,63%"
"27.07.2023","221,90","223,70","224,90","218,00","646,34K","-0,22%"
"26.07.2023","222,40","226,10","232,50","218,00","3,08M","-1,29%"
"25.07.2023","225,30","208,20","225,80","207,40","4,10M","7,80%"
"24.07.2023","209,00","203,20","209,60","203,20","671,46K","2,75%"
"21.07.2023","203,40","200,50","204,10","198,40","283,35K","1,45%"
"20.07.2023","200,50","206,30","206,80","200,00","708,10K","-2,81%"
"19.07.2023","206,30","205,30","208,70","203,00","795,62K","0,49%"
"18.07.2023","205,30","207,00","208,00","202,30","973,43K","-0,82%"
"17.07.2023","207,00","197,30","207,10","196,10","1,65M","4,02%"
"14.07.2023","199,00","192,80","199,50","191,90","1,01M","2,79%"
"13.07.2023","193,60","195,40","195,80","192,40","280,79K","-0,77%"
"12.07.2023","195,10","192,90","195,90","191,80","578,62K","1,61%"
"11.07.2023","192,00","193,20","193,20","190,60","206,59K","-0,36%"
"10.07.2023","192,70","191,40","194,00","191,00","284,75K","0,78%"
"07.07.2023","191,20","191,60","192,60","190,60","126,59K","-0,68%"
"06.07.2023","192,50","193,40","193,40","191,10","152,13K","-0,16%"
"05.07.2023","192,80","191,20","194,00","190,10","323,72K","1,21%"
"04.07.2023","190,50","193,10","194,00","190,10","295,86K","-1,91%"
"03.07.2023","194,20","191,20","196,30","189,90","653,19K","2,10%"
"30.06.2023","190,20","189,00","192,20","188,60","212,18K","0,32%"
"29.06.2023","189,60","189,00","190,60","188,20","217,77K","0,00%"
"28.06.2023","189,60","190,80","190,80","188,20","219,53K","-0,58%"
"27.06.2023","190,70","190,00","191,00","188,10","234,52K","0,63%"
"26.06.2023","189,50","191,00","192,30","183,00","510,04K","1,01%"
"23.06.2023","187,60","193,40","195,00","187,00","679,34K","-3,05%"
"22.06.2023","193,50","198,40","198,40","192,10","536,00K","-2,12%"
"21.06.2023","197,70","193,60","200,00","193,60","904,65K","2,12%"
"20.06.2023","193,60","193,00","194,90","191,50","360,43K","0,36%"
"19.06.2023","192,90","194,00","194,50","191,50","272,05K","0,21%"
"16.06.2023","192,50","194,00","195,40","190,80","428,82K","-0,62%"
"15.06.2023","193,70","191,40","194,00","191,00","565,85K","1,41%"
"14.06.2023","191,00","190,10","191,50","189,00","270,07K","0,16%"
"13.06.2023","190,70","189,00","191,70","188,00","481,24K","1,60%"
"09.06.2023","187,70","189,90","190,20","187,50","343,66K","-1,05%"
"08.06.2023","189,70","190,00","190,40","187,60","348,23K","-0,05%"
"07.06.2023","189,80","189,20","191,70","188,20","288,62K","0,58%"
"06.06.2023","188,70","187,90","189,00","183,60","436,94K","0,27%"
"05.06.2023","188,20","190,60","197,80","187,30","1,66M","-1,05%"
"02.06.2023","190,20","188,40","191,20","188,20","194,91K","0,85%"
"01.06.2023","188,60","190,30","190,70","188,30","125,15K","-0,89%"
