"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","102,10","101,25","104,40","101,25","130,71K","0,84%"
"28.12.2023","101,25","104,00","104,20","100,10","179,99K","-2,17%"
"27.12.2023","103,50","106,05","107,75","102,25","111,79K","-2,40%"
"26.12.2023","106,05","104,65","107,90","103,75","189,46K","1,68%"
"25.12.2023","104,30","105,60","106,85","104,10","104,77K","-1,23%"
"22.12.2023","105,60","105,25","107,50","104,20","104,51K","0,76%"
"21.12.2023","104,80","106,25","107,55","104,00","78,98K","-2,60%"
"20.12.2023","107,60","108,20","110,55","107,05","74,20K","-0,28%"
"19.12.2023","107,90","106,00","108,25","105,50","49,88K","0,75%"
"18.12.2023","107,10","104,00","108,55","102,20","265,63K","3,03%"
"15.12.2023","103,95","102,05","104,10","101,20","79,31K","1,76%"
"14.12.2023","102,15","103,40","103,90","101,10","70,07K","-0,20%"
"13.12.2023","102,35","103,00","104,50","99,15","58,68K","0,29%"
"12.12.2023","102,05","100,45","103,40","97,10","87,49K","1,85%"
"11.12.2023","100,20","100,20","102,05","99,35","77,50K","-0,79%"
"08.12.2023","101,00","100,20","102,35","99,65","48,54K","0,80%"
"07.12.2023","100,20","100,50","102,10","96,40","155,57K","-0,89%"
"06.12.2023","101,10","103,00","104,40","100,40","97,43K","-1,94%"
"05.12.2023","103,10","101,70","103,80","101,05","140,77K","2,08%"
"04.12.2023","101,00","103,00","103,90","100,05","157,84K","-1,99%"
"01.12.2023","103,05","108,25","108,50","103,05","104,50K","-4,80%"
"30.11.2023","108,25","110,50","110,70","106,00","103,00K","-2,08%"
"29.11.2023","110,55","111,50","111,85","110,15","50,54K","-0,85%"
"28.11.2023","111,50","110,80","114,95","107,75","159,53K","0,50%"
"27.11.2023","110,95","111,00","112,30","105,20","581,81K","-2,25%"
"24.11.2023","113,50","114,10","115,45","113,30","42,43K","-0,96%"
"23.11.2023","114,60","116,40","117,65","114,15","142,71K","-1,46%"
"22.11.2023","116,30","113,05","116,60","112,50","129,66K","3,15%"
"21.11.2023","112,75","113,10","113,40","111,80","60,00K","-0,57%"
"20.11.2023","113,40","114,50","114,85","113,00","57,57K","-0,61%"
"17.11.2023","114,10","114,00","114,90","112,40","59,14K","0,00%"
"16.11.2023","114,10","116,00","116,40","113,15","70,98K","-0,95%"
"15.11.2023","115,20","113,60","116,20","113,05","101,73K","1,41%"
"14.11.2023","113,60","118,30","118,30","111,00","251,36K","-3,97%"
"13.11.2023","118,30","122,45","122,80","116,25","305,10K","-3,27%"
"10.11.2023","122,30","122,80","122,95","121,20","97,01K","-0,37%"
"09.11.2023","122,75","122,80","123,50","122,00","65,08K","-0,04%"
"08.11.2023","122,80","125,30","125,45","121,40","130,40K","-1,37%"
"07.11.2023","124,50","125,35","125,85","124,20","47,66K","-0,72%"
"06.11.2023","125,40","125,75","126,30","123,25","83,67K","0,00%"
"03.11.2023","125,40","127,50","127,80","123,65","262,67K","-1,65%"
"02.11.2023","127,50","121,90","129,00","121,20","1,55M","5,42%"
"01.11.2023","120,95","122,40","122,45","120,55","54,63K","-0,66%"
"31.10.2023","121,75","122,40","122,75","121,00","78,48K","-0,08%"
"30.10.2023","121,85","122,10","123,00","121,45","58,34K","0,33%"
"27.10.2023","121,45","122,75","123,65","121,00","100,85K","-0,74%"
"26.10.2023","122,35","122,30","125,00","121,00","176,60K","0,04%"
"25.10.2023","122,30","124,95","125,70","122,00","96,76K","-1,37%"
"24.10.2023","124,00","123,00","125,40","122,00","191,03K","1,60%"
"23.10.2023","122,05","122,10","123,45","121,75","83,49K","-0,41%"
"20.10.2023","122,55","121,15","123,50","121,15","76,81K","-0,45%"
"19.10.2023","123,10","123,80","125,15","121,45","229,33K","-0,36%"
"18.10.2023","123,55","127,90","128,20","122,30","499,40K","-2,52%"
"17.10.2023","126,75","129,45","129,90","123,45","127,32K","-0,71%"
"16.10.2023","127,65","126,40","127,95","126,00","39,82K","0,91%"
"13.10.2023","126,50","126,20","127,50","125,60","44,15K","0,24%"
"12.10.2023","126,20","125,50","127,05","124,00","72,03K","-1,33%"
"11.10.2023","127,90","129,20","129,20","126,50","59,76K","-0,93%"
"10.10.2023","129,10","128,90","129,30","127,75","39,04K","0,74%"
"09.10.2023","128,15","127,95","129,20","125,90","48,67K","0,23%"
"06.10.2023","127,85","129,90","129,90","125,70","85,53K","-0,62%"
"05.10.2023","128,65","132,85","133,45","126,90","150,55K","-3,16%"
"04.10.2023","132,85","132,00","134,35","131,55","118,45K","0,72%"
"03.10.2023","131,90","131,45","135,35","129,95","573,03K","1,62%"
"02.10.2023","129,80","130,90","131,50","128,95","97,59K","0,50%"
"29.09.2023","129,15","129,50","131,00","128,75","82,86K","-0,23%"
"28.09.2023","129,45","129,00","130,65","129,00","65,35K","0,43%"
"27.09.2023","128,90","129,70","131,90","128,00","93,64K","-0,77%"
"26.09.2023","129,90","130,90","131,35","128,35","69,00K","-0,54%"
"25.09.2023","130,60","127,35","132,35","125,35","259,78K","3,77%"
"22.09.2023","125,85","123,30","127,70","120,70","145,25K","2,32%"
"21.09.2023","123,00","124,40","124,40","122,45","67,99K","-1,13%"
"20.09.2023","124,40","127,15","127,25","122,00","213,57K","-2,35%"
"19.09.2023","127,40","134,70","136,05","122,80","542,14K","-5,63%"
"18.09.2023","135,00","134,50","138,90","134,05","186,33K","-0,52%"
"15.09.2023","135,70","131,60","136,45","129,50","153,38K","3,27%"
"14.09.2023","131,40","142,30","142,50","120,50","570,71K","-6,64%"
"13.09.2023","140,75","142,55","146,90","139,35","380,24K","-1,26%"
"12.09.2023","142,55","137,30","143,95","137,30","468,33K","3,45%"
"11.09.2023","137,80","136,10","141,90","134,50","280,59K","1,17%"
"08.09.2023","136,20","139,10","140,35","131,25","339,13K","-2,08%"
"07.09.2023","139,10","156,00","156,00","135,85","859,25K","-5,69%"
"06.09.2023","147,50","138,50","158,40","136,30","4,23M","7,27%"
"05.09.2023","137,50","135,15","146,80","135,15","1,27M","2,27%"
"04.09.2023","134,45","132,60","135,45","132,50","253,84K","1,47%"
"01.09.2023","132,50","132,85","133,95","130,00","182,51K","-0,26%"
"31.08.2023","132,85","134,10","134,50","132,85","79,43K","-0,49%"
"30.08.2023","133,50","133,60","135,00","133,00","134,49K","-0,30%"
