"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","11,470","11,945","11,985","11,410","59,61M","-2,63%"
"28.12.2023","11,780","11,705","12,285","11,605","91,98M","-0,04%"
"27.12.2023","11,785","12,245","13,050","11,650","419,30M","-2,92%"
"26.12.2023","12,140","11,275","12,150","11,080","127,61M","7,67%"
"25.12.2023","11,275","11,090","11,430","11,090","35,04M","1,99%"
"22.12.2023","11,055","10,990","11,230","10,965","23,74M","0,96%"
"21.12.2023","10,950","11,140","11,160","10,875","16,40M","-1,71%"
"20.12.2023","11,140","11,240","11,275","11,060","18,14M","-0,85%"
"19.12.2023","11,235","11,230","11,395","10,955","37,70M","0,04%"
"18.12.2023","11,230","10,800","11,325","10,800","67,89M","4,08%"
"15.12.2023","10,790","9,865","10,935","9,865","61,03M","9,38%"
"14.12.2023","9,865","10,195","10,345","9,765","21,88M","-3,09%"
"13.12.2023","10,180","9,795","10,190","9,790","26,85M","4,09%"
"12.12.2023","9,780","9,770","9,960","9,730","12,71M","0,41%"
"11.12.2023","9,740","10,025","10,145","9,720","21,65M","-2,94%"
"08.12.2023","10,035","10,195","10,315","10,020","20,87M","-0,35%"
"07.12.2023","10,070","10,000","10,250","9,760","31,13M","0,85%"
"06.12.2023","9,985","10,580","10,590","9,800","44,27M","-4,22%"
"05.12.2023","10,425","9,805","10,540","9,435","57,81M","6,60%"
"04.12.2023","9,780","10,290","10,305","9,580","51,84M","-5,05%"
"01.12.2023","10,300","10,860","10,925","10,265","21,33M","-5,16%"
"30.11.2023","10,860","10,900","10,990","10,625","15,69M","-0,37%"
"29.11.2023","10,900","11,110","11,245","10,810","15,65M","-1,00%"
"28.11.2023","11,010","10,970","11,190","10,900","15,06M","0,32%"
"27.11.2023","10,975","11,425","11,460","10,710","39,81M","-2,88%"
"24.11.2023","11,300","11,500","11,670","11,080","20,28M","-1,78%"
"23.11.2023","11,505","11,955","12,000","11,420","30,18M","-3,64%"
"22.11.2023","11,940","12,005","12,065","11,870","9,77M","-0,25%"
"21.11.2023","11,970","12,080","12,160","11,875","12,43M","-0,83%"
"20.11.2023","12,070","12,080","12,205","12,025","12,69M","0,21%"
"17.11.2023","12,045","12,045","12,150","11,815","16,29M","-0,04%"
"16.11.2023","12,050","12,265","12,380","11,945","21,81M","-1,39%"
"15.11.2023","12,220","11,810","12,300","11,810","26,59M","2,09%"
"14.11.2023","11,970","12,550","12,625","11,820","31,19M","-4,32%"
"13.11.2023","12,510","12,575","12,890","12,400","26,30M","-0,40%"
"10.11.2023","12,560","12,905","13,065","12,530","22,85M","-2,67%"
"09.11.2023","12,905","13,030","13,340","12,855","53,10M","-0,31%"
"08.11.2023","12,945","12,590","12,990","12,485","33,24M","2,82%"
"07.11.2023","12,590","12,420","12,720","12,355","16,38M","1,45%"
"06.11.2023","12,410","12,280","12,475","12,270","6,52M","1,06%"
"03.11.2023","12,280","12,355","12,490","12,275","20,03M","-0,37%"
"02.11.2023","12,325","12,460","12,600","12,310","11,71M","-0,24%"
"01.11.2023","12,355","12,405","12,575","12,335","11,49M","-0,44%"
"31.10.2023","12,410","12,670","12,720","12,265","17,40M","-1,74%"
"30.10.2023","12,630","12,700","13,000","12,500","19,57M","0,08%"
"27.10.2023","12,620","12,615","12,880","12,390","21,98M","-0,16%"
"26.10.2023","12,640","12,900","13,400","12,640","38,30M","-1,98%"
"25.10.2023","12,895","13,095","13,095","12,880","11,20M","-0,81%"
"24.10.2023","13,000","12,995","13,120","12,915","8,86M","0,19%"
"23.10.2023","12,975","12,990","13,080","12,840","11,81M","0,19%"
"20.10.2023","12,950","13,100","13,150","12,800","18,77M","-1,11%"
"19.10.2023","13,095","13,270","13,275","13,035","19,42M","-1,47%"
"18.10.2023","13,290","13,435","13,685","13,230","53,71M","-0,60%"
"17.10.2023","13,370","12,645","13,370","12,645","97,40M","5,82%"
"16.10.2023","12,635","12,635","12,770","12,635","9,08M","0,00%"
"13.10.2023","12,635","12,550","12,780","12,530","18,67M","0,92%"
"12.10.2023","12,520","12,375","12,680","12,115","23,07M","-0,87%"
"11.10.2023","12,630","12,900","12,960","12,595","14,80M","-1,48%"
"10.10.2023","12,820","12,700","12,820","12,505","15,09M","1,42%"
"09.10.2023","12,640","12,740","12,905","12,610","20,78M","0,52%"
"06.10.2023","12,575","12,800","12,980","12,500","24,53M","-1,76%"
"05.10.2023","12,800","13,000","13,080","12,760","22,03M","-1,39%"
"04.10.2023","12,980","12,690","13,150","12,685","41,88M","2,24%"
"03.10.2023","12,695","12,500","12,980","12,290","39,34M","0,71%"
"02.10.2023","12,605","13,170","13,205","12,550","40,18M","-2,74%"
