"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","1.463,20","1.446,00","1.475,00","1.445,40","532,68K","1,05%"
"28.12.2023","1.448,00","1.450,20","1.464,00","1.440,40","895,67K","-0,18%"
"27.12.2023","1.450,60","1.476,40","1.480,00","1.450,00","1,01M","-1,73%"
"26.12.2023","1.476,20","1.480,00","1.496,00","1.475,00","693,64K","-0,12%"
"25.12.2023","1.478,00","1.470,00","1.489,80","1.455,20","871,85K","-0,78%"
"22.12.2023","1.489,60","1.484,80","1.508,00","1.471,20","1,20M","0,77%"
"21.12.2023","1.478,20","1.531,20","1.532,80","1.452,40","3,14M","-3,46%"
"20.12.2023","1.531,20","1.536,80","1.544,80","1.515,60","778,06K","-0,01%"
"19.12.2023","1.531,40","1.501,00","1.539,00","1.498,20","993,01K","2,03%"
"18.12.2023","1.501,00","1.506,00","1.509,20","1.494,00","808,74K","0,43%"
"15.12.2023","1.494,60","1.460,00","1.498,20","1.456,00","750,36K","2,36%"
"14.12.2023","1.460,20","1.510,00","1.514,40","1.455,00","590,83K","-3,14%"
"13.12.2023","1.507,60","1.493,00","1.510,60","1.484,20","335,73K","0,75%"
"12.12.2023","1.496,40","1.488,00","1.516,00","1.470,00","572,83K","0,36%"
"11.12.2023","1.491,00","1.536,00","1.542,00","1.475,20","728,04K","-2,64%"
"08.12.2023","1.531,40","1.514,00","1.542,00","1.514,00","380,36K","1,07%"
"07.12.2023","1.515,20","1.508,80","1.527,60","1.505,80","594,39K","0,62%"
"06.12.2023","1.505,80","1.547,80","1.549,80","1.495,00","964,48K","-2,37%"
"05.12.2023","1.542,40","1.508,40","1.549,00","1.508,40","990,73K","2,46%"
"04.12.2023","1.505,40","1.497,00","1.518,00","1.490,00","501,32K","0,36%"
"01.12.2023","1.500,00","1.511,00","1.521,00","1.493,60","500,26K","-0,66%"
"30.11.2023","1.510,00","1.495,00","1.523,00","1.482,20","531,79K","1,10%"
"29.11.2023","1.493,60","1.510,00","1.512,00","1.490,00","391,25K","-1,03%"
"28.11.2023","1.509,20","1.510,60","1.518,00","1.482,00","596,73K","-0,08%"
"27.11.2023","1.510,40","1.514,20","1.522,00","1.503,00","472,77K","-0,24%"
"24.11.2023","1.514,00","1.511,20","1.531,80","1.501,00","661,72K","0,19%"
"23.11.2023","1.511,20","1.525,00","1.525,00","1.510,80","463,43K","-0,96%"
