"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","0,2704","0,2674","0,2782","0,2674","5,45M","-0,07%"
"28.12.2023","0,2706","0,2796","0,2796","0,2700","7,55M","-2,66%"
"27.12.2023","0,2780","0,2828","0,2850","0,2726","12,50M","-1,07%"
"26.12.2023","0,2810","0,2810","0,3000","0,2810","21,42M","0,00%"
"25.12.2023","0,2810","0,2796","0,2918","0,2782","24,46M","1,30%"
"22.12.2023","0,2774","0,2858","0,2866","0,2738","23,96M","-3,21%"
"21.12.2023","0,2866","0,3026","0,3060","0,2766","89,86M","-3,50%"
"20.12.2023","0,2970","0,2476","0,2992","0,2422","193,07M","21,03%"
"19.12.2023","0,2454","0,2514","0,2568","0,2420","8,91M","-2,31%"
"18.12.2023","0,2512","0,2352","0,2540","0,2302","19,93M","7,35%"
"15.12.2023","0,2340","0,2312","0,2380","0,2266","4,68M","0,95%"
"14.12.2023","0,2318","0,2316","0,2378","0,2274","7,89M","0,26%"
"13.12.2023","0,2312","0,2228","0,2324","0,2204","13,97M","3,77%"
"12.12.2023","0,2228","0,2290","0,2372","0,2170","15,24M","-2,71%"
"11.12.2023","0,2290","0,2386","0,2386","0,2168","34,47M","-3,70%"
"08.12.2023","0,2378","0,2390","0,2484","0,2286","13,22M","-0,08%"
"07.12.2023","0,2380","0,2512","0,2556","0,2300","16,03M","-5,48%"
"06.12.2023","0,2518","0,2634","0,2656","0,2502","6,62M","-4,48%"
"05.12.2023","0,2636","0,2622","0,2652","0,2538","7,55M","0,53%"
"04.12.2023","0,2622","0,2662","0,2664","0,2590","8,09M","-1,43%"
"01.12.2023","0,2660","0,2658","0,2754","0,2650","2,63M","0,15%"
"30.11.2023","0,2656","0,2652","0,2742","0,2626","5,03M","1,14%"
"29.11.2023","0,2626","0,2590","0,2796","0,2588","23,49M","1,39%"
"28.11.2023","0,2590","0,2596","0,2646","0,2524","10,07M","0,62%"
"27.11.2023","0,2574","0,2718","0,2766","0,2540","16,93M","-4,74%"
"24.11.2023","0,2702","0,2764","0,2810","0,2682","3,80M","-4,12%"
"23.11.2023","0,2818","0,2892","0,2892","0,2750","6,77M","-2,15%"
"22.11.2023","0,2880","0,2856","0,2902","0,2850","3,45M","0,77%"
"21.11.2023","0,2858","0,2860","0,2930","0,2856","6,12M","0,07%"
"20.11.2023","0,2856","0,2796","0,2898","0,2780","8,28M","2,07%"
"17.11.2023","0,2798","0,2792","0,2896","0,2672","12,27M","-0,07%"
"16.11.2023","0,2800","0,2782","0,2862","0,2754","14,23M","2,34%"
"15.11.2023","0,2736","0,2664","0,2822","0,2586","21,50M","5,23%"
"14.11.2023","0,2600","0,2776","0,2786","0,2540","26,96M","-6,74%"
"13.11.2023","0,2788","0,2934","0,2986","0,2752","21,66M","-6,76%"
"10.11.2023","0,2990","0,2980","0,3060","0,2932","16,14M","1,91%"
"09.11.2023","0,2934","0,3006","0,3070","0,2934","10,57M","-2,59%"
"08.11.2023","0,3012","0,3018","0,3030","0,2986","2,66M","-0,20%"
"07.11.2023","0,3018","0,3050","0,3060","0,2984","11,08M","-0,72%"
"06.11.2023","0,3040","0,3024","0,3066","0,2978","6,71M","0,53%"
"03.11.2023","0,3024","0,3024","0,3042","0,2948","7,79M","0,00%"
"02.11.2023","0,3024","0,3036","0,3060","0,3002","9,66M","-0,46%"
"01.11.2023","0,3038","0,3088","0,3184","0,2982","28,87M","-1,11%"
"31.10.2023","0,3072","0,2976","0,3282","0,2976","133,32M","1,99%"
"30.10.2023","0,3012","0,3060","0,3074","0,3000","4,39M","-1,57%"
"27.10.2023","0,3060","0,3084","0,3084","0,2970","11,33M","0,33%"
"26.10.2023","0,3050","0,3126","0,3152","0,3050","8,42M","-2,31%"
"25.10.2023","0,3122","0,3116","0,3130","0,3080","11,38M","0,32%"
"24.10.2023","0,3112","0,3128","0,3130","0,3078","7,77M","-0,13%"
"23.10.2023","0,3116","0,3194","0,3194","0,3100","14,02M","-0,51%"
"20.10.2023","0,3132","0,3198","0,3234","0,3078","10,26M","-1,20%"
"19.10.2023","0,3170","0,3252","0,3280","0,3140","12,08M","-1,92%"
"18.10.2023","0,3232","0,3184","0,3250","0,3162","14,59M","1,51%"
"17.10.2023","0,3184","0,3158","0,3188","0,3154","11,17M","0,89%"
"16.10.2023","0,3156","0,3130","0,3188","0,3130","9,24M","0,83%"
"13.10.2023","0,3130","0,3120","0,3146","0,3056","9,80M","0,26%"
"12.10.2023","0,3122","0,3206","0,3214","0,3012","23,43M","-2,62%"
"11.10.2023","0,3206","0,3266","0,3278","0,3180","7,61M","0,56%"
"10.10.2023","0,3188","0,3278","0,3300","0,3168","17,33M","-1,42%"
"09.10.2023","0,3234","0,3198","0,3240","0,3140","11,04M","1,19%"
"06.10.2023","0,3196","0,3166","0,3248","0,3134","10,72M","0,00%"
"05.10.2023","0,3196","0,3140","0,3278","0,3132","18,71M","-0,87%"
"04.10.2023","0,3224","0,3378","0,3398","0,3104","32,24M","-2,54%"
"03.10.2023","0,3308","0,3306","0,3470","0,3302","55,11M","0,61%"
"02.10.2023","0,3288","0,3226","0,3400","0,3130","57,47M","4,38%"
"29.09.2023","0,3150","0,3204","0,3206","0,3060","25,66M","-0,88%"
"28.09.2023","0,3178","0,3170","0,3300","0,3146","19,08M","0,25%"
"27.09.2023","0,3170","0,3188","0,3328","0,3132","37,34M","1,41%"
"26.09.2023","0,3126","0,3296","0,3420","0,3000","55,47M","-3,34%"
"25.09.2023","0,3234","0,3026","0,3500","0,3026","79,84M","6,94%"
"22.09.2023","0,3024","0,2938","0,3040","0,2850","15,08M","2,72%"
"21.09.2023","0,2944","0,2988","0,3086","0,2828","26,13M","-1,47%"
"20.09.2023","0,2988","0,3038","0,3534","0,2812","105,20M","-1,58%"
"19.09.2023","0,3036","0,3168","0,3186","0,2920","44,57M","-4,17%"
"18.09.2023","0,3168","0,3276","0,3500","0,3064","52,80M","-2,58%"
"15.09.2023","0,3252","0,3100","0,3278","0,3000","32,08M","4,90%"
