"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","132,50","133,40","134,60","131,30","1,28M","-0,38%"
"28.12.2023","133,00","138,50","139,60","132,50","1,98M","-3,83%"
"27.12.2023","138,30","137,50","144,00","135,70","8,56M","1,02%"
"26.12.2023","136,90","134,00","137,50","131,00","2,84M","2,70%"
"25.12.2023","133,30","135,50","136,40","131,70","1,48M","-1,19%"
"22.12.2023","134,90","135,50","138,40","134,10","2,30M","-0,44%"
"21.12.2023","135,50","138,00","138,00","132,60","2,59M","-1,81%"
"20.12.2023","138,00","139,00","139,00","135,70","1,96M","0,22%"
"19.12.2023","137,70","133,70","140,00","130,90","4,46M","3,69%"
"18.12.2023","132,80","128,00","133,40","128,00","2,69M","3,83%"
"15.12.2023","127,90","121,00","127,90","120,60","2,28M","5,35%"
"14.12.2023","121,40","125,70","126,30","120,80","1,28M","-3,11%"
"13.12.2023","125,30","123,50","125,80","122,20","961,79K","1,79%"
"12.12.2023","123,10","123,70","125,60","122,40","1,79M","-0,57%"
"11.12.2023","123,80","127,60","127,60","122,70","2,99M","-2,67%"
"08.12.2023","127,20","125,90","128,50","125,10","2,13M","1,84%"
"07.12.2023","124,90","126,20","127,60","121,00","3,81M","-1,42%"
"06.12.2023","126,70","133,20","133,20","122,80","3,63M","-3,94%"
"05.12.2023","131,90","131,20","134,00","127,20","4,20M","0,15%"
"04.12.2023","131,70","141,60","141,80","129,60","6,00M","-6,93%"
"01.12.2023","141,50","149,40","150,70","140,60","3,23M","-5,79%"
"30.11.2023","150,20","150,70","152,80","148,80","1,16M","-0,33%"
"29.11.2023","150,70","151,60","152,60","149,30","838,15K","-0,59%"
"28.11.2023","151,60","152,00","153,40","147,20","1,65M","-0,39%"
"27.11.2023","152,20","156,30","157,50","151,20","1,10M","-2,56%"
"24.11.2023","156,20","156,60","157,50","155,10","770,24K","-0,26%"
"23.11.2023","156,60","159,70","159,90","156,10","798,50K","-1,94%"
"22.11.2023","159,70","158,00","161,70","157,50","1,84M","1,27%"
"21.11.2023","157,70","155,00","158,70","155,00","952,29K","1,61%"
"20.11.2023","155,20","155,00","157,20","153,60","1,15M","0,52%"
"17.11.2023","154,40","152,10","155,00","150,20","3,03M","1,38%"
"16.11.2023","152,30","156,90","157,20","152,20","1,22M","-2,99%"
"15.11.2023","157,00","152,90","157,20","152,30","1,94M","3,02%"
"14.11.2023","152,40","162,90","162,90","150,10","3,14M","-5,81%"
"13.11.2023","161,80","161,80","164,50","160,10","2,14M","0,87%"
"10.11.2023","160,40","160,10","162,60","159,00","1,06M","0,19%"
"09.11.2023","160,10","160,60","160,80","159,00","522,46K","-0,31%"
"08.11.2023","160,60","161,80","161,90","160,00","889,30K","-0,74%"
"07.11.2023","161,80","163,00","163,70","161,30","932,35K","-1,22%"
"06.11.2023","163,80","161,60","164,90","161,60","482,70K","0,68%"
"03.11.2023","162,70","162,00","164,50","161,20","671,04K","0,68%"
"02.11.2023","161,60","163,30","165,50","161,60","766,81K","-0,98%"
"01.11.2023","163,20","159,10","165,30","158,80","1,07M","2,00%"
"31.10.2023","160,00","162,60","163,00","158,60","1,16M","-1,60%"
"30.10.2023","162,60","165,90","166,30","162,40","1,02M","-1,51%"
"27.10.2023","165,10","165,90","167,50","160,60","1,89M","-0,12%"
"26.10.2023","165,30","167,00","172,40","164,70","2,83M","-0,84%"
"25.10.2023","166,70","168,30","168,40","166,00","1,31M","-1,01%"
"24.10.2023","168,40","169,60","169,60","167,70","619,42K","-0,82%"
"23.10.2023","169,80","171,10","172,10","168,20","1,37M","-1,22%"
"20.10.2023","171,90","173,00","173,60","171,40","1,44M","0,35%"
"19.10.2023","171,30","174,00","174,00","171,00","1,50M","-1,10%"
"18.10.2023","173,20","172,20","177,00","170,60","4,73M","0,70%"
