"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","1,23","1,30","1,32","1,22","336,19M","-4,06%"
"28.12.2023","1,28","1,43","1,47","1,27","2,20B","-5,40%"
"27.12.2023","1,35","1,17","1,37","1,17","1,38B","15,52%"
"26.12.2023","1,17","1,22","1,22","1,14","178,63M","-3,68%"
"25.12.2023","1,22","1,24","1,25","1,21","53,90M","0,00%"
"22.12.2023","1,22","1,23","1,26","1,21","181,66M","0,00%"
"21.12.2023","1,23","1,22","1,25","1,20","172,66M","0,77%"
"20.12.2023","1,22","1,23","1,25","1,22","117,82M","-1,17%"
"19.12.2023","1,23","1,19","1,25","1,18","271,70M","3,64%"
"18.12.2023","1,19","1,14","1,19","1,14","253,60M","4,84%"
"15.12.2023","1,13","1,10","1,15","1,08","125,05M","2,07%"
"14.12.2023","1,11","1,11","1,14","1,09","167,40M","0,00%"
"13.12.2023","1,11","1,07","1,14","1,06","306,70M","3,93%"
"12.12.2023","1,07","1,08","1,09","1,05","120,81M","0,00%"
"11.12.2023","1,07","1,05","1,08","1,04","144,67M","1,51%"
"08.12.2023","1,05","1,03","1,10","1,03","301,76M","1,71%"
"07.12.2023","1,03","1,08","1,09","1,00","225,20M","-4,18%"
"06.12.2023","1,08","1,11","1,13","1,07","94,95M","-1,19%"
"05.12.2023","1,09","1,11","1,16","1,06","201,56M","-2,07%"
"04.12.2023","1,11","1,18","1,19","1,11","111,00M","-5,61%"
"01.12.2023","1,18","1,22","1,22","1,18","79,17M","-3,25%"
"30.11.2023","1,22","1,27","1,27","1,21","55,41M","-2,48%"
"29.11.2023","1,25","1,25","1,28","1,22","87,58M","0,00%"
"28.11.2023","1,25","1,20","1,26","1,17","249,61M","3,32%"
"27.11.2023","1,21","1,29","1,31","1,20","139,69M","-6,12%"
"24.11.2023","1,29","1,28","1,33","1,24","169,98M","0,00%"
"23.11.2023","1,29","1,36","1,36","1,28","187,50M","-4,69%"
"22.11.2023","1,36","1,39","1,40","1,34","113,08M","-1,31%"
"21.11.2023","1,37","1,40","1,40","1,36","102,04M","-1,81%"
