"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","102,00","98,60","102,00","96,40","209,65K","3,03%"
"28.12.2023","99,00","99,00","100,00","98,00","96,54K","0,00%"
"27.12.2023","99,00","97,60","101,00","95,60","408,73K","1,23%"
"26.12.2023","97,80","97,00","99,40","96,00","257,09K","-1,01%"
"25.12.2023","98,80","99,60","107,80","96,40","1,34M","4,66%"
"22.12.2023","94,40","93,60","94,80","93,40","51,93K","0,85%"
"21.12.2023","93,60","95,40","96,00","93,00","66,83K","-1,89%"
"20.12.2023","95,40","94,60","96,80","93,20","82,76K","1,27%"
"19.12.2023","94,20","95,60","96,20","93,20","47,21K","-1,46%"
"18.12.2023","95,60","94,80","96,00","93,00","71,26K","1,70%"
"15.12.2023","94,00","93,20","94,80","92,40","61,13K","0,43%"
"14.12.2023","93,60","92,00","94,20","92,00","40,86K","1,74%"
"13.12.2023","92,00","91,40","93,40","90,80","42,79K","0,22%"
"12.12.2023","91,80","93,20","93,20","91,00","71,36K","-1,08%"
"11.12.2023","92,80","94,40","95,20","91,40","37,38K","-1,69%"
"08.12.2023","94,40","92,80","96,00","92,60","36,41K","1,72%"
"07.12.2023","92,80","92,80","93,80","90,60","48,86K","-0,85%"
"06.12.2023","93,60","92,60","94,80","92,20","39,52K","-0,21%"
"05.12.2023","93,80","93,00","93,80","89,80","90,63K","0,86%"
"04.12.2023","93,00","97,00","97,00","92,00","118,19K","-4,12%"
"01.12.2023","97,00","97,60","98,20","96,80","48,77K","-0,21%"
"30.11.2023","97,20","97,80","98,80","97,00","50,65K","-0,61%"
"29.11.2023","97,80","97,40","98,20","97,20","24,39K","-0,20%"
"28.11.2023","98,00","98,40","98,60","97,00","59,45K","-0,20%"
"27.11.2023","98,20","99,00","99,40","97,60","54,30K","-0,61%"
"24.11.2023","98,80","99,40","99,60","98,40","45,48K","-0,60%"
"23.11.2023","99,40","99,60","99,80","98,60","34,21K","-0,20%"
"22.11.2023","99,60","100,00","101,20","98,80","82,69K","-0,40%"
"21.11.2023","100,00","100,20","100,40","99,00","113,11K","-0,79%"
"20.11.2023","100,80","100,80","101,00","99,20","51,61K","0,80%"
"17.11.2023","100,00","100,20","100,80","99,20","79,06K","-0,79%"
"16.11.2023","100,80","100,20","101,00","99,80","78,54K","-0,40%"
"15.11.2023","101,20","99,20","101,40","98,40","73,03K","1,40%"
"14.11.2023","99,80","104,00","104,00","98,00","173,53K","-3,29%"
"13.11.2023","103,20","100,40","104,60","99,20","235,13K","3,20%"
"10.11.2023","100,00","101,20","101,60","99,00","57,88K","-1,19%"
"09.11.2023","101,20","102,00","102,00","100,40","54,37K","-0,59%"
"08.11.2023","101,80","99,80","103,60","99,60","139,11K","2,00%"
"07.11.2023","99,80","100,00","100,80","98,40","86,16K","-0,20%"
"06.11.2023","100,00","98,20","100,20","97,40","84,19K","2,04%"
"03.11.2023","98,00","98,00","98,40","97,00","93,40K","-0,41%"
"02.11.2023","98,40","98,20","99,40","97,40","51,69K","0,20%"
"01.11.2023","98,20","98,40","98,40","97,00","71,27K","0,20%"
"31.10.2023","98,00","98,80","99,00","97,40","51,22K","-0,81%"
"30.10.2023","98,80","99,20","100,80","98,20","33,76K","-0,40%"
"27.10.2023","99,20","99,80","99,80","98,00","50,06K","0,00%"
"26.10.2023","99,20","99,80","100,00","97,80","125,66K","-0,60%"
"25.10.2023","99,80","100,00","100,20","98,40","72,93K","0,00%"
"24.10.2023","99,80","100,20","100,40","99,40","59,90K","-0,20%"
"23.10.2023","100,00","100,00","101,00","99,60","54,05K","0,00%"
"20.10.2023","100,00","100,20","100,60","99,40","117,06K","0,00%"
"19.10.2023","100,00","100,80","101,60","100,00","30,53K","-0,79%"
"18.10.2023","100,80","101,20","101,60","100,20","28,23K","-0,20%"
"17.10.2023","101,00","101,60","101,80","99,60","73,04K","-0,39%"
"16.10.2023","101,40","100,40","101,80","99,80","77,01K","1,20%"
"13.10.2023","100,20","100,20","100,60","99,60","76,41K","-0,20%"
