"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","3,590","3,230","3,605","3,230","1,07M","9,28%"
"28.12.2023","3,285","3,305","3,400","3,205","343,00K","-2,09%"
"27.12.2023","3,355","3,435","3,600","3,350","568,00K","-2,19%"
"26.12.2023","3,430","3,870","3,870","3,380","1,05M","-6,28%"
"25.12.2023","3,660","3,525","4,060","3,525","788,00K","-4,44%"
"22.12.2023","3,830","4,100","4,235","3,820","1,50M","-4,01%"
"21.12.2023","3,990","4,000","4,300","3,820","3,97M","1,53%"
"20.12.2023","3,930","3,300","3,930","3,300","3,63M","22,43%"
"19.12.2023","3,210","2,985","3,345","2,985","2,03M","9,74%"
"18.12.2023","2,925","2,900","2,985","2,870","515,00K","2,09%"
"15.12.2023","2,865","2,795","2,990","2,760","303,00K","3,24%"
"14.12.2023","2,775","2,735","3,100","2,605","1,19M","-0,18%"
"13.12.2023","2,780","2,640","2,890","2,540","1,77M","5,10%"
"12.12.2023","2,645","2,640","2,710","2,505","586,00K","-1,86%"
"11.12.2023","2,695","2,925","3,250","2,635","1,16M","-5,77%"
"08.12.2023","2,860","2,850","2,990","2,765","500,00K","1,06%"
"07.12.2023","2,830","2,950","2,985","2,630","2,14M","-4,07%"
"06.12.2023","2,950","3,100","3,210","2,875","329,00K","-4,53%"
"05.12.2023","3,090","3,130","3,385","2,910","991,00K","-1,59%"
"04.12.2023","3,140","3,260","3,320","2,960","635,00K","-3,53%"
"01.12.2023","3,255","3,325","3,470","3,230","409,00K","-1,51%"
"30.11.2023","3,305","3,365","3,510","3,210","694,00K","-6,24%"
"29.11.2023","3,525","3,575","3,770","3,405","1,88M","3,68%"
"28.11.2023","3,400","3,070","3,750","2,775","5,31M","10,39%"
"27.11.2023","3,080","3,500","3,550","3,020","3,30M","-13,97%"
"24.11.2023","3,580","4,080","4,080","3,445","4,73M","-13,73%"
"23.11.2023","4,150","4,645","4,715","4,100","962,00K","-11,61%"
"22.11.2023","4,695","4,670","4,730","4,410","282,00K","2,29%"
"21.11.2023","4,590","4,820","4,860","4,475","293,00K","-4,57%"
"20.11.2023","4,810","5,025","5,100","4,800","622,00K","-4,28%"
"17.11.2023","5,025","5,000","5,145","4,905","636,00K","3,29%"
"16.11.2023","4,865","4,855","5,200","4,800","2,73M","2,42%"
"15.11.2023","4,750","4,145","4,830","3,790","1,45M","14,46%"
"14.11.2023","4,150","5,000","5,375","4,000","2,35M","-18,47%"
"13.11.2023","5,090","5,500","5,725","4,700","917,00K","-5,04%"
"10.11.2023","5,360","5,750","5,795","5,205","1,10M","-7,35%"
"09.11.2023","5,785","6,085","6,095","5,700","240,00K","-4,70%"
"08.11.2023","6,070","6,170","6,200","5,865","558,00K","-2,02%"
"07.11.2023","6,195","6,315","6,315","6,150","163,00K","-0,16%"
"06.11.2023","6,205","6,130","6,315","6,105","101,00K","-1,59%"
"03.11.2023","6,305","6,275","6,305","6,105","356,00K","-0,32%"
"02.11.2023","6,325","6,190","6,580","6,190","661,00K","3,10%"
"01.11.2023","6,135","6,280","6,375","6,105","430,00K","-3,69%"
"31.10.2023","6,370","6,468","6,468","6,206","210,00K","-1,48%"
"30.10.2023","6,466","6,228","6,680","6,148","926,00K","3,66%"
"27.10.2023","6,238","6,106","6,350","6,106","400,00K","-0,03%"
"26.10.2023","6,240","6,248","6,248","6,152","165,00K","-0,16%"
"25.10.2023","6,250","6,156","6,376","6,136","989,00K","-2,40%"
"24.10.2023","6,404","6,518","6,872","6,136","1,11M","-1,78%"
"23.10.2023","6,520","6,250","6,648","6,250","606,00K","1,09%"
"20.10.2023","6,450","6,850","6,850","6,136","696,00K","-6,44%"
"19.10.2023","6,894","6,910","7,198","6,700","491,00K","-2,21%"
"18.10.2023","7,050","6,800","7,090","6,800","1,18M","4,44%"
"17.10.2023","6,750","6,450","6,750","6,398","1,08M","5,11%"
"16.10.2023","6,422","6,292","6,700","6,282","657,00K","2,26%"
"13.10.2023","6,280","6,234","6,280","6,150","294,00K","0,71%"
"12.10.2023","6,236","6,100","6,280","6,100","289,00K","-0,70%"
"11.10.2023","6,280","6,200","6,306","5,954","403,00K","0,64%"
"10.10.2023","6,240","6,260","6,350","6,050","623,00K","-0,19%"
"09.10.2023","6,252","6,350","6,350","6,002","505,00K","-0,76%"
"06.10.2023","6,300","6,402","6,482","6,018","489,00K","-2,42%"
"05.10.2023","6,456","6,004","6,718","5,940","1,19M","6,78%"
"04.10.2023","6,046","5,980","6,122","5,900","327,00K","2,44%"
"03.10.2023","5,902","6,122","6,122","5,902","237,00K","-3,66%"
"02.10.2023","6,126","6,050","6,126","5,944","591,00K","2,07%"
"29.09.2023","6,002","5,980","6,064","5,910","270,00K","1,69%"
"28.09.2023","5,902","5,878","6,100","5,878","665,00K","1,76%"
"27.09.2023","5,800","5,800","5,900","5,708","202,00K","0,90%"
