"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","62,39","64,05","64,50","62,32","2,46M","-2,52%"
"28.12.2023","64,00","66,19","66,19","63,70","1,97M","-2,75%"
"27.12.2023","65,81","65,60","67,00","64,04","4,01M","0,73%"
"26.12.2023","65,33","65,57","65,90","62,77","4,63M","-0,37%"
"25.12.2023","65,57","66,20","66,63","64,20","2,88M","-0,65%"
"22.12.2023","66,00","66,10","67,40","65,72","3,62M","0,46%"
"21.12.2023","65,70","64,91","66,73","63,81","6,97M","1,78%"
"20.12.2023","64,55","62,00","64,90","61,70","4,41M","4,11%"
"19.12.2023","62,00","61,39","62,92","60,50","2,87M","1,19%"
"18.12.2023","61,27","58,31","61,88","57,79","5,55M","5,60%"
"15.12.2023","58,02","56,19","58,30","55,72","2,33M","3,55%"
"14.12.2023","56,03","58,00","58,90","55,60","2,83M","-2,54%"
"13.12.2023","57,49","56,10","57,60","55,80","2,39M","2,04%"
"12.12.2023","56,34","56,90","58,35","55,43","3,90M","-1,09%"
"11.12.2023","56,96","60,20","60,20","55,80","4,42M","-5,65%"
"08.12.2023","60,37","60,20","61,50","59,20","2,53M","0,28%"
"07.12.2023","60,20","62,16","62,24","59,85","2,82M","-2,90%"
"06.12.2023","62,00","63,29","63,98","62,00","1,44M","-2,01%"
"05.12.2023","63,27","63,68","64,98","61,53","2,81M","-0,66%"
"04.12.2023","63,69","65,19","67,74","62,67","5,71M","-2,47%"
"01.12.2023","65,30","63,62","66,01","63,62","3,97M","-2,46%"
"30.11.2023","66,95","68,99","69,43","66,25","2,72M","-3,04%"
"29.11.2023","69,05","69,88","70,00","68,60","946,50K","-1,17%"
"28.11.2023","69,87","69,75","70,45","68,40","1,82M","0,58%"
"27.11.2023","69,47","69,30","70,00","68,12","3,21M","-1,56%"
"24.11.2023","70,57","70,51","71,49","70,10","1,83M","0,36%"
"23.11.2023","70,32","72,21","73,00","69,49","2,05M","-2,28%"
"22.11.2023","71,96","73,04","74,00","71,36","2,74M","-1,22%"
"21.11.2023","72,85","70,66","72,96","69,53","3,03M","3,29%"
"20.11.2023","70,53","70,20","71,01","69,20","2,03M","0,47%"
"17.11.2023","70,20","69,66","71,38","68,84","2,44M","0,78%"
"16.11.2023","69,66","70,99","71,48","69,50","2,70M","-2,57%"
"15.11.2023","71,50","67,98","72,50","67,98","5,75M","4,15%"
"14.11.2023","68,65","71,12","71,23","66,12","8,81M","-3,45%"
"13.11.2023","71,10","76,02","76,16","69,14","7,35M","-6,56%"
"10.11.2023","76,09","77,17","77,22","75,01","1,58M","-1,40%"
"09.11.2023","77,17","77,54","77,80","76,44","954,43K","-0,48%"
"08.11.2023","77,54","77,90","78,05","77,26","710,36K","-0,58%"
"07.11.2023","77,99","78,22","78,22","77,65","486,03K","-0,17%"
"06.11.2023","78,12","77,65","78,30","77,35","646,95K","0,62%"
"03.11.2023","77,64","77,65","78,30","77,41","816,42K","-0,01%"
"02.11.2023","77,65","78,79","79,69","77,41","1,28M","-1,40%"
"01.11.2023","78,75","77,26","79,30","77,02","1,28M","1,93%"
"31.10.2023","77,26","77,80","78,38","77,01","1,13M","-1,32%"
"30.10.2023","78,29","79,30","79,78","78,08","1,40M","-0,99%"
"27.10.2023","79,07","76,99","79,38","75,70","2,70M","2,73%"
"26.10.2023","76,97","78,97","79,06","75,70","2,48M","-2,52%"
"25.10.2023","78,96","79,56","79,56","78,60","1,34M","-0,63%"
"24.10.2023","79,46","80,01","80,29","78,35","2,25M","-0,81%"
"23.10.2023","80,11","81,50","81,65","80,00","2,67M","-1,10%"
"20.10.2023","81,00","83,55","83,55","80,34","6,74M","-2,59%"
"19.10.2023","83,15","82,00","83,30","81,23","12,36M","2,77%"
"18.10.2023","80,91","80,44","82,00","79,35","5,17M","0,76%"
"17.10.2023","80,30","80,30","81,00","80,00","2,25M","0,02%"
"16.10.2023","80,28","80,14","81,29","79,99","2,17M","0,20%"
"13.10.2023","80,12","79,66","80,72","79,35","2,85M","0,60%"
"12.10.2023","79,64","77,40","80,91","77,31","5,16M","2,10%"
"11.10.2023","78,00","80,39","82,97","77,11","9,47M","-2,83%"
"10.10.2023","80,27","80,10","80,84","79,70","2,08M","0,21%"
"09.10.2023","80,10","79,51","80,38","79,40","2,61M","1,07%"
"06.10.2023","79,25","79,70","80,72","78,95","4,24M","-0,43%"
"05.10.2023","79,59","79,30","80,11","78,80","2,07M","0,39%"
"04.10.2023","79,28","79,25","80,50","78,60","3,09M","0,16%"
"03.10.2023","79,15","80,55","80,74","78,20","5,06M","-2,02%"
