"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","847,65","839,00","851,90","828,55","1,82M","0,92%"
"28.12.2023","839,95","857,05","858,00","836,70","2,25M","-2,00%"
"27.12.2023","857,05","854,95","873,10","851,35","6,29M","-8,26%"
"26.12.2023","934,25","909,00","935,60","909,00","4,07M","2,28%"
"25.12.2023","913,45","908,30","915,75","907,10","1,65M","0,13%"
"22.12.2023","912,30","915,10","917,80","905,20","1,28M","-0,16%"
"21.12.2023","913,80","910,00","921,40","903,40","1,93M","0,58%"
"20.12.2023","908,50","883,55","909,20","881,15","2,13M","3,02%"
"19.12.2023","881,90","875,00","882,75","870,00","1,36M","0,82%"
"18.12.2023","874,70","859,00","874,85","858,00","1,56M","2,46%"
"15.12.2023","853,70","826,85","856,10","825,60","1,28M","3,25%"
"14.12.2023","826,85","841,10","843,00","825,60","1,09M","-1,68%"
"13.12.2023","841,00","845,00","850,05","837,05","736,95K","-0,64%"
"12.12.2023","846,40","854,00","858,70","843,00","723,76K","-1,13%"
"11.12.2023","856,10","857,05","863,00","850,80","866,21K","-0,11%"
"08.12.2023","857,00","852,00","859,40","850,10","516,90K","0,67%"
"07.12.2023","851,30","861,85","862,95","849,15","948,90K","-1,22%"
"06.12.2023","861,80","869,90","869,90","856,25","566,73K","-0,59%"
"05.12.2023","866,95","860,75","870,95","855,00","588,33K","0,68%"
"04.12.2023","861,10","867,00","869,90","858,20","636,41K","-1,10%"
"01.12.2023","870,70","877,75","877,80","866,30","520,44K","-0,50%"
"30.11.2023","875,10","869,60","879,00","865,00","720,23K","0,85%"
"29.11.2023","867,70","871,30","871,30","863,20","432,48K","-0,41%"
"28.11.2023","871,30","872,95","876,50","864,00","870,73K","-0,19%"
"27.11.2023","872,95","874,00","876,00","868,55","751,24K","0,32%"
"24.11.2023","870,20","866,95","879,65","863,00","990,96K","0,37%"
"23.11.2023","866,95","861,00","869,95","860,95","923,49K","0,73%"
"22.11.2023","860,70","849,30","860,90","846,10","1,42M","1,37%"
"21.11.2023","849,10","854,75","856,10","844,95","725,86K","-0,67%"
