"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","710,00","708,00","711,90","698,80","1,94M","0,25%"
"28.12.2023","708,20","718,70","718,70","704,10","2,81M","-1,32%"
"27.12.2023","717,70","699,90","720,00","697,50","4,79M","2,78%"
"26.12.2023","698,30","678,10","700,00","676,70","3,31M","3,30%"
"25.12.2023","676,00","660,10","677,80","657,60","2,55M","2,19%"
"22.12.2023","661,50","661,30","666,00","659,50","1,26M","0,46%"
"21.12.2023","658,50","660,10","662,00","648,70","2,03M","0,02%"
"20.12.2023","658,40","655,00","663,90","652,00","1,87M","0,77%"
"19.12.2023","653,40","643,70","654,00","640,50","2,42M","1,52%"
"18.12.2023","643,60","640,00","648,10","635,50","1,91M","1,31%"
"15.12.2023","635,30","616,70","636,50","616,20","1,77M","2,97%"
"14.12.2023","617,00","630,00","631,20","615,20","971,74K","-1,86%"
"13.12.2023","628,70","621,00","630,30","621,00","586,63K","0,51%"
"12.12.2023","625,50","625,20","631,80","620,00","1,27M","0,08%"
"11.12.2023","625,00","638,80","638,90","622,90","1,44M","-1,99%"
"08.12.2023","637,70","626,80","637,80","626,50","1,06M","1,84%"
"07.12.2023","626,20","622,00","636,50","619,10","2,28M","0,64%"
"06.12.2023","622,20","636,50","636,90","619,30","1,25M","-2,05%"
"05.12.2023","635,20","625,00","637,20","622,40","1,05M","1,84%"
"04.12.2023","623,70","630,60","633,50","620,00","2,20M","-1,39%"
"01.12.2023","632,50","638,80","641,00","625,60","1,41M","-0,99%"
"30.11.2023","638,80","639,60","644,00","635,00","1,17M","0,02%"
"29.11.2023","638,70","642,00","644,20","636,60","933,05K","-0,39%"
"28.11.2023","641,20","638,30","643,70","632,30","1,48M","0,44%"
"27.11.2023","638,40","650,00","650,00","636,40","2,31M","-1,48%"
"24.11.2023","648,00","643,20","649,40","641,40","2,24M","1,08%"
"23.11.2023","641,10","642,80","645,80","638,60","2,44M","0,05%"
"22.11.2023","640,80","636,00","643,40","633,10","4,18M","1,04%"
"21.11.2023","634,20","614,40","634,40","611,10","5,47M","3,05%"
"20.11.2023","615,40","616,60","618,70","611,50","1,39M","-0,02%"
"17.11.2023","615,50","602,10","619,00","598,10","2,71M","2,23%"
"16.11.2023","602,10","611,80","613,00","600,40","1,20M","-1,59%"
"15.11.2023","611,80","610,70","614,80","606,60","1,03M","0,18%"
"14.11.2023","610,70","616,40","618,70","605,10","2,55M","-0,91%"
"13.11.2023","616,30","620,00","623,30","615,90","1,32M","-0,60%"
"10.11.2023","620,00","617,20","620,50","614,10","1,12M","0,78%"
"09.11.2023","615,20","616,40","619,40","611,10","1,14M","0,11%"
"08.11.2023","614,50","611,20","620,00","608,20","1,98M","0,54%"
"07.11.2023","611,20","609,90","613,00","604,20","1,37M","0,25%"
"06.11.2023","609,70","602,60","609,80","600,00","916,18K","1,33%"
"03.11.2023","601,70","603,10","604,80","596,00","1,82M","-0,17%"
"02.11.2023","602,70","607,80","610,10","601,10","1,65M","-0,59%"
"01.11.2023","606,30","609,30","613,70","595,00","2,22M","-0,21%"
"31.10.2023","607,60","621,20","621,90","602,50","2,47M","-2,19%"
"30.10.2023","621,20","622,40","624,90","617,30","1,29M","-0,19%"
"27.10.2023","622,40","613,50","623,30","612,20","1,92M","1,43%"
"26.10.2023","613,60","622,70","626,40","613,00","1,88M","-1,40%"
"25.10.2023","622,30","624,10","625,00","618,20","1,74M","-0,51%"
"24.10.2023","625,50","626,60","627,80","620,00","1,17M","-0,18%"
"23.10.2023","626,60","630,60","632,00","624,10","1,27M","-0,60%"
"20.10.2023","630,40","633,90","633,90","625,50","1,96M","-0,43%"
"19.10.2023","633,10","631,00","634,20","627,50","1,59M","0,13%"
"18.10.2023","632,30","630,00","637,90","623,20","4,71M","0,60%"
"17.10.2023","628,50","629,80","630,00","626,10","1,63M","-0,06%"
"16.10.2023","628,90","635,00","637,50","625,10","4,86M","0,10%"
"13.10.2023","628,30","618,90","630,00","615,20","4,55M","1,73%"
"12.10.2023","617,60","616,80","622,60","608,50","5,48M","-0,19%"
"11.10.2023","618,80","624,40","633,00","617,00","10,14M","-4,73%"
"10.10.2023","649,50","645,00","650,00","642,10","4,27M","0,90%"
"09.10.2023","643,70","640,10","647,20","639,20","3,80M","0,89%"
"06.10.2023","638,00","635,00","641,40","630,40","2,37M","0,66%"
"05.10.2023","633,80","634,20","638,60","631,00","1,72M","-0,06%"
"04.10.2023","634,20","640,00","643,10","633,70","2,19M","-0,77%"
"03.10.2023","639,10","639,00","641,40","631,00","3,12M","-0,03%"
"02.10.2023","639,30","628,00","639,70","625,90","3,61M","2,22%"
"29.09.2023","625,40","620,00","625,40","612,20","2,30M","0,97%"
"28.09.2023","619,40","616,50","623,10","613,60","2,66M","0,67%"
"27.09.2023","615,30","605,70","615,70","604,70","1,45M","1,97%"
"26.09.2023","603,40","604,60","607,40","595,20","1,81M","-0,20%"
"25.09.2023","604,60","607,00","608,90","598,50","1,48M","-1,02%"
"22.09.2023","610,80","597,00","611,00","588,10","3,20M","2,21%"
"21.09.2023","597,60","612,00","615,70","593,60","3,70M","-2,32%"
"20.09.2023","611,80","610,50","620,70","601,80","4,02M","0,28%"
"19.09.2023","610,10","627,70","630,00","605,20","4,77M","-2,57%"
"18.09.2023","626,20","619,10","628,10","616,40","4,19M","1,85%"
"15.09.2023","614,80","602,60","615,00","600,20","2,86M","2,04%"
"14.09.2023","602,50","606,40","608,00","593,00","2,61M","-0,36%"
"13.09.2023","604,70","609,20","613,00","602,60","2,48M","-0,31%"
"12.09.2023","606,60","588,80","606,80","587,10","2,59M","3,09%"
"11.09.2023","588,40","601,90","601,90","583,10","2,52M","-1,19%"
"08.09.2023","595,50","603,70","606,50","589,70","3,21M","-1,36%"
"07.09.2023","603,70","608,60","620,50","583,00","8,28M","-0,84%"
"06.09.2023","608,80","607,20","612,50","602,80","2,48M","0,26%"
"05.09.2023","607,20","603,50","609,70","597,00","3,30M","0,78%"
"04.09.2023","602,50","595,00","603,50","594,60","2,71M","1,60%"
"01.09.2023","593,00","591,00","594,00","587,30","1,99M","0,47%"
"31.08.2023","590,20","592,30","595,50","587,10","2,63M","0,14%"
"30.08.2023","589,40","586,90","592,30","585,50","2,55M","0,49%"
"29.08.2023","586,50","588,70","589,90","584,40","2,67M","-0,17%"
"28.08.2023","587,50","589,00","590,40","584,20","2,39M","-0,03%"
"25.08.2023","587,70","583,00","587,80","578,00","2,00M","1,05%"
"24.08.2023","581,60","575,90","584,60","574,30","1,74M","0,99%"
"23.08.2023","575,90","591,90","593,90","571,40","3,92M","-2,44%"
"22.08.2023","590,30","584,00","592,50","581,00","3,33M","0,98%"
"21.08.2023","584,60","578,80","587,30","577,60","3,05M","1,65%"
"18.08.2023","575,10","569,40","576,70","563,40","2,12M","1,21%"
"17.08.2023","568,20","565,50","570,00","558,70","2,69M","0,92%"
"16.08.2023","563,00","575,00","581,50","551,50","5,08M","-1,92%"
"15.08.2023","574,00","575,90","590,00","564,60","4,99M","-0,40%"
"14.08.2023","576,30","588,50","598,20","556,90","9,99M","-0,19%"
"11.08.2023","577,40","575,90","579,00","567,70","2,71M","0,43%"
"10.08.2023","574,90","572,00","579,50","571,00","3,91M","0,95%"
"09.08.2023","569,50","557,00","569,80","552,50","3,10M","2,52%"
"08.08.2023","555,50","549,10","557,20","542,00","3,66M","1,24%"
"07.08.2023","548,70","545,90","565,60","542,30","5,90M","1,25%"
"04.08.2023","541,90","547,90","572,00","527,00","7,91M","-1,06%"
"03.08.2023","547,70","540,00","549,30","531,60","3,01M","1,90%"
"02.08.2023","537,50","526,70","540,10","521,90","3,78M","2,09%"
"01.08.2023","526,50","525,40","531,60","518,70","2,87M","0,57%"
"31.07.2023","523,50","519,40","525,50","516,30","3,41M","1,36%"
"28.07.2023","516,50","509,50","519,80","506,90","2,54M","1,39%"
"27.07.2023","509,40","508,00","512,60","506,10","2,00M","0,59%"
"26.07.2023","506,40","509,30","513,50","502,50","2,20M","-0,57%"
"25.07.2023","509,30","499,30","512,20","498,30","3,60M","2,25%"
"24.07.2023","498,10","494,90","498,80","493,30","1,14M","0,69%"
"21.07.2023","494,70","489,00","495,20","488,00","1,70M","1,25%"
"20.07.2023","488,60","497,00","497,00","487,10","1,94M","-1,59%"
"19.07.2023","496,50","497,70","498,50","495,30","991,73K","-0,24%"
"18.07.2023","497,70","496,80","498,60","495,60","1,23M","0,26%"
"17.07.2023","496,40","493,80","499,30","493,10","2,02M","0,08%"
"14.07.2023","496,00","493,50","497,00","492,00","1,26M","0,26%"
"13.07.2023","494,70","495,90","499,60","493,50","1,78M","-0,18%"
"12.07.2023","495,60","492,40","497,80","488,70","1,85M","1,00%"
"11.07.2023","490,70","487,90","492,30","486,20","1,74M","0,57%"
"10.07.2023","487,90","476,70","489,20","475,20","5,41M","-2,61%"
"07.07.2023","501,00","497,40","502,00","496,10","3,63M","0,36%"
"06.07.2023","499,20","501,80","502,70","498,70","1,72M","-0,50%"
"05.07.2023","501,70","494,90","502,60","494,40","2,27M","1,68%"
"04.07.2023","493,40","500,00","500,70","491,80","2,39M","-1,34%"
"03.07.2023","500,10","505,90","507,80","499,20","1,80M","-1,11%"
"30.06.2023","505,70","508,00","509,80","502,10","2,28M","-0,39%"
"29.06.2023","507,70","500,00","509,50","499,00","2,33M","1,54%"
"28.06.2023","500,00","499,50","502,00","498,10","1,49M","0,42%"
"27.06.2023","497,90","498,50","501,70","495,10","1,86M","-0,12%"
"26.06.2023","498,50","499,40","505,00","490,00","2,76M","0,79%"
"23.06.2023","494,60","504,00","508,50","486,60","2,76M","-1,92%"
"22.06.2023","504,30","503,30","511,40","501,00","1,80M","0,20%"
"21.06.2023","503,30","505,30","505,30","500,60","1,53M","-0,06%"
"20.06.2023","503,60","504,00","506,80","494,00","2,75M","0,00%"
"19.06.2023","503,60","507,80","509,70","499,00","4,60M","-1,58%"
"16.06.2023","511,70","516,20","521,00","505,70","5,29M","-0,64%"
"15.06.2023","515,00","489,00","515,60","488,20","7,69M","5,51%"
"14.06.2023","488,10","482,50","488,50","481,10","2,90M","1,48%"
"13.06.2023","481,00","473,80","481,90","473,20","2,00M","1,82%"
"09.06.2023","472,40","471,10","474,00","468,80","1,57M","0,32%"
"08.06.2023","470,90","470,90","475,80","466,30","1,73M","0,04%"
"07.06.2023","470,70","474,90","474,90","465,20","1,70M","-0,49%"
"06.06.2023","473,00","474,90","478,70","462,70","3,78M","-0,42%"
"05.06.2023","475,00","471,60","486,00","468,70","6,65M","2,44%"
"02.06.2023","463,70","450,30","463,90","450,30","2,37M","2,98%"
"01.06.2023","450,30","445,00","452,00","443,90","2,28M","1,60%"
"31.05.2023","443,20","438,00","444,50","436,30","1,50M","0,98%"
"30.05.2023","438,90","440,00","448,40","435,60","4,35M","-0,63%"
"29.05.2023","441,70","434,20","443,00","429,50","2,71M","2,84%"
"26.05.2023","429,50","427,00","432,00","424,40","1,66M","0,73%"
"25.05.2023","426,40","429,80","429,80","422,50","1,46M","-0,70%"
"24.05.2023","429,40","429,00","431,00","426,00","2,02M","0,49%"
"23.05.2023","427,30","416,60","428,70","413,60","2,67M","2,59%"
"22.05.2023","416,50","412,20","417,70","409,90","2,19M","1,51%"
"19.05.2023","410,30","412,00","412,00","407,00","1,29M","-0,34%"
"18.05.2023","411,70","406,40","412,80","404,40","1,94M","1,55%"
"17.05.2023","405,40","407,00","408,40","404,00","1,51M","-0,34%"
"16.05.2023","406,80","407,50","410,00","404,40","1,85M","0,20%"
"15.05.2023","406,00","403,40","406,30","401,50","2,44M","1,32%"
"12.05.2023","400,70","400,10","403,40","395,60","1,48M","0,50%"
"11.05.2023","398,70","402,80","406,90","390,70","2,82M","-0,92%"
"10.05.2023","402,40","392,40","403,00","392,40","2,99M","2,68%"
"08.05.2023","391,90","384,20","396,60","383,60","1,72M","2,32%"
"05.05.2023","383,00","388,50","388,60","379,50","2,18M","-1,29%"
"04.05.2023","388,00","381,90","391,50","381,80","2,01M","1,62%"
"03.05.2023","381,80","395,30","396,30","380,00","3,56M","-3,85%"
"02.05.2023","397,10","405,50","406,80","394,50","2,67M","-1,71%"
"28.04.2023","404,00","412,80","413,70","401,00","2,89M","-1,89%"
"27.04.2023","411,80","408,10","418,60","407,90","5,89M","1,08%"
"26.04.2023","407,40","409,30","410,80","406,30","1,75M","-0,34%"
"25.04.2023","408,80","413,30","413,30","406,80","1,45M","-0,70%"
"24.04.2023","411,70","406,30","415,70","405,80","2,97M","1,33%"
"21.04.2023","406,30","407,40","409,70","404,80","1,32M","-0,25%"
"20.04.2023","407,30","396,00","413,00","388,10","5,08M","2,75%"
"19.04.2023","396,40","399,50","400,30","393,10","2,08M","-0,95%"
"18.04.2023","400,20","400,00","402,30","396,00","1,84M","0,23%"
"17.04.2023","399,30","396,10","400,00","394,20","2,38M","1,24%"
"14.04.2023","394,40","394,50","396,00","391,00","1,22M","-0,03%"
"13.04.2023","394,50","395,50","397,50","392,30","972,05K","-0,23%"
"12.04.2023","395,40","395,10","397,90","387,10","2,16M","0,41%"
"11.04.2023","393,80","402,80","403,40","391,60","2,84M","-2,23%"
"10.04.2023","402,80","400,00","405,00","398,10","2,38M","1,67%"
"07.04.2023","396,20","390,50","396,90","389,50","2,66M","1,72%"
"06.04.2023","389,50","388,00","391,50","386,10","2,18M","0,57%"
"05.04.2023","387,30","381,40","388,00","376,20","2,25M","1,20%"
"04.04.2023","382,70","387,00","389,00","381,60","2,56M","-1,06%"
"03.04.2023","386,80","383,00","389,00","378,50","4,02M","3,51%"
"31.03.2023","373,70","375,00","377,90","366,80","3,25M","-0,40%"
"30.03.2023","375,20","366,80","379,40","365,30","3,43M","2,01%"
"29.03.2023","367,80","368,60","369,50","365,00","2,49M","0,19%"
"28.03.2023","367,10","364,40","368,50","357,50","3,49M","1,02%"
"27.03.2023","363,40","351,00","363,90","350,50","5,06M","4,04%"
"24.03.2023","349,30","344,00","349,50","343,60","1,55M","1,36%"
"23.03.2023","344,60","349,90","350,50","343,10","3,85M","-1,66%"
"22.03.2023","350,40","350,80","351,80","348,20","2,19M","-0,11%"
"21.03.2023","350,80","355,00","356,50","350,20","3,47M","-1,18%"
"20.03.2023","355,00","349,00","357,50","345,30","6,10M","2,07%"
"17.03.2023","347,80","335,20","348,90","334,50","6,04M","3,42%"
"16.03.2023","336,30","337,00","339,80","333,70","2,39M","-0,39%"
"15.03.2023","337,60","339,90","343,00","335,50","2,47M","-0,41%"
"14.03.2023","339,00","332,80","341,30","332,60","3,06M","1,28%"
"13.03.2023","334,70","334,20","335,70","328,20","2,87M","0,42%"
"10.03.2023","333,30","333,90","335,20","331,30","1,74M","-0,57%"
"09.03.2023","335,20","336,80","337,30","333,50","2,07M","-0,24%"
"07.03.2023","336,00","338,00","338,40","334,90","2,52M","-0,47%"
"06.03.2023","337,60","336,00","340,00","335,50","4,10M","0,81%"
"03.03.2023","334,90","331,00","335,20","330,00","2,88M","1,42%"
"02.03.2023","330,20","334,80","337,80","328,00","5,77M","-1,37%"
"01.03.2023","334,80","328,00","335,50","325,10","8,14M","1,98%"
"28.02.2023","328,30","315,00","330,70","314,90","7,33M","3,86%"
"27.02.2023","316,10","311,80","318,00","310,00","1,97M","1,12%"
"24.02.2023","312,60","313,50","314,60","312,00","1,36M","-0,26%"
"22.02.2023","313,40","315,80","315,90","312,20","1,80M","-0,76%"
"21.02.2023","315,80","314,10","318,80","313,40","3,21M","0,54%"
"20.02.2023","314,10","317,00","317,20","311,00","2,18M","-0,79%"
"17.02.2023","316,60","314,80","319,30","314,30","1,60M","0,32%"
"16.02.2023","315,60","315,60","320,00","312,10","2,03M","0,57%"
"15.02.2023","313,80","325,00","325,10","310,00","4,35M","-3,86%"
"14.02.2023","326,40","325,40","327,50","323,20","1,79M","0,34%"
"13.02.2023","325,30","324,40","327,90","323,00","3,69M","0,56%"
"10.02.2023","323,50","324,20","324,80","322,50","1,58M","-0,28%"
"09.02.2023","324,40","325,50","328,70","323,50","2,51M","0,06%"
"08.02.2023","324,20","323,70","324,20","322,10","2,59M","0,12%"
"07.02.2023","323,80","325,50","326,60","321,90","2,86M","-0,52%"
"06.02.2023","325,50","324,00","325,90","323,10","1,78M","0,49%"
"03.02.2023","323,90","326,40","326,50","321,70","2,23M","-0,83%"
"02.02.2023","326,60","328,20","329,10","326,10","1,29M","-0,58%"
"01.02.2023","328,50","328,60","330,20","327,20","1,19M","-0,09%"
"31.01.2023","328,80","332,40","332,80","326,70","2,68M","-1,17%"
"30.01.2023","332,70","334,20","335,00","330,80","1,63M","-0,09%"
"27.01.2023","333,00","333,60","333,60","330,30","874,36K","-0,09%"
"26.01.2023","333,30","334,40","335,40","332,20","600,67K","-0,33%"
"25.01.2023","334,40","333,10","334,70","331,50","669,75K","0,21%"
"24.01.2023","333,70","334,70","335,70","333,20","650,18K","-0,30%"
"23.01.2023","334,70","335,90","335,90","332,20","689,27K","0,30%"
"20.01.2023","333,70","335,00","335,80","333,00","668,51K","-0,45%"
"19.01.2023","335,20","338,20","339,40","333,30","1,40M","-1,12%"
"18.01.2023","339,00","341,60","343,00","338,30","942,14K","-0,82%"
"17.01.2023","341,80","345,50","346,80","340,10","869,75K","-1,13%"
"16.01.2023","345,70","345,50","347,00","344,50","1,04M","0,09%"
"13.01.2023","345,40","346,40","346,40","344,70","542,08K","-0,03%"
"12.01.2023","345,50","345,80","347,00","344,10","504,55K","-0,14%"
"11.01.2023","346,00","345,40","346,50","343,00","852,06K","0,09%"
"10.01.2023","345,70","346,50","346,60","343,90","598,31K","-0,29%"
"09.01.2023","346,70","345,70","347,30","345,30","863,49K","-1,11%"
"06.01.2023","350,60","349,20","350,60","348,60","711,50K","0,34%"
"05.01.2023","349,40","350,60","350,60","349,00","418,34K","-0,40%"
"04.01.2023","350,80","352,40","352,40","348,90","593,89K","-0,23%"
"03.01.2023","351,60","350,50","351,90","349,30","679,36K","0,89%"
"30.12.2022","348,50","350,00","350,30","346,80","687,05K","-0,14%"
"29.12.2022","349,00","346,20","349,40","346,20","643,99K","0,63%"
"28.12.2022","346,80","348,70","349,00","346,60","992,43K","-0,60%"
"27.12.2022","348,90","351,00","351,30","347,60","1,61M","-0,54%"
"26.12.2022","350,80","350,00","353,40","347,90","1,14M","0,40%"
"23.12.2022","349,40","348,70","350,00","346,80","553,76K","-0,31%"
"22.12.2022","350,50","352,50","353,60","349,50","978,70K","-0,17%"
"21.12.2022","351,10","355,70","357,70","349,40","904,97K","-0,99%"
"20.12.2022","354,60","348,20","355,80","346,50","941,83K","1,75%"
"19.12.2022","348,50","354,90","354,90","346,00","953,03K","-1,66%"
"16.12.2022","354,40","351,60","356,50","350,10","364,48K","0,74%"
"15.12.2022","351,80","355,00","358,20","350,10","490,33K","-1,40%"
"14.12.2022","356,80","359,10","359,50","353,00","444,83K","-0,45%"
"13.12.2022","358,40","359,90","361,10","355,20","538,67K","-0,47%"
"12.12.2022","360,10","364,60","366,20","358,70","593,38K","-1,21%"
"09.12.2022","364,50","359,20","365,80","359,20","599,95K","0,97%"
"08.12.2022","361,00","361,00","363,50","359,40","532,54K","-0,17%"
"07.12.2022","361,60","362,40","363,00","357,70","531,08K","-0,03%"
"06.12.2022","361,70","363,50","364,70","360,00","639,28K","-0,28%"
"05.12.2022","362,70","360,80","367,00","357,20","1,05M","0,44%"
"02.12.2022","361,10","362,80","363,70","360,30","328,93K","-0,77%"
"01.12.2022","363,90","365,50","365,80","361,50","346,61K","-0,57%"
"30.11.2022","366,00","367,60","368,40","363,40","368,94K","-0,49%"
"29.11.2022","367,80","369,10","369,80","363,40","494,30K","0,05%"
"28.11.2022","367,60","365,60","368,70","361,90","601,85K","0,33%"
"25.11.2022","366,40","367,00","367,70","360,00","446,59K","-0,25%"
"24.11.2022","367,30","370,00","370,30","365,20","614,00K","-0,27%"
"23.11.2022","368,30","370,90","370,90","364,80","470,25K","-0,38%"
"22.11.2022","369,70","369,70","372,90","364,00","521,75K","0,24%"
"21.11.2022","368,80","376,20","376,20","360,10","866,46K","-1,97%"
"18.11.2022","376,20","377,80","378,20","372,70","609,14K","-0,48%"
"17.11.2022","378,00","383,20","384,20","376,80","524,28K","-1,36%"
"16.11.2022","383,20","378,50","385,60","376,00","832,51K","2,05%"
"15.11.2022","375,50","385,00","385,00","364,30","1,20M","-2,32%"
