"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","0,008756","0,008720","0,008944","0,008720","11,02B","-1,06%"
"28.12.2023","0,008850","0,008992","0,009150","0,008680","30,32B","-0,32%"
"27.12.2023","0,008878","0,008850","0,009378","0,008612","45,39B","0,89%"
"26.12.2023","0,008800","0,008800","0,008928","0,008700","11,27B","0,00%"
"25.12.2023","0,008800","0,008878","0,008930","0,008752","7,09B","-0,29%"
"22.12.2023","0,008826","0,008800","0,008934","0,008764","10,02B","0,64%"
"21.12.2023","0,008770","0,008960","0,008960","0,008730","7,69B","-1,90%"
"20.12.2023","0,008940","0,009064","0,009098","0,008856","10,17B","-0,78%"
"19.12.2023","0,009010","0,008868","0,009070","0,008832","16,51B","0,69%"
"18.12.2023","0,008948","0,008700","0,008948","0,008700","9,15B","2,87%"
"15.12.2023","0,008698","0,008470","0,008740","0,008426","7,83B","2,69%"
"14.12.2023","0,008470","0,008460","0,008628","0,008418","9,63B","0,52%"
"13.12.2023","0,008426","0,008376","0,008540","0,008314","7,36B","0,38%"
"12.12.2023","0,008394","0,008460","0,008534","0,008244","11,60B","-1,69%"
"11.12.2023","0,008538","0,008920","0,008920","0,008504","11,18B","-3,72%"
"08.12.2023","0,008868","0,008774","0,008922","0,008746","7,32B","1,14%"
"07.12.2023","0,008768","0,008750","0,008844","0,008450","14,65B","-0,16%"
"06.12.2023","0,008782","0,009038","0,009090","0,008750","7,06B","-2,49%"
"05.12.2023","0,009006","0,009020","0,009184","0,008802","9,22B","-0,73%"
"04.12.2023","0,009072","0,009304","0,009304","0,009006","9,46B","-2,66%"
"01.12.2023","0,009320","0,009398","0,009482","0,009310","4,27B","-0,81%"
"30.11.2023","0,009396","0,009590","0,009590","0,009352","3,82B","-0,76%"
"29.11.2023","0,009468","0,009554","0,009634","0,009402","6,05B","-0,82%"
"28.11.2023","0,009546","0,009430","0,009650","0,009416","10,20B","1,42%"
"27.11.2023","0,009412","0,009888","0,009890","0,009334","18,31B","-4,64%"
"24.11.2023","0,009870","0,010048","0,010060","0,009806","6,33B","-1,79%"
"23.11.2023","0,010050","0,010236","0,010236","0,010050","4,64B","-1,06%"
"22.11.2023","0,010158","0,010112","0,010208","0,010112","4,52B","0,47%"
"21.11.2023","0,010110","0,010060","0,010194","0,010060","3,36B","-0,18%"
"20.11.2023","0,010128","0,010100","0,010236","0,010084","6,32B","0,44%"
"17.11.2023","0,010084","0,010240","0,010308","0,010000","9,42B","-1,18%"
"16.11.2023","0,010204","0,010240","0,010512","0,009950","15,76B","-0,16%"
"15.11.2023","0,010220","0,009932","0,010428","0,009904","21,04B","2,90%"
"14.11.2023","0,009932","0,010300","0,010330","0,009708","14,57B","-3,89%"
"13.11.2023","0,010334","0,010544","0,010578","0,010306","7,37B","-1,73%"
"10.11.2023","0,010516","0,010776","0,010794","0,010414","9,94B","-2,39%"
"09.11.2023","0,010774","0,010668","0,010976","0,010612","29,20B","1,05%"
"08.11.2023","0,010662","0,010580","0,010700","0,010522","7,86B","1,22%"
"07.11.2023","0,010534","0,010656","0,010710","0,010502","4,26B","-0,72%"
"06.11.2023","0,010610","0,010362","0,010644","0,010322","8,24B","3,01%"
"03.11.2023","0,010300","0,010446","0,010530","0,010300","4,71B","-1,00%"
"02.11.2023","0,010404","0,010512","0,010612","0,010404","4,24B","-0,67%"
"01.11.2023","0,010474","0,010482","0,010550","0,010442","3,46B","-0,08%"
"31.10.2023","0,010482","0,010658","0,010720","0,010366","6,75B","-1,65%"
"30.10.2023","0,010658","0,010824","0,010866","0,010652","5,46B","-1,52%"
"27.10.2023","0,010822","0,010840","0,010968","0,010560","14,45B","0,22%"
"26.10.2023","0,010798","0,011278","0,011390","0,010700","21,47B","-3,33%"
"25.10.2023","0,011170","0,011080","0,011350","0,010818","22,70B","1,36%"
"24.10.2023","0,011020","0,011380","0,011450","0,011002","23,71B","-2,87%"
"23.10.2023","0,011346","0,011152","0,011416","0,011100","27,61B","2,86%"
"20.10.2023","0,011030","0,011000","0,011134","0,010920","11,53B","0,33%"
"19.10.2023","0,010994","0,011000","0,011082","0,010700","9,80B","0,49%"
"18.10.2023","0,010940","0,011150","0,011184","0,010822","11,29B","-1,80%"
"17.10.2023","0,011140","0,011160","0,011246","0,011062","17,03B","1,20%"
"16.10.2023","0,011008","0,010742","0,011200","0,010742","25,11B","2,48%"
"13.10.2023","0,010742","0,010820","0,010946","0,010630","10,64B","-0,68%"
"12.10.2023","0,010816","0,010600","0,011064","0,010414","30,25B","0,76%"
"11.10.2023","0,010734","0,010534","0,010850","0,010510","20,09B","2,27%"
"10.10.2023","0,010496","0,010560","0,010564","0,010408","4,38B","0,36%"
"09.10.2023","0,010458","0,010292","0,010670","0,010278","14,85B","1,93%"
"06.10.2023","0,010260","0,010300","0,010378","0,010210","3,75B","-0,62%"
"05.10.2023","0,010324","0,010372","0,010488","0,010302","4,08B","-1,02%"
"04.10.2023","0,010430","0,010500","0,010500","0,010366","4,85B","0,60%"
"03.10.2023","0,010368","0,010260","0,010468","0,010150","9,28B","1,15%"
"02.10.2023","0,010250","0,010600","0,010800","0,010230","12,29B","-2,88%"
"29.09.2023","0,010554","0,010820","0,010826","0,010530","9,14B","-1,82%"
"28.09.2023","0,010750","0,010736","0,010800","0,010606","11,10B","0,35%"
"27.09.2023","0,010712","0,010726","0,010870","0,010602","10,48B","0,22%"
"26.09.2023","0,010688","0,010600","0,010986","0,010464","29,15B","0,81%"
"25.09.2023","0,010602","0,010370","0,010784","0,010300","18,80B","2,18%"
"22.09.2023","0,010376","0,010102","0,010470","0,009950","18,91B","2,21%"
"21.09.2023","0,010152","0,010360","0,010360","0,009938","19,82B","-2,16%"
"20.09.2023","0,010376","0,010700","0,010742","0,010006","42,78B","-3,46%"
"19.09.2023","0,010748","0,011200","0,011200","0,010580","31,77B","-3,47%"
"18.09.2023","0,011134","0,011112","0,011658","0,010800","53,14B","0,54%"
"15.09.2023","0,011074","0,011018","0,011260","0,010510","48,28B","0,62%"
"14.09.2023","0,011006","0,012046","0,012068","0,009450","145,73B","-8,34%"
"13.09.2023","0,012008","0,012488","0,012576","0,012000","21,62B","-3,84%"
"12.09.2023","0,012488","0,012488","0,012700","0,012288","24,75B","1,00%"
"11.09.2023","0,012364","0,012230","0,012588","0,012050","36,33B","2,11%"
"08.09.2023","0,012108","0,012232","0,012400","0,011706","26,95B","-1,01%"
"07.09.2023","0,012232","0,012540","0,012784","0,012020","49,46B","-2,16%"
"06.09.2023","0,012502","0,012700","0,012736","0,012300","24,07B","-0,83%"
"05.09.2023","0,012606","0,012626","0,013198","0,012208","98,14B","0,21%"
"04.09.2023","0,012580","0,012724","0,012892","0,012502","31,82B","-1,10%"
"01.09.2023","0,012720","0,013084","0,013250","0,012570","53,95B","-2,48%"
"31.08.2023","0,013044","0,012786","0,013470","0,012600","122,56B","3,94%"
"30.08.2023","0,012550","0,012680","0,012894","0,012306","80,84B","-1,18%"
"29.08.2023","0,012700","0,011800","0,013200","0,011564","253,48B","7,77%"
"28.08.2023","0,011784","0,011610","0,011948","0,011510","19,26B","2,15%"
"25.08.2023","0,011536","0,011608","0,011850","0,011464","13,13B","-0,29%"
"24.08.2023","0,011570","0,011392","0,011590","0,011026","20,18B","0,45%"
"23.08.2023","0,011518","0,011616","0,011638","0,011250","11,00B","-0,21%"
"22.08.2023","0,011542","0,011850","0,011858","0,011460","13,97B","-2,12%"
"21.08.2023","0,011792","0,011700","0,011866","0,011624","12,45B","1,69%"
"18.08.2023","0,011596","0,011676","0,011750","0,011504","10,53B","-0,21%"
"17.08.2023","0,011620","0,011360","0,011726","0,011202","23,80B","3,05%"
"16.08.2023","0,011276","0,011600","0,011858","0,011012","27,71B","-3,74%"
"15.08.2023","0,011714","0,011696","0,012098","0,011000","33,08B","-0,22%"
"14.08.2023","0,011740","0,011800","0,012490","0,011526","58,94B","0,19%"
"11.08.2023","0,011718","0,011838","0,011952","0,011600","19,97B","-0,37%"
"10.08.2023","0,011762","0,012066","0,012250","0,011522","49,71B","-2,11%"
"09.08.2023","0,012016","0,011490","0,012264","0,011466","168,75B","5,63%"
"08.08.2023","0,011376","0,011102","0,011776","0,010650","101,52B","2,47%"
"07.08.2023","0,011102","0,011094","0,011420","0,011002","27,88B","0,11%"
"04.08.2023","0,011090","0,011870","0,012340","0,010850","143,97B","-5,49%"
"03.08.2023","0,011734","0,011400","0,011998","0,011176","75,59B","4,49%"
"02.08.2023","0,011230","0,011100","0,011364","0,011004","39,29B","1,65%"
