"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","3.365,00","3.370,00","3.445,00","3.265,00","0,46K","1,82%"
"28.12.2023","3.305,00","3.395,00","3.440,00","3.305,00","0,42K","-2,65%"
"27.12.2023","3.395,00","3.495,00","3.500,00","3.330,00","0,67K","-0,88%"
"26.12.2023","3.425,00","3.445,00","3.565,00","3.420,00","0,41K","-0,15%"
"25.12.2023","3.430,00","3.610,00","3.790,00","3.355,00","0,79K","-2,00%"
"22.12.2023","3.500,00","3.790,00","3.900,00","3.475,00","1,98K","-7,65%"
"21.12.2023","3.790,00","3.570,00","4.100,00","3.410,00","3,89K","8,75%"
"20.12.2023","3.485,00","3.350,00","3.570,00","3.260,00","1,27K","6,90%"
"19.12.2023","3.260,00","3.190,00","3.465,00","3.190,00","1,09K","2,19%"
"18.12.2023","3.190,00","3.000,00","3.245,00","3.000,00","0,86K","6,33%"
"15.12.2023","3.000,00","3.010,00","3.010,00","2.735,00","1,43K","0,67%"
"14.12.2023","2.980,00","2.880,00","3.140,00","2.820,00","1,29K","3,47%"
"13.12.2023","2.880,00","2.740,00","2.960,00","2.740,00","0,30K","5,69%"
"12.12.2023","2.725,00","2.850,00","2.915,00","2.660,00","0,66K","-5,38%"
"11.12.2023","2.880,00","3.000,00","3.000,00","2.850,00","0,36K","-4,95%"
"08.12.2023","3.030,00","3.095,00","3.190,00","2.990,00","0,25K","-1,78%"
"07.12.2023","3.085,00","3.145,00","3.190,00","2.625,00","0,91K","0,16%"
"06.12.2023","3.080,00","3.145,00","3.200,00","3.050,00","0,09K","-2,07%"
"05.12.2023","3.145,00","3.220,00","3.285,00","2.865,00","0,75K","-2,33%"
"04.12.2023","3.220,00","3.375,00","3.450,00","3.210,00","0,33K","-4,73%"
"01.12.2023","3.380,00","3.325,00","3.600,00","3.175,00","1,89K","2,89%"
"30.11.2023","3.285,00","3.365,00","3.500,00","3.210,00","0,57K","-2,38%"
"29.11.2023","3.365,00","3.770,00","3.890,00","3.300,00","2,12K","-4,94%"
"28.11.2023","3.540,00","3.100,00","3.540,00","3.045,00","2,68K","9,26%"
"27.11.2023","3.240,00","3.475,00","3.500,00","3.060,00","1,03K","-7,43%"
"24.11.2023","3.500,00","3.775,00","3.775,00","3.235,00","3,21K","-8,14%"
"23.11.2023","3.810,00","4.250,00","4.250,00","3.810,00","1,34K","-10,35%"
"22.11.2023","4.250,00","4.335,00","4.370,00","4.225,00","0,24K","-1,85%"
"21.11.2023","4.330,00","4.530,00","4.580,00","4.155,00","0,77K","-4,31%"
"20.11.2023","4.525,00","4.750,00","4.750,00","4.385,00","0,80K","-4,54%"
"17.11.2023","4.740,00","4.375,00","4.795,00","4.375,00","2,05K","8,47%"
"16.11.2023","4.370,00","3.875,00","4.370,00","3.875,00","0,52K","9,80%"
"15.11.2023","3.980,00","3.150,00","3.980,00","3.065,00","2,38K","22,46%"
"14.11.2023","3.250,00","3.940,00","3.945,00","3.190,00","2,00K","-17,51%"
"13.11.2023","3.940,00","4.190,00","4.225,00","3.805,00","0,81K","-6,08%"
"10.11.2023","4.195,00","4.500,00","4.520,00","4.055,00","1,06K","-6,36%"
"09.11.2023","4.480,00","4.780,00","4.780,00","4.255,00","1,11K","-6,28%"
"08.11.2023","4.780,00","4.990,00","4.990,00","4.715,00","0,58K","-4,02%"
"07.11.2023","4.980,00","4.885,00","4.995,00","4.885,00","0,08K","1,12%"
"06.11.2023","4.925,00","4.950,00","4.950,00","4.885,00","0,24K","-0,81%"
"03.11.2023","4.965,00","5.020,00","5.050,00","4.870,00","0,49K","-1,10%"
"02.11.2023","5.020,00","5.030,00","5.120,00","5.020,00","0,26K","-0,20%"
"01.11.2023","5.030,00","5.035,00","5.120,00","5.015,00","0,52K","-0,10%"
"31.10.2023","5.035,00","5.100,00","5.170,00","4.990,00","0,51K","-1,18%"
"30.10.2023","5.095,00","5.150,00","5.265,00","5.090,00","0,79K","-0,88%"
"27.10.2023","5.140,00","5.085,00","5.490,00","4.970,00","3,94K","3,52%"
"26.10.2023","4.965,00","5.255,00","5.290,00","4.965,00","0,61K","-5,52%"
"25.10.2023","5.255,00","5.065,00","5.410,00","5.060,00","2,11K","3,75%"
"24.10.2023","5.065,00","5.170,00","5.175,00","4.920,00","0,47K","-2,03%"
"23.10.2023","5.170,00","5.220,00","5.230,00","4.930,00","1,38K","2,78%"
"20.10.2023","5.030,00","5.495,00","5.520,00","4.920,00","1,96K","-8,55%"
"19.10.2023","5.500,00","5.600,00","5.600,00","5.400,00","1,07K","-1,79%"
"18.10.2023","5.600,00","5.450,00","5.645,00","5.440,00","2,18K","3,13%"
"17.10.2023","5.430,00","5.285,00","5.580,00","5.165,00","1,52K","3,04%"
"16.10.2023","5.270,00","4.935,00","5.655,00","4.855,00","5,20K","8,21%"
"13.10.2023","4.870,00","4.660,00","4.945,00","4.660,00","1,53K","4,62%"
"12.10.2023","4.655,00","4.705,00","4.705,00","4.570,00","0,68K","-1,17%"
"11.10.2023","4.710,00","4.515,00","4.755,00","4.495,00","0,61K","4,32%"
"10.10.2023","4.515,00","4.485,00","4.525,00","4.485,00","0,35K","0,67%"
"09.10.2023","4.485,00","4.525,00","4.565,00","4.475,00","0,46K","-0,33%"
"06.10.2023","4.500,00","4.600,00","4.600,00","4.465,00","0,19K","-1,96%"
"05.10.2023","4.590,00","4.455,00","4.590,00","4.455,00","0,29K","2,23%"
"04.10.2023","4.490,00","4.455,00","4.535,00","4.400,00","0,55K","-1,10%"
"03.10.2023","4.540,00","4.525,00","4.545,00","4.410,00","0,36K","-0,11%"
"02.10.2023","4.545,00","4.620,00","4.620,00","4.380,00","1,04K","-1,20%"
"29.09.2023","4.600,00","4.705,00","4.705,00","4.595,00","0,17K","-2,95%"
"28.09.2023","4.740,00","4.710,00","4.785,00","4.670,00","0,45K","0,74%"
"27.09.2023","4.705,00","4.600,00","4.725,00","4.600,00","0,37K","2,39%"
"26.09.2023","4.595,00","4.465,00","4.900,00","4.405,00","1,02K","4,55%"
"25.09.2023","4.395,00","4.430,00","4.520,00","4.275,00","0,44K","0,23%"
"22.09.2023","4.385,00","4.275,00","4.535,00","4.055,00","1,09K","0,92%"
"21.09.2023","4.345,00","4.300,00","4.735,00","4.235,00","1,08K","-2,14%"
"20.09.2023","4.440,00","4.800,00","4.805,00","4.015,00","2,31K","-7,60%"
"19.09.2023","4.805,00","5.165,00","5.185,00","4.770,00","0,86K","-6,88%"
