"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","197,28","197,30","198,24","196,14","879,27K","-0,12%"
"28.12.2023","197,52","200,00","201,00","195,62","1,46M","-1,35%"
"27.12.2023","200,22","201,96","204,00","199,50","1,56M","-0,49%"
"26.12.2023","201,20","204,44","205,30","200,00","1,85M","-1,58%"
"25.12.2023","204,44","199,72","205,90","199,72","3,08M","2,36%"
"22.12.2023","199,72","197,50","201,72","196,74","1,40M","0,91%"
"21.12.2023","197,92","198,86","199,46","192,42","1,54M","-0,63%"
"20.12.2023","199,18","201,14","201,96","197,92","1,49M","-0,67%"
"19.12.2023","200,52","203,46","204,50","197,00","2,92M","-1,45%"
"18.12.2023","203,46","195,00","203,48","194,36","3,52M","4,79%"
"15.12.2023","194,16","187,02","195,00","187,02","1,25M","3,31%"
"14.12.2023","187,94","190,02","193,70","184,60","1,53M","-1,00%"
"13.12.2023","189,84","190,90","190,96","188,06","987,66K","0,11%"
"12.12.2023","189,64","190,38","194,00","187,20","1,36M","0,31%"
"11.12.2023","189,06","193,16","196,00","186,36","1,86M","-2,45%"
"08.12.2023","193,80","197,76","201,00","192,06","3,77M","-1,02%"
"07.12.2023","195,80","188,32","198,56","180,90","5,49M","3,59%"
"06.12.2023","189,02","196,98","198,20","184,10","3,95M","-3,81%"
"05.12.2023","196,50","180,30","196,80","180,30","5,21M","9,09%"
"04.12.2023","180,12","189,80","190,90","180,00","3,63M","-5,12%"
"01.12.2023","189,84","202,12","202,92","188,04","5,79M","-6,71%"
"30.11.2023","203,50","208,20","209,32","202,00","1,26M","-2,59%"
"29.11.2023","208,92","212,00","213,82","206,72","538,01K","-1,33%"
"28.11.2023","211,74","208,50","214,78","206,06","2,13M","1,37%"
"27.11.2023","208,88","213,76","213,88","205,26","2,24M","-2,42%"
"24.11.2023","214,06","215,70","216,80","212,52","755,13K","-0,99%"
"23.11.2023","216,20","218,70","218,70","215,62","593,26K","-1,28%"
"22.11.2023","219,00","218,60","221,66","217,00","960,85K","0,05%"
"21.11.2023","218,90","216,60","219,90","215,00","783,28K","1,06%"
"20.11.2023","216,60","216,58","218,64","215,98","491,60K","0,28%"
"17.11.2023","216,00","214,00","218,24","214,00","792,46K","0,58%"
"16.11.2023","214,76","217,78","221,58","214,00","1,54M","-1,39%"
"15.11.2023","217,78","212,96","219,38","210,00","1,57M","1,86%"
"14.11.2023","213,80","218,00","219,08","212,10","1,75M","-2,06%"
"13.11.2023","218,30","221,96","223,50","218,02","1,28M","-1,44%"
"10.11.2023","221,48","223,06","224,44","217,50","1,72M","-0,83%"
"09.11.2023","223,34","228,00","228,00","222,02","1,00M","-1,59%"
"08.11.2023","226,96","222,74","228,00","222,20","2,26M","2,27%"
"07.11.2023","221,92","219,26","223,80","218,80","1,50M","1,20%"
"06.11.2023","219,28","217,20","220,00","217,00","385,01K","1,00%"
"03.11.2023","217,10","217,52","219,36","216,32","612,09K","-0,18%"
"02.11.2023","217,50","220,16","221,84","217,00","874,14K","-1,14%"
"01.11.2023","220,00","217,90","225,00","215,70","1,02M","0,46%"
"31.10.2023","219,00","224,00","225,24","215,18","2,87M","-2,54%"
"30.10.2023","224,70","223,80","227,40","221,28","1,56M","1,22%"
"27.10.2023","222,00","222,00","226,00","217,60","2,40M","0,23%"
"26.10.2023","221,50","228,50","230,50","221,36","1,76M","-3,19%"
"25.10.2023","228,80","231,02","233,00","228,68","1,06M","-0,95%"
"24.10.2023","231,00","228,72","232,40","226,00","2,59M","1,00%"
"23.10.2023","228,72","231,60","233,10","225,00","1,46M","-1,07%"
"20.10.2023","231,20","232,50","233,00","227,00","2,54M","-0,56%"
"19.10.2023","232,50","236,20","236,50","231,58","2,29M","-1,40%"
"18.10.2023","235,80","230,40","239,00","230,30","9,92M","2,57%"
"17.10.2023","229,90","223,28","230,00","222,04","5,55M","3,36%"
"16.10.2023","222,42","223,68","225,00","220,20","4,10M","2,07%"
"13.10.2023","217,90","218,62","219,80","216,62","969,05K","0,09%"
"12.10.2023","217,70","216,26","220,56","211,38","3,39M","-1,85%"
"11.10.2023","221,80","216,00","224,76","214,28","7,25M","2,64%"
"10.10.2023","216,10","217,16","217,90","214,00","1,40M","-0,18%"
"09.10.2023","216,48","217,00","220,80","211,42","4,43M","0,69%"
"06.10.2023","215,00","209,30","219,80","202,22","8,08M","2,70%"
"05.10.2023","209,34","215,32","216,76","208,50","2,52M","-2,78%"
"04.10.2023","215,32","219,30","219,30","215,00","938,09K","-1,44%"
"03.10.2023","218,46","221,50","221,50","215,00","1,35M","-0,51%"
"02.10.2023","219,58","223,50","224,20","217,72","2,19M","-0,63%"
"29.09.2023","220,98","220,72","227,50","217,24","5,15M","0,14%"
"28.09.2023","220,68","227,50","227,50","220,58","2,36M","-2,51%"
"27.09.2023","226,36","225,00","228,60","224,42","1,59M","0,65%"
"26.09.2023","224,90","231,62","232,30","222,60","1,77M","-2,22%"
"25.09.2023","230,00","222,18","233,40","220,50","2,93M","3,84%"
"22.09.2023","221,50","223,00","227,00","220,10","2,60M","-0,54%"
"21.09.2023","222,70","215,04","225,68","212,14","7,58M","-2,32%"
"20.09.2023","227,98","238,70","241,24","222,60","3,80M","-4,49%"
"19.09.2023","238,70","244,56","250,00","234,00","3,12M","-2,51%"
"18.09.2023","244,84","245,00","252,44","242,10","3,00M","0,75%"
"15.09.2023","243,02","234,00","244,00","230,00","1,31M","3,85%"
"14.09.2023","234,00","240,68","240,98","216,00","3,03M","-2,74%"
"13.09.2023","240,60","244,98","245,86","240,24","875,14K","-0,65%"
"12.09.2023","242,18","239,32","245,90","239,32","1,23M","1,20%"
"11.09.2023","239,30","246,00","246,00","237,36","1,62M","-2,72%"
"08.09.2023","246,00","243,72","249,50","231,00","4,27M","0,94%"
"07.09.2023","243,72","255,80","255,80","239,50","3,28M","-4,72%"
"06.09.2023","255,80","260,10","263,30","251,00","3,82M","-1,65%"
"05.09.2023","260,10","258,00","264,00","256,00","8,79M","-4,02%"
"04.09.2023","271,00","260,80","271,98","260,10","6,60M","3,65%"
"01.09.2023","261,46","264,80","264,80","257,00","4,19M","-1,63%"
"31.08.2023","265,80","270,60","276,60","262,46","4,94M","-1,70%"
"30.08.2023","270,40","263,00","277,82","260,80","12,64M","3,68%"
"29.08.2023","260,80","251,50","263,40","250,46","10,28M","4,13%"
"28.08.2023","250,46","245,00","252,40","244,00","7,04M","2,82%"
"25.08.2023","243,60","246,50","248,98","241,86","2,22M","-0,49%"
"24.08.2023","244,80","241,98","248,00","238,20","5,24M","0,96%"
"23.08.2023","242,48","245,10","246,00","237,70","2,64M","-0,79%"
"22.08.2023","244,40","246,00","247,90","242,54","1,82M","-0,02%"
"21.08.2023","244,46","243,00","249,00","242,04","3,12M","0,73%"
"18.08.2023","242,70","237,00","242,76","237,00","1,95M","2,40%"
"17.08.2023","237,02","243,00","243,00","233,02","2,07M","-0,81%"
"16.08.2023","238,96","245,34","247,74","227,00","6,34M","-2,66%"
"15.08.2023","245,50","235,00","249,20","225,04","7,77M","3,16%"
"14.08.2023","237,98","239,30","249,46","231,04","13,32M","1,92%"
"11.08.2023","233,50","223,00","237,72","222,68","16,10M","5,18%"
"10.08.2023","222,00","221,24","223,88","219,70","1,91M","0,70%"
"09.08.2023","220,46","222,00","222,64","219,00","1,62M","-0,23%"
"08.08.2023","220,96","221,80","230,88","217,02","10,41M","0,15%"
"07.08.2023","220,64","220,00","225,60","216,00","5,42M","2,20%"
"04.08.2023","215,90","221,00","223,68","213,00","4,47M","-1,42%"
"03.08.2023","219,00","218,00","221,78","216,50","3,89M","1,15%"
"02.08.2023","216,50","220,02","222,00","211,40","7,92M","-1,37%"
"01.08.2023","219,50","209,20","227,50","208,50","23,22M","5,52%"
"31.07.2023","208,02","190,80","209,88","187,26","17,22M","12,16%"
"28.07.2023","185,46","177,80","186,32","177,26","7,53M","5,16%"
"27.07.2023","176,36","174,80","178,34","173,72","4,02M","1,99%"
"26.07.2023","172,92","172,84","180,82","166,26","13,09M","0,42%"
"25.07.2023","172,20","175,50","175,50","168,74","2,02M","-1,25%"
"24.07.2023","174,38","169,90","176,18","168,76","2,55M","3,09%"
"21.07.2023","169,16","168,10","170,48","166,00","1,31M","0,63%"
"20.07.2023","168,10","173,90","179,88","168,00","5,03M","-2,75%"
"19.07.2023","172,86","163,80","174,88","160,60","7,60M","5,53%"
"18.07.2023","163,80","164,42","165,68","163,00","1,12M","-0,18%"
"17.07.2023","164,10","163,00","165,70","162,62","723,11K","-0,35%"
"14.07.2023","164,68","167,48","167,48","163,70","1,17M","-1,16%"
"13.07.2023","166,62","164,80","168,54","164,14","2,14M","1,54%"
"12.07.2023","164,10","164,30","166,10","162,50","1,34M","-0,12%"
"11.07.2023","164,30","165,28","167,60","162,00","1,67M","-0,60%"
"10.07.2023","165,30","158,90","166,88","156,32","4,07M","6,37%"
"07.07.2023","155,40","154,94","158,54","154,58","1,14M","0,57%"
"06.07.2023","154,52","155,00","158,90","154,18","2,27M","0,22%"
"05.07.2023","154,18","164,36","164,36","154,16","4,45M","-5,29%"
"04.07.2023","162,80","168,80","169,98","160,90","2,66M","-4,01%"
"03.07.2023","169,60","167,60","172,50","167,60","835,78K","0,43%"
"30.06.2023","168,88","171,44","171,78","168,10","1,02M","-1,44%"
"29.06.2023","171,34","171,50","175,40","169,10","1,52M","-0,09%"
"28.06.2023","171,50","171,88","173,50","166,54","2,06M","-0,17%"
"27.06.2023","171,80","174,00","176,76","170,16","1,74M","-0,72%"
"26.06.2023","173,04","177,00","180,00","172,12","2,60M","-1,77%"
"23.06.2023","176,16","172,00","182,44","170,66","8,62M","1,29%"
"22.06.2023","173,92","170,10","179,90","168,26","5,53M","2,15%"
"21.06.2023","170,26","173,90","177,64","170,00","3,87M","-1,37%"
