"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","1,987","2,001","2,022","1,981","92,08M","-0,65%"
"28.12.2023","2,000","2,020","2,023","1,995","107,05M","-1,14%"
"27.12.2023","2,023","2,031","2,059","2,016","131,85M","-0,39%"
"26.12.2023","2,031","2,022","2,054","2,011","175,15M","0,45%"
"25.12.2023","2,022","2,046","2,050","1,986","226,00M","-0,44%"
"22.12.2023","2,031","2,020","2,060","2,002","134,65M","0,79%"
"21.12.2023","2,015","2,078","2,078","2,004","169,70M","-1,80%"
"20.12.2023","2,052","2,089","2,107","2,038","250,68M","-1,91%"
"19.12.2023","2,092","2,076","2,110","2,005","321,85M","0,82%"
"18.12.2023","2,075","1,980","2,087","1,976","346,38M","5,22%"
"15.12.2023","1,972","1,851","1,988","1,846","274,93M","6,54%"
"14.12.2023","1,851","1,908","1,926","1,831","174,64M","-1,80%"
"13.12.2023","1,885","1,825","1,889","1,815","128,69M","3,34%"
"12.12.2023","1,824","1,849","1,874","1,816","166,49M","-1,19%"
"11.12.2023","1,846","1,925","1,945","1,844","149,70M","-3,90%"
"08.12.2023","1,921","1,930","1,957","1,911","104,46M","-0,26%"
"07.12.2023","1,926","1,925","1,946","1,870","181,47M","0,68%"
"06.12.2023","1,913","1,984","1,994","1,896","160,06M","-3,53%"
"05.12.2023","1,983","1,925","1,990","1,872","277,80M","3,77%"
"04.12.2023","1,911","2,005","2,009","1,895","338,95M","-4,64%"
"01.12.2023","2,004","2,015","2,053","1,993","153,93M","-1,04%"
"30.11.2023","2,025","2,072","2,099","2,011","239,34M","-2,64%"
"29.11.2023","2,080","2,113","2,133","2,057","169,69M","-1,93%"
"28.11.2023","2,121","2,131","2,140","2,106","93,77M","-0,47%"
"27.11.2023","2,131","2,186","2,188","2,073","338,88M","-1,98%"
"24.11.2023","2,174","2,233","2,245","2,161","232,56M","-2,64%"
"23.11.2023","2,233","2,276","2,276","2,228","57,61M","-1,50%"
"22.11.2023","2,267","2,250","2,307","2,249","109,61M","0,76%"
"21.11.2023","2,250","2,265","2,273","2,233","51,15M","-0,44%"
"20.11.2023","2,260","2,240","2,272","2,230","72,77M","1,21%"
"17.11.2023","2,233","2,202","2,258","2,200","82,63M","0,13%"
"16.11.2023","2,230","2,274","2,293","2,228","87,12M","-2,15%"
"15.11.2023","2,279","2,205","2,303","2,191","209,00M","3,12%"
"14.11.2023","2,210","2,246","2,247","2,190","135,54M","-1,60%"
"13.11.2023","2,246","2,326","2,326","2,235","194,83M","-3,15%"
"10.11.2023","2,319","2,370","2,370","2,300","147,38M","-1,90%"
"09.11.2023","2,364","2,380","2,382","2,347","72,73M","-0,67%"
"08.11.2023","2,380","2,388","2,391","2,361","109,77M","-0,21%"
"07.11.2023","2,385","2,400","2,420","2,380","71,47M","-0,25%"
"06.11.2023","2,391","2,376","2,406","2,375","56,20M","0,59%"
"03.11.2023","2,377","2,373","2,399","2,355","79,95M","0,17%"
"02.11.2023","2,373","2,360","2,409","2,353","146,22M","0,59%"
"01.11.2023","2,359","2,374","2,379","2,338","92,72M","-0,30%"
"31.10.2023","2,366","2,411","2,418","2,356","141,69M","-1,62%"
"30.10.2023","2,405","2,373","2,420","2,365","181,21M","1,82%"
"27.10.2023","2,362","2,372","2,396","2,326","181,11M","-0,13%"
"26.10.2023","2,365","2,410","2,421","2,339","277,13M","-1,50%"
"25.10.2023","2,401","2,423","2,427","2,388","110,89M","-0,62%"
"24.10.2023","2,416","2,433","2,438","2,391","141,34M","-0,70%"
"23.10.2023","2,433","2,335","2,440","2,331","509,26M","5,01%"
"20.10.2023","2,317","2,317","2,345","2,306","95,60M","-0,04%"
"19.10.2023","2,318","2,310","2,334","2,291","90,16M","-0,04%"
"18.10.2023","2,319","2,350","2,377","2,298","184,31M","-1,32%"
"17.10.2023","2,350","2,309","2,362","2,282","167,31M","1,82%"
"16.10.2023","2,308","2,295","2,316","2,295","77,48M","0,57%"
"13.10.2023","2,295","2,294","2,313","2,292","51,95M","-0,22%"
"12.10.2023","2,300","2,250","2,311","2,250","100,30M","1,95%"
"11.10.2023","2,256","2,305","2,337","2,232","171,00M","-2,63%"
"10.10.2023","2,317","2,336","2,340","2,294","75,00M","-0,22%"
"09.10.2023","2,322","2,259","2,340","2,259","285,00M","2,93%"
"06.10.2023","2,256","2,242","2,274","2,202","156,80M","0,76%"
"05.10.2023","2,239","2,235","2,247","2,182","112,55M","0,09%"
"04.10.2023","2,237","2,257","2,279","2,235","78,30M","-1,41%"
"03.10.2023","2,269","2,298","2,298","2,261","95,02M","-1,26%"
"02.10.2023","2,298","2,320","2,355","2,283","127,32M","-0,35%"
"29.09.2023","2,306","2,365","2,365","2,290","105,18M","-2,12%"
"28.09.2023","2,356","2,350","2,360","2,320","88,29M","0,51%"
"27.09.2023","2,344","2,310","2,354","2,303","145,14M","2,09%"
"26.09.2023","2,296","2,309","2,309","2,269","77,49M","-0,61%"
"25.09.2023","2,310","2,315","2,360","2,285","104,84M","0,00%"
"22.09.2023","2,310","2,300","2,322","2,257","176,86M","0,48%"
"21.09.2023","2,299","2,250","2,335","2,231","330,49M","1,86%"
"20.09.2023","2,257","2,290","2,333","2,126","478,39M","-1,27%"
"19.09.2023","2,286","2,407","2,417","2,260","279,69M","-4,63%"
"18.09.2023","2,397","2,462","2,475","2,385","164,11M","-1,68%"
"15.09.2023","2,438","2,342","2,480","2,339","318,46M","3,97%"
"14.09.2023","2,345","2,435","2,442","2,142","641,91M","-3,97%"
"13.09.2023","2,442","2,529","2,538","2,431","231,77M","-3,13%"
"12.09.2023","2,521","2,391","2,539","2,389","529,12M","5,66%"
"11.09.2023","2,386","2,430","2,443","2,367","224,16M","-1,49%"
"08.09.2023","2,422","2,479","2,490","2,352","342,06M","-1,34%"
"07.09.2023","2,455","2,580","2,584","2,388","535,10M","-4,44%"
"06.09.2023","2,569","2,500","2,594","2,467","510,72M","2,39%"
"05.09.2023","2,509","2,530","2,540","2,453","362,00M","-0,95%"
"04.09.2023","2,533","2,562","2,600","2,510","507,28M","-1,13%"
"01.09.2023","2,562","2,400","2,573","2,390","1,84B","7,69%"
"31.08.2023","2,379","2,370","2,407","2,312","627,98M","0,85%"
"30.08.2023","2,359","2,194","2,378","2,192","884,59M","8,06%"
"29.08.2023","2,183","2,178","2,199","2,106","314,07M","0,65%"
"28.08.2023","2,169","2,159","2,180","2,153","101,85M","0,84%"
"25.08.2023","2,151","2,133","2,165","2,123","124,37M","0,84%"
"24.08.2023","2,133","2,123","2,154","2,090","186,58M","1,47%"
"23.08.2023","2,102","2,132","2,190","2,057","525,25M","-1,45%"
"22.08.2023","2,133","2,125","2,155","2,085","134,66M","0,42%"
"21.08.2023","2,124","2,063","2,129","2,052","161,41M","3,56%"
"18.08.2023","2,051","2,062","2,079","2,033","72,14M","0,54%"
"17.08.2023","2,040","2,003","2,050","1,974","104,13M","2,20%"
"16.08.2023","1,996","2,055","2,065","1,962","137,76M","-2,92%"
"15.08.2023","2,056","2,035","2,084","2,001","80,83M","0,59%"
"14.08.2023","2,044","2,118","2,144","2,031","197,03M","-3,40%"
"11.08.2023","2,116","2,096","2,124","2,071","94,86M","0,67%"
"10.08.2023","2,102","2,062","2,150","2,058","224,96M","2,14%"
"09.08.2023","2,058","2,065","2,098","2,036","107,56M","-0,24%"
"08.08.2023","2,063","2,095","2,095","2,022","136,69M","-1,57%"
"07.08.2023","2,096","2,130","2,170","2,066","169,05M","-0,71%"
"04.08.2023","2,111","2,170","2,195","2,041","359,55M","-2,85%"
"03.08.2023","2,173","2,160","2,180","2,150","140,98M","0,70%"
"02.08.2023","2,158","2,168","2,183","2,138","209,61M","-0,46%"
"01.08.2023","2,168","2,150","2,232","2,115","792,61M","1,45%"
"31.07.2023","2,137","2,030","2,139","2,022","366,80M","6,37%"
"28.07.2023","2,009","2,015","2,030","1,996","116,78M","-0,30%"
"27.07.2023","2,015","2,025","2,086","1,988","423,01M","-0,20%"
"26.07.2023","2,019","1,972","2,055","1,920","401,07M","2,38%"
"25.07.2023","1,972","1,980","1,990","1,942","131,30M","-0,15%"
"24.07.2023","1,975","1,897","1,976","1,892","146,44M","4,39%"
"21.07.2023","1,892","1,870","1,901","1,860","53,52M","0,64%"
"20.07.2023","1,880","1,916","1,919","1,863","131,48M","-1,83%"
"19.07.2023","1,915","1,930","1,943","1,902","111,66M","-0,52%"
"18.07.2023","1,925","1,840","1,943","1,834","277,95M","4,73%"
"17.07.2023","1,838","1,841","1,844","1,830","40,99M","-0,16%"
"14.07.2023","1,841","1,853","1,853","1,835","33,36M","-0,11%"
"13.07.2023","1,843","1,852","1,862","1,839","30,40M","-0,49%"
"12.07.2023","1,852","1,850","1,863","1,834","40,79M","0,33%"
"11.07.2023","1,846","1,850","1,854","1,831","34,29M","0,22%"
"10.07.2023","1,842","1,830","1,852","1,827","50,87M","0,88%"
"07.07.2023","1,826","1,823","1,846","1,809","58,62M","0,55%"
"06.07.2023","1,816","1,817","1,836","1,802","41,80M","0,33%"
"05.07.2023","1,810","1,795","1,816","1,791","43,88M","1,23%"
"04.07.2023","1,788","1,800","1,806","1,788","35,11M","-0,61%"
"03.07.2023","1,799","1,793","1,805","1,787","42,80M","0,33%"
"30.06.2023","1,793","1,811","1,811","1,780","40,64M","-0,77%"
"29.06.2023","1,807","1,800","1,827","1,791","61,50M","0,28%"
"28.06.2023","1,802","1,829","1,838","1,799","94,51M","-1,15%"
"27.06.2023","1,823","1,833","1,846","1,821","46,66M","0,05%"
"26.06.2023","1,822","1,876","1,877","1,765","124,99M","-1,03%"
