"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","41,20","41,40","42,90","40,00","11,45M","0,49%"
"28.12.2023","41,00","41,20","44,90","39,10","42,47M","0,00%"
"27.12.2023","41,00","44,00","46,00","40,70","29,97M","-9,09%"
"26.12.2023","45,10","45,00","47,40","42,50","53,30M","0,00%"
"25.12.2023","45,10","47,40","49,10","41,80","59,93M","-1,74%"
"22.12.2023","45,90","50,70","50,80","42,30","131,33M","-0,86%"
"21.12.2023","46,30","45,90","46,30","44,60","16,63M","9,72%"
"20.12.2023","42,20","40,00","42,20","39,20","35,39M","9,90%"
"19.12.2023","38,40","35,60","38,40","35,20","48,17M","9,71%"
"18.12.2023","35,00","32,40","35,00","31,90","86,05M","9,72%"
"15.12.2023","31,90","32,10","33,10","31,00","24,38M","0,63%"
"14.12.2023","31,70","32,00","34,10","30,20","91,24M","1,93%"
"13.12.2023","31,10","28,10","31,10","26,70","61,89M","21,96%"
"12.12.2023","25,50","24,90","26,40","24,40","15,41M","2,41%"
"11.12.2023","24,90","26,20","26,20","24,80","12,82M","-4,96%"
"08.12.2023","26,20","26,20","26,80","25,50","10,93M","-0,38%"
"07.12.2023","26,30","27,20","27,60","25,90","29,07M","-1,13%"
"06.12.2023","26,60","26,80","28,20","24,80","64,90M","1,14%"
"05.12.2023","26,30","23,90","26,30","22,20","45,56M","10,04%"
"04.12.2023","23,90","26,30","26,70","23,80","25,19M","-9,81%"
"01.12.2023","26,50","27,70","28,40","25,60","33,88M","-1,85%"
"30.11.2023","27,00","30,60","30,60","24,30","148,27M","-3,23%"
"29.11.2023","27,90","27,90","27,90","27,90","3,13M","9,84%"
"28.11.2023","25,40","25,10","25,40","24,60","5,38M","9,48%"
"27.11.2023","23,20","21,60","23,20","21,20","33,27M","8,92%"
"24.11.2023","21,30","20,50","24,70","20,20","89,38M","-5,75%"
"23.11.2023","22,60","32,20","32,20","21,30","148,54M","-36,87%"
"22.11.2023","35,80","40,00","41,50","33,90","19,90M","-5,54%"
"21.11.2023","37,90","38,40","40,90","29,10","41,01M","-0,52%"
"20.11.2023","38,10","39,20","42,10","34,30","11,36M","-4,75%"
"17.11.2023","40,00","41,50","42,50","36,70","16,23M","3,36%"
"16.11.2023","38,70","36,70","38,70","35,90","16,00M","9,63%"
"15.11.2023","35,30","29,50","35,30","26,30","39,15M","21,72%"
"14.11.2023","29,00","39,00","39,50","23,90","66,39M","-27,14%"
"13.11.2023","39,80","63,00","64,50","39,20","17,70M","-36,83%"
"10.11.2023","63,00","73,00","73,70","62,40","2,67M","-13,34%"
"09.11.2023","72,70","74,00","75,20","70,20","2,18M","-5,58%"
"08.11.2023","77,00","78,60","79,30","75,40","1,08M","-1,66%"
"07.11.2023","78,30","81,00","81,10","77,00","1,15M","-2,73%"
"06.11.2023","80,50","83,80","85,00","79,50","1,03M","-3,59%"
"03.11.2023","83,50","80,10","88,40","79,10","3,29M","4,24%"
"02.11.2023","80,10","76,40","83,80","76,40","3,95M","4,98%"
"01.11.2023","76,30","75,60","77,70","75,60","751,02K","0,93%"
"31.10.2023","75,60","81,20","81,20","75,00","1,74M","-5,14%"
"30.10.2023","79,70","82,40","83,10","79,30","799,76K","-2,33%"
"27.10.2023","81,60","82,00","84,00","79,30","995,63K","-1,45%"
"26.10.2023","82,80","86,30","89,70","80,20","2,86M","-2,59%"
"25.10.2023","85,00","81,40","86,80","81,40","4,03M","6,12%"
"24.10.2023","80,10","78,00","88,30","71,20","9,44M","1,39%"
"23.10.2023","79,00","84,30","89,80","77,50","5,91M","-14,32%"
"20.10.2023","92,20","93,60","101,50","91,40","4,73M","-10,57%"
"19.10.2023","103,10","104,00","104,80","102,00","946,13K","-1,15%"
"18.10.2023","104,30","104,30","105,50","103,40","736,09K","0,00%"
"17.10.2023","104,30","107,60","107,60","104,30","861,06K","-1,79%"
"16.10.2023","106,20","103,90","108,70","102,70","2,24M","2,21%"
"13.10.2023","103,90","105,80","106,90","102,60","1,51M","-1,80%"
"12.10.2023","105,80","108,00","109,60","101,60","1,10M","-2,58%"
"11.10.2023","108,60","109,20","110,60","108,10","480,65K","-0,37%"
"10.10.2023","109,00","108,50","113,40","108,00","1,75M","0,46%"
"09.10.2023","108,50","113,90","114,40","102,30","2,39M","-3,56%"
"06.10.2023","112,50","115,90","117,40","111,70","1,46M","-2,34%"
"05.10.2023","115,20","118,60","120,00","114,00","1,17M","-2,78%"
"04.10.2023","118,50","116,10","121,00","113,10","1,67M","1,72%"
"03.10.2023","116,50","119,00","119,70","113,00","1,09M","-1,44%"
"02.10.2023","118,20","124,00","124,00","117,50","1,94M","0,17%"
"29.09.2023","118,00","123,90","126,00","116,30","3,52M","-3,75%"
"28.09.2023","122,60","111,90","127,50","110,30","11,24M","10,15%"
"27.09.2023","111,30","111,70","113,90","110,50","1,71M","-0,27%"
"26.09.2023","111,60","114,00","118,00","110,10","3,78M","-0,18%"
"25.09.2023","111,80","118,80","122,00","108,20","5,56M","-2,78%"
"22.09.2023","115,00","109,00","121,50","98,00","13,48M","8,39%"
"21.09.2023","106,10","112,10","123,00","104,00","6,98M","-8,77%"
"20.09.2023","116,30","129,00","129,30","115,70","8,68M","-10,54%"
"19.09.2023","130,00","145,70","146,00","127,10","22,32M","-3,63%"
"18.09.2023","134,90","121,00","162,50","118,20","79,57M","14,71%"
"15.09.2023","117,60","100,80","120,70","96,60","40,15M","23,53%"
"14.09.2023","95,20","113,10","116,70","82,00","97,92M","-24,26%"
"13.09.2023","125,70","179,90","180,00","110,00","70,00M","-31,31%"
"12.09.2023","183,00","194,90","214,00","182,00","12,84M","-9,41%"
"11.09.2023","202,00","229,80","230,00","196,30","14,85M","-13,30%"
"08.09.2023","233,00","253,30","259,10","233,00","6,61M","-7,72%"
"07.09.2023","252,50","274,00","277,90","245,10","8,67M","-7,85%"
"06.09.2023","274,00","286,00","289,00","274,00","2,84M","-4,26%"
"05.09.2023","286,20","299,10","301,00","264,60","4,00M","-3,51%"
"04.09.2023","296,60","283,30","302,00","278,10","7,44M","7,54%"
"01.09.2023","275,80","260,70","281,90","257,90","4,48M","6,00%"
"31.08.2023","260,20","271,00","273,70","255,70","2,57M","-3,06%"
"30.08.2023","268,40","263,00","277,40","261,40","5,79M","2,95%"
"29.08.2023","260,70","252,10","269,00","247,10","7,58M","3,66%"
"28.08.2023","251,50","243,00","255,50","242,60","5,00M","3,20%"
"25.08.2023","243,70","240,10","246,60","239,00","2,12M","1,63%"
"24.08.2023","239,80","231,50","243,90","230,80","1,51M","-0,04%"
"23.08.2023","239,90","243,90","248,50","236,30","2,74M","-3,23%"
"22.08.2023","247,90","242,20","251,30","236,50","4,95M","3,03%"
"21.08.2023","240,60","230,80","241,90","228,60","2,55M","5,80%"
"18.08.2023","227,40","231,00","231,00","225,10","642,59K","-0,04%"
"17.08.2023","227,50","225,00","233,30","222,20","2,45M","3,32%"
"16.08.2023","220,20","236,50","240,00","214,20","3,73M","-6,81%"
"15.08.2023","236,30","232,10","246,80","223,20","5,65M","-0,71%"
"14.08.2023","238,00","249,00","250,00","235,00","5,72M","-2,46%"
"11.08.2023","244,00","230,90","245,30","228,10","8,65M","6,60%"
"10.08.2023","228,90","232,00","232,60","228,00","872,33K","0,35%"
"09.08.2023","228,10","223,00","235,80","222,70","3,12M","4,25%"
"08.08.2023","218,80","231,10","231,10","215,00","2,22M","-4,45%"
"07.08.2023","229,00","232,40","238,40","224,70","2,93M","2,64%"
"04.08.2023","223,10","231,00","245,80","209,00","12,34M","-2,11%"
"03.08.2023","227,90","201,10","231,00","200,30","15,86M","13,38%"
"02.08.2023","201,00","199,40","205,80","196,60","2,60M","1,41%"
"01.08.2023","198,20","192,20","206,90","189,50","5,79M","3,18%"
"31.07.2023","192,10","190,50","194,50","189,00","1,28M","1,91%"
"28.07.2023","188,50","194,00","194,20","185,60","1,21M","-2,33%"
"27.07.2023","193,00","195,00","196,00","192,00","2,86M","0,52%"
"26.07.2023","192,00","182,10","192,30","178,90","4,56M","6,14%"
"25.07.2023","180,90","181,70","183,90","180,10","1,23M","0,22%"
"24.07.2023","180,50","177,00","181,00","176,00","860,69K","2,79%"
"21.07.2023","175,60","176,10","180,20","175,40","738,09K","-0,28%"
"20.07.2023","176,10","180,30","180,50","176,10","682,56K","-1,84%"
"19.07.2023","179,40","182,60","182,90","175,00","1,13M","-0,88%"
"18.07.2023","181,00","181,60","185,00","180,10","1,66M","0,56%"
"17.07.2023","180,00","174,40","183,10","172,30","3,09M","3,03%"
"14.07.2023","174,70","173,70","180,10","172,60","1,92M","0,87%"
"13.07.2023","173,20","176,50","176,70","170,90","771,78K","-1,03%"
"12.07.2023","175,00","172,90","177,40","172,60","1,55M","1,51%"
"11.07.2023","172,40","172,80","174,60","170,10","524,04K","0,29%"
"10.07.2023","171,90","170,00","173,70","168,90","423,54K","1,78%"
"07.07.2023","168,90","168,90","171,50","167,70","313,36K","0,12%"
"06.07.2023","168,70","169,60","172,40","166,90","393,50K","-0,35%"
"05.07.2023","169,30","171,90","173,00","168,80","531,08K","-1,40%"
"04.07.2023","171,70","173,10","174,90","171,00","477,32K","-0,46%"
"03.07.2023","172,50","167,00","176,50","166,60","1,85M","3,85%"
"30.06.2023","166,10","169,00","169,80","165,70","420,41K","-1,42%"
"29.06.2023","168,50","169,60","172,00","168,20","472,43K","-0,65%"
"28.06.2023","169,60","172,60","174,30","168,20","414,15K","-1,34%"
"27.06.2023","171,90","169,00","173,80","168,10","622,23K","2,02%"
"26.06.2023","168,50","171,70","172,50","167,00","637,75K","-2,60%"
"23.06.2023","173,00","175,10","176,50","170,40","926,12K","-2,48%"
"22.06.2023","177,40","171,70","180,40","167,90","3,32M","4,35%"
"21.06.2023","170,00","167,60","173,00","165,10","1,12M","2,47%"
"20.06.2023","165,90","169,40","171,10","158,10","850,53K","-1,95%"
"19.06.2023","169,20","165,40","172,00","165,00","1,12M","2,55%"
"16.06.2023","165,00","168,80","168,90","163,40","624,37K","-1,79%"
"15.06.2023","168,00","171,50","171,60","166,20","848,16K","-1,75%"
"14.06.2023","171,00","167,20","173,70","165,50","3,40M","3,76%"
"13.06.2023","164,80","155,00","165,10","154,50","2,03M","7,36%"
"09.06.2023","153,50","154,90","158,50","152,70","906,06K","-0,45%"
"08.06.2023","154,20","153,90","157,50","152,40","744,26K","0,78%"
"07.06.2023","153,00","157,00","157,50","152,00","942,96K","-2,11%"
"06.06.2023","156,30","150,60","158,90","148,50","1,22M","2,56%"
"05.06.2023","152,40","150,70","158,20","150,00","1,29M","1,26%"
"02.06.2023","150,50","149,80","154,60","146,20","498,85K","0,53%"
"01.06.2023","149,70","152,00","153,50","148,70","311,71K","-1,25%"
"31.05.2023","151,60","154,50","155,60","148,70","653,70K","-1,88%"
"30.05.2023","154,50","156,10","158,20","153,20","625,44K","-2,65%"
"29.05.2023","158,70","162,00","162,00","155,00","478,98K","0,63%"
"26.05.2023","157,70","156,40","161,40","156,30","605,39K","0,83%"
"25.05.2023","156,40","158,00","159,30","153,00","599,16K","-1,70%"
"24.05.2023","159,10","161,00","161,50","156,00","419,40K","0,51%"
"23.05.2023","158,30","160,00","164,30","155,00","906,85K","-1,00%"
"22.05.2023","159,90","156,40","163,20","156,30","1,40M","3,16%"
"19.05.2023","155,00","160,20","160,40","154,10","521,98K","-2,76%"
"18.05.2023","159,40","155,90","166,40","155,00","2,62M","2,31%"
"17.05.2023","155,80","159,00","159,50","153,00","665,01K","-1,95%"
"16.05.2023","158,90","162,00","163,20","156,70","761,94K","-1,00%"
"15.05.2023","160,50","163,00","163,40","158,40","930,98K","0,50%"
"12.05.2023","159,70","163,40","164,20","156,10","1,24M","-3,21%"
"11.05.2023","165,00","162,00","165,50","159,40","2,44M","4,43%"
"10.05.2023","158,00","148,90","158,40","146,90","2,09M","7,70%"
"08.05.2023","146,70","148,50","154,10","146,40","1,08M","-1,21%"
"05.05.2023","148,50","156,80","159,30","148,00","1,95M","-4,01%"
"04.05.2023","154,70","150,50","163,50","150,00","4,67M","2,72%"
"03.05.2023","150,60","157,90","169,30","137,90","10,07M","-3,83%"
"02.05.2023","156,60","186,00","189,70","143,80","6,90M","-15,81%"
"28.04.2023","186,00","189,40","192,90","185,60","1,06M","-1,69%"
"27.04.2023","189,20","196,60","197,20","188,10","1,62M","-3,42%"
"26.04.2023","195,90","184,50","197,80","180,70","3,92M","6,47%"
"25.04.2023","184,00","189,50","190,60","183,30","1,43M","-2,90%"
"24.04.2023","189,50","192,60","192,90","185,70","1,44M","-1,81%"
"21.04.2023","193,00","195,40","195,80","191,40","666,86K","-1,53%"
"20.04.2023","196,00","199,00","200,40","192,00","1,21M","-1,51%"
"19.04.2023","199,00","205,30","206,00","193,00","2,17M","-2,83%"
"18.04.2023","204,80","205,50","207,50","203,60","1,99M","-0,63%"
"17.04.2023","206,10","207,80","209,90","203,10","2,91M","0,68%"
"14.04.2023","204,70","203,00","211,60","202,30","8,31M","1,64%"
"13.04.2023","201,40","193,40","206,60","189,70","10,89M","5,22%"
"12.04.2023","191,40","191,00","195,90","190,00","726,35K","0,63%"
"11.04.2023","190,20","196,10","196,40","186,60","1,03M","-2,66%"
"10.04.2023","195,40","194,90","199,40","191,50","2,59M","1,93%"
"07.04.2023","191,70","181,10","201,40","181,10","5,55M","1,27%"
"06.04.2023","189,30","197,60","201,40","186,20","3,82M","-3,91%"
"05.04.2023","197,00","204,30","204,80","177,40","5,28M","-3,53%"
"04.04.2023","204,20","198,00","207,00","194,80","7,16M","3,97%"
"03.04.2023","196,40","175,50","201,40","171,70","14,32M","12,42%"
"31.03.2023","174,70","179,90","185,00","166,60","6,90M","-0,40%"
"30.03.2023","175,40","138,80","189,90","137,10","20,70M","27,01%"
"29.03.2023","138,10","137,20","139,90","134,70","873,43K","0,73%"
