"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","2.180,00","2.108,00","2.240,00","2.108,00","1,23K","3,81%"
"28.12.2023","2.100,00","2.144,00","2.308,00","2.070,00","2,50K","-0,47%"
"27.12.2023","2.110,00","2.150,00","2.150,00","2.042,00","1,10K","-1,86%"
"26.12.2023","2.150,00","2.202,00","2.284,00","2.110,00","0,39K","-3,15%"
"25.12.2023","2.220,00","2.248,00","2.314,00","2.158,00","0,70K","-1,60%"
"22.12.2023","2.256,00","2.296,00","2.314,00","2.230,00","0,25K","-1,83%"
"21.12.2023","2.298,00","2.200,00","2.316,00","2.194,00","0,80K","4,55%"
"20.12.2023","2.198,00","2.154,00","2.316,00","2.120,00","1,02K","3,68%"
"19.12.2023","2.120,00","2.298,00","2.350,00","2.120,00","0,77K","-5,10%"
"18.12.2023","2.234,00","1.990,00","2.400,00","1.988,00","2,08K","11,70%"
"15.12.2023","2.000,00","2.006,00","2.006,00","1.902,00","0,62K","-1,48%"
"14.12.2023","2.030,00","2.022,00","2.048,00","2.014,00","0,13K","0,50%"
"13.12.2023","2.020,00","1.940,00","2.020,00","1.940,00","0,16K","3,17%"
"12.12.2023","1.958,00","1.954,00","1.960,00","1.934,00","0,20K","-0,41%"
"11.12.2023","1.966,00","1.984,00","2.004,00","1.906,00","0,32K","-1,70%"
"08.12.2023","2.000,00","1.980,00","2.006,00","1.962,00","0,15K","2,04%"
"07.12.2023","1.960,00","2.026,00","2.026,00","1.950,00","0,26K","-4,39%"
"06.12.2023","2.050,00","2.016,00","2.050,00","2.012,00","0,09K","0,89%"
"05.12.2023","2.032,00","2.028,00","2.052,00","1.968,00","0,61K","0,40%"
"04.12.2023","2.024,00","2.116,00","2.116,00","2.024,00","0,13K","-4,08%"
"01.12.2023","2.110,00","2.126,00","2.148,00","2.108,00","0,06K","-0,75%"
"30.11.2023","2.126,00","2.132,00","2.150,00","2.082,00","0,09K","-0,75%"
"29.11.2023","2.142,00","2.140,00","2.142,00","2.120,00","0,08K","0,28%"
"28.11.2023","2.136,00","2.122,00","2.136,00","2.106,00","0,09K","2,69%"
"27.11.2023","2.080,00","2.198,00","2.198,00","2.080,00","0,19K","-5,37%"
"24.11.2023","2.198,00","2.214,00","2.226,00","2.184,00","0,38K","-1,43%"
"23.11.2023","2.230,00","2.240,00","2.290,00","2.204,00","0,44K","-0,36%"
"22.11.2023","2.238,00","2.220,00","2.270,00","2.186,00","0,11K","0,90%"
"21.11.2023","2.218,00","2.190,00","2.220,00","2.188,00","0,16K","0,45%"
"20.11.2023","2.208,00","2.192,00","2.210,00","2.186,00","0,02K","0,00%"
"17.11.2023","2.208,00","2.290,00","2.292,00","2.160,00","0,35K","-3,16%"
"16.11.2023","2.280,00","2.186,00","2.300,00","2.182,00","0,96K","5,56%"
"15.11.2023","2.160,00","2.128,00","2.188,00","2.000,00","0,71K","3,95%"
