"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","511,20","525,80","525,80","507,20","40,73K","-2,78%"
"28.12.2023","525,80","561,00","568,80","510,80","49,14K","-7,04%"
"27.12.2023","565,60","569,60","575,40","556,40","33,83K","2,09%"
"26.12.2023","554,00","545,00","577,00","545,00","37,23K","-0,18%"
"25.12.2023","555,00","561,00","580,00","545,00","32,34K","-0,54%"
"22.12.2023","558,00","565,80","586,00","540,00","64,56K","-0,89%"
"21.12.2023","563,00","530,40","615,20","516,00","223,04K","6,23%"
"20.12.2023","530,00","520,00","545,00","503,00","73,52K","4,58%"
"19.12.2023","506,80","477,00","530,00","470,60","119,31K","6,29%"
"18.12.2023","476,80","456,20","476,80","448,60","28,07K","5,72%"
"15.12.2023","451,00","443,40","456,20","430,40","16,64K","1,49%"
"14.12.2023","444,40","439,60","465,60","437,60","28,03K","1,09%"
"13.12.2023","439,60","435,40","463,00","424,40","36,92K","-0,18%"
"12.12.2023","440,40","432,80","451,60","423,00","20,42K","0,96%"
"11.12.2023","436,20","455,00","455,00","431,00","14,65K","-4,13%"
"08.12.2023","455,00","461,60","480,00","445,20","24,13K","-1,43%"
"07.12.2023","461,60","468,80","499,20","450,00","92,86K","5,68%"
"06.12.2023","436,80","453,40","480,00","435,00","54,17K","-1,80%"
"05.12.2023","444,80","455,60","468,80","434,00","24,77K","-2,37%"
"04.12.2023","455,60","476,60","476,60","441,20","17,40K","-4,45%"
"01.12.2023","476,80","514,80","519,00","468,80","35,46K","-2,53%"
"30.11.2023","489,20","560,00","568,00","470,00","93,59K","-9,51%"
"29.11.2023","540,60","492,00","540,60","474,60","74,40K","9,88%"
"28.11.2023","492,00","447,80","492,00","431,00","82,17K","9,87%"
"27.11.2023","447,80","476,00","476,00","425,60","92,02K","-5,96%"
"24.11.2023","476,20","524,80","525,60","453,00","143,87K","-11,16%"
"23.11.2023","536,00","638,00","638,00","536,00","79,57K","-15,16%"
"22.11.2023","631,80","649,60","649,60","626,60","18,51K","1,19%"
"21.11.2023","624,40","629,80","650,20","608,00","22,82K","-0,10%"
"20.11.2023","625,00","658,40","658,40","619,00","25,18K","-3,93%"
"17.11.2023","650,60","687,00","690,00","646,00","25,98K","-4,99%"
"16.11.2023","684,80","594,20","700,00","586,20","128,67K","18,60%"
"15.11.2023","577,40","535,00","638,20","505,00","73,46K","7,20%"
"14.11.2023","538,60","643,20","643,20","500,00","91,83K","-16,29%"
"13.11.2023","643,40","679,40","755,40","589,20","55,73K","-5,24%"
"10.11.2023","679,00","720,20","724,60","674,40","17,11K","-5,83%"
"09.11.2023","721,00","736,00","738,80","721,00","8,82K","-2,04%"
"08.11.2023","736,00","743,00","746,60","725,60","10,57K","-0,73%"
"07.11.2023","741,40","734,80","758,20","717,60","33,85K","0,22%"
"06.11.2023","739,80","746,80","746,80","722,60","8,08K","-0,67%"
"03.11.2023","744,80","759,80","759,80","735,00","8,85K","-1,14%"
"02.11.2023","753,40","754,60","764,40","753,40","4,71K","-0,40%"
"01.11.2023","756,40","756,00","773,80","750,80","7,61K","0,05%"
"31.10.2023","756,00","774,00","781,20","741,60","17,58K","-2,15%"
"30.10.2023","772,60","760,20","797,60","753,80","45,11K","1,66%"
"27.10.2023","760,00","732,40","780,00","720,00","46,22K","3,77%"
"26.10.2023","732,40","769,80","778,00","728,80","18,83K","-4,86%"
"25.10.2023","769,80","791,40","791,40","755,00","26,05K","-1,96%"
"24.10.2023","785,20","797,20","803,00","777,20","22,46K","-2,34%"
"23.10.2023","804,00","765,00","820,00","757,20","54,37K","5,10%"
"20.10.2023","765,00","775,00","800,00","755,20","28,38K","-4,35%"
"19.10.2023","799,80","832,20","832,20","790,40","65,59K","-4,79%"
"18.10.2023","840,00","755,00","840,00","752,40","203,84K","11,26%"
"17.10.2023","755,00","713,80","757,20","710,40","85,27K","6,28%"
"16.10.2023","710,40","706,40","720,00","700,00","14,69K","0,91%"
"13.10.2023","704,00","706,00","713,00","700,00","9,70K","-0,11%"
"12.10.2023","704,80","700,00","719,60","676,80","24,88K","-3,05%"
"11.10.2023","727,00","720,60","742,40","712,20","25,12K","1,17%"
"10.10.2023","718,60","720,80","730,00","705,00","19,46K","-0,17%"
"09.10.2023","719,80","716,40","725,00","702,60","13,49K","1,24%"
"06.10.2023","711,00","733,00","740,00","699,20","19,61K","-2,92%"
"05.10.2023","732,40","743,00","755,00","732,00","12,46K","-1,77%"
"04.10.2023","745,60","730,00","768,00","730,00","32,27K","0,68%"
"03.10.2023","740,60","749,00","775,00","726,20","30,74K","-1,04%"
"02.10.2023","748,40","763,80","771,80","745,00","19,10K","-2,02%"
"29.09.2023","763,80","772,00","775,80","750,00","13,89K","-0,62%"
"28.09.2023","768,60","789,60","805,00","758,60","39,04K","0,00%"
"27.09.2023","768,60","750,40","785,00","741,40","63,00K","2,43%"
"26.09.2023","750,40","770,00","780,00","740,00","36,21K","-1,52%"
"25.09.2023","762,00","765,00","803,20","740,80","48,57K","1,87%"
"22.09.2023","748,00","737,00","809,80","731,80","42,89K","1,49%"
"21.09.2023","737,00","759,80","829,00","700,00","85,72K","-3,00%"
"20.09.2023","759,80","760,00","850,00","665,40","162,36K","-1,78%"
"19.09.2023","773,60","849,80","860,00","762,00","49,42K","-7,04%"
"18.09.2023","832,20","808,80","880,00","808,20","144,05K","2,97%"
"15.09.2023","808,20","794,80","837,80","742,60","52,93K","4,63%"
"14.09.2023","772,40","874,00","874,00","621,00","101,38K","-10,99%"
"13.09.2023","867,80","894,60","915,40","851,20","49,80K","-2,97%"
"12.09.2023","894,40","873,60","910,00","855,00","94,37K","3,52%"
"11.09.2023","864,00","866,60","924,80","840,00","96,00K","0,02%"
"08.09.2023","863,80","892,40","913,00","825,00","47,73K","-2,29%"
"07.09.2023","884,00","914,20","995,40","820,20","407,39K","-2,32%"
"06.09.2023","905,00","915,00","915,00","892,00","21,77K","-0,24%"
"05.09.2023","907,20","924,00","924,00","892,00","46,93K","-0,53%"
"04.09.2023","912,00","896,00","925,00","880,00","121,64K","2,70%"
"01.09.2023","888,00","904,80","908,00","870,20","22,13K","-0,34%"
"31.08.2023","891,00","900,60","915,60","875,00","35,98K","-0,29%"
"30.08.2023","893,60","900,00","944,80","882,80","120,58K","0,52%"
"29.08.2023","889,00","903,60","920,00","861,40","103,12K","-0,58%"
"28.08.2023","894,20","904,00","924,00","890,40","55,13K","-0,53%"
"25.08.2023","899,00","895,80","908,00","888,20","15,46K","0,16%"
"24.08.2023","897,60","920,00","920,00","881,00","34,18K","-1,43%"
"23.08.2023","910,60","929,60","940,00","880,00","86,03K","-2,04%"
"22.08.2023","929,60","863,00","963,00","828,40","422,35K","9,52%"
"21.08.2023","848,80","818,40","863,20","808,00","70,82K","3,74%"
"18.08.2023","818,20","850,00","850,00","800,20","27,23K","-1,92%"
"17.08.2023","834,20","848,00","870,00","815,00","63,05K","-1,51%"
"16.08.2023","847,00","800,00","904,00","756,00","434,85K","12,04%"
"15.08.2023","756,00","758,20","769,80","705,60","39,86K","-0,92%"
"14.08.2023","763,00","800,00","800,00","756,80","44,48K","-2,35%"
"11.08.2023","781,40","809,80","809,80","725,00","119,66K","-1,46%"
"10.08.2023","793,00","940,00","963,60","742,60","488,13K","-9,52%"
"09.08.2023","876,40","859,40","876,40","813,60","125,06K","9,93%"
"08.08.2023","797,20","760,00","797,20","738,40","212,21K","9,93%"
"07.08.2023","725,20","699,80","725,20","680,00","213,60K","10,38%"
"04.08.2023","657,00","648,80","709,40","588,00","349,85K","1,58%"
"03.08.2023","646,80","589,00","646,80","582,00","368,58K","9,96%"
"02.08.2023","588,20","581,60","616,80","574,00","180,33K","1,13%"
"01.08.2023","581,60","590,60","594,40","564,00","103,32K","0,83%"
"31.07.2023","576,80","579,00","579,00","554,20","228,21K","9,45%"
"28.07.2023","527,00","528,80","559,60","518,40","195,79K","0,23%"
"27.07.2023","525,80","523,60","533,00","517,00","41,04K","0,65%"
"26.07.2023","522,40","532,80","532,80","515,00","37,18K","-0,50%"
"25.07.2023","525,00","527,40","530,00","510,40","67,77K","0,00%"
"24.07.2023","525,00","509,00","529,00","494,60","91,12K","4,50%"
"21.07.2023","502,40","500,00","533,00","484,40","234,03K","0,48%"
"20.07.2023","500,00","540,00","549,00","480,00","267,46K","-10,59%"
"19.07.2023","559,20","490,00","625,00","470,60","1,64M","24,82%"
"18.07.2023","448,00","367,00","453,20","364,60","984,35K","23,21%"
"17.07.2023","363,60","354,00","375,20","354,00","109,31K","2,54%"
"14.07.2023","354,60","356,20","364,40","354,20","15,82K","-0,45%"
"13.07.2023","356,20","358,80","360,00","352,20","12,44K","-0,28%"
"12.07.2023","357,20","361,00","362,00","356,40","8,33K","0,34%"
