"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","33.000,0","33.060,0","33.700,0","32.520,0","1,61K","-0,12%"
"28.12.2023","33.040,0","33.580,0","33.640,0","33.020,0","1,55K","-1,26%"
"27.12.2023","33.460,0","34.060,0","34.180,0","33.060,0","2,12K","-0,42%"
"26.12.2023","33.600,0","34.600,0","34.600,0","33.140,0","2,45K","-2,04%"
"25.12.2023","34.300,0","35.360,0","35.800,0","34.000,0","2,94K","-0,17%"
"22.12.2023","34.360,0","34.980,0","35.960,0","34.260,0","6,26K","0,06%"
"21.12.2023","34.340,0","36.500,0","37.480,0","33.500,0","11,35K","-4,24%"
"20.12.2023","35.860,0","32.000,0","36.880,0","31.500,0","27,90K","12,41%"
"19.12.2023","31.900,0","29.340,0","31.960,0","29.260,0","13,29K","9,02%"
"18.12.2023","29.260,0","28.980,0","29.960,0","28.740,0","2,98K","2,45%"
"15.12.2023","28.560,0","28.240,0","28.880,0","27.820,0","2,66K","0,00%"
"14.12.2023","28.560,0","28.560,0","28.980,0","28.000,0","1,49K","0,92%"
"13.12.2023","28.300,0","29.000,0","29.200,0","27.980,0","3,15K","-2,82%"
"12.12.2023","29.120,0","30.040,0","30.120,0","28.880,0","1,81K","-2,93%"
"11.12.2023","30.000,0","30.820,0","30.860,0","29.740,0","0,80K","-2,60%"
"08.12.2023","30.800,0","31.840,0","31.840,0","30.440,0","0,58K","0,98%"
"07.12.2023","30.500,0","30.340,0","30.780,0","29.520,0","1,53K","0,53%"
"06.12.2023","30.340,0","32.000,0","32.280,0","30.120,0","3,83K","-5,19%"
"05.12.2023","32.000,0","33.380,0","33.380,0","31.380,0","1,84K","-3,09%"
"04.12.2023","33.020,0","32.780,0","34.260,0","31.860,0","1,53K","0,61%"
"01.12.2023","32.820,0","34.340,0","34.340,0","32.740,0","1,66K","-3,75%"
"30.11.2023","34.100,0","34.560,0","34.660,0","33.940,0","0,73K","0,12%"
"29.11.2023","34.060,0","35.720,0","36.460,0","34.060,0","1,54K","-3,95%"
"28.11.2023","35.460,0","33.640,0","35.700,0","33.040,0","1,61K","5,41%"
"27.11.2023","33.640,0","35.580,0","35.580,0","33.640,0","2,60K","-5,24%"
"24.11.2023","35.500,0","36.540,0","36.540,0","35.100,0","0,99K","-1,39%"
"23.11.2023","36.000,0","37.100,0","37.100,0","36.000,0","1,50K","-2,76%"
"22.11.2023","37.020,0","37.740,0","38.100,0","36.920,0","1,04K","-1,28%"
"21.11.2023","37.500,0","38.880,0","38.880,0","37.500,0","0,75K","-2,19%"
"20.11.2023","38.340,0","38.740,0","39.200,0","38.220,0","0,36K","-0,88%"
"17.11.2023","38.680,0","39.460,0","39.460,0","38.200,0","0,52K","-0,87%"
"16.11.2023","39.020,0","37.920,0","41.200,0","37.920,0","2,76K","2,90%"
"15.11.2023","37.920,0","36.740,0","38.160,0","36.000,0","1,25K","3,55%"
"14.11.2023","36.620,0","38.900,0","39.000,0","35.600,0","2,65K","-5,81%"
"13.11.2023","38.880,0","38.600,0","39.060,0","38.520,0","0,79K","1,20%"
"10.11.2023","38.420,0","39.760,0","39.960,0","38.060,0","1,22K","-3,32%"
"09.11.2023","39.740,0","39.880,0","39.920,0","39.600,0","0,37K","-0,35%"
"08.11.2023","39.880,0","40.000,0","40.180,0","39.740,0","0,38K","-0,45%"
"07.11.2023","40.060,0","40.160,0","40.220,0","40.000,0","0,32K","-0,25%"
"06.11.2023","40.160,0","40.160,0","40.300,0","39.940,0","0,32K","0,45%"
"03.11.2023","39.980,0","40.460,0","40.580,0","39.600,0","0,52K","-0,60%"
"02.11.2023","40.220,0","39.100,0","41.240,0","39.000,0","3,56K","2,86%"
"01.11.2023","39.100,0","40.200,0","40.800,0","39.060,0","1,89K","-2,74%"
"31.10.2023","40.200,0","40.600,0","40.660,0","39.880,0","1,25K","-1,18%"
"30.10.2023","40.680,0","41.300,0","41.440,0","40.600,0","0,69K","-1,26%"
"27.10.2023","41.200,0","41.660,0","41.700,0","41.000,0","0,66K","-0,58%"
"26.10.2023","41.440,0","41.920,0","42.300,0","41.080,0","0,68K","-1,38%"
"25.10.2023","42.020,0","42.000,0","42.260,0","42.000,0","0,31K","0,05%"
"24.10.2023","42.000,0","42.100,0","42.180,0","41.900,0","0,38K","0,10%"
"23.10.2023","41.960,0","42.300,0","42.420,0","41.820,0","0,58K","-0,62%"
"20.10.2023","42.220,0","42.460,0","42.560,0","42.000,0","0,44K","-0,57%"
"19.10.2023","42.460,0","42.160,0","42.580,0","41.920,0","1,43K","0,71%"
"18.10.2023","42.160,0","42.280,0","42.340,0","41.960,0","0,48K","0,00%"
"17.10.2023","42.160,0","42.480,0","42.520,0","41.860,0","0,66K","-0,24%"
"16.10.2023","42.260,0","42.140,0","42.600,0","41.880,0","0,97K","1,10%"
"13.10.2023","41.800,0","41.640,0","41.900,0","41.620,0","0,54K","0,43%"
"12.10.2023","41.620,0","42.000,0","42.060,0","41.020,0","0,87K","-1,61%"
"11.10.2023","42.300,0","42.680,0","42.700,0","42.140,0","0,64K","-0,42%"
"10.10.2023","42.480,0","42.500,0","42.640,0","42.020,0","0,90K","-0,42%"
"09.10.2023","42.660,0","42.760,0","43.360,0","42.320,0","0,85K","0,14%"
"06.10.2023","42.600,0","43.100,0","43.200,0","42.500,0","0,68K","0,00%"
"05.10.2023","42.600,0","43.040,0","43.560,0","42.340,0","1,92K","-2,47%"
"04.10.2023","43.680,0","41.160,0","43.840,0","40.880,0","4,48K","6,33%"
