"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","0,022680","0,022730","0,023050","0,022650","54,88B","-0,07%"
"28.12.2023","0,022695","0,022955","0,022990","0,022645","52,27B","-0,79%"
"27.12.2023","0,022875","0,023190","0,023195","0,022820","59,59B","-1,23%"
"26.12.2023","0,023160","0,023140","0,023265","0,022965","62,73B","-0,15%"
"25.12.2023","0,023195","0,023050","0,023230","0,022795","62,10B","0,96%"
"22.12.2023","0,022975","0,022985","0,023305","0,022815","101,08B","0,17%"
"21.12.2023","0,022935","0,023300","0,023450","0,022750","96,49B","-1,59%"
"20.12.2023","0,023305","0,023550","0,023675","0,023250","54,06B","-1,04%"
"19.12.2023","0,023550","0,023240","0,023570","0,023070","75,53B","0,38%"
"18.12.2023","0,023460","0,023580","0,023930","0,023305","101,62B","-0,11%"
"15.12.2023","0,023485","0,022580","0,023620","0,022485","129,75B","3,92%"
"14.12.2023","0,022600","0,022880","0,023150","0,022405","93,26B","-0,81%"
"13.12.2023","0,022785","0,022270","0,022785","0,022170","75,48B","1,95%"
"12.12.2023","0,022350","0,022050","0,022895","0,022050","141,25B","1,38%"
"11.12.2023","0,022045","0,022365","0,022595","0,021960","105,40B","-1,28%"
"08.12.2023","0,022330","0,022500","0,022640","0,022125","64,92B","-0,58%"
"07.12.2023","0,022460","0,022150","0,022865","0,022025","148,70B","1,77%"
"06.12.2023","0,022070","0,022880","0,022965","0,021945","129,07B","-3,56%"
"05.12.2023","0,022885","0,022660","0,022900","0,022330","98,82B","1,51%"
"04.12.2023","0,022545","0,023595","0,023595","0,022470","110,80B","-4,51%"
"01.12.2023","0,023610","0,023880","0,024125","0,023520","60,77B","-1,15%"
"30.11.2023","0,023885","0,023870","0,023950","0,023500","72,94B","-0,06%"
"29.11.2023","0,023900","0,024160","0,024295","0,023860","43,82B","-0,95%"
"28.11.2023","0,024130","0,024425","0,024430","0,023780","75,45B","-0,70%"
"27.11.2023","0,024300","0,024885","0,024995","0,024250","69,27B","-2,19%"
"24.11.2023","0,024845","0,024930","0,025160","0,024710","61,27B","-0,26%"
"23.11.2023","0,024910","0,025200","0,025300","0,024860","56,02B","-1,15%"
"22.11.2023","0,025200","0,024500","0,025200","0,024485","94,70B","2,94%"
"21.11.2023","0,024480","0,024340","0,024550","0,024255","34,19B","0,27%"
"20.11.2023","0,024415","0,024450","0,024595","0,024220","42,65B","0,12%"
"17.11.2023","0,024385","0,024145","0,024440","0,023940","59,52B","0,97%"
"16.11.2023","0,024150","0,024450","0,024575","0,024100","42,93B","-1,17%"
"15.11.2023","0,024435","0,024090","0,024625","0,024055","84,64B","1,37%"
"14.11.2023","0,024105","0,024700","0,024700","0,024010","123,68B","-2,70%"
"13.11.2023","0,024775","0,024910","0,025000","0,024705","54,27B","-0,52%"
"10.11.2023","0,024905","0,025090","0,025145","0,024845","55,64B","-0,40%"
"09.11.2023","0,025005","0,025215","0,025265","0,024940","52,17B","-0,83%"
"08.11.2023","0,025215","0,025180","0,025445","0,025055","62,79B","0,18%"
"07.11.2023","0,025170","0,025355","0,025545","0,025105","65,60B","-0,77%"
"06.11.2023","0,025365","0,024935","0,025370","0,024905","40,09B","1,87%"
"03.11.2023","0,024900","0,025055","0,025120","0,024695","65,12B","-0,62%"
"02.11.2023","0,025055","0,025260","0,025335","0,024920","64,68B","-0,58%"
"01.11.2023","0,025200","0,025345","0,025545","0,025120","71,11B","-0,45%"
"31.10.2023","0,025315","0,025100","0,025410","0,024900","79,54B","0,62%"
"30.10.2023","0,025160","0,025280","0,025490","0,025095","52,50B","-0,67%"
"27.10.2023","0,025330","0,025630","0,025700","0,024950","140,13B","-0,86%"
"26.10.2023","0,025550","0,026475","0,026540","0,025500","158,90B","-3,20%"
"25.10.2023","0,026395","0,026610","0,026870","0,026300","94,87B","-0,83%"
"24.10.2023","0,026615","0,026095","0,026765","0,025985","107,87B","1,93%"
"23.10.2023","0,026110","0,026060","0,026300","0,025965","63,59B","0,44%"
"20.10.2023","0,025995","0,026225","0,026225","0,025730","88,34B","-0,67%"
"19.10.2023","0,026170","0,026050","0,026390","0,025865","68,49B","0,19%"
"18.10.2023","0,026120","0,026255","0,026395","0,025760","91,30B","-0,29%"
"17.10.2023","0,026195","0,025970","0,026475","0,025850","139,79B","0,83%"
"16.10.2023","0,025980","0,025490","0,026140","0,025440","120,48B","2,36%"
"13.10.2023","0,025380","0,025105","0,025640","0,025040","81,73B","0,81%"
