"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.12.2023","2.540,0","2.535,0","2.566,0","2.505,6","860,51K","0,35%"
"28.12.2023","2.531,2","2.594,2","2.610,0","2.520,0","2,11M","-0,74%"
"27.12.2023","2.550,0","2.428,0","2.574,6","2.428,0","2,79M","5,04%"
"26.12.2023","2.427,6","2.399,8","2.439,8","2.361,0","1,54M","1,29%"
"25.12.2023","2.396,6","2.300,0","2.455,8","2.297,0","4,17M","4,39%"
"22.12.2023","2.295,8","2.267,2","2.303,8","2.266,2","802,70K","1,26%"
"21.12.2023","2.267,2","2.279,0","2.286,8","2.245,2","944,84K","-0,94%"
"20.12.2023","2.288,8","2.247,0","2.318,8","2.242,6","2,25M","2,08%"
"19.12.2023","2.242,2","2.250,2","2.274,0","2.231,8","899,86K","-0,36%"
"18.12.2023","2.250,4","2.228,8","2.271,0","2.217,4","1,39M","1,17%"
"15.12.2023","2.224,4","2.162,0","2.244,0","2.116,2","2,09M","3,10%"
"14.12.2023","2.157,6","2.276,0","2.276,0","2.140,0","1,56M","-4,82%"
"13.12.2023","2.266,8","2.243,0","2.288,0","2.230,2","1,09M","0,43%"
"12.12.2023","2.257,0","2.218,0","2.284,4","2.201,0","1,88M","2,24%"
"11.12.2023","2.207,6","2.339,0","2.343,8","2.191,4","2,09M","-5,56%"
"08.12.2023","2.337,6","2.365,0","2.385,0","2.335,2","696,95K","-0,52%"
"07.12.2023","2.349,8","2.327,0","2.367,6","2.296,2","1,01M","1,26%"
"06.12.2023","2.320,6","2.420,2","2.428,8","2.301,0","1,30M","-4,05%"
"05.12.2023","2.418,6","2.419,8","2.433,0","2.385,0","646,26K","0,87%"
"04.12.2023","2.397,8","2.420,0","2.436,8","2.365,6","1,24M","-0,94%"
"01.12.2023","2.420,6","2.525,0","2.548,0","2.410,0","1,68M","-4,07%"
"30.11.2023","2.523,4","2.575,0","2.603,8","2.501,0","1,10M","-1,97%"
"29.11.2023","2.574,0","2.602,0","2.628,8","2.563,6","903,23K","-1,10%"
"28.11.2023","2.602,6","2.599,4","2.628,0","2.591,0","809,72K","0,36%"
"27.11.2023","2.593,2","2.593,4","2.659,4","2.587,0","1,90M","-0,05%"
"24.11.2023","2.594,6","2.569,8","2.616,4","2.560,0","1,01M","1,38%"
"23.11.2023","2.559,2","2.583,0","2.598,0","2.540,0","585,44K","-0,55%"
"22.11.2023","2.573,4","2.578,6","2.599,0","2.568,0","486,33K","0,03%"
"21.11.2023","2.572,6","2.570,0","2.587,8","2.563,0","341,51K","-0,03%"
"20.11.2023","2.573,4","2.572,4","2.589,2","2.557,0","573,76K","0,05%"
"17.11.2023","2.572,0","2.569,0","2.593,6","2.546,0","478,47K","0,12%"
"16.11.2023","2.569,0","2.620,0","2.631,2","2.564,6","1,16M","-1,95%"
"15.11.2023","2.620,0","2.590,0","2.651,8","2.590,0","883,28K","0,77%"
"14.11.2023","2.600,0","2.571,0","2.677,8","2.531,6","2,31M","0,88%"
"13.11.2023","2.577,2","2.598,0","2.599,8","2.568,6","471,74K","-0,83%"
"10.11.2023","2.598,8","2.619,0","2.620,0","2.587,8","346,45K","-0,49%"
"09.11.2023","2.611,6","2.619,0","2.623,4","2.582,6","584,29K","-0,12%"
"08.11.2023","2.614,8","2.639,0","2.661,8","2.605,0","596,37K","-0,70%"
"07.11.2023","2.633,2","2.638,0","2.645,0","2.616,6","307,71K","-0,18%"
"06.11.2023","2.638,0","2.612,8","2.653,2","2.606,2","300,34K","0,96%"
"03.11.2023","2.613,0","2.633,6","2.638,2","2.594,2","543,03K","-0,48%"
"02.11.2023","2.625,6","2.649,8","2.665,0","2.603,0","643,11K","-0,54%"
"01.11.2023","2.639,8","2.611,8","2.672,2","2.600,0","818,56K","1,06%"
"31.10.2023","2.612,0","2.595,0","2.640,0","2.557,0","1,05M","0,32%"
"30.10.2023","2.603,6","2.666,8","2.677,0","2.600,2","818,17K","-2,36%"
"27.10.2023","2.666,6","2.684,8","2.736,0","2.620,0","2,31M","-0,59%"
"26.10.2023","2.682,4","2.760,0","2.772,4","2.675,0","1,76M","-1,99%"
"25.10.2023","2.737,0","2.727,0","2.750,0","2.700,0","1,01M","0,43%"
"24.10.2023","2.725,2","2.670,0","2.730,0","2.632,4","1,23M","1,79%"
"23.10.2023","2.677,2","2.690,0","2.717,4","2.656,8","979,39K","-0,08%"
"20.10.2023","2.679,4","2.668,8","2.700,0","2.611,0","1,96M","0,71%"
"19.10.2023","2.660,6","2.520,8","2.675,4","2.517,0","3,28M","5,28%"
"18.10.2023","2.527,2","2.522,2","2.539,0","2.511,8","542,56K","-0,01%"
"17.10.2023","2.527,4","2.527,0","2.540,6","2.509,6","536,97K","-0,10%"
"16.10.2023","2.530,0","2.528,8","2.552,0","2.520,8","676,54K","0,69%"
"13.10.2023","2.512,6","2.470,0","2.534,0","2.466,0","1,24M","1,93%"
"12.10.2023","2.465,0","2.435,0","2.472,0","2.421,0","522,58K","0,86%"
"11.10.2023","2.444,0","2.490,8","2.500,0","2.420,0","646,51K","-1,66%"
"10.10.2023","2.485,2","2.478,0","2.507,8","2.454,2","831,59K","0,31%"
"09.10.2023","2.477,4","2.482,4","2.498,8","2.470,0","511,22K","-0,19%"
"06.10.2023","2.482,2","2.492,8","2.516,8","2.468,0","1,53M","0,09%"
"05.10.2023","2.480,0","2.390,0","2.483,6","2.360,2","2,26M","4,22%"
"04.10.2023","2.379,6","2.384,0","2.410,0","2.373,2","718,75K","-0,30%"
"03.10.2023","2.386,8","2.390,0","2.414,4","2.367,2","658,79K","-0,38%"
"02.10.2023","2.395,8","2.415,0","2.434,0","2.377,6","763,36K","-0,27%"
"29.09.2023","2.402,2","2.448,8","2.449,4","2.392,0","898,92K","-1,52%"
"28.09.2023","2.439,4","2.457,0","2.475,2","2.422,8","835,80K","-0,59%"
"27.09.2023","2.453,8","2.405,0","2.466,0","2.390,4","997,25K","2,63%"
"26.09.2023","2.391,0","2.390,8","2.411,8","2.352,8","707,58K","0,00%"
"25.09.2023","2.391,0","2.428,4","2.428,4","2.369,6","543,85K","-0,80%"
"22.09.2023","2.410,2","2.355,2","2.435,0","2.323,2","986,09K","2,33%"
"21.09.2023","2.355,4","2.401,4","2.419,0","2.350,8","1,15M","-2,59%"
"20.09.2023","2.418,0","2.456,8","2.460,0","2.358,0","1,50M","-0,99%"
"19.09.2023","2.442,2","2.527,0","2.527,0","2.422,2","1,28M","-3,01%"
"18.09.2023","2.518,0","2.594,0","2.620,0","2.508,8","820,16K","-1,95%"
"15.09.2023","2.568,0","2.499,0","2.588,0","2.485,0","630,96K","2,36%"
"14.09.2023","2.508,8","2.551,4","2.561,2","2.450,2","1,13M","-1,65%"
"13.09.2023","2.550,8","2.580,2","2.633,0","2.535,6","1,04M","-1,10%"
"12.09.2023","2.579,2","2.497,0","2.598,0","2.497,0","1,05M","3,63%"
"11.09.2023","2.488,8","2.567,0","2.584,8","2.470,0","1,19M","-2,31%"
"08.09.2023","2.547,6","2.585,6","2.609,0","2.526,2","864,92K","-1,47%"
"07.09.2023","2.585,6","2.664,8","2.673,4","2.555,2","1,56M","-2,96%"
"06.09.2023","2.664,6","2.730,0","2.733,0","2.653,0","950,62K","-2,27%"
"05.09.2023","2.726,6","2.744,8","2.754,8","2.711,2","588,47K","-0,63%"
"04.09.2023","2.744,0","2.690,0","2.756,0","2.688,8","1,17M","2,00%"
"01.09.2023","2.690,2","2.690,0","2.700,0","2.670,0","418,29K","0,04%"
"31.08.2023","2.689,0","2.668,0","2.694,0","2.641,8","599,95K","0,78%"
"30.08.2023","2.668,2","2.689,2","2.708,0","2.654,6","572,95K","-1,13%"
"29.08.2023","2.698,8","2.666,6","2.710,0","2.666,0","803,01K","1,08%"
"28.08.2023","2.670,0","2.655,0","2.685,0","2.652,0","563,68K","0,81%"
"25.08.2023","2.648,6","2.649,4","2.669,8","2.630,4","416,41K","0,01%"
"24.08.2023","2.648,4","2.630,0","2.660,4","2.619,6","468,08K","1,71%"
"23.08.2023","2.604,0","2.714,0","2.720,0","2.589,6","1,28M","-3,94%"
"22.08.2023","2.710,8","2.676,8","2.718,4","2.650,0","1,03M","1,82%"
"21.08.2023","2.662,4","2.612,0","2.674,4","2.582,0","964,27K","2,31%"
"18.08.2023","2.602,2","2.581,6","2.609,0","2.537,8","819,58K","0,80%"
"17.08.2023","2.581,6","2.597,6","2.623,0","2.528,0","1,11M","0,43%"
"16.08.2023","2.570,6","2.630,0","2.645,0","2.450,2","1,59M","-1,73%"
"15.08.2023","2.615,8","2.599,2","2.695,6","2.540,0","1,11M","0,22%"
"14.08.2023","2.610,0","2.712,4","2.732,0","2.605,0","1,38M","-3,48%"
"11.08.2023","2.704,2","2.718,6","2.729,0","2.685,2","628,95K","-0,51%"
"10.08.2023","2.718,0","2.730,0","2.765,0","2.661,8","2,10M","-0,19%"
"09.08.2023","2.723,2","2.732,2","2.748,0","2.694,4","666,38K","-0,20%"
"08.08.2023","2.728,6","2.700,0","2.730,0","2.627,2","1,05M","0,72%"
"07.08.2023","2.709,0","2.750,0","2.795,6","2.662,4","1,19M","-0,81%"
"04.08.2023","2.731,0","2.785,4","2.872,0","2.657,4","3,36M","-1,76%"
"03.08.2023","2.780,0","2.709,4","2.785,0","2.695,0","1,25M","2,61%"
"02.08.2023","2.709,4","2.670,0","2.727,0","2.666,2","1,65M","1,48%"
