Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,30.0,37.0,29.0,34.0,32.22916793823242,824287
2020-01-03,34.0,32.0,29.0,31.0,29.385417938232422,245865
2020-01-06,33.0,33.0,31.0,33.0,31.28125,23435
2020-01-07,31.0,31.0,27.0,27.0,25.59375,249880
2020-01-08,26.0,26.0,22.0,24.0,22.75,943723
2020-01-09,25.0,25.0,25.0,25.0,23.697917938232422,12000
2020-01-10,25.0,25.0,25.0,25.0,23.697917938232422,0
2020-01-13,22.0,24.0,21.0,22.0,20.854167938232422,26088
2020-01-14,22.0,25.0,19.0,25.0,23.697917938232422,687354
2020-01-15,25.0,22.0,22.0,22.0,20.854167938232422,3000
2020-01-16,25.0,27.0,25.0,27.0,25.59375,342560
2020-01-17,27.0,28.0,27.0,28.0,26.541667938232422,106000
2020-01-20,28.0,36.0,30.0,31.0,29.385417938232422,468780
2020-01-21,33.0,36.0,31.0,35.0,33.177085876464844,78888
2020-01-22,33.0,33.0,31.0,31.0,29.385417938232422,19774
2020-01-23,31.0,32.0,31.0,31.0,29.385417938232422,283056
2020-01-24,33.0,36.0,33.0,33.0,31.28125,48390
2020-01-27,33.0,33.0,31.0,31.0,29.385417938232422,19177
2020-01-28,34.0,34.0,28.0,34.0,32.22916793823242,478808
2020-01-29,33.0,33.0,31.0,31.0,29.385417938232422,119631
2020-01-30,34.0,34.0,30.0,30.0,28.4375,26092
2020-01-31,30.0,30.0,30.0,30.0,28.4375,24500
2020-02-03,29.0,30.0,29.0,29.0,27.48958396911621,550500
2020-02-04,30.0,32.0,29.0,29.0,27.48958396911621,200730
2020-02-05,29.0,34.0,29.0,34.0,32.22916793823242,275771
2020-02-06,33.0,33.0,33.0,33.0,31.28125,6000
2020-02-07,33.0,34.0,33.0,34.0,32.22916793823242,30000
2020-02-10,34.0,34.0,34.0,34.0,32.22916793823242,0
2020-02-11,32.0,34.0,31.0,31.0,29.385417938232422,71668
2020-02-12,35.0,35.0,34.0,34.0,32.22916793823242,2350
2020-02-13,33.0,33.0,31.0,31.0,29.385417938232422,15412
2020-02-14,30.0,33.0,28.0,33.0,31.28125,131010
2020-02-17,33.0,33.0,33.0,33.0,31.28125,0
2020-02-18,28.0,31.0,27.0,27.0,25.59375,29186
2020-02-19,27.0,27.0,27.0,27.0,25.59375,12098
2020-02-20,27.0,27.0,27.0,27.0,25.59375,0
2020-02-21,28.0,28.0,27.0,28.0,26.541667938232422,74175
2020-02-24,29.0,31.0,28.0,30.0,28.4375,45584
2020-02-25,28.0,33.0,28.0,30.0,28.4375,640276
2020-02-26,30.0,30.0,30.0,30.0,28.4375,31072
2020-02-27,30.0,30.0,29.0,29.0,27.48958396911621,64520
2020-02-28,29.0,29.0,28.0,28.0,26.541667938232422,85312
2020-03-02,27.0,28.0,26.0,28.0,26.541667938232422,90392
2020-03-03,29.0,29.0,27.0,29.0,27.48958396911621,177291
2020-03-04,28.0,28.0,28.0,28.0,26.541667938232422,176574
2020-03-05,29.0,29.0,28.0,28.0,26.541667938232422,15405
2020-03-06,28.0,28.0,26.0,26.0,24.64583396911621,176000
2020-03-09,26.0,26.0,26.0,26.0,24.64583396911621,24000
2020-03-10,28.0,28.0,25.0,25.0,23.697917938232422,61944
2020-03-11,25.0,25.0,25.0,25.0,23.697917938232422,50000
2020-03-12,25.0,25.0,16.0,19.0,18.010417938232422,389218
2020-03-13,20.0,25.0,20.0,25.0,23.697917938232422,133257
2020-03-16,26.0,26.0,19.0,19.0,18.010417938232422,110208
2020-03-17,18.0,23.0,18.0,23.0,21.80208396911621,10841
2020-03-18,19.0,19.0,18.0,18.0,17.0625,117436
2020-03-19,18.0,18.0,18.0,18.0,17.0625,1000
2020-03-20,22.0,22.0,19.0,22.0,20.854167938232422,184000
2020-03-23,22.0,22.0,18.0,18.0,17.0625,43188
2020-03-24,20.0,20.0,18.0,20.0,18.95833396911621,18381
2020-03-25,20.0,20.0,20.0,20.0,18.95833396911621,217574
2020-03-26,20.0,22.0,20.0,22.0,20.854167938232422,74643
2020-03-27,22.0,22.0,22.0,22.0,20.854167938232422,3450
2020-03-30,17.0,28.0,16.0,22.0,20.854167938232422,364186
2020-03-31,20.0,23.0,21.0,23.0,21.80208396911621,145876
2020-04-01,23.0,23.0,23.0,23.0,21.80208396911621,0
2020-04-02,29.0,29.0,21.0,24.0,22.75,238382
2020-04-03,24.0,24.0,24.0,24.0,22.75,4100
2020-04-06,24.0,25.0,24.0,24.0,22.75,72355
2020-04-07,22.0,25.0,19.0,21.0,19.90625,210049
2020-04-08,24.0,27.0,22.0,24.0,22.75,394684
2020-04-09,25.0,27.0,22.0,27.0,25.59375,1204735
2020-04-14,24.0,28.0,24.0,28.0,26.541667938232422,968803
2020-04-15,27.0,27.0,23.0,26.0,24.64583396911621,189766
2020-04-16,27.0,27.0,26.0,26.0,24.64583396911621,221072
2020-04-17,26.0,26.0,26.0,26.0,24.64583396911621,201500
2020-04-20,26.0,26.0,26.0,26.0,24.64583396911621,75000
2020-04-21,25.0,25.0,24.0,25.0,23.697917938232422,25577
2020-04-22,25.0,25.0,25.0,25.0,23.697917938232422,46377
2020-04-23,25.0,26.0,23.0,26.0,24.64583396911621,222136
2020-04-24,26.0,26.0,24.0,25.0,23.697917938232422,95117
2020-04-28,25.0,26.0,23.0,26.0,24.64583396911621,261668
2020-04-29,27.0,27.0,22.0,26.0,24.64583396911621,1115674
2020-04-30,24.0,26.0,24.0,25.0,23.697917938232422,127844
2020-05-04,23.0,27.0,25.0,26.0,24.64583396911621,62180
2020-05-05,26.0,27.0,25.0,27.0,25.59375,781965
2020-05-06,25.0,27.0,25.0,27.0,25.59375,88500
2020-05-07,27.0,27.0,27.0,27.0,25.59375,300
2020-05-08,27.0,27.0,27.0,27.0,25.59375,0
2020-05-11,27.0,27.0,23.0,25.0,23.697917938232422,72920
2020-05-12,20.0,24.0,20.0,20.0,18.95833396911621,415998
2020-05-13,20.0,24.0,20.0,24.0,22.75,47220
2020-05-14,24.0,24.0,24.0,24.0,22.75,85902
2020-05-15,21.0,24.0,20.0,23.0,21.80208396911621,342541
2020-05-18,23.0,23.0,23.0,23.0,21.80208396911621,6800
2020-05-19,23.0,24.0,20.0,20.0,18.95833396911621,75433
2020-05-20,21.0,21.0,21.0,21.0,19.90625,600
2020-05-21,21.0,21.0,21.0,21.0,19.90625,10000
2020-05-22,21.0,21.0,20.0,20.0,18.95833396911621,63677
2020-05-25,21.0,25.0,21.0,25.0,23.697917938232422,118636
2020-05-26,26.0,26.0,22.0,22.0,20.854167938232422,199899
2020-05-27,25.0,25.0,25.0,25.0,23.697917938232422,19709
2020-05-28,25.0,25.0,22.0,25.0,23.697917938232422,351268
2020-05-29,25.0,25.0,24.0,24.0,22.75,213866
2020-06-01,25.0,25.0,25.0,25.0,23.697917938232422,36527
2020-06-02,24.0,24.0,22.0,24.0,22.75,444935
2020-06-03,24.0,24.0,22.0,23.0,21.80208396911621,76309
2020-06-04,24.0,24.0,24.0,24.0,22.75,24296
2020-06-05,22.0,25.0,21.0,21.0,19.90625,593701
2020-06-08,22.0,22.0,20.0,20.0,18.95833396911621,1157228
2020-06-09,23.0,25.0,21.0,24.0,22.75,305394
