Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1055.0,1068.0,1040.0,1046.0,933.9012451171875,89703
2020-01-03,1034.0,1069.0,1034.0,1064.0,949.9721069335938,1692429
2020-01-06,1089.0,1089.0,1050.0,1060.0,946.4008178710938,96620
2020-01-07,1066.0,1088.0,1065.0,1085.0,968.7216186523438,99252
2020-01-08,1050.0,1082.0,1055.0,1061.0,947.2936401367188,53106
2020-01-09,1065.0,1071.0,1049.0,1051.0,938.3654174804688,134942
2020-01-10,1050.0,1098.0,1050.0,1098.0,980.3283081054688,58790
2020-01-13,1093.0,1093.0,1066.0,1067.0,952.6505737304688,71238
2020-01-14,1075.0,1088.0,1067.0,1088.0,971.400146484375,1152276
2020-01-15,1066.0,1115.0,1065.0,1078.0,962.4716796875,153131
2020-01-16,1065.0,1097.0,1065.0,1069.0,954.436279296875,601287
2020-01-17,1070.0,1080.0,1050.0,1060.0,946.4008178710938,396325
2020-01-20,1048.0,1083.0,1048.0,1083.0,966.9359130859375,58668
2020-01-21,1050.0,1058.0,1050.0,1050.0,937.4725341796875,95528
2020-01-22,1057.0,1075.0,1047.0,1063.0,949.079345703125,274451
2020-01-23,1057.0,1076.0,1049.0,1074.0,958.900390625,128150
2020-01-24,1066.0,1089.0,1066.0,1070.0,955.3291625976562,599740
2020-01-27,1045.0,1078.0,1010.0,1028.0,917.8302001953125,226685
2020-01-28,1045.0,1045.0,1010.0,1034.0,923.1871948242188,133399
2020-01-29,1039.0,1076.0,1010.0,1065.0,950.864990234375,582801
2020-01-30,1050.0,1079.0,1048.0,1079.0,963.3646240234375,87776
2020-01-31,1060.0,1080.0,1050.0,1070.0,955.3291625976562,314233
2020-02-03,1041.0,1064.0,1010.0,1048.0,935.6868286132812,157090
2020-02-04,1050.0,1051.0,1040.0,1050.0,937.4725341796875,223929
2020-02-05,1022.0,1060.0,1022.0,1060.0,946.4008178710938,248346
2020-02-06,1060.0,1060.0,1013.0,1025.0,915.1517333984375,68468
2020-02-07,1030.0,1035.0,1010.0,1014.0,905.33056640625,370359
2020-02-10,1016.0,1020.0,985.0,995.0,888.3668212890625,744469
2020-02-11,1000.0,1000.0,983.0,994.0,887.4739379882812,715089
2020-02-12,1000.0,1000.0,955.0,990.0,883.902587890625,990188
2020-02-13,995.0,998.0,941.0,955.0,852.653564453125,642024
2020-02-14,955.0,985.0,970.0,983.0,877.65283203125,117077
2020-02-17,990.0,1027.0,950.0,1008.0,899.9735717773438,1318218
2020-02-18,997.0,1025.0,986.0,999.0,891.9381103515625,856087
2020-02-19,1000.0,1000.0,973.0,987.0,881.2241821289062,766029
2020-02-20,989.0,990.0,976.0,986.0,880.331298828125,117666
2020-02-21,985.0,990.0,920.0,971.0,866.9388427734375,273333
2020-02-24,989.0,989.0,918.0,974.0,869.6173706054688,261809
2020-02-25,994.0,994.0,933.0,940.0,839.2611694335938,642316
2020-02-26,940.0,970.0,910.0,951.0,849.082275390625,549413
2020-02-27,951.0,966.0,940.0,966.0,862.4747314453125,454299
2020-02-28,960.0,962.0,905.0,926.0,826.761474609375,1331797
2020-03-02,928.0,932.0,897.0,907.0,809.7977294921875,411389
2020-03-03,915.0,917.0,879.0,907.0,809.7977294921875,678372
