Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,262.0,274.0,256.0,265.0,265.0,1702649
2020-01-03,275.0,269.0,264.0,265.0,265.0,2379023
2020-01-06,273.0,277.0,263.0,273.0,273.0,1149598
2020-01-07,270.0,289.0,270.0,289.0,289.0,1670872
2020-01-08,290.0,294.0,275.0,293.0,293.0,2408330
2020-01-09,294.0,296.0,281.0,291.0,291.0,1367414
2020-01-10,294.0,294.0,285.0,291.0,291.0,880713
2020-01-13,286.0,293.0,285.0,293.0,293.0,833243
2020-01-14,291.0,305.0,286.0,299.0,299.0,2440109
2020-01-15,295.0,300.0,290.0,294.0,294.0,729191
2020-01-16,297.0,299.0,279.0,298.0,298.0,1096610
2020-01-17,305.0,300.0,286.0,295.0,295.0,1321830
2020-01-20,282.0,298.0,280.0,292.0,292.0,1328242
2020-01-21,282.0,300.0,284.0,299.0,299.0,987299
2020-01-22,301.0,317.0,298.0,316.0,316.0,2116322
2020-01-23,315.0,332.0,312.0,321.0,321.0,1529140
2020-01-24,320.0,332.0,320.0,329.0,329.0,984260
2020-01-27,335.0,335.0,312.0,318.0,318.0,952160
2020-01-28,312.0,321.0,275.0,275.0,275.0,3598790
2020-01-29,278.0,284.0,259.0,278.0,278.0,3040517
2020-01-30,274.0,301.0,271.0,282.0,282.0,2660579
2020-01-31,281.0,281.0,258.0,274.0,274.0,1464916
2020-02-03,274.0,279.0,257.0,266.0,266.0,1940282
2020-02-04,278.0,269.0,254.0,262.0,262.0,1210864
2020-02-05,270.0,270.0,257.0,261.0,261.0,271154
2020-02-06,258.0,270.0,255.0,258.0,258.0,580219
2020-02-07,262.0,266.0,253.0,258.0,258.0,1207491
2020-02-10,264.0,264.0,252.0,255.0,255.0,669377
2020-02-11,252.0,260.0,225.0,242.0,242.0,13602594
2020-02-12,250.0,250.0,238.0,243.0,243.0,1658050
2020-02-13,248.0,248.0,231.0,234.0,234.0,2175805
2020-02-14,230.0,258.0,220.0,248.0,248.0,13765205
2020-02-17,250.0,267.0,250.0,258.0,258.0,1499507
2020-02-18,260.0,263.0,239.0,253.0,253.0,1976417
2020-02-19,245.0,260.0,242.0,255.0,255.0,1030311
2020-02-20,255.0,263.0,250.0,259.0,259.0,1966123
2020-02-21,256.0,264.0,251.0,264.0,264.0,4010797
2020-02-24,265.0,270.0,249.0,259.0,259.0,2114439
2020-02-25,265.0,265.0,255.0,260.0,260.0,2465264
2020-02-26,264.0,264.0,241.0,254.0,254.0,1253348
2020-02-27,256.0,256.0,239.0,245.0,245.0,1858769
2020-02-28,244.0,252.0,236.0,248.0,248.0,3302813
2020-03-02,255.0,269.0,238.0,238.0,238.0,909791
2020-03-03,240.0,245.0,225.0,230.0,230.0,1110645
2020-03-04,234.0,250.0,230.0,249.0,249.0,769018
2020-03-05,239.0,250.0,239.0,245.0,245.0,10974949
2020-03-06,245.0,256.0,240.0,255.0,255.0,2469716
2020-03-09,245.0,249.0,235.0,243.0,243.0,2549219
2020-03-10,243.0,254.0,230.0,245.0,245.0,1146029
2020-03-11,250.0,250.0,241.0,245.0,245.0,1579475
2020-03-12,244.0,245.0,203.0,203.0,203.0,2296448
2020-03-13,202.0,230.0,202.0,215.0,215.0,1735189
2020-03-16,211.0,211.0,180.0,200.0,200.0,4149599
2020-03-17,210.0,211.0,190.0,190.0,190.0,2149864
2020-03-18,192.0,198.0,176.0,198.0,198.0,3406202
2020-03-19,203.0,209.0,180.0,185.0,185.0,1816790
2020-03-20,200.0,199.0,180.0,182.0,182.0,4660203
2020-03-23,184.0,184.0,158.0,164.0,164.0,1798391
2020-03-24,166.0,175.0,157.0,165.0,165.0,1835696
2020-03-25,169.0,174.0,154.0,161.0,161.0,1401655
2020-03-26,167.0,167.0,155.0,156.0,156.0,1812998
2020-03-27,163.0,166.0,155.0,166.0,166.0,2575842
2020-03-30,167.0,178.0,152.0,176.0,176.0,2411906
2020-03-31,176.0,176.0,167.0,172.0,172.0,2824447
2020-04-01,172.0,174.0,163.0,174.0,174.0,2741835
2020-04-02,175.0,182.0,166.0,172.0,172.0,2519532
2020-04-03,172.0,178.0,163.0,175.0,175.0,3595275
2020-04-06,180.0,190.0,174.0,189.0,189.0,4957427
2020-04-07,190.0,200.0,180.0,184.0,184.0,2838675
2020-04-08,184.0,197.0,175.0,180.0,180.0,3079434
2020-04-09,185.0,204.0,185.0,201.0,201.0,1187224
2020-04-14,199.0,215.0,190.0,204.0,204.0,1628824
