Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,20456.0,21030.0,20451.0,20550.0,17867.03125,464134
2020-01-03,20201.0,20635.0,20112.0,20563.0,17878.330078125,328702
2020-01-06,20100.0,20430.0,19606.0,20305.0,17654.015625,348843
2020-01-07,19950.0,20747.0,20015.0,20408.0,17743.568359375,620722
2020-01-08,20405.0,20493.0,19947.0,20493.0,17817.46875,414758
2020-01-09,20550.0,21725.0,20550.0,21650.0,18823.416015625,877252
2020-01-10,21400.0,21641.0,21207.0,21439.0,18639.962890625,523860
2020-01-13,21700.0,21695.0,21265.0,21476.0,18672.130859375,473376
2020-01-14,21090.0,21865.0,21280.0,21865.0,19010.34375,933903
2020-01-15,21900.0,22296.0,21791.0,22209.0,19309.431640625,663744
2020-01-16,22220.0,22298.0,21938.0,22122.0,19233.791015625,786551
2020-01-17,21831.0,22491.0,21974.0,22470.0,19536.357421875,969936
2020-01-20,22470.0,22617.0,22275.0,22355.0,19436.37109375,432579
2020-01-21,22001.0,22286.0,21950.0,22238.0,19334.646484375,534036
2020-01-22,22001.0,22554.0,22136.0,22135.0,19245.09375,577542
2020-01-23,22000.0,22200.0,21712.0,21944.0,19079.029296875,436811
2020-01-24,22006.0,22220.0,21938.0,22124.0,19235.52734375,633203
2020-01-27,22085.0,22084.0,21296.0,21432.0,18633.876953125,583655
2020-01-28,21291.0,21518.0,21020.0,21250.0,18475.63671875,902095
2020-01-29,21050.0,21475.0,21091.0,21200.0,18432.166015625,1159380
2020-01-30,21250.0,21257.0,20714.0,21234.0,18461.728515625,457609
2020-01-31,21108.0,21192.0,20689.0,20700.0,17997.447265625,895879
2020-02-03,20601.0,21000.0,20623.0,20733.0,18026.138671875,518338
2020-02-04,21250.0,21080.0,20730.0,20994.0,18253.060546875,1046375
2020-02-05,21001.0,21566.0,20878.0,21566.0,18750.38671875,932419
2020-02-06,21500.0,21852.0,21587.0,21679.0,18848.62890625,324889
2020-02-07,21700.0,21687.0,21364.0,21545.0,18732.123046875,751099
2020-02-10,21999.0,21999.0,21153.0,21330.0,18545.193359375,878560
2020-02-11,21200.0,21500.0,21199.0,21358.0,18569.5390625,656110
2020-02-12,21540.0,21950.0,21278.0,21750.0,18910.359375,1247878
2020-02-13,22000.0,21941.0,21409.0,21650.0,18823.416015625,1009774
2020-02-14,21705.0,21728.0,21345.0,21565.0,18749.513671875,384293
2020-02-17,21500.0,21740.0,21440.0,21512.0,18703.43359375,550227
2020-02-18,21512.0,21674.0,21070.0,21276.0,18498.2421875,883187
2020-02-19,21054.0,21375.0,20867.0,21026.0,18280.884765625,930241
2020-02-20,20900.0,21071.0,18810.0,19941.0,17337.541015625,1797943
2020-02-21,19101.0,19792.0,18635.0,18806.0,16350.720703125,2313397
2020-02-24,18501.0,18563.0,18034.0,18250.0,15867.3125,2201376
2020-02-25,18250.0,18520.0,17985.0,18125.0,15758.6328125,1129578
