Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,440.0,440.0,440.0,440.0,432.58056640625,2
2020-01-03,440.0,440.0,440.0,440.0,432.58056640625,500
2020-01-06,440.0,440.0,440.0,440.0,432.58056640625,0
2020-01-07,320.0,376.0,316.0,316.0,310.6715087890625,34297
2020-01-08,350.0,350.0,330.0,350.0,344.0981750488281,26380
2020-01-09,350.0,350.0,350.0,350.0,344.0981750488281,0
2020-01-10,343.0,343.0,342.0,342.0,336.23309326171875,3600
2020-01-13,341.0,342.0,310.0,310.0,304.7726745605469,5434
2020-01-14,310.0,342.0,286.0,300.0,294.9413146972656,275529
2020-01-15,300.0,300.0,256.0,300.0,294.9413146972656,37392
2020-01-16,285.0,300.0,272.0,300.0,294.9413146972656,35144
2020-01-17,300.0,300.0,300.0,300.0,294.9413146972656,0
2020-01-20,252.0,300.0,252.0,300.0,294.9413146972656,25528
2020-01-21,290.0,290.0,290.0,290.0,285.10992431640625,1277
2020-01-22,252.0,290.0,252.0,290.0,285.10992431640625,1750
2020-01-23,290.0,290.0,290.0,290.0,285.10992431640625,0
2020-01-24,290.0,300.0,290.0,300.0,294.9413146972656,643
2020-01-27,285.0,290.0,280.0,290.0,285.10992431640625,3350
2020-01-28,290.0,290.0,280.0,280.0,275.2785339355469,2061
2020-01-29,280.0,280.0,280.0,280.0,275.2785339355469,0
2020-01-30,250.0,279.0,250.0,275.0,270.36285400390625,10290
2020-01-31,270.0,270.0,211.0,249.0,244.80128479003906,9333
2020-02-03,240.0,250.0,188.0,234.0,230.05421447753906,23415
2020-02-04,219.0,234.0,188.0,230.0,226.1216583251953,39332
2020-02-05,234.0,248.0,234.0,248.0,243.81814575195312,2824
2020-02-06,248.0,248.0,248.0,248.0,243.81814575195312,0
2020-02-07,248.0,248.0,248.0,248.0,243.81814575195312,0
2020-02-10,235.0,288.0,230.0,230.0,226.1216583251953,12637
2020-02-11,285.0,285.0,263.0,264.0,259.54833984375,5618
