Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1923.0,1940.0,1923.0,1939.0,1711.543701171875,588436
2020-01-03,1933.0,1940.0,1920.0,1932.0,1705.36474609375,893407
2020-01-06,1928.0,1931.0,1912.0,1917.0,1692.1243896484375,2257854
2020-01-07,1905.0,1917.0,1888.0,1900.0,1677.11865234375,1448774
2020-01-08,1876.0,1935.0,1865.0,1880.0,1659.46484375,785053
2020-01-09,1870.0,1875.0,1860.0,1868.0,1648.87255859375,1354328
2020-01-10,1866.0,1936.0,1865.0,1880.0,1659.46484375,1311766
2020-01-13,1863.0,1880.0,1863.0,1880.0,1659.46484375,998970
2020-01-14,1870.0,1901.0,1875.0,1900.0,1677.11865234375,1260204
2020-01-15,1870.0,1948.0,1877.0,1882.0,1661.230224609375,1176922
2020-01-16,1871.0,1909.0,1871.0,1888.0,1666.5263671875,1037723
2020-01-17,1911.0,1911.0,1871.0,1878.0,1657.6993408203125,858701
2020-01-20,1878.0,1878.0,1864.0,1865.0,1646.224365234375,1419305
2020-01-21,1894.0,1894.0,1850.0,1857.0,1639.162841796875,2991872
2020-01-22,1800.0,1920.0,1705.0,1851.0,1633.8665771484375,1182967
2020-01-23,1850.0,1873.0,1849.0,1852.0,1634.749267578125,1115923
2020-01-24,1856.0,1861.0,1845.0,1845.0,1628.5704345703125,652841
2020-01-27,1835.0,1848.0,1830.0,1832.0,1617.0953369140625,1163811
2020-01-28,1830.0,1848.0,1809.0,1820.0,1606.5030517578125,1523183
2020-01-29,1820.0,1836.0,1820.0,1829.0,1614.4473876953125,4374348
2020-01-30,1830.0,1898.0,1826.0,1850.0,1632.98388671875,10478283
2020-01-31,1850.0,1854.0,1832.0,1845.0,1628.5704345703125,7178815
2020-02-03,1840.0,1840.0,1819.0,1825.0,1610.9166259765625,2993830
2020-02-04,1796.0,1838.0,1796.0,1828.0,1613.564697265625,5199997
2020-02-05,1826.0,1830.0,1811.0,1829.0,1614.4473876953125,2660252
2020-02-06,1821.0,1835.0,1820.0,1830.0,1615.330078125,2037789
2020-02-07,1827.0,1837.0,1815.0,1830.0,1615.330078125,5806946
2020-02-10,1840.0,1859.0,1785.0,1785.0,1575.6087646484375,5649534
2020-02-11,1759.0,1796.0,1740.0,1749.0,1543.8319091796875,2258889
2020-02-12,1700.0,1739.0,1650.0,1679.0,1482.0433349609375,6662607
2020-02-13,1657.0,1679.0,1575.0,1674.0,1477.6297607421875,12722728
2020-02-14,1678.0,1744.0,1670.0,1744.0,1539.41845703125,3647613
2020-02-17,1761.0,1783.0,1701.0,1770.0,1562.368408203125,2218491
2020-02-18,1770.0,1772.0,1741.0,1752.0,1546.47998046875,1873543
2020-02-19,1764.0,1768.0,1744.0,1768.0,1560.6031494140625,1818331
2020-02-20,1747.0,1763.0,1715.0,1760.0,1553.54150390625,4107691
