Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,350.0,350.0,350.0,350.0,350.0,19
2020-01-03,302.0,326.0,302.0,304.0,304.0,56600
2020-01-06,304.0,335.0,304.0,304.0,304.0,4779
2020-01-07,304.0,334.0,304.0,334.0,334.0,16173
2020-01-08,300.0,342.0,300.0,342.0,342.0,6746
2020-01-09,300.0,300.0,300.0,300.0,300.0,1071
2020-01-10,332.0,332.0,332.0,332.0,332.0,2000
2020-01-13,300.0,328.0,300.0,300.0,300.0,2214
2020-01-14,300.0,329.0,300.0,300.0,300.0,3939
2020-01-15,300.0,325.0,300.0,325.0,325.0,17736
2020-01-16,318.0,318.0,300.0,315.0,315.0,5155
2020-01-17,315.0,315.0,310.0,310.0,310.0,2148
2020-01-20,300.0,315.0,300.0,315.0,315.0,7823
2020-01-21,315.0,315.0,315.0,315.0,315.0,0
2020-01-22,315.0,315.0,300.0,300.0,300.0,61453
2020-01-23,300.0,300.0,299.0,300.0,300.0,13390
2020-01-24,270.0,289.0,260.0,285.0,285.0,35712
2020-01-27,285.0,290.0,270.0,270.0,270.0,11851
2020-01-28,295.0,300.0,270.0,290.0,290.0,37256
2020-01-29,295.0,300.0,290.0,300.0,300.0,6999
2020-01-30,318.0,318.0,318.0,318.0,318.0,500
2020-01-31,315.0,319.0,315.0,319.0,319.0,11600
2020-02-03,314.0,315.0,314.0,315.0,315.0,738
2020-02-04,318.0,318.0,270.0,318.0,318.0,2924
2020-02-05,318.0,318.0,257.0,304.0,304.0,16485
2020-02-06,284.0,284.0,280.0,284.0,284.0,25000
2020-02-07,263.0,263.0,261.0,262.0,262.0,49000
2020-02-10,263.0,263.0,249.0,259.0,259.0,62825
2020-02-11,237.0,255.0,237.0,249.0,249.0,3418
2020-02-12,250.0,251.0,239.0,250.0,250.0,348067
2020-02-13,250.0,250.0,250.0,250.0,250.0,10000
2020-02-14,250.0,260.0,250.0,250.0,250.0,35725
2020-02-17,251.0,290.0,250.0,275.0,275.0,165574
2020-02-18,245.0,269.0,235.0,245.0,245.0,131216
2020-02-19,245.0,250.0,245.0,245.0,245.0,7440
2020-02-20,245.0,245.0,245.0,245.0,245.0,0
2020-02-21,240.0,260.0,244.0,260.0,260.0,229627
2020-02-24,260.0,260.0,260.0,260.0,260.0,0
2020-02-25,260.0,260.0,257.0,257.0,257.0,1599
2020-02-26,260.0,260.0,260.0,260.0,260.0,100
2020-02-27,246.0,260.0,246.0,260.0,260.0,696
2020-02-28,245.0,279.0,239.0,279.0,279.0,22011
2020-03-02,243.0,270.0,243.0,270.0,270.0,4638
2020-03-03,270.0,270.0,270.0,270.0,270.0,596
2020-03-04,270.0,270.0,265.0,270.0,270.0,7706
2020-03-05,265.0,265.0,265.0,265.0,265.0,3000
2020-03-06,270.0,272.0,270.0,272.0,272.0,11981
2020-03-09,248.0,265.0,239.0,265.0,265.0,16207
2020-03-10,252.0,270.0,252.0,270.0,270.0,28180
2020-03-11,270.0,270.0,270.0,270.0,270.0,0
2020-03-12,211.0,250.0,211.0,250.0,250.0,35982
2020-03-13,270.0,270.0,230.0,269.0,269.0,32100
2020-03-16,269.0,269.0,269.0,269.0,269.0,0
2020-03-17,269.0,269.0,269.0,269.0,269.0,700
2020-03-18,199.0,255.0,199.0,255.0,255.0,38868
2020-03-19,252.0,252.0,252.0,252.0,252.0,1480
2020-03-20,252.0,252.0,252.0,252.0,252.0,0
2020-03-23,252.0,252.0,252.0,252.0,252.0,0
2020-03-24,200.0,221.0,200.0,221.0,221.0,32783
2020-03-25,221.0,221.0,220.0,220.0,220.0,35014
2020-03-26,220.0,220.0,220.0,220.0,220.0,1849
2020-03-27,220.0,245.0,220.0,245.0,245.0,45273
2020-03-30,245.0,245.0,245.0,245.0,245.0,0
2020-03-31,219.0,245.0,219.0,227.0,227.0,40672
2020-04-01,227.0,227.0,227.0,227.0,227.0,0
2020-04-02,200.0,230.0,200.0,228.0,228.0,23627
2020-04-03,228.0,228.0,228.0,228.0,228.0,0
2020-04-06,224.0,224.0,224.0,224.0,224.0,2670
2020-04-07,205.0,224.0,196.0,201.0,201.0,36984
2020-04-08,220.0,219.0,201.0,205.0,205.0,26840
2020-04-09,199.0,219.0,190.0,219.0,219.0,13847
2020-04-14,219.0,219.0,219.0,219.0,219.0,11505
2020-04-15,219.0,219.0,219.0,219.0,219.0,0
2020-04-16,219.0,219.0,219.0,219.0,219.0,0
2020-04-17,200.0,217.0,190.0,208.0,208.0,45460
2020-04-20,218.0,218.0,218.0,218.0,218.0,10630
2020-04-21,205.0,218.0,200.0,218.0,218.0,27650
2020-04-22,200.0,225.0,191.0,225.0,225.0,12258
2020-04-23,215.0,225.0,182.0,218.0,218.0,33585
2020-04-24,225.0,225.0,202.0,224.0,224.0,21040
2020-04-28,225.0,225.0,225.0,225.0,225.0,50
2020-04-29,225.0,225.0,225.0,225.0,225.0,0
2020-04-30,225.0,225.0,225.0,225.0,225.0,0
2020-05-04,218.0,225.0,187.0,225.0,225.0,38484
2020-05-05,224.0,272.0,224.0,271.0,271.0,98061
2020-05-06,272.0,285.0,210.0,270.0,270.0,76111
2020-05-07,270.0,270.0,270.0,270.0,270.0,0
2020-05-08,225.0,265.0,225.0,264.0,264.0,30500
2020-05-11,264.0,264.0,264.0,264.0,264.0,0
2020-05-12,230.0,250.0,230.0,250.0,250.0,2523
2020-05-13,245.0,245.0,205.0,239.0,239.0,22058
2020-05-14,248.0,248.0,240.0,240.0,240.0,35200
2020-05-15,240.0,269.0,240.0,257.0,257.0,48152
2020-05-18,265.0,265.0,247.0,265.0,265.0,6200
2020-05-19,265.0,265.0,265.0,265.0,265.0,1544
2020-05-20,265.0,265.0,265.0,265.0,265.0,0
2020-05-21,265.0,265.0,265.0,265.0,265.0,0
2020-05-22,247.0,265.0,247.0,265.0,265.0,900
2020-05-25,265.0,265.0,265.0,265.0,265.0,0
2020-05-26,265.0,265.0,265.0,265.0,265.0,500
2020-05-27,265.0,265.0,205.0,250.0,250.0,17766
2020-05-28,247.0,265.0,247.0,264.0,264.0,5600
2020-05-29,259.0,259.0,207.0,253.0,253.0,30949
2020-06-01,205.0,254.0,205.0,247.0,247.0,10693
2020-06-02,206.0,247.0,205.0,247.0,247.0,38133
2020-06-03,248.0,248.0,248.0,248.0,248.0,126
2020-06-04,248.0,248.0,248.0,248.0,248.0,0
2020-06-05,234.0,234.0,226.0,234.0,234.0,18864
2020-06-08,225.0,225.0,222.0,222.0,222.0,8549
2020-06-09,214.0,229.0,210.0,229.0,229.0,32439
2020-06-10,229.0,229.0,205.0,219.0,219.0,20417
2020-06-11,230.0,228.0,205.0,212.0,212.0,52427
2020-06-12,205.0,205.0,170.0,205.0,205.0,72491
2020-06-15,205.0,223.0,183.0,223.0,223.0,13551
2020-06-17,234.0,234.0,230.0,230.0,230.0,1169
2020-06-18,230.0,230.0,230.0,230.0,230.0,0
2020-06-19,230.0,230.0,230.0,230.0,230.0,0
2020-06-22,230.0,230.0,230.0,230.0,230.0,0
2020-06-23,220.0,230.0,218.0,230.0,230.0,5533
2020-06-24,191.0,230.0,191.0,230.0,230.0,33159
2020-06-25,205.0,230.0,205.0,230.0,230.0,40000
2020-06-26,230.0,230.0,230.0,230.0,230.0,0
2020-06-29,230.0,230.0,230.0,230.0,230.0,0
2020-06-30,230.0,230.0,230.0,230.0,230.0,0
2020-07-01,210.0,220.0,200.0,220.0,220.0,4000
2020-07-02,220.0,220.0,220.0,220.0,220.0,0
2020-07-03,214.0,218.0,200.0,203.0,203.0,143872
2020-07-06,219.0,219.0,219.0,219.0,219.0,200
2020-07-07,185.0,209.0,185.0,205.0,205.0,4343
2020-07-08,180.0,208.0,180.0,199.0,199.0,9624
2020-07-09,180.0,199.0,180.0,199.0,199.0,7500
2020-07-10,170.0,198.0,170.0,198.0,198.0,16580
2020-07-13,198.0,198.0,198.0,198.0,198.0,0
2020-07-14,198.0,198.0,198.0,198.0,198.0,579
2020-07-15,198.0,198.0,198.0,198.0,198.0,400
2020-07-16,197.0,198.0,197.0,198.0,198.0,13658
