Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,5100.0,5197.0,4975.0,5160.0,4908.85546875,964432
2020-01-03,5265.0,5595.0,5294.0,5530.0,5260.84716796875,4527145
2020-01-06,5755.0,5864.0,5481.0,5522.0,5253.236328125,3210308
2020-01-07,5341.0,5523.0,5323.0,5477.0,5210.42724609375,2213456
2020-01-08,5700.0,5818.0,5383.0,5399.0,5136.2236328125,2726445
2020-01-09,4950.0,5278.0,4732.0,5254.0,4998.28125,2511270
2020-01-10,5172.0,5330.0,5119.0,5203.0,4949.76318359375,1441487
2020-01-13,5116.0,5294.0,5124.0,5195.0,4942.15234375,725843
2020-01-14,5115.0,5142.0,4965.0,5000.0,4756.6435546875,2446720
2020-01-15,5100.0,5174.0,4995.0,5004.0,4760.4482421875,2546452
2020-01-16,5048.0,5115.0,4987.0,5055.0,4808.96630859375,1254542
2020-01-17,5085.0,5143.0,5023.0,5110.0,4861.28955078125,1580549
2020-01-20,5197.0,5280.0,5156.0,5235.0,4980.205078125,1135466
2020-01-21,5300.0,5449.0,5016.0,5046.0,4800.40478515625,1266297
2020-01-22,5100.0,5191.0,5050.0,5064.0,4817.5283203125,791651
2020-01-23,5190.0,5190.0,5024.0,5100.0,4851.7763671875,678265
2020-01-24,5120.0,5118.0,4975.0,5100.0,4851.7763671875,2027746
2020-01-27,5291.0,5433.0,5142.0,5223.0,4968.7890625,2755270
2020-01-28,5230.0,5300.0,4903.0,4923.0,4683.39111328125,3218674
2020-01-29,4850.0,4850.0,4670.0,4748.0,4516.90869140625,1796554
2020-01-30,4815.0,5000.0,4831.0,4956.0,4714.78466796875,3978457
2020-01-31,4950.0,5140.0,4930.0,5083.0,4835.60302734375,1781480
2020-02-03,4949.0,5028.0,4820.0,4909.0,4670.072265625,1856529
2020-02-04,4857.0,4950.0,4685.0,4728.0,4497.88232421875,1637995
2020-02-05,4790.0,4879.0,4641.0,4708.0,4478.85498046875,1531440
2020-02-06,4765.0,4831.0,4552.0,4570.0,4347.572265625,2074456
2020-02-07,4500.0,4734.0,4500.0,4630.0,4404.65185546875,2548934
2020-02-10,4460.0,4671.0,4452.0,4527.0,4306.6650390625,2210314
2020-02-11,4565.0,4550.0,4059.0,4180.0,3976.553466796875,4277446
2020-02-12,4200.0,4510.0,4044.0,4333.0,4122.107421875,6969597
2020-02-13,4523.0,4600.0,4316.0,4350.0,4138.279296875,4872075
