Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,8839.0,9317.0,8839.0,9257.0,9226.8037109375,40076
2020-01-03,9000.0,9365.0,8952.0,8952.0,8922.798828125,13737
2020-01-06,9011.0,9193.0,8801.0,8801.0,8772.291015625,4214
2020-01-07,9031.0,9168.0,8800.0,9094.0,9064.3359375,21717
2020-01-08,8802.0,8940.0,8802.0,8940.0,8910.837890625,1654
2020-01-09,8940.0,9087.0,8900.0,8975.0,8945.7236328125,14297
2020-01-10,9051.0,9200.0,8951.0,9000.0,8970.642578125,21486
2020-01-13,9001.0,9091.0,9000.0,9000.0,8970.642578125,5947
2020-01-14,8911.0,9277.0,8911.0,9164.0,9134.107421875,104416
2020-01-15,9000.0,9155.0,9000.0,9155.0,9125.13671875,36179
2020-01-16,9100.0,9164.0,9100.0,9162.0,9132.11328125,37976
2020-01-17,9163.0,9164.0,9100.0,9100.0,9070.31640625,26933
2020-01-20,9101.0,9150.0,9100.0,9105.0,9075.2998046875,27871
2020-01-21,9200.0,9200.0,9002.0,9100.0,9070.31640625,102269
2020-01-22,9100.0,9100.0,8822.0,8850.0,8821.1318359375,39246
2020-01-23,8975.0,9150.0,8842.0,8999.0,8969.6455078125,18996
2020-01-24,8959.0,9111.0,8800.0,8800.0,8771.294921875,43551
2020-01-27,8800.0,8995.0,8650.0,8800.0,8771.294921875,8489
2020-01-28,8799.0,8800.0,8699.0,8750.0,8721.4580078125,18599
2020-01-29,8604.0,9000.0,8604.0,9000.0,8970.642578125,10457
2020-01-30,8995.0,9000.0,8749.0,8778.0,8749.3662109375,35690
2020-01-31,8741.0,8887.0,8741.0,8801.0,8772.291015625,29855
2020-02-03,8850.0,8904.0,8651.0,8887.0,8858.0107421875,8932
2020-02-04,8887.0,8888.0,8000.0,8499.0,8471.2763671875,91228
2020-02-05,8500.0,8925.0,8300.0,8500.0,8472.2734375,136584
2020-02-06,8401.0,8699.0,8401.0,8620.0,8591.8818359375,10401
2020-02-07,8620.0,8620.0,8053.0,8158.0,8131.388671875,45537
2020-02-10,8416.0,8420.0,8251.0,8379.0,8351.66796875,26930
2020-02-11,8380.0,8600.0,8161.0,8346.0,8318.775390625,39655
2020-02-12,8350.0,8577.0,7856.0,8101.0,8074.57470703125,26443
2020-02-13,8399.0,8399.0,8000.0,8100.0,8073.578125,156543
2020-02-14,8099.0,8396.0,7926.0,8035.0,8008.7900390625,52526
2020-02-17,8003.0,8197.0,7600.0,7883.0,7857.28564453125,222157
2020-02-18,8000.0,7902.0,7733.0,7812.0,7786.517578125,131533
2020-02-19,7900.0,7900.0,7646.0,7800.0,7774.556640625,24459
2020-02-20,8000.0,7937.0,7700.0,7800.0,7774.556640625,17931
2020-02-21,7700.0,7999.0,7590.0,7709.0,7683.853515625,25675
2020-02-24,7650.0,7790.0,7535.0,7535.0,7510.4208984375,24022
2020-02-25,7649.0,7649.0,7252.0,7436.0,7411.74365234375,596235
2020-02-26,7252.0,7649.0,6952.0,7437.0,7412.74072265625,511884
2020-02-27,7399.0,7575.0,7350.0,7549.0,7524.37548828125,20444
2020-02-28,7467.0,7700.0,6851.0,7278.0,7254.25927734375,240492
2020-03-02,7599.0,7926.0,7302.0,7388.0,7363.900390625,57027
2020-03-03,7550.0,7600.0,7328.0,7400.0,7375.861328125,17895
2020-03-04,7258.0,7450.0,7258.0,7400.0,7375.861328125,40232
2020-03-05,7300.0,7945.0,7250.0,7349.0,7325.02783203125,64522
2020-03-06,7550.0,7900.0,7251.0,7350.0,7326.0244140625,20041
2020-03-09,7075.0,7097.0,6856.0,6995.0,6972.1826171875,42425
2020-03-10,6955.0,7100.0,6955.0,7097.0,7073.849609375,15129
2020-03-11,6993.0,6993.0,6623.0,6801.0,6778.8154296875,8319
