Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,225.0,253.0,225.0,252.0,156.93128967285156,26500
2020-01-03,218.0,218.0,218.0,218.0,135.75802612304688,10201
2020-01-06,205.0,225.0,195.0,224.0,139.49447631835938,183765
2020-01-07,215.0,224.0,210.0,224.0,139.49447631835938,555706
2020-01-08,224.0,224.0,224.0,224.0,139.49447631835938,1623
2020-01-09,230.0,230.0,215.0,225.0,140.1172332763672,258117
2020-01-10,220.0,225.0,194.0,225.0,140.1172332763672,2397
2020-01-13,200.0,220.0,200.0,215.0,133.88980102539062,359999
2020-01-14,215.0,238.0,215.0,220.0,137.00350952148438,31218
2020-01-15,220.0,240.0,220.0,222.0,138.24899291992188,85643
2020-01-16,225.0,225.0,225.0,225.0,140.1172332763672,3636
2020-01-17,225.0,230.0,225.0,230.0,143.23094177246094,2248639
2020-01-20,226.0,230.0,201.0,230.0,143.23094177246094,18234
2020-01-21,251.0,251.0,226.0,230.0,143.23094177246094,68803
2020-01-22,226.0,230.0,226.0,230.0,143.23094177246094,32318
2020-01-23,230.0,250.0,230.0,250.0,155.68580627441406,2889083
2020-01-24,245.0,250.0,231.0,231.0,143.8536834716797,34679
2020-01-27,230.0,239.0,230.0,239.0,148.83563232421875,26411
2020-01-28,226.0,226.0,225.0,225.0,140.1172332763672,68997
2020-01-29,220.0,225.0,211.0,214.0,133.2670440673828,33504
2020-01-30,214.0,225.0,213.0,225.0,140.1172332763672,35607
2020-01-31,220.0,225.0,220.0,220.0,137.00350952148438,196169
2020-02-03,217.0,230.0,215.0,230.0,143.23094177246094,15177
2020-02-04,229.0,230.0,204.0,215.0,133.88980102539062,27680
2020-02-05,224.0,225.0,204.0,225.0,140.1172332763672,115217
2020-02-06,224.0,225.0,216.0,217.0,135.13528442382812,14810
2020-02-07,216.0,217.0,215.0,217.0,135.13528442382812,78430
2020-02-10,215.0,217.0,215.0,215.0,133.88980102539062,46827
2020-02-11,210.0,221.0,210.0,220.0,137.00350952148438,632289
2020-02-12,205.0,220.0,205.0,215.0,133.88980102539062,218606
2020-02-13,215.0,232.0,215.0,216.0,134.5125274658203,241848
2020-02-14,215.0,220.0,215.0,220.0,137.00350952148438,154778
2020-02-17,215.0,220.0,211.0,215.0,133.88980102539062,82015
2020-02-18,215.0,225.0,211.0,220.0,137.00350952148438,236042
2020-02-19,225.0,225.0,211.0,215.0,133.88980102539062,75357
2020-02-20,211.0,220.0,211.0,220.0,137.00350952148438,138212
2020-02-21,225.0,221.0,211.0,220.0,137.00350952148438,158541
2020-02-24,215.0,220.0,215.0,215.0,133.88980102539062,44189
2020-02-25,215.0,215.0,215.0,215.0,133.88980102539062,6538
2020-02-26,215.0,220.0,195.0,215.0,133.88980102539062,1047116
2020-02-27,210.0,220.0,200.0,220.0,137.00350952148438,23366
2020-02-28,200.0,215.0,170.0,170.0,105.86634826660156,2356088
2020-03-02,180.0,215.0,181.0,205.0,127.662353515625,244686
2020-03-03,201.0,205.0,181.0,200.0,124.54864501953125,33845
2020-03-04,200.0,200.0,190.0,200.0,124.54864501953125,709606
2020-03-05,200.0,200.0,179.0,180.0,112.0937728881836,12528
2020-03-06,180.0,198.0,179.0,198.0,123.30316162109375,27903
2020-03-09,187.0,199.0,186.0,199.0,123.9259033203125,6171
2020-03-10,199.0,199.0,187.0,199.0,123.9259033203125,27895
2020-03-11,199.0,200.0,186.0,200.0,124.54864501953125,776816
2020-03-12,200.0,200.0,190.0,190.0,118.32121276855469,394644
2020-03-13,190.0,195.0,190.0,195.0,121.43492889404297,121082
2020-03-16,190.0,191.0,186.0,190.0,118.32121276855469,238486
2020-03-17,200.0,189.0,186.0,190.0,118.32121276855469,180180
2020-03-18,189.0,190.0,189.0,190.0,118.32121276855469,3758
2020-03-19,190.0,200.0,191.0,191.0,118.94395446777344,12954
2020-03-20,191.0,191.0,190.0,191.0,118.94395446777344,7121
2020-03-23,191.0,192.0,190.0,190.0,118.32121276855469,100994
2020-03-24,189.0,200.0,189.0,200.0,124.54864501953125,3303
2020-03-25,184.0,190.0,111.0,190.0,118.32121276855469,169305
2020-03-26,190.0,190.0,190.0,190.0,118.32121276855469,0
2020-03-27,175.0,189.0,175.0,189.0,117.69845581054688,7058
2020-03-30,185.0,193.0,185.0,186.0,115.8302230834961,42267
2020-03-31,185.0,190.0,190.0,190.0,118.32121276855469,62752
2020-04-01,192.0,192.0,190.0,191.0,118.94395446777344,4470988
2020-04-02,176.0,190.0,175.0,190.0,118.32121276855469,13082
2020-04-03,165.0,165.0,153.0,153.0,95.27971649169922,13425
2020-04-06,155.0,190.0,152.0,152.0,94.6569595336914,24272
2020-04-07,190.0,190.0,160.0,160.0,99.63890838623047,3812
2020-04-08,152.0,190.0,152.0,190.0,118.32121276855469,13254
2020-04-09,190.0,190.0,155.0,159.0,99.01616668701172,136800
2020-04-14,161.0,189.0,148.0,148.0,92.1659927368164,98361
2020-04-15,149.0,155.0,149.0,150.0,93.41148376464844,60855
2020-04-16,150.0,150.0,150.0,150.0,93.41148376464844,0
2020-04-17,189.0,188.0,153.0,165.0,102.75263214111328,4382
2020-04-20,189.0,189.0,185.0,188.0,117.07572937011719,12412
2020-04-21,190.0,190.0,170.0,170.0,105.86634826660156,9570
2020-04-22,190.0,190.0,153.0,153.0,95.27971649169922,6596
2020-04-23,154.0,187.0,153.0,187.0,116.4529800415039,9247
2020-04-24,159.0,164.0,159.0,160.0,99.63890838623047,121273
2020-04-28,160.0,160.0,154.0,160.0,99.63890838623047,132835
2020-04-29,160.0,160.0,155.0,160.0,99.63890838623047,106414
2020-04-30,158.0,158.0,148.0,148.0,92.1659927368164,21225
2020-05-04,150.0,158.0,148.0,158.0,98.3934326171875,6522
2020-05-05,158.0,159.0,141.0,159.0,99.01616668701172,6810
2020-05-06,159.0,159.0,141.0,150.0,93.41148376464844,85288
2020-05-07,141.0,141.0,141.0,141.0,87.80679321289062,434
2020-05-08,123.0,127.0,125.0,125.0,77.84290313720703,7947
2020-05-11,118.0,121.0,112.0,116.0,72.23821258544922,17582
2020-05-12,118.0,125.0,105.0,105.0,65.3880386352539,3643953
2020-05-13,105.0,115.0,101.0,101.0,62.89706039428711,37390
2020-05-14,101.0,110.0,88.0,99.0,61.651580810546875,145180
2020-05-15,99.0,99.0,95.0,99.0,61.651580810546875,318780
2020-05-18,99.0,99.0,94.0,99.0,61.651580810546875,2194
2020-05-19,99.0,100.0,98.0,100.0,62.274322509765625,127195
2020-05-20,95.0,100.0,95.0,96.0,59.783348083496094,29518
2020-05-21,102.0,102.0,90.0,90.0,56.0468864440918,15816
2020-05-22,91.0,95.0,90.0,90.0,56.0468864440918,101627
2020-05-25,91.0,91.0,91.0,91.0,56.66963195800781,3172
2020-05-26,88.0,93.0,82.0,93.0,57.91511154174805,10419
2020-05-27,86.0,90.0,86.0,86.0,53.555912017822266,4496
2020-05-28,86.0,112.0,86.0,112.0,69.74723815917969,468612
2020-05-29,92.0,110.0,92.0,100.0,62.274322509765625,230284
2020-06-01,92.0,92.0,86.0,88.0,54.801395416259766,201994
2020-06-02,88.0,93.0,88.0,90.0,56.0468864440918,435047
2020-06-03,90.0,92.0,87.0,90.0,56.0468864440918,310254
2020-06-04,90.0,90.0,89.0,90.0,56.0468864440918,201800
2020-06-05,89.0,90.0,89.0,89.0,55.42414855957031,45569
2020-06-08,109.0,93.0,89.0,90.0,56.0468864440918,2492606
2020-06-09,90.0,109.0,90.0,106.0,66.01078033447266,9205122
2020-06-10,105.0,115.0,99.0,115.0,71.61547088623047,171330
2020-06-11,115.0,115.0,96.0,100.0,62.274322509765625,66404
2020-06-12,110.0,110.0,90.0,90.0,56.0468864440918,123905
2020-06-15,92.0,98.0,92.0,98.0,61.02883529663086,27918
2020-06-17,101.0,102.0,101.0,102.0,63.51980972290039,649
2020-06-18,105.0,120.0,105.0,120.0,74.72917938232422,60999
2020-06-19,121.0,121.0,120.0,120.0,74.72917938232422,48920
2020-06-22,92.0,120.0,92.0,120.0,74.72917938232422,193
2020-06-23,103.0,120.0,100.0,105.0,65.3880386352539,27984
2020-06-24,100.0,110.0,101.0,110.0,68.50175476074219,36117
2020-06-25,110.0,110.0,105.0,110.0,68.50175476074219,17203
2020-06-26,92.0,125.0,92.0,125.0,77.84290313720703,32057
2020-06-29,123.0,124.0,112.0,124.0,77.22015380859375,62422
2020-06-30,105.0,124.0,107.0,113.0,70.36998748779297,491628
2020-07-01,114.0,114.0,98.0,100.0,62.274322509765625,58054
2020-07-02,101.0,113.0,98.0,113.0,70.36998748779297,779221
2020-07-03,101.0,105.0,101.0,101.0,62.89706039428711,88445
2020-07-06,101.0,101.0,101.0,101.0,62.89706039428711,10413
2020-07-07,104.0,105.0,101.0,104.0,64.76529693603516,249376
2020-07-08,104.0,118.0,102.0,118.0,73.48369598388672,103532
2020-07-09,118.0,120.0,98.0,100.0,62.274322509765625,1885
2020-07-10,101.0,107.0,101.0,107.0,66.6335220336914,7494
2020-07-13,120.0,120.0,104.0,110.0,68.50175476074219,5774
2020-07-14,104.0,120.0,104.0,115.0,71.61547088623047,3989
2020-07-15,104.0,116.0,104.0,115.0,71.61547088623047,73182
2020-07-16,104.0,104.0,101.0,104.0,64.76529693603516,3105
2020-07-17,106.0,106.0,95.0,98.0,61.02883529663086,546908
2020-07-20,98.0,100.0,98.0,98.0,61.02883529663086,154580
2020-07-21,98.0,101.0,98.0,100.0,62.274322509765625,124332
2020-07-22,98.0,100.0,98.0,100.0,62.274322509765625,258725
2020-07-23,98.0,100.0,93.0,100.0,62.274322509765625,104714
2020-07-24,98.0,100.0,86.0,88.0,54.801395416259766,709911
2020-07-27,89.0,99.0,88.0,90.0,56.0468864440918,3267
2020-07-28,100.0,100.0,89.0,89.0,55.42414855957031,17132
2020-07-29,89.0,90.0,81.0,81.0,50.44219970703125,52366
2020-07-30,86.0,86.0,77.0,80.0,49.819454193115234,95277
2020-07-31,80.0,81.0,75.0,80.0,49.819454193115234,223300
2020-08-03,75.0,75.0,75.0,75.0,46.70574188232422,21746
2020-08-04,74.0,85.0,73.0,74.0,46.0829963684082,76912
2020-08-05,73.0,80.0,71.0,80.0,49.819454193115234,1665
2020-08-06,75.0,75.0,69.0,69.0,42.96928405761719,61937
2020-08-07,68.0,71.0,68.0,71.0,44.21477127075195,2660
2020-08-11,79.0,80.0,68.0,75.0,46.70574188232422,94252
2020-08-12,78.0,78.0,69.0,71.0,44.21477127075195,15460
2020-08-13,71.0,80.0,71.0,78.0,48.573970794677734,3909
2020-08-14,76.0,78.0,73.0,78.0,48.573970794677734,4221
2020-08-17,71.0,78.0,71.0,76.0,47.3284797668457,37305
2020-08-18,72.0,76.0,72.0,72.0,44.83750915527344,27234
2020-08-19,73.0,73.0,71.0,73.0,45.46025466918945,125977
2020-08-20,68.0,68.0,68.0,68.0,42.34653854370117,1583
2020-08-21,68.0,70.0,68.0,70.0,43.59202194213867,980
2020-08-24,67.0,69.0,66.0,69.0,42.96928405761719,54893
2020-08-25,69.0,78.0,65.0,65.0,40.478309631347656,40970
2020-08-26,66.0,70.0,66.0,70.0,43.59202194213867,109133
2020-08-27,65.0,70.0,65.0,70.0,43.59202194213867,69094
2020-08-28,70.0,75.0,70.0,72.0,44.83750915527344,119459
2020-08-31,66.0,90.0,66.0,68.0,42.34653854370117,39705
2020-09-01,67.0,67.0,67.0,67.0,41.72379684448242,4699
2020-09-02,67.0,67.0,67.0,67.0,41.72379684448242,1663
2020-09-03,66.0,70.0,66.0,68.0,42.34653854370117,976
2020-09-04,67.0,70.0,64.0,64.0,39.85556411743164,85136
2020-09-07,66.0,66.0,64.0,65.0,40.478309631347656,108469
