Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,395.0,412.0,395.0,400.0,371.82208251953125,51782
2020-01-03,395.0,395.0,395.0,395.0,367.17431640625,191
2020-01-06,403.0,403.0,395.0,395.0,367.17431640625,2500
2020-01-07,404.0,410.0,400.0,400.0,371.82208251953125,60995
2020-01-08,398.0,409.0,396.0,396.0,368.1038513183594,10810
2020-01-09,409.0,409.0,396.0,396.0,368.1038513183594,2830
2020-01-10,409.0,409.0,393.0,396.0,368.1038513183594,32999
2020-01-13,396.0,408.0,393.0,396.0,368.1038513183594,15296
2020-01-14,396.0,413.0,396.0,396.0,368.1038513183594,11109
2020-01-15,379.0,379.0,357.0,379.0,361.42840576171875,46106
2020-01-16,379.0,379.0,379.0,379.0,361.42840576171875,2165
2020-01-17,373.0,365.0,353.0,360.0,343.3092956542969,159537
2020-01-20,360.0,370.0,355.0,360.0,343.3092956542969,23550
2020-01-21,360.0,365.0,356.0,356.0,339.4947204589844,28021
2020-01-22,377.0,377.0,356.0,369.0,351.89202880859375,85186
2020-01-23,360.0,360.0,353.0,353.0,336.63385009765625,162500
2020-01-24,353.0,370.0,353.0,355.0,338.5411071777344,2690
2020-01-27,374.0,374.0,355.0,360.0,343.3092956542969,139252
2020-01-28,360.0,360.0,350.0,360.0,343.3092956542969,67282
2020-01-29,360.0,360.0,355.0,360.0,343.3092956542969,204401
2020-01-30,360.0,360.0,352.0,355.0,338.5411071777344,216986
2020-01-31,351.0,351.0,345.0,346.0,329.9583740234375,635411
2020-02-03,357.0,357.0,357.0,357.0,340.4483642578125,5240
2020-02-04,352.0,360.0,352.0,360.0,343.3092956542969,163966
2020-02-05,360.0,375.0,346.0,369.0,351.89202880859375,526732
2020-02-06,346.0,365.0,346.0,365.0,348.07745361328125,154293
2020-02-07,355.0,360.0,355.0,355.0,338.5411071777344,24150
2020-02-10,355.0,360.0,355.0,355.0,338.5411071777344,311778
2020-02-11,355.0,356.0,347.0,355.0,338.5411071777344,31453
2020-02-12,355.0,360.0,355.0,360.0,343.3092956542969,413886
2020-02-13,347.0,359.0,345.0,359.0,342.3556213378906,39343
2020-02-14,359.0,360.0,350.0,359.0,342.3556213378906,232023
2020-02-17,359.0,361.0,350.0,359.0,342.3556213378906,14946
2020-02-18,346.0,359.0,345.0,346.0,329.9583740234375,190602
2020-02-19,350.0,350.0,350.0,350.0,333.77288818359375,54364
2020-02-20,350.0,355.0,345.0,345.0,329.0047607421875,356758
2020-02-21,345.0,347.0,340.0,346.0,329.9583740234375,102883
2020-02-24,340.0,346.0,336.0,346.0,329.9583740234375,600560
2020-02-25,336.0,345.0,340.0,345.0,329.0047607421875,356414
2020-02-26,344.0,344.0,336.0,336.0,320.4220275878906,1007184
2020-02-27,340.0,340.0,336.0,336.0,320.4220275878906,14821
