Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2356.0,2399.0,2316.0,2385.0,2065.166015625,2919
2020-01-03,2332.0,2413.0,2326.0,2411.0,2087.67919921875,15246
2020-01-06,2413.0,2413.0,2303.0,2380.0,2060.8359375,63028
2020-01-07,2413.0,2520.0,2379.0,2426.0,2100.667724609375,135822
2020-01-08,2476.0,2476.0,2400.0,2402.0,2079.885986328125,22659
2020-01-09,2488.0,2488.0,2400.0,2439.0,2111.92431640625,24357
2020-01-10,2485.0,2485.0,2401.0,2417.0,2092.87451171875,55093
2020-01-13,2483.0,2518.0,2400.0,2402.0,2079.885986328125,36864
2020-01-14,2384.0,2480.0,2311.0,2389.0,2068.62939453125,112511
2020-01-15,2417.0,2450.0,2330.0,2350.0,2034.85986328125,40207
2020-01-16,2366.0,2350.0,2300.0,2323.0,2011.48046875,129616
2020-01-17,2329.0,2330.0,2300.0,2330.0,2017.5411376953125,13120
2020-01-20,2343.0,2343.0,2282.0,2330.0,2017.5411376953125,21551
2020-01-21,2300.0,2450.0,2201.0,2420.0,2095.471923828125,118028
2020-01-22,2440.0,2450.0,2330.0,2449.0,2120.583251953125,69245
2020-01-23,2450.0,2451.0,2388.0,2425.0,2099.8017578125,149907
2020-01-24,2386.0,2425.0,2330.0,2400.0,2078.154541015625,6491
2020-01-27,2340.0,2381.0,2301.0,2341.0,2027.066162109375,100523
2020-01-28,2304.0,2393.0,2304.0,2393.0,2072.093017578125,14115
2020-01-29,2371.0,2449.0,2315.0,2402.0,2079.885986328125,751098
2020-01-30,2359.0,2430.0,2336.0,2400.0,2078.154541015625,50296
2020-01-31,2389.0,2449.0,2372.0,2372.0,2053.909423828125,38761
2020-02-03,2304.0,2429.0,2304.0,2385.0,2065.166015625,28936
2020-02-04,2270.0,2434.0,2270.0,2360.0,2043.5185546875,13929
2020-02-05,2300.0,2434.0,2300.0,2434.0,2107.5947265625,341967
2020-02-06,2355.0,2410.0,2303.0,2370.0,2052.17724609375,8160
2020-02-07,2301.0,2436.0,2301.0,2436.0,2109.32666015625,57439
2020-02-10,2340.0,2469.0,2261.0,2404.0,2081.61767578125,27766
2020-02-11,2406.0,2440.0,2351.0,2404.0,2081.61767578125,50184
2020-02-12,2307.0,2399.0,2300.0,2364.0,2046.9815673828125,73626
2020-02-13,2306.0,2450.0,2306.0,2405.0,2082.483642578125,33395
2020-02-14,2414.0,2423.0,2307.0,2420.0,2095.471923828125,127381
2020-02-17,2335.0,2420.0,2304.0,2400.0,2078.154541015625,114873
2020-02-18,2310.0,2365.0,2298.0,2350.0,2034.85986328125,36888
2020-02-19,2350.0,2399.0,2252.0,2399.0,2077.288330078125,166307
2020-02-20,2399.0,2400.0,2331.0,2340.0,2026.2003173828125,82747
2020-02-21,2253.0,2323.0,2251.0,2251.0,1949.1353759765625,14680
2020-02-24,2266.0,2266.0,2150.0,2155.0,1866.00927734375,23265
2020-02-25,2151.0,2221.0,2010.0,2060.0,1783.7489013671875,53881
2020-02-26,1999.0,2141.0,1951.0,2110.0,1827.0438232421875,243076
2020-02-27,2139.0,2161.0,2096.0,2150.0,1861.679931640625,14195
2020-02-28,2072.0,2135.0,2061.0,2100.0,1818.385009765625,394365
2020-03-02,2100.0,2219.0,2097.0,2118.0,1833.9713134765625,42730
2020-03-03,2118.0,2310.0,2118.0,2200.0,1904.974609375,1456970
2020-03-04,2230.0,2300.0,2209.0,2300.0,1991.564697265625,9104
2020-03-05,2300.0,2300.0,2043.0,2165.0,1874.66845703125,813030
2020-03-06,2080.0,2179.0,2080.0,2141.0,1853.8868408203125,12238
2020-03-09,2176.0,2270.0,1500.0,1975.0,1710.147705078125,223907
2020-03-10,2042.0,2133.0,1988.0,2000.0,1731.7950439453125,111142
2020-03-11,2062.0,2139.0,1999.0,2130.0,1844.36181640625,53245
2020-03-12,2151.0,2170.0,2000.0,2051.0,1775.9560546875,68197
2020-03-13,2100.0,2121.0,2000.0,2050.0,1775.090087890625,189136
2020-03-16,2000.0,2000.0,1850.0,1900.0,1645.2052001953125,720104
2020-03-17,1900.0,1921.0,1801.0,1801.0,1559.481689453125,162309
2020-03-18,1867.0,1885.0,1348.0,1600.0,1385.4361572265625,188098
2020-03-19,1650.0,1722.0,1631.0,1700.0,1472.026123046875,87823
2020-03-20,1749.0,1980.0,1650.0,1717.0,1486.7462158203125,562177
2020-03-23,1889.0,1889.0,1650.0,1727.0,1495.405029296875,875699
2020-03-24,1672.0,1813.0,1672.0,1770.0,1532.6387939453125,245202
2020-03-25,1750.0,1816.0,1215.0,1725.0,1493.6734619140625,74791
2020-03-26,1719.0,1800.0,1719.0,1780.0,1541.2977294921875,1880891
2020-03-27,1750.0,1892.0,1708.0,1800.0,1558.6156005859375,1559835
2020-03-30,1750.0,1799.0,1749.0,1755.0,1519.650390625,529271
2020-03-31,1804.0,1841.0,1749.0,1750.0,1515.32080078125,625290
2020-04-01,1768.0,1775.0,1700.0,1775.0,1536.9681396484375,101880
2020-04-02,1750.0,1858.0,1750.0,1810.0,1567.2744140625,91579
2020-04-03,1750.0,1899.0,1799.0,1899.0,1644.3394775390625,21077
2020-04-06,1900.0,2050.0,1868.0,1868.0,1617.49658203125,95724
2020-04-07,1801.0,2002.0,1800.0,1925.0,1666.8529052734375,76954
2020-04-08,1925.0,1925.0,1925.0,1925.0,1666.8529052734375,0
2020-04-09,1926.0,1951.0,1725.0,1900.0,1645.2052001953125,349410
2020-04-14,1925.0,1925.0,1800.0,1870.0,1619.228515625,60423
2020-04-15,1931.0,2178.0,1850.0,1935.0,1675.5118408203125,11895
2020-04-16,1877.0,1935.0,1802.0,1900.0,1645.2052001953125,148563
2020-04-17,1955.0,1975.0,1899.0,1910.0,1653.864501953125,144942
2020-04-20,1911.0,1941.0,1827.0,1900.0,1645.2052001953125,70821
2020-04-21,1972.0,1997.0,1820.0,1851.0,1602.7763671875,104623
2020-04-22,1856.0,1900.0,1851.0,1878.0,1626.15576171875,19829
2020-04-23,1855.0,1919.0,1881.0,1900.0,1645.2052001953125,189164
2020-04-24,1892.0,1892.0,1825.0,1879.0,1627.021728515625,79472
2020-04-28,1900.0,1899.0,1766.0,1766.0,1529.175048828125,162540
2020-04-29,1800.0,1843.0,1770.0,1823.0,1578.53125,34277
2020-04-30,1801.0,1829.0,1715.0,1715.0,1485.01416015625,18171
2020-05-04,1800.0,1800.0,1618.0,1665.0,1441.7196044921875,208204
2020-05-05,1666.0,1820.0,1666.0,1700.0,1472.026123046875,248250
2020-05-06,1667.0,1711.0,1667.0,1700.0,1472.026123046875,144613
2020-05-07,1557.0,1713.0,1685.0,1713.0,1483.2825927734375,86954
2020-05-08,1700.0,1710.0,1699.0,1700.0,1472.026123046875,156772
2020-05-11,1700.0,1700.0,1636.0,1690.0,1463.366943359375,240589
2020-05-12,1620.0,1691.0,1620.0,1670.0,1446.0487060546875,188648
2020-05-13,1679.0,1680.0,1670.0,1670.0,1446.0487060546875,233100
2020-05-14,1649.0,1741.0,1649.0,1670.0,1446.0487060546875,1033167
2020-05-15,1671.0,1760.0,1670.0,1670.0,1446.0487060546875,261300
