Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1105.0,1105.0,1105.0,1105.0,989.2871704101562,3578
2020-01-03,1105.0,1105.0,955.0,955.0,854.9948120117188,7608
2020-01-06,956.0,1105.0,956.0,1093.0,978.5438842773438,17414
2020-01-07,1029.0,1093.0,1004.0,1047.0,937.3607788085938,60105
2020-01-08,1099.0,1100.0,973.0,1040.0,931.0938720703125,49362
2020-01-09,954.0,1100.0,954.0,1030.0,922.1409912109375,44805
2020-01-10,1100.0,1100.0,900.0,1070.0,957.9523315429688,146004
2020-01-13,993.0,1149.0,989.0,1080.0,966.9050903320312,26874
2020-01-14,1149.0,1149.0,966.0,1082.0,968.69580078125,9894
2020-01-15,1009.0,1100.0,1000.0,1100.0,984.810791015625,15409
2020-01-16,1031.0,1084.0,1014.0,1078.0,965.1146240234375,34665
2020-01-17,1078.0,1078.0,1078.0,1078.0,965.1146240234375,0
2020-01-20,1069.0,1069.0,1000.0,1001.0,896.1778564453125,35080
2020-01-21,1050.0,1055.0,1040.0,1048.0,938.256103515625,4212
2020-01-22,1000.0,1070.0,999.0,1068.0,956.1617431640625,20653
2020-01-23,952.0,1069.0,950.0,1069.0,957.0570068359375,10173
2020-01-24,968.0,1063.0,968.0,1049.0,939.1513671875,7990
2020-01-27,1000.0,1025.0,999.0,1015.0,908.7117919921875,19396
2020-01-28,1015.0,1150.0,1000.0,1145.0,1025.0985107421875,51457
2020-01-29,1145.0,1145.0,1145.0,1145.0,1025.0985107421875,100
2020-01-30,1145.0,1299.0,1088.0,1218.0,1090.4541015625,10859
2020-01-31,1200.0,1240.0,1200.0,1200.0,1074.339111328125,15240
2020-02-03,1165.0,1220.0,1160.0,1173.0,1050.1663818359375,16246
2020-02-04,1170.0,1170.0,1033.0,1145.0,1025.0985107421875,13017
2020-02-05,1145.0,1300.0,1145.0,1155.0,1034.051513671875,277820
2020-02-06,1160.0,1190.0,1085.0,1179.0,1055.5379638671875,4047
2020-02-07,1180.0,1300.0,1100.0,1146.0,1025.993896484375,7968
2020-02-10,1300.0,1300.0,1050.0,1130.0,1011.669189453125,8560
2020-02-11,1109.0,1150.0,1032.0,1144.0,1024.2032470703125,2380
2020-02-12,1142.0,1200.0,1025.0,1025.0,917.66455078125,26121
2020-02-13,1200.0,1200.0,1060.0,1070.0,957.9523315429688,11436
2020-02-14,1035.0,1036.0,1000.0,1035.0,926.617431640625,162703
2020-02-17,1098.0,1173.0,1024.0,1034.0,925.7222290039062,36847
2020-02-18,1034.0,1097.0,956.0,1000.0,895.2825317382812,146118
2020-02-19,953.0,1094.0,953.0,1000.0,895.2825317382812,51574
