Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,4998.0,5059.0,4974.0,4999.0,3462.2138671875,810281
2020-01-03,4900.0,4973.0,4731.0,4800.0,3324.3896484375,1683804
2020-01-06,4621.0,4773.0,4661.0,4700.0,3255.131591796875,1354172
2020-01-07,4840.0,4894.0,4690.0,4705.0,3258.5947265625,1170695
2020-01-08,4705.0,4722.0,4576.0,4708.0,3260.67236328125,1621149
2020-01-09,4800.0,4849.0,4727.0,4830.0,3345.1669921875,2681967
2020-01-10,4836.0,4873.0,4698.0,4739.0,3282.142578125,1920123
2020-01-13,4799.0,4799.0,4578.0,4670.0,3234.354248046875,2089642
2020-01-14,4749.0,4764.0,4649.0,4730.0,3275.908935546875,2984846
2020-01-15,4676.0,4855.0,4653.0,4810.0,3331.31591796875,3382122
2020-01-16,4794.0,4954.0,4679.0,4750.0,3289.7607421875,6272909
2020-01-17,4750.0,4821.0,4600.0,4715.0,3265.52099609375,4166894
2020-01-20,4710.0,4779.0,4687.0,4700.0,3255.131591796875,1636829
2020-01-21,4685.0,4700.0,4602.0,4616.0,3196.955078125,1896091
2020-01-22,4620.0,4650.0,4522.0,4543.0,3146.396728515625,3016223
2020-01-23,4500.0,4536.0,4428.0,4453.0,3084.064208984375,1488138
2020-01-24,4455.0,4574.0,4480.0,4525.0,3133.929931640625,1221701
2020-01-27,4579.0,4579.0,4401.0,4422.0,3062.593994140625,645150
2020-01-28,4426.0,4523.0,4380.0,4501.0,3117.308349609375,1842317
2020-01-29,4500.0,4554.0,4497.0,4546.0,3148.474365234375,2063823
2020-01-30,4544.0,4544.0,4439.0,4472.0,3097.22314453125,1286804
2020-01-31,4471.0,4471.0,4400.0,4410.0,3054.283203125,1762743
2020-02-03,4400.0,4463.0,4297.0,4330.0,2998.87646484375,2123926
2020-02-04,4156.0,4410.0,4156.0,4350.0,3012.728271484375,1368823
2020-02-05,4285.0,4476.0,4285.0,4380.0,3033.505859375,1653536
2020-02-06,4495.0,4450.0,4354.0,4381.0,3034.1982421875,684261
2020-02-07,4402.0,4416.0,4265.0,4270.0,2957.321533203125,893754
2020-02-10,4378.0,4349.0,4202.0,4213.0,2917.844482421875,710380
2020-02-11,4376.0,4376.0,4097.0,4234.0,2932.38916015625,2869300
2020-02-12,4026.0,4402.0,4087.0,4332.0,3000.26171875,4936569
2020-02-13,4337.0,4359.0,4264.0,4330.0,2998.87646484375,2801388
2020-02-14,4332.0,4372.0,4286.0,4314.0,2987.795166015625,2086259
2020-02-17,4425.0,4420.0,4300.0,4376.0,3030.735107421875,1920757
2020-02-18,4365.0,4366.0,4252.0,4366.0,3023.809814453125,1848138
2020-02-19,4366.0,4427.0,4296.0,4407.0,3052.205322265625,3203834
2020-02-20,4550.0,4792.0,4413.0,4564.0,3160.94091796875,10482612
2020-02-21,4650.0,4979.0,4469.0,4850.0,3359.018798828125,5571098
2020-02-24,4899.0,4904.0,4517.0,4600.0,3185.87353515625,4649657
2020-02-25,4550.0,4707.0,4563.0,4624.0,3202.49560546875,3038248
2020-02-26,4782.0,5088.0,4542.0,5016.0,3473.9873046875,4438708
2020-02-27,4852.0,4959.0,4732.0,4790.0,3317.464111328125,3136720
2020-02-28,4500.0,4738.0,4493.0,4493.0,3111.767333984375,5406138
2020-03-02,4536.0,4741.0,4481.0,4508.0,3122.156005859375,2248392
2020-03-03,4650.0,4650.0,4418.0,4559.0,3157.477783203125,3480018
2020-03-04,4451.0,4684.0,4511.0,4625.0,3203.18798828125,2130202
2020-03-05,4796.0,4796.0,4565.0,4590.0,3178.947998046875,2258508
2020-03-06,4530.0,4516.0,4335.0,4449.0,3081.2939453125,2149999
2020-03-09,4050.0,4411.0,4122.0,4392.0,3041.816650390625,2496752
2020-03-10,4465.0,4551.0,4338.0,4370.0,3026.580078125,2090469
2020-03-11,4147.0,4339.0,4145.0,4216.0,3096.350830078125,3202719
2020-03-12,4072.0,4072.0,3709.0,3794.0,2786.421630859375,6065358
2020-03-13,3910.0,3996.0,3736.0,3793.0,2785.687255859375,3093793
2020-03-16,3700.0,3542.0,3057.0,3500.0,2570.5,4921903
2020-03-17,3500.0,3501.0,3197.0,3326.0,2442.709228515625,5390988
2020-03-18,3180.0,3314.0,2793.0,3000.0,2203.285400390625,4468577
2020-03-19,3000.0,3099.0,2581.0,2651.0,1946.97021484375,6144070
2020-03-20,2800.0,3249.0,2801.0,2916.0,2141.59375,5162673
2020-03-23,2972.0,2931.0,2229.0,2738.0,2010.865234375,5306768
2020-03-24,2600.0,2887.0,2478.0,2750.0,2019.6785888671875,4581074
2020-03-25,2695.0,3073.0,2729.0,2915.0,2140.859375,6001140
2020-03-26,2828.0,3296.0,2876.0,3130.0,2298.76123046875,4837403
2020-03-27,3100.0,3143.0,2687.0,2771.0,2035.1015625,2197400
2020-03-30,2735.0,2736.0,2454.0,2490.0,1828.7269287109375,4483966
2020-03-31,2520.0,2620.0,2317.0,2498.0,1834.6024169921875,3458411
2020-04-01,2481.0,2552.0,2416.0,2520.0,1850.760009765625,4746156
2020-04-02,2565.0,2729.0,2546.0,2610.0,1916.8582763671875,2960701
2020-04-03,2505.0,2569.0,2465.0,2510.0,1843.41552734375,1344181
2020-04-06,2987.0,2841.0,2526.0,2715.0,1993.9735107421875,2390065
2020-04-07,2750.0,3142.0,2692.0,2863.0,2102.668701171875,3437039
2020-04-08,2900.0,2899.0,2716.0,2775.0,2038.0391845703125,2058278
2020-04-09,2778.0,3131.0,2844.0,3121.0,2292.1513671875,6187487
2020-04-14,2965.0,3408.0,2859.0,3376.0,2479.4306640625,5880230
2020-04-15,3382.0,3437.0,3065.0,3289.0,2415.53564453125,3838930
2020-04-16,3250.0,3328.0,3130.0,3170.0,2328.138427734375,3400584
2020-04-17,3230.0,3372.0,3166.0,3166.0,2325.200927734375,3467083
2020-04-20,3136.0,3267.0,3105.0,3140.0,2306.10546875,2531394
2020-04-21,3137.0,3125.0,2939.0,3053.0,2242.210205078125,2993238
2020-04-22,3053.0,3144.0,3022.0,3051.0,2240.741455078125,1556508
2020-04-23,3045.0,3127.0,2932.0,2980.0,2188.596923828125,2664309
2020-04-24,2955.0,2949.0,2769.0,2926.0,2148.937744140625,2615505
2020-04-28,3000.0,3111.0,2945.0,3075.0,2258.367431640625,4131308
2020-04-29,3233.0,3178.0,3000.0,3102.0,2278.197265625,1823277
2020-04-30,3118.0,3141.0,2901.0,2949.0,2165.829833984375,2159323
2020-05-04,2880.0,2927.0,2751.0,2880.0,2115.154052734375,1998748
2020-05-05,2832.0,3013.0,2795.0,2888.0,2121.02978515625,2329244
2020-05-06,2896.0,2935.0,2729.0,2782.0,2043.1802978515625,3331050
2020-05-07,2826.0,2907.0,2731.0,2823.0,2073.291748046875,4549857
2020-05-08,2827.0,2973.0,2736.0,2956.0,2170.970703125,2813944
2020-05-11,2955.0,3003.0,2783.0,2847.0,2090.91796875,1964926
2020-05-12,2824.0,3020.0,2801.0,2965.0,2177.58056640625,5318556
2020-05-13,2917.0,2960.0,2787.0,2864.0,2103.4033203125,5096593
2020-05-14,2800.0,2872.0,2750.0,2820.0,2071.08837890625,5193126
2020-05-15,2843.0,2982.0,2779.0,2909.0,2136.45263671875,3496073
2020-05-18,2800.0,3100.0,2874.0,3064.0,2250.288818359375,3956297
