Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,11530.0,11888.0,11530.0,11602.0,9077.0439453125,590697
2020-01-03,11699.0,11686.0,11485.0,11585.0,9063.7451171875,1145528
2020-01-06,11500.0,11502.0,11306.0,11408.0,8925.2646484375,790839
2020-01-07,11425.0,11600.0,11361.0,11510.0,9005.0654296875,691757
2020-01-08,11600.0,11563.0,11265.0,11500.0,8997.2412109375,799741
2020-01-09,11600.0,11871.0,11551.0,11602.0,9077.0439453125,856369
2020-01-10,11502.0,11830.0,11502.0,11710.0,9161.541015625,1221239
2020-01-13,11860.0,11837.0,11539.0,11750.0,9192.833984375,982900
2020-01-14,11949.0,11990.0,11724.0,11879.0,9293.7607421875,1428585
2020-01-15,11784.0,11970.0,11746.0,11952.0,9350.873046875,1017043
2020-01-16,11801.0,12199.0,11870.0,12109.0,9473.7041015625,1659542
2020-01-17,12200.0,12208.0,12029.0,12192.0,9538.6416015625,1326741
2020-01-20,12222.0,12221.0,12015.0,12097.0,9464.31640625,423208
2020-01-21,12052.0,12114.0,11920.0,12067.0,9440.8466796875,921605
2020-01-22,12000.0,12199.0,11959.0,12048.0,9425.98046875,852245
2020-01-23,11950.0,12198.0,11939.0,11982.0,9374.3447265625,708421
2020-01-24,12120.0,12125.0,11986.0,12080.0,9451.017578125,540702
2020-01-27,11950.0,12000.0,11709.0,11910.0,9318.013671875,1103851
2020-01-28,11948.0,11990.0,11730.0,11750.0,9192.833984375,1832028
2020-01-29,11750.0,11990.0,11730.0,11936.0,9338.35546875,1002794
2020-01-30,11700.0,11916.0,11675.0,11845.0,9267.16015625,1192914
2020-01-31,11630.0,11900.0,11662.0,11725.0,9173.2763671875,1998865
2020-02-03,11701.0,11932.0,11620.0,11753.0,9195.1826171875,1364774
2020-02-04,11821.0,12069.0,11560.0,11632.0,9100.5166015625,2587991
2020-02-05,11631.0,12059.0,11595.0,11984.0,9375.908203125,2551885
2020-02-06,12050.0,12158.0,11895.0,11895.0,9306.279296875,1066124
2020-02-07,11904.0,12013.0,11825.0,11903.0,9312.537109375,1287398
